step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.362,0.057,0.83,2.556,0.00,3,18,27.00,7.59,+0.000,0.342,0.046,+0.000,0.342,0.046,0,7.501,7.73,0.000
40,4.314,0.235,4.70,0.374,24.89,3,18,27.00,5.39,+0.886,0.451,0.018,+0.886,0.451,0.018,0,7.933,7.71,0.000
60,9.208,2.278,26.50,3.858,16.45,3,18,27.00,6.19,+0.586,0.343,0.075,+0.586,0.343,0.075,0,2.283,8.65,0.000
80,13.864,4.925,25.43,1.694,-19.78,4,18,27.00,5.91,-0.704,0.286,0.018,-0.704,0.286,0.018,0,0.818,7.83,0.000
85,14.746,5.126,19.52,2.156,-28.07,4,18,27.00,5.09,-1.000,0.767,0.002,-1.000,0.783,0.000,1,0.766,105.67,0.220
86,14.971,5.157,17.87,2.358,-28.07,4,18,27.00,5.08,-1.000,0.768,0.002,-1.000,0.771,0.000,1,0.782,104.27,0.149
87,15.217,5.183,16.08,2.547,-28.07,4,18,27.00,5.07,-1.000,0.746,0.001,-1.000,0.746,0.000,1,0.796,116.57,0.096
88,15.483,5.205,14.15,2.744,-28.07,4,18,27.00,5.07,-1.000,0.699,0.001,-1.000,1.000,0.000,1,-0.398,123.59,0.183
89,15.769,5.219,12.07,2.930,-28.07,4,18,27.00,5.06,-1.000,0.633,0.001,-0.981,1.000,0.000,1,0.816,116.24,2.451
90,16.074,5.225,9.89,3.107,-28.07,4,18,27.00,5.05,-1.000,0.550,0.000,-0.824,1.000,0.000,1,-0.188,175.35,0.508
91,16.395,5.221,7.58,3.276,-28.07,4,18,27.00,5.05,-1.000,0.474,0.000,-0.711,1.000,0.000,1,-0.471,177.14,0.903
92,16.731,5.208,5.41,3.432,-28.07,4,18,27.00,5.04,-1.000,0.427,0.016,-0.576,1.000,0.000,1,-0.500,444.18,1.726
93,17.081,5.188,3.39,3.577,-28.07,4,18,27.00,5.03,-1.000,0.391,0.037,-0.520,1.000,0.000,1,-0.500,417.81,2.928
94,17.443,5.161,1.66,3.699,-28.07,5,18,27.00,5.03,-1.000,0.362,0.061,-0.521,1.000,0.000,1,-0.500,459.29,4.363
95,17.815,5.128,0.03,3.792,-28.07,5,18,27.00,5.03,-1.000,0.335,0.092,-0.524,0.668,0.000,1,-0.500,477.78,5.301
96,18.194,5.089,-1.56,3.852,-28.07,5,18,27.00,5.02,-1.000,0.315,0.124,-0.537,0.700,0.000,1,-0.500,395.71,7.025
97,18.576,5.041,-3.11,3.894,-28.07,5,18,27.00,5.02,-1.000,0.297,0.149,-0.569,0.439,0.000,1,-0.499,391.90,8.428
98,18.961,4.984,-4.64,3.913,-28.07,5,18,27.00,5.02,-1.000,0.281,0.168,-0.583,0.129,0.000,1,-0.500,394.11,9.966
99,19.344,4.913,-6.19,3.926,-28.07,5,18,27.00,5.02,-1.000,0.265,0.179,+1.000,1.000,0.000,1,-0.246,127.55,5.900
100,19.727,4.831,-8.11,3.968,-27.44,5,18,27.00,5.07,-0.977,0.252,0.173,+1.000,1.000,0.000,1,-0.497,87.68,2.801
101,20.112,4.756,-8.90,3.950,-28.07,5,18,27.00,5.02,-1.000,0.239,0.161,+1.000,1.000,0.000,1,-0.499,109.57,2.810
102,20.499,4.700,-8.57,3.937,-27.44,5,18,27.00,5.08,-0.977,0.227,0.149,+1.000,1.000,0.000,1,-0.445,155.75,2.754
103,20.886,4.663,-7.46,3.919,-22.76,5,18,27.00,5.51,-0.811,0.215,0.126,+1.000,1.000,0.000,1,-0.352,210.78,2.499
104,21.275,4.650,-5.88,3.913,-23.40,5,18,27.00,5.45,-0.833,0.205,0.104,+1.000,1.000,0.000,1,-0.293,168.53,2.474
105,21.665,4.658,-3.94,3.925,-23.40,5,18,27.00,5.45,-0.833,0.195,0.089,+1.000,1.000,0.000,1,-0.236,91.13,2.449
106,22.056,4.689,-1.69,3.951,-23.40,5,18,27.00,5.45,-0.833,0.186,0.068,+1.000,1.000,0.000,1,-0.202,68.30,2.410
107,22.449,4.743,0.67,3.993,-17.65,5,18,27.00,6.04,-0.629,0.198,0.042,+1.000,0.156,0.000,1,-0.124,70.00,0.796
108,22.842,4.819,3.12,3.978,-12.55,5,18,27.00,6.65,-0.447,0.248,0.028,+1.000,1.000,0.000,1,-0.063,27.20,1.723
109,23.229,4.915,5.64,3.955,-7.44,5,18,27.00,7.25,-0.265,0.318,0.018,+1.000,1.000,0.000,1,-0.017,36.71,1.363
114,25.130,5.508,14.19,4.009,-17.28,5,18,27.00,6.09,-0.616,0.812,0.002,-0.616,1.000,0.000,1,0.974,55.45,0.065
115,25.516,5.597,13.72,3.997,-22.39,5,18,27.00,5.54,-0.797,0.875,0.001,-0.798,1.000,0.000,1,1.236,57.92,0.028
116,25.905,5.669,12.77,3.981,-26.22,5,18,27.00,5.18,-0.934,0.917,0.001,-0.938,1.000,0.000,1,1.474,79.94,0.013
