time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000086,-0.000757,0.000071,0.000365,0.000000,0.102053,0.000000,0,0,14.040468,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000526,-0.000026,0.000421,0.000371,0.000000,0.176043,0.000000,0,0,14.040596,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000585,0.000241,0.001690,0.000424,0.000000,0.260325,0.000000,0,0,14.040672,0.000000,0.000000,0.000000
0.408000,0.055216,0.000173,0.904379,0.004126,0.007078,0.011601,0.006694,0.000000,0.332546,0.000000,0,0,14.040667,0.000000,0.000000,0.000000
0.510000,0.061004,0.001460,0.642840,0.048047,0.092552,0.025550,-0.013192,0.000000,0.400666,0.000000,0,0,14.034826,0.000000,0.000000,0.000000
0.612000,0.059353,0.003408,0.717251,-0.052494,-0.092383,0.018242,-0.016025,0.000000,0.459237,0.000000,0,0,14.036385,0.000000,0.000000,0.000000
0.714000,0.053560,0.005896,0.790139,-0.025301,-0.035984,0.024918,-0.014347,0.000000,0.513544,0.000000,0,0,14.042055,0.000000,0.000000,0.000000
0.816000,0.055528,0.006747,0.778536,0.075509,0.087139,-0.007313,0.014446,0.000000,0.573277,0.000000,0,0,14.040050,0.000000,0.000000,0.000000
0.918000,0.068876,0.003687,0.754747,0.160114,0.159644,-0.007772,0.004137,0.000000,0.618729,0.000000,0,0,14.026858,0.000000,0.000000,0.000000
1.020000,0.087567,0.003943,0.757137,0.243452,0.237532,0.004959,0.000339,0.000000,0.663199,0.000000,0,0,14.008176,0.000000,0.000000,0.000000
1.122000,0.123929,0.007019,0.769207,0.496989,0.486901,0.034365,0.013830,0.000000,0.698080,0.000000,0,0,13.971711,0.000000,0.000000,0.000000
1.224000,0.188965,0.011812,0.787436,0.795977,0.789567,0.052668,0.017060,0.000000,0.725169,0.000000,0,0,13.906522,0.000000,0.000000,0.000000
1.326000,0.286261,0.018201,0.811133,1.104442,1.097451,0.059748,0.012593,0.000000,0.729422,0.000000,0,0,13.809034,0.000000,0.000000,0.000000
1.428000,0.414535,0.026277,0.835922,1.411529,1.406403,0.070115,0.008046,0.000000,0.703483,0.000000,0,0,13.680524,0.000000,0.000000,0.000000
1.530000,0.572385,0.034839,0.855103,1.676709,1.678805,0.064799,0.016241,0.000000,0.653108,0.000000,0,0,13.522448,0.000000,0.000000,0.000000
1.632000,0.756506,0.042169,0.862816,1.921883,1.928545,0.054062,0.021076,0.000000,0.574082,0.000000,0,0,13.338184,0.000000,0.000000,0.000000
1.734000,0.966793,0.049216,0.862367,2.182695,2.191321,0.050598,0.016149,0.000000,0.485299,0.000000,0,0,13.127797,0.000000,0.000000,0.000000
1.836000,1.203696,0.056651,0.859193,2.441094,2.443199,0.046200,0.015762,0.000000,0.408973,0.010899,0,0,12.890804,0.000000,0.000000,0.000000
1.938000,1.464534,0.064119,0.858302,2.657555,2.658202,0.038677,0.022865,0.000000,0.359990,0.034046,0,0,12.629901,0.000000,0.000000,0.000000
2.040000,1.744967,0.072170,0.856787,2.826595,2.831490,0.038816,0.023827,0.000000,0.319008,0.068193,0,0,12.349399,0.000000,0.000000,0.000000
2.142000,2.039437,0.080384,0.850399,2.919502,2.922096,0.024307,0.014317,0.000000,0.291117,0.103331,0,0,12.054871,0.000000,0.000000,0.000000
2.244000,2.337776,0.087345,0.844689,2.912153,2.915589,0.010795,0.004175,0.000000,0.266235,0.146375,0,0,11.756541,0.000000,0.000000,0.000000
2.346000,2.631384,0.093225,0.842010,2.827546,2.835976,-0.003173,0.006273,0.000000,0.248132,0.186709,0,0,11.462992,0.000000,0.000000,0.000000
2.448000,2.914089,0.097853,0.839906,2.705204,2.706551,-0.011839,0.000668,0.000000,0.230918,0.233498,0,0,11.180399,0.000000,0.000000,0.000000
2.550000,3.182391,0.102821,0.825916,2.588645,2.551295,0.010745,-0.014632,0.000000,0.217643,0.273112,0,0,10.912182,0.000000,0.000000,0.000000
2.652000,3.431606,0.108271,0.790084,2.342257,2.311048,-0.014404,0.023819,0.000000,0.204378,0.309186,0,0,10.663007,0.000000,0.000000,0.000000
2.754000,3.651370,0.111600,0.787537,1.975371,2.015406,0.006955,0.016455,0.204545,0.192453,0.326270,0,0,10.443358,0.000000,0.000000,0.000000
2.856000,3.841593,0.118933,0.807793,1.705995,1.728300,0.052737,0.060884,0.386364,0.182733,0.321544,0,0,10.253009,0.000000,0.000000,0.000000
2.958000,4.003989,0.131399,0.822619,1.475022,1.474642,0.107863,0.079894,0.568182,0.173689,0.303942,0,0,10.090188,0.000000,0.000000,0.000000
3.060000,4.142221,0.149610,0.824341,1.267197,1.260345,0.147461,0.097029,0.772727,0.164195,0.273907,0,0,9.951212,0.000000,0.000000,0.000000
3.162000,4.259887,0.172616,0.819366,1.069683,1.066669,0.192762,0.118828,0.909091,0.156280,0.241228,0,0,9.832554,0.000000,0.000000,0.000000
3.264000,4.356918,0.200125,0.814983,0.874901,0.873130,0.240855,0.124452,0.886364,0.147895,0.200342,0,0,9.734321,0.000000,0.000000,0.000000
3.366000,4.437464,0.227121,0.813755,0.736599,0.735706,0.207755,0.110477,0.840909,0.140858,0.162710,0,0,9.652623,0.000000,0.000000,0.000000
3.468000,4.506870,0.249824,0.814627,0.664220,0.661123,0.137923,0.073597,0.793726,0.133583,0.118157,0,0,9.582285,0.000000,0.000000,0.000000
3.570000,4.569813,0.267019,0.814561,0.603473,0.601735,0.104159,0.080144,0.864227,0.136064,0.079718,0,0,9.518666,0.000000,0.000000,0.000000
3.672000,4.626986,0.282914,0.813400,0.549010,0.547237,0.109105,0.081593,0.838828,0.192520,0.051202,0,0,9.460884,0.000000,0.000000,0.000000
3.774000,4.679935,0.298180,0.811532,0.526964,0.524477,0.092350,0.061328,0.838686,0.272504,0.034545,0,0,9.407364,0.000000,0.000000,0.000000
3.876000,4.730851,0.314201,0.808704,0.508731,0.508258,0.118913,0.092203,0.792824,0.371441,0.023307,0,0,9.355860,0.000000,0.000000,0.000000
3.978000,4.784387,0.332012,0.808038,0.593692,0.587723,0.117971,0.069165,0.778242,0.482326,0.015724,0,0,9.301688,0.000000,0.000000,0.000000
4.080000,4.849189,0.354580,0.809350,0.754278,0.749263,0.174084,0.104906,0.648162,0.612058,0.010100,0,0,9.236109,0.000000,0.000000,0.000000
4.182000,4.937484,0.384714,0.812753,1.057368,1.044792,0.171518,0.096194,0.602707,0.715000,0.006814,0,0,9.146833,0.000000,0.000000,0.000000
4.284000,5.054943,0.423681,0.816868,1.369379,1.360141,0.219426,0.130159,0.489071,0.796424,0.004377,0,0,9.028204,0.000000,0.000000,0.000000
4.386000,5.204747,0.472680,0.823527,1.696311,1.690304,0.242300,0.138472,0.284526,0.825927,0.002811,0,0,8.877086,0.000000,0.000000,0.000000
4.488000,5.385180,0.528326,0.829899,1.975325,1.973747,0.213117,0.122882,0.144777,0.804397,0.001806,0,0,8.695383,0.000000,0.000000,0.000000
4.590000,5.593419,0.587188,0.834869,2.238707,2.241623,0.164042,0.106438,0.029917,0.757175,0.001218,0,0,8.486068,0.000000,0.000000,0.000000
4.692000,5.827265,0.648711,0.837482,2.479503,2.480418,0.109733,0.077569,-0.151901,0.692441,0.000822,0,0,8.251403,0.000000,0.000000,0.000000
4.794000,6.084737,0.709861,0.839963,2.690438,2.695846,0.032882,-0.003090,-0.174628,0.607179,0.000528,0,0,7.993443,0.000000,0.000000,0.000000
