time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.161709,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000088,-0.000758,0.000066,0.000350,0.000000,0.099137,0.000000,0,0,17.162273,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000527,-0.000026,0.000404,0.000372,0.000000,0.171402,0.000000,0,0,17.162402,0.000000,0.000000,0.000000
0.306000,0.055218,0.000029,1.263977,0.000577,0.000235,0.001609,0.000423,0.000000,0.250075,0.000000,0,0,17.162481,0.000000,0.000000,0.000000
0.408000,0.055175,0.000073,0.902700,0.000423,0.000168,0.005058,0.000454,0.000000,0.313052,0.000000,0,0,17.162531,0.000000,0.000000,0.000000
0.510000,0.058434,-0.000226,0.564501,0.025697,0.074606,-0.004163,0.004418,0.000000,0.370302,0.000000,0,0,17.159262,0.000000,0.000000,0.000000
0.612000,0.059609,0.000104,0.637588,-0.023757,-0.070631,0.001805,0.001765,0.000000,0.419265,0.000000,0,0,17.158148,0.000000,0.000000,0.000000
0.714000,0.053398,0.000690,0.740922,-0.014903,-0.046652,0.005951,-0.001329,0.000000,0.491944,0.000000,0,0,17.164378,0.000000,0.000000,0.000000
0.816000,0.049284,0.001388,0.746201,-0.042243,-0.032736,-0.000768,0.018852,0.000000,0.576138,0.000000,0,0,17.168550,0.000000,0.000000,0.000000
0.918000,0.052678,0.000407,0.693792,0.055699,0.093703,0.006797,0.027008,0.000000,0.683691,0.000000,0,0,17.165049,0.000000,0.000000,0.000000
1.020000,0.070657,0.001850,0.662215,0.262928,0.253236,0.026727,-0.030612,0.000000,0.768006,0.000000,0,0,17.147472,0.000000,0.000000,0.000000
1.122000,0.108600,0.005824,0.684935,0.490450,0.474172,0.047877,0.007034,0.000000,0.817499,0.000000,0,0,17.110518,0.000000,0.000000,0.000000
1.224000,0.165086,0.012835,0.717984,0.623244,0.624810,0.066201,0.014043,0.000000,0.836541,0.000000,0,0,17.055673,0.000000,0.000000,0.000000
1.326000,0.237907,0.020372,0.739939,0.810764,0.806454,0.065553,0.019620,0.000000,0.828693,0.000000,0,0,16.984763,0.000000,0.000000,0.000000
1.428000,0.329056,0.027541,0.758576,0.984154,0.983339,0.064307,0.015703,0.000000,0.792436,0.000000,0,0,16.895691,0.000000,0.000000,0.000000
1.530000,0.437722,0.033702,0.772185,1.146288,1.147706,0.042446,0.014034,0.000000,0.738320,0.000000,0,0,16.789172,0.000000,0.000000,0.000000
1.632000,0.563309,0.038101,0.778954,1.310547,1.314365,0.023410,0.012649,0.000000,0.657078,0.000000,0,0,16.665688,0.000000,0.000000,0.000000
1.734000,0.705391,0.041735,0.779901,1.460032,1.464036,0.018753,0.012971,0.000000,0.572170,0.000000,0,0,16.525814,0.000000,0.000000,0.000000
1.836000,0.861649,0.044587,0.779427,1.593624,1.594786,0.002718,0.010857,0.000000,0.462473,0.000000,0,0,16.371846,0.000000,0.000000,0.000000
1.938000,1.031094,0.046679,0.779972,1.726678,1.725929,-0.002890,0.013267,0.000000,0.384719,0.007931,0,0,16.204773,0.000000,0.000000,0.000000
2.040000,1.214038,0.049476,0.780927,1.855402,1.856847,0.009028,0.012780,0.000000,0.322992,0.032426,0,0,16.024524,0.000000,0.000000,0.000000
2.142000,1.409798,0.053818,0.780094,1.973174,1.975088,0.016219,0.014234,0.000000,0.283519,0.061419,0,0,15.831923,0.000000,0.000000,0.000000
2.244000,1.616831,0.059117,0.779508,2.080325,2.080179,0.019619,0.015062,0.000000,0.250613,0.097088,0,0,15.628420,0.000000,0.000000,0.000000
2.346000,1.833859,0.065126,0.779999,2.168563,2.171280,0.021298,0.019779,0.000000,0.228306,0.127996,0,0,15.415256,0.000000,0.000000,0.000000
2.448000,2.060358,0.071817,0.780796,2.268486,2.265830,0.022428,0.026048,0.000000,0.208487,0.160082,0,0,15.192962,0.000000,0.000000,0.000000
2.550000,2.295885,0.078887,0.780746,2.348095,2.347102,0.011289,0.029693,0.000000,0.194126,0.185197,0,0,14.961947,0.000000,0.000000,0.000000
2.652000,2.537643,0.085651,0.778699,2.376903,2.381971,0.001343,0.023122,0.000000,0.180519,0.208730,0,0,14.724866,0.000000,0.000000,0.000000
2.754000,2.777212,0.091995,0.776988,2.298168,2.304257,-0.005918,0.013501,0.000000,0.170057,0.224350,0,0,14.490004,0.000000,0.000000,0.000000
2.856000,3.005564,0.097535,0.776796,2.179003,2.176294,-0.009650,0.008008,0.000000,0.159630,0.233379,0,0,14.266175,0.000000,0.000000,0.000000
2.958000,3.221525,0.103928,0.766339,2.094939,2.059924,0.010276,-0.010520,0.000000,0.151270,0.232156,0,0,14.054817,0.000000,0.000000,0.000000
3.060000,3.425161,0.111039,0.733582,1.933828,1.912407,0.015492,-0.005425,0.022727,0.142662,0.221239,0,0,13.855830,0.000000,0.000000,0.000000
3.162000,3.610470,0.117684,0.731500,1.678154,1.722140,0.015787,0.012499,0.159091,0.135585,0.203525,0,0,13.674890,0.000000,0.000000,0.000000
3.264000,3.775454,0.125289,0.756885,1.503576,1.524124,0.033049,0.038630,0.363636,0.128162,0.174413,0,0,13.514199,0.000000,0.000000,0.000000
3.366000,3.921621,0.134294,0.774468,1.371483,1.363803,0.052557,0.053267,0.541329,0.121977,0.142226,0,0,13.372341,0.000000,0.000000,0.000000
3.468000,4.054813,0.146831,0.774487,1.266637,1.262316,0.095326,0.078278,0.745874,0.115996,0.099584,0,0,13.243981,0.000000,0.000000,0.000000
3.570000,4.178829,0.165820,0.769867,1.191802,1.189046,0.159959,0.096751,0.881705,0.125765,0.067187,0,0,13.125968,0.000000,0.000000,0.000000
3.672000,4.293894,0.191216,0.766829,1.096835,1.099938,0.211016,0.126674,0.818928,0.182529,0.043154,0,0,13.018111,0.000000,0.000000,0.000000
3.774000,4.400891,0.221362,0.767107,1.042204,1.042515,0.219188,0.123658,0.640509,0.256660,0.029115,0,0,12.919260,0.000000,0.000000,0.000000
3.876000,4.505239,0.251573,0.767916,1.052137,1.049168,0.198219,0.093084,0.595055,0.344820,0.019643,0,0,12.823186,0.000000,0.000000,0.000000
3.978000,4.612652,0.280453,0.767390,1.116460,1.108248,0.171558,0.102384,0.468401,0.449879,0.012617,0,0,12.724008,0.000000,0.000000,0.000000
4.080000,4.729643,0.309312,0.767148,1.236372,1.232639,0.163073,0.112701,0.526464,0.540296,0.008512,0,0,12.615633,0.000000,0.000000,0.000000
