sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778906741.951859,0,1.710210,-0.051063,-0.000503,-0.0582,-0.0663,0.000018,1.648994,-0.000000,-0.000000,-0.0020,1.710101,-0.051613,-0.000514,-0.0050,-0.0003,-0.000012,-0.112321,0.0000,1.710101,0.000000,-0.000000,5.0000,0.000000,2.000000,3413.8353,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0725,0.0000,0.000000,0.2000,17.06,9.55,43.67,7.01,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,133.6476501265344,367.93076840172034,0.131805,0.131924,6560.4,6060.2,-0.020656,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778906741.959727,1,1.661795,-0.001152,0.001940,-0.0401,0.0222,0.001311,1.648913,-0.000001,-0.000000,-0.0094,1.661736,-0.001557,0.001933,-0.0024,-0.0003,-0.000014,-0.018705,0.0000,1.661736,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.2375,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0787,0.0000,0.000000,0.2240,15.50,9.22,40.22,7.36,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,143.96260545026328,280.7775700991097,0.097208,0.098964,6557.2,6063.3,-0.018354,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778906741.967838,2,1.646500,-0.074108,0.002461,-0.0243,0.0808,0.001391,1.648775,-0.000002,-0.000002,-0.0125,1.646462,-0.074303,0.002459,-0.0016,-0.0002,-0.000010,-0.007113,0.0000,1.646462,0.000000,0.000000,5.0000,0.000000,2.000000,3345.0131,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0857,0.0000,0.000000,0.2480,13.97,8.48,36.43,4.29,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,70.30653583785767,127.95197932501176,0.046466,0.049666,6552.6,6068.0,-0.014980,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778906741.974992,3,1.678403,-0.068405,-0.000328,-0.0146,0.0097,-0.002539,1.648627,-0.000005,-0.000003,-0.0121,1.678385,-0.068548,-0.000331,-0.0008,-0.0003,-0.000013,0.008104,0.0000,1.678385,0.000000,-0.000000,5.0000,0.000000,2.000000,3345.3727,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0934,0.0000,0.000000,0.2720,11.94,7.90,31.79,4.58,-0.000005,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,46.11577421824674,76.94475065588861,0.035300,0.034642,6546.3,6074.3,-0.010416,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778906741.987043,4,1.678799,0.048306,0.004620,-0.0348,-0.0283,-0.000514,1.648492,-0.000007,-0.000005,-0.0106,1.678796,0.048147,0.004617,0.0000,-0.0006,-0.000024,0.028564,0.0000,1.678796,0.000000,-0.000000,5.0000,0.000000,2.000000,3347.9029,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1018,0.0000,0.000000,0.2960,10.23,7.42,27.87,4.70,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,58.646652526838025,89.18177568110323,0.039738,0.038552,6539.1,6081.5,-0.005176,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778906741.998889,5,1.634245,-0.049244,0.006522,0.0235,-0.0001,0.002260,1.648465,-0.000003,-0.000003,0.0006,1.634371,-0.049366,0.006521,0.0057,-0.0007,-0.000028,0.071168,0.0000,1.634371,0.000000,0.000000,5.0000,0.000000,2.000000,3364.8203,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1108,0.0000,0.000000,0.3200,8.76,6.93,24.45,4.20,-0.000003,-0.0002,-4.9994,nan,nan,nan,nan,nan,nan,0.0,0.0,36.83391278346494,69.38167421878067,0.030708,0.032636,6526.6,6094.0,0.003918,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778906742.010856,6,1.706571,0.001799,0.004895,-0.0592,-0.0233,-0.000127,1.648468,0.000001,-0.000000,0.0002,1.706666,0.001667,0.004894,0.0051,-0.0011,-0.000042,0.089100,0.0000,1.706666,0.000000,-0.000000,5.0000,0.000000,2.000000,3373.2834,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1204,0.0000,0.000000,0.3440,7.51,6.54,21.55,4.31,0.000001,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,44.82761586906828,77.8720045646943,0.033871,0.035263,6520.5,6100.0,0.008313,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778906742.022875,7,1.729790,-0.011607,-0.005388,0.0187,0.0168,0.000193,1.648453,0.000007,0.000003,-0.0009,1.729932,-0.011687,-0.005389,0.0082,-0.0010,-0.000034,0.103882,0.0000,1.729932,0.000000,-0.000000,5.0000,0.000000,2.000000,3373.3461,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1306,0.0000,0.000000,0.3680,6.44,6.18,19.07,4.13,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,12.718481970108314,39.87141459259183,0.020699,0.022070,6515.5,6105.1,0.011958,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778906742.034903,8,1.711625,0.026432,-0.006725,0.0085,0.0426,0.000369,1.648434,0.000014,0.000007,-0.0008,1.711760,0.026430,-0.006724,0.0088,-0.0000,0.000004,0.121309,0.0000,1.711760,0.000000,-0.000000,5.0000,0.000000,2.000000,3364.2981,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1414,0.0000,0.000000,0.3920,5.55,5.87,16.97,4.15,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-16.49610404876377,11.266912585407198,-0.000026,0.001551,6510.0,6110.6,0.015956,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778906742.047363,9,1.622620,-0.008239,-0.002503,-0.0374,-0.0071,-0.000710,1.648415,0.000021,0.000011,-0.0007,1.622721,-0.008251,-0.002503,0.0075,-0.0002,-0.000007,0.139645,0.0000,1.622721,0.000000,0.000000,5.0000,0.000000,2.000000,3356.9384,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1526,0.0000,0.000000,0.4160,4.78,5.63,15.19,4.25,0.000021,0.0006,-5.0007,0.008000,0.144169,-0.1236,-0.494390,-0.001676,-0.001625,0.0,0.0,-13.90233397234823,14.35093000907554,0.003177,0.003541,6504.4,6116.2,0.020006,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778906742.058875,10,1.687771,-0.026436,0.000351,-0.0665,0.0311,0.000606,1.648397,0.000028,0.000015,-0.0006,1.687847,-0.026403,0.000352,0.0065,0.0008,0.000035,0.157141,0.0000,1.687847,0.000000,-0.000000,5.0000,0.000000,2.000000,3352.4832,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1644,0.0000,0.000000,0.4400,4.12,5.42,13.67,4.24,0.000028,0.0008,-5.0006,0.008000,0.034613,-0.0884,-0.495476,0.004669,0.000554,0.0,0.0,-13.902571153866532,16.464242942408987,-0.009854,-0.008785,6499.2,6121.4,0.023794,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778906742.070879,11,1.748246,0.014229,0.002483,-0.0331,0.0499,-0.000518,1.648380,0.000034,0.000018,-0.0005,1.748304,0.014317,0.002485,0.0057,0.0028,0.000095,0.175044,0.0000,1.748304,0.000000,-0.000000,5.0000,0.000000,2.000000,3349.7256,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1766,0.0000,0.000000,0.4640,3.57,5.24,12.38,4.20,0.000034,0.0011,-5.0005,0.008000,0.102458,-0.0083,-0.496351,0.013433,-0.001661,0.0,0.0,7.980857726879364,29.41405467257252,-0.026956,-0.026756,6494.0,6126.6,0.027572,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778906742.082871,12,1.583017,-0.064915,-0.001817,-0.0607,-0.0159,-0.000261,1.648364,0.000042,0.000022,-0.0004,1.583063,-0.064867,-0.001816,0.0050,0.0019,0.000052,0.192701,0.0000,1.583063,0.000000,0.000000,5.0000,0.000000,2.000000,3351.2741,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1893,0.0000,0.000000,0.4880,3.10,5.08,11.28,4.22,0.000042,0.0013,-5.0004,0.008000,0.145494,-0.0975,-0.497868,0.007762,-0.002181,0.0,0.0,-4.5874930821585735,27.91241426941795,-0.015440,-0.015613,6489.0,6131.6,0.031233,0.000000,0.000000,0.5000,1.0000,,,,,
