sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0960,1778906835.598786,0,1.511994,-0.032022,0.004425,-0.0572,0.0309,-0.001432,1.648434,0.000012,0.000007,-0.0008,1.511997,-0.031776,0.004424,0.0002,0.0001,0.000004,0.004290,0.0000,1.511997,0.000000,0.000000,1.8105,0.000000,0.464999,87.8116,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0112,0.0000,0.000000,0.0465,17.98,9.58,45.53,7.17,0.000012,0.0004,-1.8113,nan,nan,nan,nan,nan,nan,0.0,0.0,18.68246965564802,-78.32020401792442,-0.057172,-0.066594,6530.9,6089.7,0.000789,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778906835.606770,1,1.632076,-0.024173,0.004118,0.0720,-0.0205,0.000882,1.648415,0.000018,0.000011,-0.0007,1.632656,-0.024004,0.004117,0.0147,0.0001,0.000006,0.028987,0.0000,1.632656,0.000000,0.000000,1.6813,0.000000,0.670660,77.0241,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0122,0.0000,0.000000,0.0545,15.55,9.02,40.13,5.86,0.000018,0.0006,-1.6820,nan,nan,nan,nan,nan,nan,0.0,0.0,9.59809844747926,-11.786433233296151,-0.038753,-0.045242,6529.4,6091.2,0.001852,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778906835.616729,2,1.654705,-0.022136,0.002648,0.0385,-0.0104,0.000729,1.648397,0.000024,0.000015,-0.0006,1.655387,-0.022016,0.002648,0.0197,0.0002,0.000007,0.041330,0.0000,1.655387,0.000000,-0.000000,1.6543,0.000000,0.764942,74.9607,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0132,0.0000,0.000000,0.0637,13.29,8.47,35.05,5.37,0.000024,0.0009,-1.6549,nan,nan,nan,nan,nan,nan,0.0,0.0,-4.697868315766513,2.9275858320590515,-0.027669,-0.031975,6527.3,6093.3,0.003402,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778906835.628673,3,1.597028,-0.016646,0.003593,-0.0053,0.0630,0.001226,1.648380,0.000029,0.000019,-0.0005,1.597515,-0.016449,0.003595,0.0163,0.0005,0.000021,0.050869,0.0000,1.597515,0.000000,0.000000,1.7209,0.000000,0.812648,76.1668,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0143,0.0000,0.000000,0.0735,11.36,8.00,30.73,5.33,0.000029,0.0011,-1.7213,nan,nan,nan,nan,nan,nan,0.0,0.0,19.466157034336405,-15.75608243033821,-0.047440,-0.049345,6525.1,6095.4,0.004966,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778906835.640851,4,1.672538,-0.028739,0.002003,0.0016,0.0530,-0.000255,1.648364,0.000035,0.000023,-0.0004,1.672897,-0.028501,0.002006,0.0138,0.0010,0.000040,0.058417,0.0000,1.672897,0.000000,-0.000000,1.6325,0.000000,0.820971,73.4838,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0156,0.0000,0.000000,0.0833,9.75,7.58,27.08,5.20,0.000035,0.0013,-1.6329,nan,nan,nan,nan,nan,nan,0.0,0.0,19.041148641195463,-44.41096541399985,-0.058574,-0.060433,6522.8,6097.7,0.006634,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778906835.652718,5,1.671141,-0.119822,-0.002879,0.0191,0.0326,0.001223,1.648349,0.000042,0.000027,-0.0003,1.671490,-0.119584,-0.002875,0.0151,0.0015,0.000060,0.065314,0.0000,1.671490,0.000000,-0.000000,1.6343,0.000000,0.819959,77.4566,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0169,0.0000,0.000000,0.0932,8.35,7.23,23.93,5.22,0.000042,0.0015,-1.6346,nan,nan,nan,nan,nan,nan,0.0,0.0,17.208757645211506,-42.14824800557116,-0.060602,-0.060543,6520.5,6100.1,0.008345,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778906835.664762,6,1.621578,0.035108,0.001952,0.0401,0.0072,0.000824,1.648334,0.000048,0.000031,-0.0002,1.621998,0.035310,0.001957,0.0202,0.0018,0.000070,0.071874,0.0000,1.621998,0.000000,0.000000,1.6936,0.000000,0.815072,74.8850,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0209,0.0000,0.000000,0.1030,7.17,6.92,21.26,5.18,0.000048,0.0018,-1.6938,nan,nan,nan,nan,nan,nan,0.0,0.0,22.707137108840826,-12.859596409860103,-0.052192,-0.051093,6518.2,6102.3,0.009965,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778906835.676724,7,1.705150,-0.110926,-0.002418,-0.0075,-0.0728,0.001353,1.648320,0.000055,0.000035,-0.0002,1.705455,-0.110873,-0.002415,0.0166,0.0006,0.000028,0.078832,0.0000,1.705455,0.000000,-0.000000,1.5894,0.000000,0.798060,76.0950,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0250,0.0000,0.000000,0.1125,6.17,6.67,19.00,5.24,0.000055,0.0020,-1.5896,nan,nan,nan,nan,nan,nan,0.0,0.0,-15.50934442824395,8.049588496563729,-0.014772,-0.012154,6516.0,6104.6,0.011612,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778906835.688787,8,1.668419,0.077788,0.001530,-0.1314,-0.0512,-0.001292,1.648307,0.000061,0.000039,-0.0001,1.668642,0.077756,0.001530,0.0136,-0.0005,-0.000017,0.085960,0.0000,1.668642,0.000000,-0.000000,1.6379,0.000000,0.782407,75.3038,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0294,0.0000,0.000000,0.1219,5.31,6.45,17.07,5.20,0.000061,0.0023,-1.6380,nan,nan,nan,nan,nan,nan,0.0,0.0,-8.504753733388924,16.52061685423695,0.008721,0.009181,6513.7,6106.9,0.013270,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778906835.703305,9,1.733497,0.104631,-0.000710,0.0052,0.0322,-0.000963,1.648295,0.000068,0.000044,-0.0000,1.733677,0.104648,-0.000710,0.0122,0.0004,0.000010,0.091441,0.0000,1.733677,0.000000,-0.000000,1.5489,0.000000,0.769059,77.3742,0,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0339,0.0000,0.000000,0.1311,4.57,6.26,15.40,5.17,0.000068,0.0025,-1.5490,0.008000,0.218988,-0.2942,-0.489547,0.002529,-0.000135,0.0,0.0,-18.152425655399597,9.038002842279212,-0.004852,-0.005711,6511.9,6108.7,0.014573,0.000000,0.000000,0.5000,1.0000,,,,,
