time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,20.556476,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000068,-0.000740,0.000066,0.000361,0.000000,0.101220,0.000000,0,0,20.557046,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000520,-0.000031,0.000410,0.000379,0.000000,0.175140,0.000000,0,0,20.557175,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000586,0.000243,0.001672,0.000426,0.000000,0.264988,0.000000,0,0,20.557252,0.000000,0.000000,0.000000
0.408000,0.055174,0.000078,0.902700,0.000430,0.000168,0.005405,0.000455,0.000000,0.347645,0.000000,0,0,20.557297,0.000000,0.000000,0.000000
0.510000,0.057996,-0.000315,0.535929,0.032759,0.073404,-0.005910,0.011685,0.000000,0.422454,0.000000,0,0,20.554468,0.000000,0.000000,0.000000
0.612000,0.060324,0.000217,0.543943,-0.038463,-0.073393,0.011460,-0.001234,0.000000,0.484600,0.000000,0,0,20.552152,0.000000,0.000000,0.000000
0.714000,0.053943,0.001674,0.648681,-0.020434,-0.043582,0.015628,-0.002934,0.000000,0.538777,0.000000,0,0,20.558565,0.000000,0.000000,0.000000
0.816000,0.052709,0.003428,0.658950,0.041705,0.049770,0.024035,-0.009821,0.000000,0.599724,0.000000,0,0,20.559838,0.000000,0.000000,0.000000
0.918000,0.067837,0.000863,0.624827,0.213756,0.218389,-0.024858,0.007006,0.000000,0.648007,0.000000,0,0,20.544656,0.000000,0.000000,0.000000
1.020000,0.094159,0.000327,0.621457,0.331216,0.327720,0.011099,0.006983,0.000000,0.690500,0.000000,0,0,20.518329,0.000000,0.000000,0.000000
1.122000,0.139270,0.003206,0.637110,0.584549,0.575775,0.037062,0.015867,0.000000,0.716941,0.000000,0,0,20.473294,0.000000,0.000000,0.000000
1.224000,0.212518,0.008117,0.658708,0.876662,0.866587,0.050749,0.012224,0.000000,0.729326,0.000000,0,0,20.400177,0.000000,0.000000,0.000000
1.326000,0.316352,0.014845,0.684876,1.172999,1.165344,0.061423,0.011775,0.000000,0.718356,0.000000,0,0,20.296528,0.000000,0.000000,0.000000
1.428000,0.449990,0.023154,0.711035,1.457954,1.454782,0.067951,0.014038,0.000000,0.675299,0.000000,0,0,20.163124,0.000000,0.000000,0.000000
1.530000,0.611576,0.031497,0.730242,1.704342,1.706615,0.061250,0.010143,0.000000,0.614039,0.000000,0,0,20.001789,0.000000,0.000000,0.000000
1.632000,0.797743,0.038410,0.737044,1.939044,1.944237,0.043376,0.019127,0.000000,0.522772,0.000000,0,0,19.815850,0.000000,0.000000,0.000000
1.734000,1.009014,0.044376,0.734964,2.187481,2.192475,0.035310,0.025428,0.000000,0.442493,0.002442,0,0,19.604796,0.000000,0.000000,0.000000
1.836000,1.245569,0.050334,0.731625,2.428807,2.430827,0.029685,0.017476,0.000000,0.378020,0.022412,0,0,19.368475,0.000000,0.000000,0.000000
1.938000,1.504494,0.057019,0.733945,2.624932,2.630352,0.031723,0.018801,0.000000,0.336136,0.049267,0,0,19.109816,0.000000,0.000000,0.000000
2.040000,1.780760,0.065206,0.736687,2.760611,2.770986,0.039575,0.012864,0.000000,0.300585,0.086166,0,0,18.833874,0.000000,0.000000,0.000000
2.142000,2.066306,0.073936,0.736214,2.808746,2.812883,0.031884,0.010052,0.000000,0.276006,0.122400,0,0,18.548682,0.000000,0.000000,0.000000
2.244000,2.351492,0.081074,0.732855,2.770120,2.769147,0.009002,0.007167,0.000000,0.253728,0.161203,0,0,18.263817,0.000000,0.000000,0.000000
2.346000,2.628837,0.086650,0.730786,2.664980,2.668745,-0.003727,0.009328,0.000000,0.237273,0.188738,0,0,17.986755,0.000000,0.000000,0.000000
2.448000,2.894371,0.090815,0.729347,2.540687,2.543824,-0.013582,0.003465,0.000000,0.221416,0.207873,0,0,17.721466,0.000000,0.000000,0.000000
2.550000,3.147807,0.095117,0.717781,2.453342,2.424329,0.002475,-0.015402,0.000000,0.209046,0.213506,0,0,17.468280,0.000000,0.000000,0.000000
2.652000,3.388016,0.100629,0.683803,2.320637,2.276346,-0.020192,0.026316,0.022727,0.196574,0.208041,0,0,17.228360,0.000000,0.000000,0.000000
2.754000,3.608819,0.103210,0.674601,2.022033,2.059551,-0.015542,0.006689,0.159091,0.186484,0.193686,0,0,17.007750,0.000000,0.000000,0.000000
2.856000,3.808455,0.108861,0.695714,1.842071,1.868050,0.042391,0.059625,0.363636,0.176023,0.167554,0,0,16.808402,0.000000,0.000000,0.000000
2.958000,3.990926,0.121336,0.716089,1.726545,1.729193,0.111081,0.088877,0.545455,0.167381,0.137134,0,0,16.626445,0.000000,0.000000,0.000000
3.060000,4.161450,0.142642,0.721407,1.646726,1.640449,0.181121,0.126653,0.722980,0.159355,0.095052,0,0,16.456755,0.000000,0.000000,0.000000
3.162000,4.323988,0.172998,0.717524,1.584100,1.578036,0.259432,0.151284,0.887571,0.168573,0.064129,0,0,16.295418,0.000000,0.000000,0.000000
3.264000,4.478312,0.212676,0.711837,1.499757,1.502215,0.316592,0.200212,0.830490,0.224167,0.041190,0,0,16.142726,0.000000,0.000000,0.000000
3.366000,4.626414,0.257892,0.711026,1.470513,1.471564,0.325714,0.176714,0.734321,0.295700,0.027790,0,0,15.996598,0.000000,0.000000,0.000000
3.468000,4.772878,0.304875,0.712803,1.495345,1.489816,0.291842,0.170975,0.638574,0.391570,0.017849,0,0,15.852333,0.000000,0.000000,0.000000
3.570000,4.923995,0.351727,0.713528,1.579456,1.574247,0.252108,0.161674,0.596848,0.483178,0.012042,0,0,15.703571,0.000000,0.000000,0.000000
3.672000,5.087725,0.399687,0.716232,1.741765,1.736844,0.234085,0.155812,0.511684,0.584245,0.007735,0,0,15.542435,0.000000,0.000000,0.000000
3.774000,5.269518,0.452979,0.720468,1.956044,1.950218,0.256099,0.149933,0.378065,0.664250,0.005218,0,0,15.363731,0.000000,0.000000,0.000000
3.876000,5.474282,0.513017,0.723612,2.202422,2.198143,0.239208,0.147304,0.405092,0.729888,0.003521,0,0,15.162721,0.000000,0.000000,0.000000
3.978000,5.703094,0.580858,0.727671,2.456614,2.457128,0.248597,0.150868,0.297446,0.783633,0.002261,0,0,14.938505,0.000000,0.000000,0.000000
4.080000,5.956354,0.656967,0.732073,2.694917,2.698007,0.231780,0.153282,0.244116,0.809770,0.001452,0,0,14.690865,0.000000,0.000000,0.000000
