step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.857,0.054,0.73,3.029,0.00,1,18,27.00,7.55,+0.000,0.980,0.000,+0.000,0.980,0.000,0,11.445,7.72,0.000
40,9.630,0.021,-0.58,4.228,-0.12,5,18,27.00,7.45,-0.004,0.352,0.000,-0.004,0.352,0.000,0,4.656,13.17,0.000
50,13.830,0.021,0.56,4.248,4.94,5,18,22.62,7.33,+0.176,0.392,0.000,+0.201,0.397,0.000,1,0.721,68.88,0.000
51,14.249,0.041,1.07,4.240,4.59,5,18,23.05,7.46,+0.163,0.408,0.000,+0.240,0.401,0.000,1,-0.212,49.07,0.002
52,14.668,0.067,1.71,4.230,4.68,5,18,23.05,7.46,+0.167,0.431,0.000,+0.294,0.364,0.000,1,-0.225,47.49,0.003
53,15.087,0.103,2.48,4.234,4.92,5,18,20.67,7.11,+0.175,0.449,0.000,+0.337,0.419,0.000,1,-0.373,47.71,0.013
54,15.505,0.146,3.46,4.242,5.26,5,18,20.67,7.09,+0.187,0.468,0.000,+0.139,0.371,0.000,1,-0.293,48.59,0.035
55,15.922,0.195,4.41,4.237,5.08,5,18,17.12,7.12,+0.181,0.488,0.000,+0.784,0.440,0.000,1,0.107,48.86,0.104
56,16.339,0.243,4.79,4.212,5.09,5,18,16.00,7.20,+0.181,0.509,0.000,+0.587,0.483,0.000,1,-0.409,48.44,0.022
57,16.749,0.306,5.96,4.169,3.81,5,18,16.00,7.21,+0.136,0.529,0.000,+0.664,0.392,0.000,1,0.049,47.66,0.105
58,17.153,0.386,7.52,4.123,3.39,5,18,16.25,7.26,+0.121,0.553,0.000,+0.535,0.504,0.000,1,0.041,48.09,0.048
59,17.551,0.483,9.23,4.121,-0.24,5,18,16.25,7.26,-0.009,0.581,0.000,+0.806,0.526,0.000,1,0.043,48.00,0.151
60,17.946,0.592,10.85,4.101,-2.68,5,18,17.04,7.28,-0.096,0.616,0.000,+0.383,0.397,0.000,1,-0.501,47.96,0.121
61,18.334,0.716,12.67,4.111,-5.61,5,18,18.32,7.25,-0.200,0.649,0.000,+0.489,0.583,0.000,1,-0.320,47.59,0.087
62,18.721,0.845,14.07,4.106,-8.76,5,18,18.32,6.94,-0.312,0.682,0.000,+0.732,0.756,0.000,1,-0.108,48.94,0.307
63,19.104,0.984,15.60,4.085,-13.86,5,18,19.65,6.35,-0.494,0.714,0.000,+0.817,0.567,0.000,1,-0.142,47.80,0.431
64,19.480,1.138,17.53,4.063,-19.61,5,18,19.65,5.71,-0.698,0.750,0.000,+0.365,0.476,0.000,1,-0.245,47.43,1.067
65,19.848,1.304,19.41,4.079,-24.71,5,18,21.02,5.21,-0.880,0.783,0.000,+0.311,0.779,0.000,1,-0.478,47.84,0.539
66,20.219,1.471,20.57,4.105,-26.14,5,18,22.15,5.08,-0.931,0.815,0.000,+0.734,0.766,0.000,1,-0.432,48.34,1.219
67,20.588,1.644,21.63,4.107,-27.91,5,18,22.15,4.93,-0.994,0.845,0.000,+0.118,0.558,0.000,1,-0.403,47.88,0.579
68,20.952,1.827,23.14,4.116,-27.44,5,18,22.98,4.97,-0.977,0.876,0.000,-0.237,0.796,0.000,1,-0.477,48.14,0.396
69,21.319,2.006,23.92,4.121,-27.44,5,18,22.98,4.97,-0.977,0.902,0.000,-0.456,0.944,0.000,1,-0.492,47.59,0.236
70,21.689,2.177,23.91,4.102,-26.80,5,18,23.63,5.02,-0.955,0.925,0.000,-0.314,0.626,0.000,1,-0.479,48.39,0.678
