step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.251,0.014,0.26,0.832,0.00,2,18,10.00,5.63,+0.000,0.692,0.000,+0.000,0.692,0.000,0,12.213,10.40,0.000
40,3.676,0.111,1.77,1.207,10.21,2,18,10.00,5.16,+0.364,0.165,0.187,+0.364,0.165,0.187,0,11.846,10.49,0.000
60,7.253,1.021,14.86,3.308,-0.78,2,18,26.00,7.46,-0.028,0.344,0.074,-0.028,0.344,0.074,0,5.153,10.44,0.000
79,13.069,1.730,1.58,2.982,-13.91,2,18,26.00,7.00,-0.495,0.486,0.006,-0.456,0.473,0.000,1,-0.462,65.82,0.072
80,13.370,1.710,0.46,3.098,-16.84,2,18,26.00,6.62,-0.600,0.543,0.004,-0.369,0.467,0.000,1,1.017,46.91,0.135
81,13.684,1.686,-0.66,3.228,-16.49,3,18,26.00,6.66,-0.587,0.594,0.002,-0.650,0.664,0.000,1,-0.481,47.52,0.150
82,14.009,1.658,-1.71,3.347,-15.48,3,18,26.00,6.83,-0.551,0.628,0.002,-0.341,0.632,0.000,1,0.581,47.53,0.102
83,14.345,1.622,-3.00,3.475,-17.54,3,18,26.00,6.57,-0.625,0.647,0.001,-0.405,0.260,0.000,1,0.354,47.28,0.366
84,14.693,1.580,-4.06,3.593,-18.80,4,18,26.00,6.41,-0.669,0.650,0.001,-0.170,0.336,0.000,1,-0.204,48.51,0.683
85,15.052,1.532,-5.08,3.703,-19.04,4,18,26.00,6.40,-0.678,0.636,0.000,+0.215,0.405,0.000,1,0.325,46.79,0.341
86,15.420,1.482,-5.86,3.784,-21.13,4,18,26.00,6.14,-0.753,0.610,0.000,+0.390,0.471,0.000,1,0.363,47.70,0.452
87,15.796,1.438,-6.13,3.868,-22.11,4,18,26.00,6.04,-0.788,0.574,0.000,+0.649,0.474,0.000,1,0.442,46.96,0.548
88,16.180,1.401,-6.02,3.927,-23.12,4,18,26.00,5.94,-0.824,0.528,0.000,+0.710,0.407,0.000,1,0.507,46.63,0.660
89,16.571,1.374,-5.46,3.980,-24.86,4,18,26.00,5.75,-0.885,0.484,0.000,+0.791,0.500,0.000,1,0.499,46.81,0.836
90,16.967,1.358,-4.57,4.027,-26.14,4,18,26.00,5.63,-0.931,0.440,0.000,+0.704,0.471,0.000,1,0.440,48.06,1.043
91,17.369,1.354,-3.41,4.083,-28.07,4,18,26.00,5.44,-1.000,0.410,0.000,+0.868,0.500,0.000,1,0.402,47.03,1.617
92,17.777,1.363,-2.12,4.127,-28.07,4,18,26.00,5.44,-1.000,0.388,0.004,-1.000,0.477,0.000,1,-0.446,46.72,1.063
93,18.189,1.384,-0.57,4.193,-26.50,4,18,26.00,5.60,-0.944,0.370,0.016,-0.337,0.237,0.000,1,-0.498,46.90,0.144
94,18.604,1.403,-0.21,4.213,-25.23,4,18,26.00,5.73,-0.899,0.352,0.030,-0.288,0.302,0.000,1,-0.467,47.66,0.116
95,19.022,1.411,-0.09,4.222,-25.23,4,18,26.00,5.74,-0.899,0.336,0.045,-0.521,0.315,0.000,1,-0.423,47.13,0.068
96,19.440,1.410,-0.19,4.229,-23.41,5,18,26.00,5.94,-0.834,0.318,0.059,-0.280,0.355,0.000,1,-0.251,49.51,0.137
97,19.860,1.398,-0.59,4.253,-25.31,5,18,26.00,5.74,-0.902,0.303,0.070,-0.222,0.432,0.000,1,-0.274,46.82,0.242
98,20.283,1.380,-1.09,4.302,-27.85,5,18,26.00,5.48,-0.992,0.289,0.077,-0.179,0.088,0.000,1,-0.487,47.99,0.348
99,20.710,1.356,-1.65,4.326,-28.07,5,18,26.00,5.46,-1.000,0.275,0.083,-0.614,0.486,0.000,1,-0.496,47.64,0.318
100,21.137,1.329,-2.21,4.325,-28.07,5,18,26.00,5.46,-1.000,0.261,0.088,-0.206,0.429,0.000,1,-0.496,47.57,0.359
101,21.565,1.292,-3.15,4.350,-25.52,5,18,26.00,5.71,-0.909,0.249,0.090,-0.254,0.327,0.000,1,-0.496,47.54,0.205
102,21.995,1.249,-3.84,4.379,-25.90,5,18,26.00,5.67,-0.923,0.237,0.091,-0.220,0.283,0.000,1,-0.502,48.02,0.207
103,22.427,1.199,-4.50,4.397,-23.77,5,18,26.00,5.89,-0.847,0.226,0.092,-0.775,0.233,0.000,1,-0.495,47.51,0.139
104,22.861,1.145,-5.15,4.403,-22.04,5,18,26.00,6.07,-0.785,0.214,0.093,-0.774,0.175,0.000,1,-0.462,47.12,0.048
105,23.292,1.080,-6.21,4.382,-18.02,5,18,26.00,6.55,-0.642,0.204,0.093,-0.614,0.102,0.000,1,-0.406,46.76,0.018
106,23.718,1.003,-7.44,4.347,-15.47,5,18,26.00,6.90,-0.551,0.194,0.092,-0.597,0.140,0.000,1,-0.275,48.49,0.003
107,24.137,0.915,-8.69,4.293,-13.00,5,18,26.00,7.25,-0.463,0.185,0.089,-0.455,0.096,0.000,1,-0.084,47.55,0.001
120,28.969,-0.626,-18.10,4.036,20.38,5,18,26.00,6.24,+0.726,0.550,0.001,+0.726,0.550,0.001,0,4.035,10.44,0.000
121,29.357,-0.731,-17.22,4.086,24.21,5,18,26.00,5.80,+0.862,0.565,0.001,+0.871,0.567,0.000,1,3.898,68.14,0.000
122,29.753,-0.826,-16.06,4.122,28.07,5,18,26.00,5.41,+1.000,0.574,0.000,+0.935,0.595,0.000,1,3.960,53.62,0.009
