step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,2.045,0.070,0.82,3.184,0.00,2,18,27.00,7.54,+0.000,0.959,0.000,+0.000,0.959,0.000,0,7.775,7.61,0.000
40,9.898,0.015,-0.51,4.221,-1.20,2,18,27.00,7.45,-0.043,0.351,0.000,-0.043,0.351,0.000,0,1.034,9.46,0.000
43,11.152,0.000,-0.73,4.224,0.09,2,18,27.00,7.45,+0.003,0.350,0.000,+0.220,0.376,0.000,1,0.771,59.82,0.036
44,11.570,-0.002,-0.65,4.232,-0.10,2,18,26.00,7.14,-0.004,0.350,0.000,+0.097,0.302,0.000,1,0.231,61.43,0.011
45,11.990,0.001,-0.32,4.240,-1.33,2,18,26.00,7.14,-0.047,0.350,0.000,+0.572,0.451,0.000,1,0.454,67.50,0.106
46,12.410,0.008,-0.03,4.232,1.08,2,18,26.00,7.15,+0.039,0.368,0.000,+0.150,0.347,0.000,1,0.339,47.90,0.007
47,12.828,0.025,0.65,4.238,1.04,2,18,26.00,7.15,+0.037,0.388,0.000,+0.164,0.382,0.000,1,0.195,47.93,0.002
48,13.246,0.043,1.05,4.227,-0.60,2,18,26.00,7.12,-0.021,0.411,0.000,+0.277,0.365,0.000,1,-0.228,46.99,0.018
49,13.664,0.066,1.60,4.224,-0.94,2,18,26.00,7.12,-0.033,0.431,0.000,+0.412,0.387,0.000,1,-0.360,46.86,0.047
50,14.081,0.099,2.41,4.220,-0.62,3,18,26.00,7.15,-0.022,0.451,0.000,+0.396,0.381,0.000,1,-0.219,47.60,0.038
51,14.495,0.143,3.55,4.184,-1.20,3,18,26.00,7.20,-0.043,0.472,0.000,+0.264,0.466,0.000,1,-0.256,47.32,0.036
52,14.906,0.196,4.61,4.188,-2.46,4,18,26.00,7.20,-0.088,0.499,0.000,+0.433,0.448,0.000,1,-0.215,47.20,0.086
53,15.317,0.254,5.42,4.172,-4.34,4,18,26.00,7.25,-0.155,0.523,0.000,+0.325,0.491,0.000,1,-0.163,47.32,0.032
54,15.725,0.324,6.51,4.175,-4.67,4,18,26.00,7.25,-0.166,0.550,0.000,+0.289,0.536,0.000,1,-0.473,47.67,0.079
55,16.131,0.400,7.54,4.163,-5.63,4,18,26.00,7.23,-0.201,0.577,0.000,+0.384,0.450,0.000,1,-0.175,47.50,0.112
56,16.535,0.483,8.54,4.146,-8.15,4,18,26.00,7.01,-0.290,0.607,0.000,+0.511,0.538,0.000,1,-0.119,47.34,0.168
57,16.936,0.575,9.72,4.141,-7.67,4,18,26.00,7.06,-0.273,0.634,0.000,+0.291,0.586,0.000,1,-0.255,47.36,0.027
58,17.334,0.677,11.07,4.155,-12.57,4,18,26.00,6.50,-0.448,0.660,0.000,+0.645,0.571,0.000,1,0.006,47.78,0.359
59,17.731,0.786,12.17,4.131,-12.72,4,18,26.00,6.49,-0.453,0.685,0.000,+0.308,0.696,0.000,1,-0.171,47.22,0.184
60,18.123,0.906,13.50,4.140,-16.96,4,18,26.00,5.99,-0.604,0.713,0.000,+0.276,0.717,0.000,1,-0.100,47.19,0.156
61,18.515,1.030,14.45,4.147,-17.11,4,18,26.00,5.98,-0.610,0.737,0.000,+0.245,0.679,0.000,1,-0.289,47.24,0.160
62,18.905,1.160,15.37,4.153,-18.16,4,18,26.00,5.86,-0.647,0.759,0.000,+0.182,0.787,0.000,1,-0.213,46.97,0.159
63,19.297,1.291,16.19,4.171,-20.02,5,18,26.00,5.66,-0.713,0.778,0.000,-0.431,0.768,0.000,1,-0.311,47.67,0.016
64,19.689,1.425,16.87,4.177,-19.53,5,18,26.00,5.71,-0.696,0.796,0.000,-0.327,0.807,0.000,1,-0.146,47.39,0.044
65,20.084,1.547,16.57,4.167,-21.40,5,18,26.00,5.52,-0.762,0.811,0.000,-0.315,0.796,0.000,1,-0.413,47.41,0.079
66,20.482,1.655,15.94,4.154,-17.60,5,18,26.00,5.92,-0.627,0.826,0.000,-0.424,0.713,0.000,1,-0.396,47.35,0.034
67,20.882,1.750,15.18,4.155,-15.75,5,18,26.00,6.13,-0.561,0.842,0.000,-0.139,0.807,0.000,1,-0.436,47.13,0.091
68,21.286,1.833,14.26,4.183,-13.91,5,18,26.00,6.34,-0.496,0.860,0.000,+0.109,0.865,0.000,1,-0.449,47.45,0.126
69,21.694,1.917,13.75,4.223,-12.48,5,18,26.00,6.51,-0.444,0.872,0.000,+0.220,0.780,0.000,1,-0.485,47.20,0.155
70,22.104,2.011,13.78,4.258,-14.35,5,18,26.00,6.28,-0.511,0.880,0.000,+0.475,0.820,0.000,1,-0.492,47.76,0.284
71,22.513,2.117,14.12,4.254,-13.93,5,18,26.00,6.33,-0.496,0.882,0.000,+0.254,0.919,0.000,1,-0.459,47.53,0.175
72,22.916,2.240,14.86,4.256,-17.56,5,18,26.00,5.91,-0.625,0.880,0.000,+0.176,0.730,0.000,1,-0.503,47.11,0.712
73,23.318,2.372,15.54,4.273,-19.84,5,18,26.00,5.67,-0.707,0.876,0.000,-0.577,0.865,0.000,1,-0.463,46.98,0.089
74,23.719,2.507,16.12,4.281,-23.98,5,18,26.00,5.26,-0.854,0.871,0.000,-0.713,0.817,0.000,1,-0.420,47.59,0.067
75,24.124,2.629,15.87,4.249,-24.95,5,18,26.00,5.17,-0.889,0.870,0.000,-0.808,0.811,0.000,1,-0.415,46.97,0.058
76,24.529,2.730,15.19,4.193,-26.22,5,18,26.00,5.05,-0.934,0.877,0.000,-0.781,0.756,0.000,1,-0.398,47.17,0.123
77,24.936,2.808,14.11,4.156,-23.33,5,18,26.00,5.32,-0.831,0.890,0.000,-0.765,0.793,0.000,1,-0.321,47.16,0.139
78,25.344,2.867,12.73,4.154,-19.98,5,18,26.00,5.63,-0.712,0.911,0.000,-0.608,0.865,0.000,1,-0.181,47.40,0.021
79,25.756,2.909,11.08,4.182,-17.69,5,18,26.00,5.87,-0.630,0.934,0.000,-0.609,0.864,0.000,1,0.011,47.25,0.002
80,26.171,2.937,9.47,4.188,-14.65,5,18,26.00,6.20,-0.522,0.958,0.000,-0.449,0.946,0.000,1,0.247,47.00,0.011
81,26.589,2.956,7.82,4.196,-11.45,5,18,26.00,6.56,-0.408,0.972,0.000,-0.418,0.962,0.000,1,0.520,47.01,0.002
82,27.008,2.970,6.31,4.222,-10.27,5,18,26.00,6.70,-0.366,0.981,0.000,-0.378,0.954,0.000,1,0.825,47.14,0.001
83,27.429,2.979,4.90,4.227,-7.04,5,18,26.00,7.04,-0.251,0.987,0.000,-0.375,0.967,0.000,1,1.149,47.32,0.002
84,27.849,2.981,3.64,4.228,-4.53,5,18,26.00,7.21,-0.161,0.992,0.000,-0.068,0.949,0.000,1,1.487,47.15,0.005
85,28.270,2.979,2.48,4.247,-0.91,5,18,26.00,7.21,-0.032,0.995,0.000,-0.020,0.985,0.000,1,1.844,47.18,0.000
86,28.693,2.980,1.95,4.276,-1.53,5,18,26.00,7.20,-0.055,0.996,0.000,-0.012,0.984,0.000,1,2.216,47.85,0.000
87,29.116,2.987,1.79,4.273,-3.06,5,18,26.00,7.20,-0.109,0.998,0.000,-0.080,0.977,0.000,1,2.596,47.15,0.002
88,29.539,2.995,1.64,4.273,-2.14,5,18,26.00,7.19,-0.076,0.998,0.000,+0.021,0.977,0.000,1,2.983,47.17,0.000
89,29.961,3.005,1.39,4.274,-2.56,5,18,26.00,7.19,-0.091,0.999,0.000,-0.064,0.977,0.000,1,2.317,47.35,0.001
90,30.383,3.018,1.31,4.274,-4.08,5,18,26.00,7.18,-0.145,0.999,0.000,-0.060,0.945,0.000,1,2.656,47.68,0.000
91,30.806,3.028,1.13,4.277,-2.74,5,18,26.00,7.17,-0.097,1.000,0.000,+0.024,0.968,0.000,1,2.335,58.57,0.000
92,31.229,3.037,1.01,4.287,-1.67,5,18,26.00,7.17,-0.059,1.000,0.000,-0.035,0.988,0.000,1,1.795,48.51,0.000
93,31.653,3.044,1.10,4.305,-2.65,5,18,26.00,7.16,-0.094,1.000,0.000,+0.022,0.972,0.000,1,1.621,57.13,0.007
94,32.079,3.048,1.14,4.316,-2.30,5,18,26.00,7.16,-0.082,1.000,0.000,-0.094,0.976,0.000,1,1.319,58.54,0.001
95,32.508,3.051,1.17,4.348,-2.09,5,18,26.00,7.15,-0.074,1.000,0.000,-0.093,0.966,0.000,1,0.634,59.08,0.001
96,32.939,3.051,0.90,4.364,-1.11,5,18,26.00,7.15,-0.040,1.000,0.000,-0.053,0.968,0.000,1,-0.057,63.41,0.000
97,33.371,3.052,0.59,4.365,-1.70,5,18,26.00,7.15,-0.061,1.000,0.000,+0.091,0.943,0.000,1,0.231,69.34,0.000
98,33.802,3.056,0.42,4.360,-3.37,5,18,26.00,7.14,-0.120,1.000,0.000,-0.062,0.944,0.000,1,0.122,48.61,0.005
99,34.233,3.064,0.46,4.358,-5.13,5,18,26.00,7.12,-0.183,1.000,0.000,-0.057,0.855,0.000,1,-0.464,47.61,0.053
100,34.665,3.069,0.30,4.349,-2.46,5,18,26.00,7.13,-0.087,1.000,0.000,+0.004,0.957,0.000,1,0.095,47.49,0.019
101,35.095,3.071,0.19,4.343,-1.12,5,18,26.00,7.12,-0.040,1.000,0.000,+0.058,0.969,0.000,1,0.821,47.66,0.003
102,35.525,3.074,0.21,4.353,-2.56,5,18,26.00,7.12,-0.091,1.000,0.000,-0.024,0.951,0.000,1,0.159,48.12,0.001
103,35.957,3.078,0.25,4.369,-1.91,5,18,26.00,7.11,-0.068,1.000,0.000,-0.031,0.977,0.000,1,-0.101,47.52,0.001
104,36.390,3.078,0.20,4.380,-2.97,5,18,26.00,7.10,-0.106,1.000,0.000,-0.068,0.923,0.000,1,0.076,47.47,0.024
105,36.823,3.078,0.08,4.365,-1.74,5,18,26.00,7.10,-0.062,1.000,0.000,-0.094,0.968,0.000,1,-0.018,47.61,0.001
106,37.255,3.076,-0.13,4.358,-2.37,5,18,26.00,7.10,-0.084,1.000,0.000,-0.038,0.883,0.000,1,-0.265,47.58,0.010
107,37.687,3.072,-0.38,4.367,-1.06,5,18,26.00,7.10,-0.038,1.000,0.000,-0.049,0.946,0.000,1,-0.112,47.62,0.009
108,38.119,3.066,-0.53,4.365,0.36,5,18,26.00,7.11,+0.013,1.000,0.000,+0.013,0.973,0.000,1,-0.152,47.25,0.001
109,38.550,3.058,-0.65,4.352,0.62,5,18,26.00,7.13,+0.022,1.000,0.000,+0.033,0.969,0.000,1,-0.171,47.62,0.001
110,38.981,3.053,-0.63,4.350,0.26,5,18,26.00,7.13,+0.009,1.000,0.000,+0.054,0.946,0.000,1,0.080,47.91,0.005
111,39.412,3.053,-0.54,4.353,1.40,5,18,26.00,7.14,+0.050,1.000,0.000,+0.078,0.962,0.000,1,-0.112,47.54,0.009
112,39.843,3.056,-0.36,4.362,-1.30,5,18,26.00,7.14,-0.046,1.000,0.000,+0.005,0.981,0.000,1,-0.229,47.27,0.002
113,40.275,3.061,-0.17,4.373,-1.47,5,18,26.00,7.15,-0.052,1.000,0.000,-0.034,0.979,0.000,1,-0.088,46.75,0.001
114,40.708,3.064,-0.15,4.367,-0.34,5,18,26.00,7.16,-0.012,1.000,0.000,+0.009,0.980,0.000,1,0.011,47.88,0.000
115,41.141,3.066,-0.20,4.371,-2.98,5,18,26.00,7.16,-0.106,1.000,0.000,-0.105,0.981,0.000,1,-0.113,47.61,0.000
116,41.574,3.066,-0.23,4.367,-2.42,5,18,26.00,7.17,-0.086,1.000,0.000,-0.070,0.973,0.000,1,-0.091,47.38,0.003
117,42.006,3.060,-0.42,4.361,-2.09,5,18,26.00,7.18,-0.074,1.000,0.000,-0.041,0.991,0.000,1,-0.175,47.53,0.001
118,42.437,3.051,-0.59,4.357,0.72,5,18,26.00,7.18,+0.026,1.000,0.000,+0.030,0.991,0.000,1,-0.087,47.79,0.000
119,42.868,3.041,-0.64,4.359,-0.92,5,18,26.00,7.20,-0.033,1.000,0.000,-0.051,0.988,0.000,1,-0.149,47.62,0.000
120,43.301,3.032,-0.61,4.381,0.76,5,18,26.00,7.20,+0.027,1.000,0.000,+0.009,0.958,0.000,1,-0.159,47.60,0.001
121,43.735,3.025,-0.70,4.394,0.28,5,18,26.00,7.22,+0.010,1.000,0.000,-0.008,0.995,0.000,1,-0.157,47.24,0.001
122,44.171,3.020,-0.74,4.399,0.71,5,18,26.00,7.22,+0.025,1.000,0.000,+0.034,0.977,0.000,1,-0.155,49.22,0.001
