sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778907540.066673,0,1.631678,0.078985,-0.001826,0.0232,0.0820,-0.002210,1.648994,-0.000000,-0.000000,-0.0020,1.632596,0.079650,-0.001822,0.0183,0.0003,0.000015,-0.111404,0.0000,1.632596,0.000000,0.000000,7.0000,0.000000,2.000000,7119.9290,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0840,0.0000,0.000000,0.2000,17.07,9.28,43.43,5.23,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-815.4994298080943,-1051.4146763235412,-0.155787,-0.169994,6560.2,6060.4,-0.020487,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778907540.072562,1,1.666690,-0.010688,0.002199,-0.0476,-0.0745,-0.000337,1.648913,-0.000001,-0.000000,-0.0094,1.667376,-0.010271,0.002200,0.0164,0.0004,0.000016,-0.019267,0.0000,1.667376,0.000000,-0.000000,7.0000,0.000000,2.000000,7039.3584,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0912,0.0000,0.000000,0.2240,15.23,8.78,39.24,5.90,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-123.36892836637693,-433.2453242855738,-0.097294,-0.109363,6557.0,6063.6,-0.018162,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778907540.078996,2,1.610979,0.000466,-0.001120,0.0115,0.0025,-0.001913,1.648775,-0.000002,-0.000002,-0.0125,1.611563,0.000800,-0.001120,0.0158,0.0005,0.000021,-0.008451,0.0000,1.611563,0.000000,0.000000,7.0000,0.000000,2.000000,7037.8246,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0993,0.0000,0.000000,0.2480,13.46,7.93,34.84,3.13,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-24.977487323568724,-256.94173500904424,-0.078327,-0.090522,6552.2,6068.4,-0.014680,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778907540.087972,3,1.704899,-0.043492,0.011029,0.0742,-0.0742,-0.000066,1.648627,-0.000005,-0.000003,-0.0121,1.705758,-0.043333,0.011026,0.0276,0.0004,0.000016,0.006208,0.0000,1.705758,0.000000,-0.000000,7.0000,0.000000,2.000000,7031.4361,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1083,0.0000,0.000000,0.2720,11.51,7.17,30.20,2.90,-0.000005,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-2.3119175727566557,-22.88819840269082,-0.034522,-0.044497,6546.1,6074.5,-0.010243,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778907540.099968,4,1.614691,-0.010189,0.001716,-0.0330,0.0462,-0.000058,1.648492,-0.000007,-0.000005,-0.0106,1.615302,-0.009997,0.001715,0.0228,0.0009,0.000033,0.025032,0.0000,1.615302,0.000000,0.000000,7.0000,0.000000,2.000000,7021.9165,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1180,0.0000,0.000000,0.2960,9.86,6.53,26.25,2.87,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,13.514218601264687,-39.44238682622402,-0.045667,-0.053778,6539.2,6081.3,-0.005290,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778907540.111935,5,1.642059,0.043956,0.001771,0.0818,0.0624,0.001080,1.648463,-0.000004,-0.000003,0.0001,1.642871,0.044205,0.001773,0.0352,0.0018,0.000067,0.065066,0.0000,1.642871,0.000000,0.000000,7.0000,0.000000,2.000000,7013.0184,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1285,0.0000,0.000000,0.3200,8.45,5.97,22.88,2.83,-0.000004,-0.0002,-6.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,15.30155510287517,-74.9789439814256,-0.061606,-0.066762,6527.4,6093.2,0.003345,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778907540.123970,6,1.673040,-0.008948,-0.006412,-0.0098,-0.0073,-0.002535,1.648468,0.000002,0.000000,0.0002,1.673619,-0.008772,-0.006413,0.0289,0.0019,0.000064,0.081344,0.0000,1.673619,0.000000,-0.000000,7.0000,0.000000,2.000000,7011.8275,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1396,0.0000,0.000000,0.3440,7.26,5.52,20.04,2.91,0.000002,0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,19.075105928073555,-20.197425398892477,-0.045324,-0.052721,6521.7,6098.8,0.007420,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778907540.136044,7,1.598501,0.036246,0.008193,-0.0132,-0.0284,-0.000405,1.648453,0.000007,0.000003,-0.0008,1.598914,0.036348,0.008191,0.0237,0.0015,0.000043,0.096736,0.0000,1.598914,0.000000,0.000000,7.0000,0.000000,2.000000,7014.2867,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1515,0.0000,0.000000,0.3680,6.26,5.13,17.64,2.93,0.000007,0.0002,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-4.215566676361263,10.493281367304235,-0.025337,-0.031829,6516.6,6104.0,0.011159,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778907540.147977,8,1.549181,-0.036992,0.003659,-0.0044,-0.0355,0.001220,1.648434,0.000014,0.000007,-0.0008,1.549478,-0.036962,0.003657,0.0195,0.0006,0.000008,0.114130,0.0000,1.549478,0.000000,0.000000,7.0000,0.000000,2.000000,7005.6923,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1640,0.0000,0.000000,0.3920,5.39,4.84,15.62,3.21,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-17.89493242372943,10.25890089293884,-0.007447,-0.011127,6511.1,6109.4,0.015138,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778907540.162261,9,1.609393,0.105296,0.004882,-0.0908,0.0075,0.000695,1.648415,0.000021,0.000011,-0.0007,1.609609,0.105331,0.004881,0.0162,0.0009,0.000019,0.132216,0.0000,1.609609,0.000000,0.000000,7.0000,0.000000,2.000000,7001.7508,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1771,0.0000,0.000000,0.4160,4.66,4.68,14.00,3.79,0.000021,0.0006,-7.0007,0.008000,0.077596,0.3955,-0.485508,0.005179,0.001684,0.0,0.0,-16.10136763143842,13.428449209060247,-0.009354,-0.011433,6505.7,6114.9,0.019108,0.000000,0.000000,0.5000,1.0000,,,,,
