time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.161709,0.000000,0.000000,0.000000
0.102000,0.055424,0.000000,1.677833,-0.000079,-0.000750,-0.000014,0.000345,0.000000,0.012553,0.000000,0,0,17.162273,0.000000,0.000000,0.000000
0.204000,0.055295,-0.000001,1.522611,0.000519,-0.000031,-0.000063,0.000376,0.000000,0.023154,0.000000,0,0,17.162401,0.000000,0.000000,0.000000
0.306000,0.055219,-0.000002,1.263977,0.000580,0.000250,-0.000084,0.000427,0.000000,0.058602,0.000000,0,0,17.162476,0.000000,0.000000,0.000000
0.408000,0.055176,0.000001,0.902700,0.000458,0.000257,0.000106,0.000462,0.000000,0.096261,0.000000,0,0,17.162519,0.000000,0.000000,0.000000
0.510000,0.058073,0.000056,0.564551,0.016672,0.065702,0.001891,0.004612,0.000000,0.139336,0.000000,0,0,17.159661,0.000000,0.000000,0.000000
0.612000,0.058225,0.000422,0.637033,-0.037685,-0.084727,0.001253,-0.003545,0.000000,0.176012,0.000000,0,0,17.159564,0.000000,0.000000,0.000000
0.714000,0.050460,0.000829,0.740135,-0.031449,-0.062457,0.004129,-0.005253,0.000000,0.246929,0.000000,0,0,17.167305,0.000000,0.000000,0.000000
0.816000,0.043755,0.001106,0.745639,-0.082608,-0.066880,0.001399,-0.008427,0.000000,0.327341,0.000000,0,0,17.173979,0.000000,0.000000,0.000000
0.918000,0.040255,0.002147,0.693025,-0.050556,-0.002401,0.019693,-0.001130,0.000000,0.418627,0.000000,0,0,17.177593,0.000000,0.000000,0.000000
1.020000,0.051823,0.003965,0.659811,0.222916,0.210947,0.004042,0.009988,0.000000,0.497328,0.000000,0,0,17.166414,0.000000,0.000000,0.000000
1.122000,0.069001,0.004555,0.676311,0.096065,0.083873,0.007501,0.004278,0.000000,0.540565,0.000000,0,0,17.149506,0.000000,0.000000,0.000000
1.224000,0.070609,0.005309,0.692388,-0.018610,-0.019453,0.008626,0.009362,0.000000,0.580089,0.000000,0,0,17.148025,0.000000,0.000000,0.000000
1.326000,0.068776,0.005614,0.691212,0.021285,0.015278,0.004688,0.002543,0.000000,0.618412,0.000000,0,0,17.149883,0.000000,0.000000,0.000000
1.428000,0.078399,0.006173,0.692474,0.176063,0.171416,0.013182,0.004176,0.000000,0.661441,0.000000,0,0,17.140445,0.000000,0.000000,0.000000
1.530000,0.103908,0.008167,0.700364,0.331621,0.328739,0.014505,0.006725,0.000000,0.691361,0.000000,0,0,17.115502,0.000000,0.000000,0.000000
1.632000,0.147096,0.011060,0.713411,0.518834,0.512894,0.030142,0.009152,0.000000,0.710813,0.000000,0,0,17.073206,0.000000,0.000000,0.000000
1.734000,0.207969,0.014885,0.730127,0.688059,0.685800,0.041404,0.005475,0.000000,0.713068,0.000000,0,0,17.013561,0.000000,0.000000,0.000000
1.836000,0.287466,0.019363,0.748510,0.870286,0.868320,0.038850,0.010437,0.000000,0.694702,0.000000,0,0,16.935602,0.000000,0.000000,0.000000
1.938000,0.385248,0.024566,0.765676,1.040248,1.044244,0.038719,0.009793,0.000000,0.656084,0.000000,0,0,16.839684,0.000000,0.000000,0.000000
2.040000,0.500514,0.028758,0.776101,1.205056,1.209513,0.022685,0.014388,0.000000,0.588425,0.000000,0,0,16.726352,0.000000,0.000000,0.000000
2.142000,0.632280,0.031326,0.778344,1.364030,1.367389,0.007380,0.008984,0.000000,0.508869,0.000000,0,0,16.596487,0.000000,0.000000,0.000000
2.244000,0.778847,0.033211,0.776849,1.497829,1.502246,0.007499,0.012152,0.000000,0.443026,0.013213,0,0,16.451918,0.000000,0.000000,0.000000
2.346000,0.939031,0.035394,0.775163,1.632725,1.633428,0.007448,0.014864,0.000000,0.399357,0.037294,0,0,16.293973,0.000000,0.000000,0.000000
2.448000,1.112204,0.038139,0.774896,1.759869,1.757026,0.008230,0.012258,0.000000,0.361413,0.072135,0,0,16.123324,0.000000,0.000000,0.000000
2.550000,1.297260,0.041100,0.778352,1.866022,1.866482,0.005880,0.012989,0.000000,0.334526,0.107338,0,0,15.941021,0.000000,0.000000,0.000000
2.652000,1.492655,0.044769,0.782645,1.960057,1.962286,0.011864,0.013997,0.000000,0.309570,0.147777,0,0,15.748683,0.000000,0.000000,0.000000
2.754000,1.697730,0.049714,0.784051,2.054845,2.055820,0.023619,0.015731,0.000000,0.290729,0.181846,0,0,15.547064,0.000000,0.000000,0.000000
2.856000,1.911600,0.056067,0.781684,2.132154,2.135108,0.029131,0.019208,0.000000,0.272230,0.216729,0,0,15.337080,0.000000,0.000000,0.000000
2.958000,2.133218,0.062983,0.779787,2.204198,2.205260,0.027529,0.021257,0.000000,0.257575,0.243723,0,0,15.119648,0.000000,0.000000,0.000000
3.060000,2.360037,0.070260,0.779654,2.220237,2.221879,0.025688,0.021392,0.000000,0.242621,0.268739,0,0,14.897260,0.000000,0.000000,0.000000
3.162000,2.582743,0.077180,0.780425,2.140416,2.142113,0.007239,0.018612,0.000000,0.230411,0.285165,0,0,14.678981,0.000000,0.000000,0.000000
3.264000,2.795008,0.081911,0.778275,2.017928,2.021985,-0.010729,0.020461,0.000000,0.217668,0.295166,0,0,14.470724,0.000000,0.000000,0.000000
3.366000,2.993790,0.085402,0.774108,1.889382,1.883752,-0.014755,0.004990,0.000000,0.207087,0.294496,0,0,14.275621,0.000000,0.000000,0.000000
3.468000,3.178829,0.089890,0.764169,1.781654,1.751453,0.003058,-0.003968,0.000000,0.195911,0.283590,0,0,14.094309,0.000000,0.000000,0.000000
3.570000,3.352174,0.094212,0.739708,1.687761,1.649930,-0.011701,0.000255,0.000000,0.186551,0.266151,0,0,13.924554,0.000000,0.000000,0.000000
3.672000,3.511801,0.096843,0.731399,1.449653,1.480778,-0.011735,0.003787,0.113636,0.176604,0.239290,0,0,13.768055,0.000000,0.000000,0.000000
3.774000,3.654285,0.101469,0.752080,1.300673,1.324759,0.015021,0.010042,0.250000,0.168237,0.209113,0,0,13.628835,0.000000,0.000000,0.000000
3.876000,3.780899,0.108424,0.767159,1.167384,1.171056,0.053315,0.036851,0.431818,0.160285,0.174357,0,0,13.505701,0.000000,0.000000,0.000000
3.978000,3.894899,0.120755,0.769908,1.083710,1.082198,0.104789,0.064469,0.545455,0.151802,0.131621,0,0,13.396026,0.000000,0.000000,0.000000
4.080000,4.002219,0.136393,0.768563,1.037804,1.034197,0.123560,0.092522,0.703905,0.146868,0.086300,0,0,13.293610,0.000000,0.000000,0.000000
4.182000,4.105352,0.156374,0.767949,1.007874,1.008231,0.169721,0.110291,0.768845,0.170775,0.058225,0,0,13.196222,0.000000,0.000000,0.000000
4.284000,4.206591,0.180166,0.766633,1.014234,1.012642,0.171247,0.094831,0.694387,0.227226,0.037397,0,0,13.101538,0.000000,0.000000,0.000000
4.386000,4.309352,0.205240,0.766099,1.036942,1.035505,0.167737,0.116820,0.627628,0.288741,0.025231,0,0,13.005737,0.000000,0.000000,0.000000
4.488000,4.416157,0.232182,0.766479,1.099604,1.097373,0.196268,0.095794,0.609921,0.364566,0.016206,0,0,12.906484,0.000000,0.000000,0.000000
4.590000,4.531088,0.262824,0.767886,1.219869,1.216833,0.185500,0.107668,0.529471,0.433721,0.010934,0,0,12.800185,0.000000,0.000000,0.000000
4.692000,4.660362,0.296502,0.769975,1.380539,1.375395,0.205334,0.121357,0.500973,0.490406,0.007749,0,0,12.680683,0.000000,0.000000,0.000000
4.794000,4.806666,0.334861,0.770767,1.566802,1.562016,0.201541,0.131855,0.470772,0.557601,0.004726,0,0,12.545780,0.000000,0.000000,0.000000
4.896000,4.971934,0.377374,0.772766,1.747430,1.749353,0.198823,0.158322,0.417473,0.599688,0.003035,0,0,12.393594,0.000000,0.000000,0.000000
4.998000,5.157106,0.425531,0.775386,1.969364,1.969045,0.212891,0.156350,0.422206,0.621492,0.002048,0,0,12.223683,0.000000,0.000000,0.000000
5.100000,5.362855,0.480846,0.776502,2.182055,2.179499,0.217000,0.146887,0.359735,0.625410,0.001315,0,0,12.035941,0.000000,0.000000,0.000000
5.202000,5.588493,0.542328,0.774955,2.376784,2.378108,0.203834,0.153651,0.291192,0.607519,0.000887,0,0,11.831070,0.000000,0.000000,0.000000
5.304000,5.832778,0.609809,0.776226,2.559109,2.563227,0.193337,0.149204,0.306808,0.568330,0.000570,0,0,11.610523,0.000000,0.000000,0.000000
5.406000,6.093228,0.683564,0.777763,2.718563,2.723016,0.178606,0.138583,0.245279,0.516355,0.000385,0,0,11.377101,0.000000,0.000000,0.000000
5.508000,6.368129,0.763186,0.780557,2.872570,2.874408,0.163137,0.121968,0.198214,0.456848,0.000247,0,0,11.132716,0.000000,0.000000,0.000000
5.610000,6.657063,0.847714,0.781697,3.014028,3.013691,0.135160,0.119967,0.119825,0.419553,0.010985,0,0,10.877900,0.000000,0.000000,0.000000
5.712000,6.959454,0.936532,0.782329,3.157177,3.157129,0.102741,0.099565,0.086082,0.385735,0.031121,0,0,10.613447,0.000000,0.000000,0.000000
5.814000,7.275068,1.029229,0.782398,3.289444,3.289444,0.072203,0.090534,-0.011397,0.360748,0.052994,0,0,10.339903,0.000000,0.000000,0.000000
5.916000,7.602889,1.124667,0.782260,3.399838,3.399770,0.036379,0.053571,-0.186461,0.336660,0.080102,0,0,10.058361,0.000000,0.000000,0.000000
6.018000,7.941221,1.219905,0.782443,3.482882,3.484070,-0.016743,0.005291,-0.195859,0.317864,0.104571,0,0,9.769932,0.000000,0.000000,0.000000
6.120000,8.287412,1.312501,0.781651,3.535099,3.533456,-0.062791,-0.038743,-0.348120,0.298909,0.131025,0,0,9.476631,0.000000,0.000000,0.000000
6.222000,8.637564,1.399383,0.778745,3.531888,3.533311,-0.103137,-0.071934,-0.321173,0.283572,0.151985,0,0,9.181226,0.000000,0.000000,0.000000
6.324000,8.987362,1.479447,0.776104,3.492270,3.495858,-0.144757,-0.085599,-0.384776,0.267669,0.170877,0,0,8.887343,0.000000,0.000000,0.000000
6.426000,9.333639,1.551272,0.773906,3.426645,3.427020,-0.174942,-0.101435,-0.408671,0.254530,0.181765,0,0,8.597249,0.000000,0.000000,0.000000
6.528000,9.674094,1.614579,0.772660,3.348222,3.349107,-0.204540,-0.142914,-0.438150,0.240698,0.186516,0,0,8.312719,0.000000,0.000000,0.000000
6.630000,10.007249,1.668491,0.772414,3.256078,3.254512,-0.219680,-0.141892,-0.365541,0.229143,0.183513,0,0,8.034430,0.000000,0.000000,0.000000
6.732000,10.332450,1.715407,0.772103,3.171003,3.172989,-0.228783,-0.142351,-0.458270,0.216883,0.172010,0,0,7.763689,0.000000,0.000000,0.000000
6.834000,10.650148,1.754076,0.771306,3.081416,3.085112,-0.240728,-0.155371,-0.487774,0.205334,0.153175,0,0,7.499248,0.000000,0.000000,0.000000
6.936000,10.960128,1.784802,0.772373,3.003049,3.004956,-0.264243,-0.155449,-0.546312,0.195615,0.131439,0,0,7.241119,0.000000,0.000000,0.000000
7.038000,11.262873,1.806798,0.774708,2.929279,2.929871,-0.282577,-0.190543,-0.525715,0.186375,0.105829,0,0,6.988163,0.000000,0.000000,0.000000
7.140000,11.559701,1.820618,0.775544,2.871784,2.872707,-0.293136,-0.179553,-0.469190,0.179523,0.074553,0,0,6.739180,0.000000,0.000000,0.000000
7.242000,11.852098,1.828774,0.775991,2.837520,2.836868,-0.284921,-0.193850,-0.549716,0.192505,0.047885,0,0,6.493941,0.000000,0.000000,0.000000
7.344000,12.141295,1.829388,0.776584,2.808301,2.807916,-0.299261,-0.199776,-0.457572,0.236077,0.032307,0,0,6.250240,0.000000,0.000000,0.000000
7.446000,12.429987,1.825369,0.777586,2.824085,2.825110,-0.268528,-0.176203,-0.498954,0.302525,0.020750,0,0,6.007271,0.000000,0.000000,0.000000
7.548000,12.720597,1.817988,0.777759,2.853212,2.850397,-0.268959,-0.207225,-0.534334,0.377928,0.013328,0,0,5.763804,0.000000,0.000000,0.000000
7.650000,13.015484,1.804687,0.778065,2.912492,2.913400,-0.264178,-0.194023,-0.498374,0.446683,0.008992,0,0,5.516599,0.000000,0.000000,0.000000
7.752000,13.318007,1.785876,0.779073,3.005282,3.009582,-0.261419,-0.165620,-0.760120,0.480718,0.000000,0,0,5.263404,0.000000,0.000000,0.000000
7.854000,13.629722,1.760256,0.777543,3.108712,3.105119,-0.283551,-0.267413,-0.566992,0.562411,0.000000,0,0,5.002563,0.000000,0.000000,0.000000
7.956000,13.953252,1.725952,0.775426,3.236870,3.236470,-0.274307,-0.236034,-0.789447,0.527452,0.000000,0,0,4.731303,0.000000,0.000000,0.000000
8.058000,14.287955,1.682638,0.776531,3.352759,3.355310,-0.294884,-0.271851,-0.532051,0.659031,0.000000,0,0,4.450459,0.000000,0.000000,0.000000
8.160000,14.634348,1.628748,0.780422,3.487321,3.489264,-0.274479,-0.245083,-0.436544,0.252856,0.000000,0,0,4.159245,0.000000,0.000000,0.000000
8.262000,14.992074,1.567018,0.781788,3.590841,3.595562,-0.259034,-0.234666,-0.658485,0.470760,0.000000,0,0,3.860629,0.000000,0.000000,0.000000
8.364000,15.358658,1.495736,0.780737,3.703554,3.699981,-0.271277,-0.264129,-0.681573,0.016257,0.000000,0,0,3.556214,0.000000,0.000000,0.000000
8.466000,15.730880,1.412616,0.779955,3.747097,3.753239,-0.269060,-0.347014,0.276701,0.072148,0.000000,0,0,3.247501,0.000000,0.000000,0.000000
8.568000,16.105628,1.324119,0.777944,3.768530,3.771974,-0.144163,-0.174504,0.585654,0.085331,0.000000,0,0,2.942503,0.000000,0.000000,0.000000
8.670000,16.479838,1.241367,0.776469,3.737570,3.736587,-0.035575,-0.038906,0.641326,0.084220,0.000000,0,0,2.653625,0.000000,0.000000,0.000000
8.772000,16.850615,1.167763,0.777418,3.669432,3.669567,0.056147,0.039562,0.766591,0.200000,0.000000,0,0,2.387820,0.000000,0.000000,0.000000
8.874000,17.216664,1.105831,0.778529,3.606809,3.608043,0.141891,0.092918,0.805304,0.275470,0.000000,0,0,2.150732,0.000000,0.000000,0.000000
8.976000,17.579919,1.056056,0.776521,3.577984,3.573616,0.209463,0.157263,0.949520,0.466667,0.000000,0,0,1.945060,0.000000,0.000000,0.000000
9.078000,17.943785,1.018850,0.775700,3.594436,3.588900,0.273043,0.215909,0.910271,0.409098,0.000000,0,0,1.773573,0.000000,0.000000,0.000000
9.180000,18.312515,0.994953,0.776959,3.636139,3.631867,0.329309,0.260447,0.940000,0.355997,0.000000,0,0,1.640131,0.000000,0.000000,0.000000
9.282000,18.687687,0.985778,0.778482,3.699010,3.697389,0.373415,0.289473,0.925000,0.500000,0.000000,0,0,1.550929,0.000000,0.000000,0.000000
9.384000,19.071633,0.991291,0.775471,3.800112,3.794274,0.418004,0.308957,0.904640,0.465372,0.000000,0,0,1.510637,0.000000,0.000000,0.000000
9.486000,19.465540,1.012017,0.772970,3.885821,3.887946,0.448778,0.324407,0.857892,0.448224,0.000000,0,0,1.524040,0.000000,0.000000,0.000000
9.588000,19.866927,1.046453,0.771831,3.949164,3.956722,0.438066,0.335134,0.703214,0.081673,0.000000,0,0,1.592008,0.000000,0.000000,0.000000
9.690000,20.271877,1.091706,0.774385,3.986155,3.992971,0.349992,0.301809,-0.756659,0.412460,0.000000,0,0,1.358278,0.000000,0.000000,0.000000
9.792000,20.678430,1.134091,0.780325,4.011683,4.008874,0.203296,0.108459,-0.718192,0.594313,0.000000,0,0,1.068192,0.000000,0.000000,0.000000
9.894000,21.087445,1.167587,0.781954,4.026750,4.023516,0.080413,0.040589,-0.834112,0.290287,0.000000,0,26,0.800452,0.000000,0.000000,0.000000
9.996000,21.498005,1.190242,0.781447,4.039479,4.041208,-0.041843,-0.001487,-0.737777,0.439523,0.000000,0,60,0.562082,0.000000,0.000000,0.000000
10.098000,21.910963,1.202403,0.780974,4.047260,4.049567,-0.126685,-0.086015,-0.856182,0.207424,0.000000,0,94,0.362762,0.000000,0.000000,0.000000
10.200000,22.323314,1.203834,0.779696,4.024800,4.024176,-0.183023,-0.172504,-0.794127,0.377161,0.000000,0,128,0.215290,0.000000,0.000000,0.000000
10.302000,22.732801,1.193674,0.779365,4.006487,4.002329,-0.226991,-0.178642,-0.869844,0.258750,0.000000,0,162,0.129846,0.000000,0.000000,0.000000
10.404000,23.140350,1.170998,0.777753,3.996240,3.988735,-0.268264,-0.260859,-0.787462,0.292299,0.000000,0,196,0.111892,0.000000,0.000000,0.000000
10.506000,23.547950,1.133258,0.774206,4.022180,4.017429,-0.324293,-0.217846,-0.817449,0.313046,0.000000,0,230,0.160629,0.000000,0.000000,0.000000
10.608000,23.957158,1.081905,0.768972,4.035058,4.035310,-0.359069,-0.258809,-0.839066,0.466762,0.000000,0,264,0.274430,0.000000,0.000000,0.000000
10.710000,24.365785,1.017139,0.770116,4.038976,4.048363,-0.366361,-0.323366,-0.436504,0.471906,0.000000,0,298,0.444443,0.000000,0.000000,0.000000
10.812000,24.775033,0.939819,0.775110,4.086434,4.091977,-0.355798,-0.259651,-0.409685,0.503094,0.000000,0,332,0.661766,0.000000,0.000000,0.000000
10.914000,25.188315,0.853311,0.780410,4.165756,4.159547,-0.321989,-0.237031,-0.443609,0.523078,0.000000,0,366,0.921578,0.000000,0.000000,0.000000
11.016000,25.606176,0.758936,0.781790,4.211620,4.214827,-0.297158,-0.235620,-0.374646,0.503388,0.000000,0,375,1.216824,0.000000,0.000000,0.000000
11.118000,26.027806,0.657556,0.781350,4.261502,4.266788,-0.257330,-0.217875,-0.401977,0.524112,0.000000,0,375,1.540383,0.000000,0.000000,0.000000
11.220000,26.451811,0.548684,0.781482,4.299874,4.301075,-0.235985,-0.225131,-0.296856,0.521367,0.000000,0,375,1.885375,0.000000,0.000000,0.000000
11.322000,26.877431,0.432179,0.782002,4.336439,4.335595,-0.205531,-0.204374,-0.351041,0.518583,0.000000,0,375,2.247022,0.000000,0.000000,0.000000
11.424000,27.304362,0.308327,0.780934,4.368032,4.370295,-0.184601,-0.193938,-0.150536,0.517952,0.000000,0,375,2.622166,0.000000,0.000000,0.000000
11.526000,27.733901,0.180365,0.776791,4.409718,4.409745,-0.119668,-0.124580,0.013922,0.513682,0.000000,0,375,3.010560,0.000000,0.000000,0.000000
11.628000,28.166847,0.052538,0.774872,4.437071,4.434204,-0.054362,-0.041291,0.080196,0.466819,0.000000,0,375,3.411737,0.000000,0.000000,0.000000
11.730000,28.602741,-0.072418,0.775750,4.448908,4.451039,-0.004431,-0.012356,0.410450,0.463258,0.000000,0,375,3.823691,0.000000,0.000000,0.000000
11.832000,29.041179,-0.191486,0.776216,4.455146,4.454762,0.074991,0.074932,0.511388,0.425904,0.000000,0,375,4.244631,0.000000,0.000000,0.000000
11.934000,29.482829,-0.300442,0.775136,4.459309,4.458922,0.135846,0.119626,0.765348,0.382259,0.000000,0,375,4.674037,0.000000,0.000000,0.000000
