step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.985,0.047,0.83,1.706,0.00,1,18,10.00,5.63,+0.000,0.391,0.006,+0.000,0.391,0.006,0,14.733,10.47,0.000
40,4.527,0.259,5.09,1.053,15.75,3,18,10.00,4.60,+0.561,0.381,0.017,+0.561,0.381,0.017,0,12.725,10.38,0.000
44,5.029,0.388,7.77,1.659,14.39,3,18,10.00,4.73,+0.513,0.710,0.003,+0.519,0.710,0.000,1,10.813,65.56,0.000
45,5.199,0.434,8.58,1.878,12.07,3,18,10.00,4.96,+0.430,0.751,0.002,+0.434,0.744,0.000,1,9.950,46.49,0.000
46,5.390,0.486,9.44,2.085,10.98,3,18,10.00,5.08,+0.391,0.772,0.001,+0.394,0.772,0.000,1,9.588,46.97,0.000
47,5.599,0.545,10.37,2.275,10.71,3,18,10.00,5.10,+0.381,0.771,0.001,+0.393,0.764,0.000,1,9.259,47.29,0.000
48,5.826,0.610,11.31,2.467,7.48,3,18,10.00,5.42,+0.266,0.746,0.001,+0.267,0.749,0.000,1,8.581,46.69,0.000
49,6.069,0.681,12.23,2.627,7.23,3,18,10.00,5.44,+0.257,0.706,0.000,+0.262,0.705,0.000,1,8.364,47.10,0.000
50,6.326,0.759,13.04,2.782,5.45,3,18,10.00,5.59,+0.194,0.653,0.000,+0.200,0.654,0.000,1,7.698,47.44,0.000
60,9.564,1.623,13.84,3.712,-15.46,5,18,10.00,4.61,-0.551,0.283,0.131,-0.551,0.283,0.131,0,3.910,7.99,0.000
72,13.605,1.760,-0.71,3.240,-15.97,5,18,10.00,4.57,-0.569,0.378,0.010,-0.610,0.361,0.000,1,0.691,47.62,0.002
73,13.928,1.724,-2.05,3.291,-15.96,5,18,10.00,4.57,-0.568,0.444,0.007,-0.662,0.437,0.000,1,0.083,46.80,0.011
74,14.255,1.679,-3.45,3.356,-14.37,5,18,10.00,4.72,-0.512,0.504,0.005,-0.279,0.303,0.000,1,0.303,48.75,0.398
75,14.588,1.626,-4.95,3.441,-14.73,5,18,10.00,4.68,-0.525,0.558,0.003,-0.832,0.223,0.000,1,-0.258,47.50,0.311
76,14.929,1.569,-5.98,3.497,-14.37,5,18,10.00,4.72,-0.512,0.609,0.002,-0.739,0.302,0.000,1,-0.277,47.25,0.447
77,15.271,1.501,-7.49,3.538,-16.17,5,18,10.00,4.54,-0.576,0.647,0.001,-0.895,0.278,0.000,1,-0.502,58.97,0.629
78,15.615,1.421,-9.07,3.554,-14.50,5,18,10.00,4.71,-0.517,0.674,0.001,-0.700,0.440,0.000,1,-0.415,56.47,0.776
79,15.958,1.329,-10.86,3.597,-13.60,5,18,10.00,4.79,-0.484,0.692,0.001,-0.987,0.551,0.000,1,-0.368,51.52,1.356
80,16.303,1.226,-12.54,3.653,-11.80,5,18,10.00,4.98,-0.420,0.705,0.000,-0.883,0.000,0.192,1,-0.426,59.62,3.967
81,16.647,1.109,-14.42,3.630,-8.49,5,18,10.00,5.31,-0.302,0.714,0.000,-0.882,0.000,0.419,1,1.770,58.76,20.232
82,16.978,0.983,-16.18,3.469,-5.03,5,18,10.00,5.60,-0.179,0.727,0.000,-0.979,0.000,0.259,1,1.604,58.81,21.002
83,17.289,0.857,-17.82,3.289,-1.25,5,18,10.00,5.61,-0.044,0.752,0.000,-0.664,0.000,0.422,1,1.431,62.50,21.671
84,17.580,0.732,-19.48,3.078,1.94,5,18,10.00,5.61,+0.069,0.775,0.000,-0.791,0.000,0.407,1,1.328,66.92,22.764
85,17.848,0.615,-20.82,2.835,3.85,5,18,10.00,5.62,+0.137,0.857,0.000,-0.661,0.000,0.399,1,1.257,47.65,24.284
86,18.094,0.507,-22.04,2.589,1.59,5,18,10.00,5.62,+0.057,0.911,0.000,-0.760,0.000,0.299,1,1.193,50.27,25.670
87,18.317,0.407,-23.02,2.341,4.92,5,18,10.00,5.62,+0.175,0.940,0.000,-0.694,0.000,0.392,1,1.129,48.06,27.043
88,18.517,0.318,-23.89,2.096,5.12,5,18,10.00,5.62,+0.182,0.962,0.000,-0.511,0.000,0.372,1,1.070,47.68,28.351
89,18.695,0.239,-24.69,1.845,10.23,5,18,10.00,5.16,+0.364,0.975,0.000,-0.576,0.000,0.114,1,-0.322,47.31,11.277
90,18.850,0.170,-25.31,1.591,14.05,5,18,10.00,4.76,+0.501,0.983,0.000,-0.645,0.000,0.365,1,0.975,57.20,31.158
91,18.982,0.111,-25.82,1.342,19.16,5,18,10.00,4.29,+0.682,0.989,0.000,+0.566,0.000,0.120,1,-0.381,47.25,7.105
92,19.095,0.061,-26.89,1.125,24.26,5,18,10.00,3.89,+0.864,0.993,0.000,+0.761,0.000,0.096,1,-0.413,48.92,6.163
93,19.186,0.020,-27.54,0.887,28.07,5,18,10.00,3.63,+1.000,0.995,0.000,-0.472,0.376,0.000,1,-0.497,47.21,3.199
94,19.257,-0.012,-27.73,0.701,28.07,5,18,10.00,3.63,+1.000,0.997,0.000,-0.661,0.165,0.000,1,-0.361,47.40,2.301
95,19.311,-0.038,-27.86,0.494,28.07,5,18,10.00,3.63,+1.000,0.998,0.000,+0.391,0.614,0.000,1,-0.128,47.43,1.639
96,19.347,-0.061,-28.23,0.393,28.07,5,18,10.00,3.63,+1.000,0.999,0.000,+0.768,0.556,0.000,1,-0.176,47.04,1.033
97,19.376,-0.081,-28.35,0.315,28.07,5,18,10.00,3.63,+1.000,0.999,0.000,+0.189,0.765,0.000,1,-0.243,47.57,0.430
98,19.404,-0.094,-28.22,0.341,28.07,5,18,10.00,3.63,+1.000,0.999,0.000,+0.301,0.628,0.000,1,-0.389,48.09,1.887
99,19.441,-0.113,-28.23,0.528,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.131,0.238,0.000,1,-0.392,47.13,3.176
100,19.497,-0.136,-28.00,0.722,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.536,0.250,0.000,1,-0.275,46.98,4.990
101,19.570,-0.171,-28.03,0.919,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.814,0.000,0.243,1,-0.546,47.67,17.829
102,19.657,-0.209,-27.85,0.975,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.128,0.000,0.185,1,-0.298,47.80,13.575
103,19.748,-0.244,-27.45,0.980,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.940,0.000,0.458,1,0.210,47.33,34.091
104,19.832,-0.283,-27.42,0.819,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.190,0.000,0.047,1,-0.521,47.38,14.727
105,19.900,-0.313,-27.17,0.687,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.778,0.000,0.064,1,-0.442,47.08,11.377
106,19.958,-0.343,-27.16,0.597,27.56,5,18,10.00,3.66,+0.982,1.000,0.000,+0.740,0.250,0.000,1,-0.502,47.64,6.126
107,20.006,-0.363,-26.92,0.486,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.796,0.000,0.434,1,-0.443,47.49,11.832
108,20.044,-0.375,-26.70,0.306,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.397,0.243,0.000,1,-0.484,46.98,11.503
109,20.071,-0.380,-26.43,0.229,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.754,0.000,0.015,1,-0.527,47.53,8.051
110,20.090,-0.385,-26.25,0.156,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.536,0.182,0.000,1,-0.443,54.60,7.612
111,20.101,-0.391,-26.28,0.100,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.696,0.221,0.000,1,-0.368,47.22,10.592
112,20.105,-0.394,-26.23,0.100,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,+0.138,0.595,0.000,1,-0.499,48.01,9.047
113,20.103,-0.397,-26.48,0.100,26.68,5,18,10.00,3.72,+0.950,1.000,0.000,-0.799,0.200,0.000,1,-0.367,47.21,10.548
114,20.105,-0.397,-26.36,0.100,27.40,5,18,10.00,3.67,+0.976,1.000,0.000,-0.528,0.187,0.000,1,-0.370,47.77,10.576
115,20.108,-0.399,-26.45,0.100,28.06,5,18,10.00,3.63,+1.000,1.000,0.000,-0.545,0.201,0.000,1,-0.372,47.57,10.595
116,20.112,-0.401,-26.42,0.100,28.02,5,18,10.00,3.63,+0.998,1.000,0.000,-0.692,0.147,0.000,1,-0.376,47.33,10.616
117,20.117,-0.405,-26.40,0.100,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.588,0.125,0.000,1,-0.380,47.53,10.632
118,20.121,-0.409,-26.45,0.100,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.697,0.125,0.000,1,-0.384,48.48,10.628
119,20.126,-0.412,-26.44,0.100,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.800,0.200,0.000,1,-0.388,47.66,10.634
120,20.129,-0.415,-26.43,0.100,27.67,5,18,10.00,3.66,+0.985,1.000,0.000,-0.561,0.351,0.000,1,-0.391,47.35,10.624
121,20.131,-0.417,-26.52,0.100,28.07,5,18,10.00,3.63,+1.000,1.000,0.000,-0.900,0.124,0.000,1,-0.392,47.21,10.627
122,20.135,-0.419,-26.46,0.100,28.01,5,18,10.00,3.64,+0.998,1.000,0.000,-0.589,0.225,0.000,1,-0.397,47.68,10.641
