sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778907649.191811,0,1.580805,0.011201,0.002779,0.0497,0.0150,-0.000560,1.648994,-0.000000,-0.000000,-0.0020,1.582897,0.011327,0.002779,0.0450,0.0001,0.000003,-0.106437,0.0000,1.582897,0.000000,0.000000,1.5031,0.000000,2.000000,384.1562,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0508,0.0000,0.000000,0.2000,17.07,9.34,43.49,5.62,-0.000000,-0.0000,-1.5052,nan,nan,nan,nan,nan,nan,0.0,0.0,-25.433526962417872,59.347186356297385,-0.028151,-0.031848,6558.9,6061.6,-0.046996,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778907649.198116,1,1.647237,0.053064,-0.002394,-0.0458,0.0232,0.000308,1.648913,-0.000001,-0.000000,-0.0094,1.648786,0.053194,-0.002392,0.0379,0.0001,0.000005,-0.014590,0.0000,1.648786,0.000000,0.000000,1.4177,0.000000,2.000000,282.2032,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0552,0.0000,0.000000,0.2240,15.31,8.80,39.42,5.69,-0.000001,-0.0000,-1.4270,nan,nan,nan,nan,nan,nan,0.0,0.0,-6.4555076592267255,58.87504608028807,-0.031866,-0.034454,6555.9,6064.7,-0.041734,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778907649.204345,2,1.551995,-0.028387,0.000785,-0.0124,-0.0829,0.000086,1.648775,-0.000002,-0.000002,-0.0125,1.553130,-0.028410,0.000783,0.0309,-0.0000,-0.000001,-0.002973,0.0000,1.553130,0.000000,0.000000,1.5382,0.000000,2.000000,348.3631,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0601,0.0000,0.000000,0.2480,13.65,7.92,35.23,2.95,-0.000002,-0.0001,-1.5507,nan,nan,nan,nan,nan,nan,0.0,0.0,-103.61394086497063,18.45169627194592,0.006332,0.004352,6551.0,6069.6,-0.033194,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778907649.212738,3,1.634202,-0.008046,-0.008226,-0.0047,-0.0291,-0.000680,1.648627,-0.000004,-0.000003,-0.0120,1.635003,-0.008119,-0.008229,0.0255,-0.0002,-0.000007,0.011297,0.0000,1.635003,0.000000,0.000000,1.4368,0.000000,2.000000,284.6989,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0656,0.0000,0.000000,0.2720,11.69,7.16,30.53,2.87,-0.000004,-0.0002,-1.4488,nan,nan,nan,nan,nan,nan,0.0,0.0,-97.1151458078987,23.892213486952414,0.016804,0.014339,6545.0,6075.6,-0.022645,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778907649.224754,4,1.618648,-0.044047,-0.006538,-0.0134,-0.0179,-0.001267,1.648492,-0.000007,-0.000005,-0.0106,1.619218,-0.044133,-0.006542,0.0211,-0.0003,-0.000015,0.030702,0.0000,1.619218,0.000000,0.000000,1.4577,0.000000,2.000000,291.4372,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0714,0.0000,0.000000,0.2960,10.02,6.51,26.54,2.81,-0.000007,-0.0003,-1.4683,nan,nan,nan,nan,nan,nan,0.0,0.0,-80.82984731838712,37.34443627449281,0.021246,0.017639,6538.0,6082.6,-0.010461,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778907649.236651,5,1.537443,-0.070526,0.003301,0.0193,0.0567,0.000923,1.648464,-0.000004,-0.000003,0.0009,1.537942,-0.070501,0.003300,0.0216,0.0002,0.000006,0.062425,0.0000,1.537942,0.000000,0.000000,1.5556,0.000000,2.000000,316.9293,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0778,0.0000,0.000000,0.3200,8.59,6.00,23.18,3.11,-0.000004,-0.0002,-1.5547,nan,nan,nan,nan,nan,nan,0.0,0.0,-51.73892885281376,43.080682674261425,-0.005384,-0.007115,6528.2,6092.4,0.006643,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778907649.248661,6,1.641925,0.042407,-0.009559,-0.0121,-0.0440,-0.001139,1.648468,0.000001,-0.000000,0.0002,1.642281,0.042355,-0.009562,0.0179,-0.0005,-0.000021,0.078861,0.0000,1.642281,0.000000,0.000000,1.4268,0.000000,2.000000,292.0920,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0846,0.0000,0.000000,0.3440,7.37,5.54,20.28,2.94,0.000001,-0.0000,-1.4266,nan,nan,nan,nan,nan,nan,0.0,0.0,-55.43588965698842,53.29143783268184,0.013411,0.010560,6522.5,6098.1,0.016503,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778907649.260709,7,1.601309,-0.042440,0.005025,0.0143,0.0562,0.000321,1.648453,0.000006,0.000003,-0.0009,1.601617,-0.042395,0.005024,0.0176,0.0006,0.000020,0.094111,0.0000,1.601617,0.000000,0.000000,1.4802,0.000000,2.000000,291.5224,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0917,0.0000,0.000000,0.3680,6.34,5.23,17.91,3.44,0.000006,0.0002,-1.4810,nan,nan,nan,nan,nan,nan,0.0,0.0,-37.86894147113058,32.2589766886569,-0.011123,-0.013012,6517.4,6103.2,0.025461,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778907649.272640,8,1.687448,0.006710,0.007225,0.0322,-0.0197,0.000441,1.648434,0.000013,0.000007,-0.0008,1.687771,0.006718,0.007225,0.0209,0.0001,0.000001,0.112443,0.0000,1.687771,0.000000,-0.000000,1.3591,0.000000,2.000000,369.4452,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0993,0.0000,0.000000,0.3920,5.45,4.90,15.80,3.02,0.000013,0.0004,-1.3599,nan,nan,nan,nan,nan,nan,0.0,0.0,-47.732382136281004,38.85991280185671,-0.001634,-0.002594,6511.7,6108.9,0.035402,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778907649.286023,9,1.694493,-0.024675,0.000577,-0.0626,-0.0012,-0.000247,1.648415,0.000020,0.000011,-0.0007,1.694726,-0.024671,0.000576,0.0172,0.0001,-0.000002,0.131286,0.0000,1.694726,0.000000,-0.000000,1.3478,0.000000,2.000000,360.7537,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1072,0.0000,0.000000,0.4160,4.68,4.67,14.03,3.38,0.000020,0.0006,-1.3485,0.008000,0.071416,-0.1206,-0.484429,0.000621,0.000809,0.0,0.0,-49.38977361900622,35.111592169347176,-0.000717,-0.001806,6505.9,6114.6,0.045373,0.000000,0.000000,0.5000,1.0000,,,,,
