time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,22.719306,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000084,-0.000753,0.000125,0.000367,0.000000,0.164953,0.000000,0,0,22.719875,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000545,-0.000013,0.000835,0.000371,0.000000,0.284755,0.000000,0,0,22.720003,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000588,0.000206,0.003617,0.000417,0.000000,0.423737,0.000000,0,0,22.720078,0.000000,0.000000,0.000000
0.408000,0.055171,0.000168,0.902700,0.000328,-0.000120,0.011734,0.000444,0.000000,0.552168,0.000000,0,0,22.720121,0.000000,0.000000,0.000000
0.510000,0.059825,-0.000420,0.564316,0.068549,0.115513,-0.006617,0.003948,0.000000,0.686163,0.000000,0,0,22.715497,0.000000,0.000000,0.000000
0.612000,0.065552,-0.000508,0.638447,0.032604,-0.015375,-0.005010,0.018491,0.000000,0.797911,0.000000,0,0,22.709779,0.000000,0.000000,0.000000
0.714000,0.065776,0.000198,0.744344,0.054184,0.016476,0.005527,0.018733,0.000000,0.863655,0.000000,0,0,22.709524,0.000000,0.000000,0.000000
0.816000,0.069500,0.000859,0.750461,0.078677,0.077004,0.002674,0.021033,0.000000,0.912427,0.000000,0,0,22.705775,0.000000,0.000000,0.000000
0.918000,0.085842,-0.000856,0.708995,0.197964,0.244174,-0.025491,0.010015,0.000000,0.940916,0.000000,0,0,22.689522,0.000000,0.000000,0.000000
1.020000,0.122576,-0.000432,0.680846,0.478552,0.480200,0.015029,0.023189,0.000000,0.962051,0.000000,0,0,22.652804,0.000000,0.000000,0.000000
1.122000,0.184017,0.002662,0.705750,0.728357,0.711428,0.042795,0.024589,0.000000,0.974397,0.000000,0,0,22.591287,0.000000,0.000000,0.000000
1.224000,0.264131,0.010094,0.743249,0.863500,0.862397,0.067269,0.017317,0.000000,0.983555,0.000000,0,0,22.510927,0.000000,0.000000,0.000000
1.326000,0.359552,0.018761,0.766844,1.010934,1.013465,0.065339,0.018523,0.000000,0.987758,0.000000,0,0,22.415222,0.000000,0.000000,0.000000
1.428000,0.472185,0.026840,0.777322,1.193793,1.193985,0.052928,0.025604,-0.001224,0.993276,0.000000,0,0,22.302347,0.000000,0.000000,0.000000
