time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.4380,18.7157,0.4820,3.086,2,21.760,-0.867,0.830,3.3300,2.330,3.330,0,1
6.4410,18.7249,0.4830,3.080,2,21.760,-0.867,0.830,3.3220,2.330,3.330,0,1
6.4440,18.7341,0.4840,3.073,2,21.760,-0.867,0.830,3.3140,2.330,3.330,0,1
6.4470,18.7432,0.4850,3.063,2,21.760,-0.867,0.830,3.3061,2.330,3.330,0,1
6.4500,18.7524,0.4860,3.058,2,21.760,-0.867,0.830,3.2982,2.330,3.330,0,1
6.4530,18.7615,0.4870,3.050,2,21.760,-0.867,0.830,3.2903,2.330,3.330,0,1
6.4560,18.7705,0.4880,3.041,2,21.760,-0.867,0.830,3.2824,2.330,3.330,0,1
6.4590,18.7796,0.4890,3.036,2,21.760,-0.867,0.830,3.2746,2.330,3.330,0,1
6.4620,18.7887,0.4900,3.030,2,21.760,-0.867,0.830,3.2668,2.330,3.330,0,1
6.4650,18.7977,0.4910,3.020,2,21.760,-0.867,0.830,3.2590,2.330,3.330,0,1
6.4680,18.8067,0.4920,3.015,2,21.760,-0.867,0.830,3.2512,2.330,3.330,0,1
6.4710,18.8156,0.4930,3.007,2,21.760,-0.867,0.830,3.2435,2.330,3.330,0,1
6.4740,18.8246,0.4939,3.002,2,21.760,-0.867,0.830,3.2358,2.330,3.330,0,1
6.4770,18.8335,0.4949,2.993,2,21.760,-0.867,0.830,3.2281,2.330,3.330,0,1
6.4800,18.8424,0.4959,2.985,2,21.760,-0.867,0.830,3.2204,2.330,3.330,0,1
6.4830,18.8513,0.4969,2.978,2,21.760,-0.867,0.830,3.2128,2.330,3.330,0,1
6.4860,18.8601,0.4978,2.969,2,21.760,-0.867,0.830,3.2052,2.330,3.330,0,1
6.4890,18.8690,0.4988,2.964,2,21.760,-0.867,0.830,3.1976,2.330,3.330,0,1
6.4920,18.8778,0.4997,2.956,2,21.760,-0.867,0.830,3.1900,2.330,3.330,0,1
6.4950,18.8866,0.5007,2.949,2,21.760,-0.867,0.830,3.1825,2.330,3.330,0,1
6.4980,18.8954,0.5017,2.942,2,21.760,-0.867,0.830,3.1750,2.330,3.330,0,1
6.5010,18.9041,0.5026,2.933,2,21.760,-0.867,0.830,3.1675,2.330,3.330,0,1
6.5040,18.9128,0.5036,2.930,2,21.760,-0.867,0.830,3.1601,2.330,3.330,0,1
6.5070,18.9215,0.5045,2.916,2,21.760,-0.867,0.830,3.1527,2.330,3.330,0,1
6.5100,18.9302,0.5054,2.912,2,21.760,-0.867,0.830,3.1453,2.330,3.330,0,1
6.5130,18.9388,0.5064,2.904,2,21.760,-0.867,0.830,3.1379,2.330,3.330,0,1
6.5160,18.9475,0.5073,2.897,2,21.760,-0.867,0.830,3.1306,2.330,3.330,0,1
6.5190,18.9561,0.5083,2.890,2,21.760,-0.867,0.830,3.1232,2.330,3.330,0,1
6.5220,18.9647,0.5092,2.881,2,21.760,-0.867,0.830,3.1160,2.330,3.330,0,1
6.5250,18.9732,0.5102,2.876,2,21.760,-0.867,0.830,3.1087,2.330,3.330,0,1
6.5280,18.9818,0.5111,2.869,2,21.760,-0.867,0.830,3.1015,2.330,3.330,0,1
6.5310,18.9903,0.5120,2.859,2,21.760,-0.867,0.830,3.0942,2.330,3.330,0,1
6.5340,18.9988,0.5129,2.852,2,21.760,-0.867,0.830,3.0870,2.330,3.330,0,1
6.5370,19.0072,0.5139,2.840,2,21.760,-0.867,0.830,3.0799,2.330,3.330,0,1
6.5400,19.0157,0.5148,2.831,2,21.760,-0.867,0.830,3.0728,2.330,3.330,0,1
6.5430,19.0241,0.5157,2.822,2,21.760,-0.867,0.830,3.0657,2.330,3.330,0,1
6.5460,19.0324,0.5166,2.814,2,21.760,-0.867,0.830,3.0586,2.330,3.330,0,1
6.5490,19.0408,0.5175,2.809,2,21.760,-0.867,0.830,3.0516,2.330,3.330,0,1
6.5520,19.0491,0.5184,2.802,2,21.760,-0.867,0.830,3.0445,2.330,3.330,0,1
6.5550,19.0575,0.5193,2.795,2,21.760,-0.867,0.830,3.0375,2.330,3.330,0,1
6.5580,19.0658,0.5202,2.794,2,21.760,-0.867,0.830,3.0305,2.330,3.330,0,1
6.5610,19.0741,0.5211,2.785,2,21.760,-0.867,0.830,3.0236,2.330,3.330,0,1
6.5640,19.0824,0.5220,2.779,2,21.760,-0.867,0.830,3.0166,2.330,3.330,0,1
6.5670,19.0906,0.5228,2.772,2,21.760,-0.867,0.830,3.0097,2.330,3.330,0,1
6.5700,19.0988,0.5237,2.760,2,21.760,-0.867,0.830,3.0028,2.330,3.330,0,1
6.5730,19.1071,0.5246,2.758,2,21.760,-0.867,0.830,2.9960,2.330,3.330,0,1
6.5760,19.1152,0.5255,2.747,2,21.760,-0.867,0.830,2.9891,2.330,3.330,0,1
6.5790,19.1234,0.5264,2.738,2,21.760,-0.867,0.830,2.9823,2.330,3.330,0,1
6.5820,19.1315,0.5273,2.731,2,21.760,-0.867,0.830,2.9756,2.330,3.330,0,1
6.5850,19.1396,0.5281,2.721,2,21.760,-0.867,0.830,2.9688,2.330,3.330,0,1
6.5880,19.1477,0.5290,2.714,2,21.760,-0.867,0.830,2.9621,2.330,3.330,0,1
6.5910,19.1558,0.5299,2.703,2,21.760,-0.867,0.830,2.9554,2.330,3.330,0,1
6.5940,19.1638,0.5307,2.696,2,21.760,-0.867,0.830,2.9487,2.330,3.330,0,1
6.5970,19.1719,0.5316,2.689,2,21.760,-0.867,0.830,2.9421,2.330,3.330,0,1
6.6000,19.1798,0.5324,2.677,2,21.760,-0.867,0.830,2.9354,2.330,3.330,0,1
6.6030,19.1878,0.5333,2.673,2,21.760,-0.867,0.830,2.9288,2.330,3.330,0,1
6.6060,19.1958,0.5341,2.663,2,21.760,-0.867,0.830,2.9223,2.330,3.330,0,1
6.6090,19.2037,0.5350,2.655,2,21.760,-0.867,0.830,2.9157,2.330,3.330,0,1
6.6120,19.2116,0.5358,2.645,2,21.760,-0.867,0.830,2.9092,2.330,3.330,0,1
6.6150,19.2195,0.5367,2.639,2,21.760,-0.867,0.830,2.9027,2.330,3.330,0,1
6.6180,19.2273,0.5375,2.630,2,21.760,-0.867,0.830,2.8963,2.330,3.330,0,1
6.6210,19.2351,0.5384,2.623,2,21.760,-0.867,0.830,2.8898,2.330,3.330,0,1
6.6240,19.2429,0.5392,2.614,2,21.760,-0.867,0.830,2.8834,2.330,3.330,0,1
6.6270,19.2507,0.5400,2.605,2,21.760,-0.867,0.830,2.8770,2.330,3.330,0,1
6.6300,19.2585,0.5408,2.597,2,21.760,-0.867,0.830,2.8706,2.330,3.330,0,1
6.6330,19.2662,0.5416,2.590,2,21.760,-0.867,0.830,2.8643,2.330,3.330,0,1
