step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,0.950,0.046,0.73,2.121,0.00,2,18,27.00,7.63,+0.000,0.464,0.006,+0.000,0.464,0.006,0,11.233,10.46,0.000
40,5.344,0.465,9.39,2.099,15.11,2,18,27.00,6.45,+0.538,0.605,0.006,+0.538,0.605,0.006,0,8.111,10.40,0.000
60,12.071,1.874,4.97,3.857,-15.51,2,18,27.00,6.30,-0.552,0.282,0.020,-0.525,0.256,0.000,1,-0.495,66.02,0.051
61,12.452,1.865,3.46,3.819,-14.65,2,18,27.00,6.40,-0.522,0.284,0.013,-0.554,0.289,0.000,1,-0.425,46.54,0.093
62,12.830,1.846,1.92,3.777,-13.19,2,18,27.00,6.58,-0.470,0.300,0.009,-0.643,0.311,0.000,1,-0.490,47.57,0.151
63,13.203,1.816,0.31,3.737,-14.39,2,18,27.00,6.44,-0.513,0.340,0.006,-0.455,0.343,0.000,1,-0.497,46.73,0.145
64,13.572,1.774,-1.38,3.736,-13.70,3,18,27.00,6.52,-0.488,0.394,0.004,-0.446,0.415,0.000,1,-0.214,46.62,0.007
65,13.940,1.725,-2.80,3.744,-13.64,3,18,27.00,6.53,-0.486,0.442,0.003,-0.401,0.354,0.000,1,-0.424,46.76,0.192
66,14.309,1.669,-4.14,3.761,-13.90,3,18,27.00,6.50,-0.495,0.485,0.002,-0.149,0.353,0.000,1,-0.223,46.82,0.362
67,14.679,1.611,-5.34,3.799,-15.64,4,18,27.00,6.29,-0.557,0.523,0.001,+0.298,0.373,0.000,1,0.117,47.35,0.241
68,15.053,1.555,-6.03,3.822,-16.14,4,18,27.00,6.23,-0.575,0.558,0.001,+0.242,0.499,0.000,1,0.213,48.18,0.280
69,15.429,1.512,-5.92,3.844,-19.65,4,18,27.00,5.83,-0.700,0.584,0.000,+0.493,0.541,0.000,1,0.384,46.68,0.413
70,15.810,1.480,-5.52,3.873,-24.67,4,18,27.00,5.33,-0.879,0.606,0.000,+0.525,0.470,0.000,1,0.484,47.45,0.827
71,16.195,1.464,-4.65,3.893,-28.07,4,18,27.00,5.02,-1.000,0.627,0.000,+0.465,0.266,0.000,1,0.899,47.01,1.437
72,16.582,1.463,-3.46,3.920,-28.07,4,18,27.00,5.02,-1.000,0.649,0.000,+0.785,0.537,0.000,1,1.005,46.63,1.642
73,16.971,1.475,-2.20,3.927,-28.07,4,18,27.00,5.02,-1.000,0.670,0.000,+0.713,0.736,0.000,1,-0.263,46.64,0.920
74,17.363,1.505,-0.55,3.976,-28.07,4,18,27.00,5.02,-1.000,0.690,0.000,+0.195,0.713,0.000,1,-0.368,47.60,0.351
75,17.758,1.550,1.17,4.039,-28.07,4,18,27.00,5.02,-1.000,0.706,0.000,-0.735,0.684,0.000,1,-0.167,47.04,0.011
76,18.158,1.594,2.30,4.055,-27.44,4,18,27.00,5.07,-0.977,0.719,0.000,-0.684,0.718,0.000,1,-0.158,46.79,0.002
77,18.557,1.624,2.28,4.004,-27.44,4,18,27.00,5.07,-0.977,0.729,0.000,-0.695,0.708,0.000,1,-0.090,46.71,0.003
78,18.951,1.636,1.59,3.945,-28.07,4,18,27.00,5.02,-1.000,0.747,0.000,-0.741,0.715,0.000,1,-0.263,47.70,0.044
79,19.340,1.627,0.64,3.913,-27.44,5,18,27.00,5.08,-0.977,0.776,0.000,-0.588,0.799,0.000,1,-0.433,47.84,0.062
80,19.729,1.599,-0.59,3.951,-28.07,5,18,27.00,5.02,-1.000,0.816,0.000,-0.476,0.769,0.000,1,-0.358,47.07,0.058
81,20.121,1.558,-1.93,4.008,-28.07,5,18,27.00,5.02,-1.000,0.852,0.000,-0.506,0.884,0.000,1,-0.471,46.91,0.119
82,20.518,1.506,-3.21,4.056,-27.32,5,18,27.00,5.08,-0.973,0.883,0.000,-0.233,0.922,0.000,1,-0.497,47.73,0.199
83,20.918,1.445,-4.48,4.118,-26.54,5,18,27.00,5.15,-0.945,0.908,0.000,-0.167,0.747,0.000,1,-0.510,47.09,0.766
84,21.324,1.385,-5.34,4.152,-23.77,5,18,27.00,5.40,-0.847,0.927,0.000,-0.270,0.864,0.000,1,-0.460,46.99,0.124
85,21.733,1.326,-6.11,4.161,-21.97,5,18,27.00,5.58,-0.783,0.940,0.000,-0.285,0.942,0.000,1,-0.490,47.23,1.307
86,22.140,1.262,-7.01,4.163,-18.15,5,18,27.00,5.98,-0.647,0.953,0.000,-0.155,0.886,0.000,1,-0.501,47.74,0.157
87,22.548,1.194,-7.76,4.184,-15.97,5,18,27.00,6.23,-0.569,0.966,0.000,-0.545,0.979,0.000,1,-0.490,47.54,0.078
88,22.957,1.123,-8.31,4.180,-16.11,5,18,27.00,6.21,-0.574,0.978,0.000,-0.537,0.985,0.000,1,-0.482,47.15,0.051
89,23.362,1.038,-9.47,4.165,-15.90,5,18,27.00,6.24,-0.566,0.985,0.000,-0.542,0.937,0.000,1,-0.439,46.65,0.026
90,23.762,0.938,-10.82,4.150,-13.51,5,18,27.00,6.52,-0.481,0.990,0.000,-0.488,0.987,0.000,1,-0.326,47.37,0.006
91,24.158,0.824,-12.23,4.153,-13.04,5,18,27.00,6.58,-0.464,0.993,0.000,-0.460,0.997,0.000,1,-0.156,47.29,0.000
92,24.551,0.699,-13.60,4.158,-12.97,5,18,27.00,6.59,-0.462,0.996,0.000,-0.470,0.989,0.000,1,0.063,46.82,0.000
93,24.941,0.563,-14.97,4.164,-12.01,5,18,27.00,6.70,-0.428,0.997,0.000,-0.430,0.993,0.000,1,0.322,46.78,0.000
94,25.330,0.419,-16.40,4.173,-10.19,5,18,27.00,6.92,-0.363,0.998,0.000,-0.361,0.998,0.000,1,0.612,47.44,0.000
95,25.716,0.267,-17.74,4.181,-8.35,5,18,27.00,7.14,-0.298,0.999,0.000,-0.294,0.999,0.000,1,0.924,46.91,0.000
96,26.101,0.110,-18.92,4.197,-3.44,5,18,27.00,7.46,-0.122,0.999,0.000,-0.121,1.000,0.000,1,1.258,46.92,0.000
97,26.486,-0.051,-19.90,4.216,-0.42,5,18,27.00,7.45,-0.015,0.999,0.000,-0.013,1.000,0.000,1,1.608,47.22,0.000
98,26.874,-0.209,-20.47,4.239,4.68,5,18,27.00,7.45,+0.167,1.000,0.000,+0.163,0.999,0.000,1,1.977,48.21,0.000
99,27.264,-0.362,-20.66,4.238,9.79,5,18,27.00,6.97,+0.349,1.000,0.000,+0.376,0.970,0.000,1,2.356,47.48,0.000
100,27.658,-0.505,-20.39,4.219,15.53,5,18,27.00,6.28,+0.553,1.000,0.000,+0.465,0.956,0.000,1,2.746,46.83,0.000
101,28.055,-0.633,-19.58,4.203,20.63,5,18,27.00,5.71,+0.735,1.000,0.000,+0.752,0.883,0.000,1,3.143,46.61,0.060
102,28.455,-0.746,-18.50,4.189,25.74,5,18,27.00,5.22,+0.917,1.000,0.000,+0.756,0.855,0.000,1,3.544,47.42,0.163
103,28.859,-0.840,-17.03,4.171,27.30,5,18,27.00,5.08,+0.973,1.000,0.000,+0.853,0.751,0.000,1,3.952,46.94,0.148
104,29.267,-0.915,-15.27,4.164,28.07,5,18,27.00,5.01,+1.000,1.000,0.000,+0.837,0.758,0.000,1,4.365,46.83,0.611
105,29.678,-0.969,-13.28,4.149,26.96,5,18,27.00,5.11,+0.960,1.000,0.000,+0.854,0.794,0.000,1,4.600,46.74,0.375
106,30.090,-1.004,-11.10,4.123,25.18,5,18,27.00,5.27,+0.897,1.000,0.000,+0.807,0.844,0.000,1,4.126,48.55,0.380
107,30.500,-1.020,-8.76,4.102,28.07,5,18,27.00,5.01,+1.000,1.000,0.000,+0.906,0.805,0.000,1,4.703,47.11,0.441
108,30.910,-1.019,-6.39,4.086,28.07,5,18,27.00,5.01,+1.000,1.000,0.000,+0.911,0.863,0.000,1,4.649,46.97,0.293
109,31.317,-0.999,-3.87,4.074,28.07,5,18,27.00,5.01,+1.000,1.000,0.000,+0.855,0.847,0.000,1,4.411,46.58,0.327
110,31.723,-0.962,-1.21,4.082,27.66,5,18,27.00,5.05,+0.985,1.000,0.000,+0.891,0.766,0.000,1,4.538,47.44,0.609
111,32.126,-0.908,1.46,4.070,24.29,5,18,27.00,5.36,+0.865,1.000,0.000,+0.640,0.800,0.000,1,4.164,48.25,0.210
112,32.527,-0.837,4.04,4.084,27.44,5,18,27.00,5.07,+0.977,1.000,0.000,+0.885,0.751,0.000,1,4.633,57.95,0.298
113,32.925,-0.751,6.37,4.075,28.07,5,18,27.00,5.01,+1.000,1.000,0.000,+0.839,0.793,0.000,1,4.546,48.60,0.369
114,33.317,-0.648,8.95,4.061,24.88,5,18,27.00,5.30,+0.886,1.000,0.000,+0.807,0.761,0.000,1,4.455,59.01,0.361
115,33.703,-0.527,11.55,4.053,21.81,5,18,27.00,5.60,+0.777,1.000,0.000,+0.777,0.877,0.000,1,4.460,58.54,0.042
116,34.083,-0.390,14.08,4.056,17.35,5,18,27.00,6.08,+0.618,1.000,0.000,+0.613,0.970,0.000,1,4.116,58.23,0.004
117,34.460,-0.239,16.37,4.096,12.24,5,18,27.00,6.68,+0.436,1.000,0.000,+0.430,0.997,0.000,1,3.480,63.17,0.000
120,35.592,0.249,20.69,4.162,-0.78,5,18,27.00,7.46,-0.028,1.000,0.000,-0.026,1.000,0.000,1,1.988,67.85,0.000
121,35.972,0.408,21.13,4.172,-2.60,5,18,27.00,7.46,-0.093,1.000,0.000,-0.091,1.000,0.000,1,1.008,48.99,0.000
