time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.161709,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677832,-0.000106,-0.000774,0.000066,0.000350,0.000000,0.102617,0.000000,0,0,17.162273,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000508,-0.000042,0.000412,0.000366,0.000000,0.176945,0.000000,0,0,17.162402,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000565,0.000224,0.001674,0.000419,0.000000,0.261503,0.000000,0,0,17.162481,0.000000,0.000000,0.000000
0.408000,0.055213,0.000173,0.904352,0.001580,0.006305,0.011825,0.006243,0.000000,0.333868,0.000000,0,0,17.162507,0.000000,0.000000,0.000000
0.510000,0.061072,0.001419,0.642838,0.047468,0.092347,0.025456,-0.013929,0.000000,0.403107,0.000000,0,0,17.156892,0.000000,0.000000,0.000000
0.612000,0.059289,0.003535,0.717411,-0.053696,-0.093974,0.021268,-0.016964,0.000000,0.457597,0.000000,0,0,17.158965,0.000000,0.000000,0.000000
0.714000,0.053417,0.006329,0.790401,-0.028278,-0.039073,0.027111,-0.012992,0.000000,0.520598,0.000000,0,0,17.165182,0.000000,0.000000,0.000000
0.816000,0.055317,0.007404,0.778745,0.066329,0.080438,-0.012105,0.014162,0.000000,0.575250,0.000000,0,0,17.163459,0.000000,0.000000,0.000000
0.918000,0.068989,0.003888,0.755203,0.163184,0.161961,-0.006865,0.014474,0.000000,0.626904,0.000000,0,0,17.149421,0.000000,0.000000,0.000000
1.020000,0.088651,0.004229,0.757485,0.253432,0.248456,0.017400,0.001738,0.000000,0.664961,0.000000,0,0,17.130019,0.000000,0.000000,0.000000
1.122000,0.127101,0.007541,0.770260,0.515086,0.503776,0.035102,0.012301,0.000000,0.688649,0.000000,0,0,17.092468,0.000000,0.000000,0.000000
1.224000,0.194338,0.012483,0.788773,0.815536,0.808594,0.051235,0.020093,0.000000,0.701687,0.000000,0,0,17.026688,0.000000,0.000000,0.000000
1.326000,0.293273,0.018686,0.812554,1.122018,1.114644,0.061538,0.011428,0.000000,0.694840,0.000000,0,0,16.929758,0.000000,0.000000,0.000000
1.428000,0.423028,0.026470,0.837108,1.423131,1.418078,0.071898,0.007679,0.000000,0.656823,0.000000,0,0,16.802615,0.000000,0.000000,0.000000
1.530000,0.582100,0.034899,0.855301,1.688129,1.690437,0.064683,0.015408,0.000000,0.598800,0.000000,0,0,16.646629,0.000000,0.000000,0.000000
1.632000,0.767451,0.042171,0.862459,1.929284,1.937101,0.053571,0.020208,0.000000,0.510330,0.000000,0,0,16.464552,0.000000,0.000000,0.000000
1.734000,0.978541,0.049053,0.862006,2.185937,2.195189,0.049407,0.013240,0.000000,0.438277,0.004452,0,0,16.257056,0.000000,0.000000,0.000000
1.836000,1.215096,0.056319,0.858618,2.431582,2.433452,0.046368,0.014502,0.000000,0.379693,0.026937,0,0,16.024558,0.000000,0.000000,0.000000
1.938000,1.474095,0.063180,0.857377,2.630387,2.630866,0.033465,0.021072,0.000000,0.341051,0.055262,0,0,15.769949,0.000000,0.000000,0.000000
2.040000,1.750171,0.070418,0.855404,2.762355,2.768218,0.033228,0.018860,0.000000,0.307697,0.093247,0,0,15.498683,0.000000,0.000000,0.000000
2.142000,2.035588,0.077265,0.848652,2.809182,2.813425,0.014952,0.010343,0.000000,0.284223,0.129671,0,0,15.218294,0.000000,0.000000,0.000000
2.244000,2.320718,0.082965,0.842539,2.764654,2.766600,0.009827,0.006270,0.000000,0.262576,0.167771,0,0,14.938161,0.000000,0.000000,0.000000
2.346000,2.597224,0.088746,0.840923,2.651149,2.654193,0.007464,0.007591,0.000000,0.246329,0.194640,0,0,14.666705,0.000000,0.000000,0.000000
2.448000,2.861341,0.093866,0.840962,2.526387,2.529331,-0.002345,0.005190,0.000000,0.230455,0.213653,0,0,14.407496,0.000000,0.000000,0.000000
2.550000,3.113622,0.098375,0.830888,2.444494,2.419123,0.003044,-0.012133,0.000000,0.217931,0.219335,0,0,14.159984,0.000000,0.000000,0.000000
2.652000,3.353424,0.103454,0.798249,2.335737,2.284668,0.013276,-0.006310,0.000000,0.205190,0.214430,0,0,13.924995,0.000000,0.000000,0.000000
2.754000,3.576087,0.104937,0.780348,2.043117,2.078101,-0.014556,-0.010778,0.090909,0.194812,0.201382,0,0,13.706337,0.000000,0.000000,0.000000
2.856000,3.777290,0.108291,0.798055,1.858423,1.882144,0.015897,0.034676,0.295455,0.183999,0.177256,0,0,13.509223,0.000000,0.000000,0.000000
2.958000,3.961154,0.117483,0.819378,1.739601,1.742165,0.072909,0.078961,0.477273,0.175033,0.148075,0,0,13.330342,0.000000,0.000000,0.000000
3.060000,4.133540,0.134580,0.826297,1.660113,1.652782,0.157901,0.104988,0.593444,0.165681,0.108503,0,0,13.164366,0.000000,0.000000,0.000000
3.162000,4.298190,0.159707,0.822477,1.603369,1.596115,0.212845,0.133350,0.775262,0.165007,0.073204,0,0,13.007706,0.000000,0.000000,0.000000
3.264000,4.456272,0.193762,0.816095,1.526914,1.526583,0.292681,0.177749,0.816798,0.208509,0.047018,0,0,12.859474,0.000000,0.000000,0.000000
3.366000,4.607504,0.235071,0.813231,1.478506,1.480415,0.320618,0.189486,0.805765,0.272228,0.031722,0,0,12.719706,0.000000,0.000000,0.000000
3.468000,4.755172,0.280605,0.813656,1.496518,1.489810,0.301743,0.175502,0.743847,0.363124,0.020375,0,0,12.584645,0.000000,0.000000,0.000000
3.570000,4.905044,0.327955,0.814447,1.548180,1.540356,0.293066,0.198091,0.673730,0.450712,0.013746,0,0,12.448202,0.000000,0.000000,0.000000
3.672000,5.064116,0.377420,0.818106,1.690516,1.682551,0.282466,0.190333,0.764427,0.548399,0.008829,0,0,12.303664,0.000000,0.000000,0.000000
3.774000,5.238456,0.434358,0.822898,1.887899,1.878915,0.315205,0.197869,0.631613,0.626984,0.005957,0,0,12.146413,0.000000,0.000000,0.000000
3.876000,5.433897,0.500445,0.824474,2.120563,2.113113,0.326847,0.210802,0.506193,0.694842,0.004019,0,0,11.971398,0.000000,0.000000,0.000000
3.978000,5.652283,0.575530,0.827281,2.366429,2.364755,0.316370,0.196773,0.416714,0.748406,0.002712,0,0,11.777136,0.000000,0.000000,0.000000
4.080000,5.894245,0.659160,0.832362,2.601771,2.602797,0.313919,0.200852,0.401064,0.784834,0.001742,0,0,11.563324,0.000000,0.000000,0.000000
4.182000,6.157206,0.751713,0.838875,2.817907,2.822953,0.276437,0.185837,0.244800,0.796564,0.001119,0,0,11.333040,0.000000,0.000000,0.000000
4.284000,6.440769,0.850528,0.845228,3.029634,3.032155,0.236038,0.155264,0.173401,0.790459,0.000755,0,0,11.086503,0.000000,0.000000,0.000000
4.386000,6.743646,0.954421,0.848581,3.223144,3.223557,0.182544,0.138821,0.079055,0.767690,0.000485,0,0,10.825164,0.000000,0.000000,0.000000
4.488000,7.064373,1.061835,0.849952,3.393960,3.394070,0.121110,0.080806,-0.084574,0.733580,0.000311,0,0,10.550533,0.000000,0.000000,0.000000
4.590000,7.401560,1.169668,0.850219,3.533605,3.534438,0.049785,0.031557,-0.162512,0.696867,0.000210,0,0,10.263522,0.000000,0.000000,0.000000
4.692000,7.752721,1.274960,0.851250,3.641620,3.645604,-0.019118,-0.027066,-0.181282,0.657753,0.000142,0,0,9.965982,0.000000,0.000000,0.000000
4.794000,8.115754,1.376702,0.853085,3.738159,3.740695,-0.067249,-0.059463,-0.220313,0.614230,0.000091,0,0,9.659903,0.000000,0.000000,0.000000
4.896000,8.488758,1.474337,0.854615,3.810201,3.813465,-0.108640,-0.080482,-0.314315,0.576922,0.000058,0,0,9.347186,0.000000,0.000000,0.000000
4.998000,8.870394,1.565976,0.854412,3.876104,3.876893,-0.160364,-0.118281,-0.400001,0.554447,0.000041,0,0,9.028664,0.000000,0.000000,0.000000
5.100000,9.260604,1.649298,0.850956,3.939951,3.934909,-0.205132,-0.167854,-0.399134,0.533166,0.000025,0,0,8.703686,0.000000,0.000000,0.000000
