time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
7.8870,20.3383,1.5268,3.789,3,22.823,-0.513,0.717,3.2149,2.217,3.217,0,1
7.8900,20.3496,1.5283,3.789,3,22.823,-0.513,0.717,3.2072,2.217,3.217,0,1
7.8930,20.3608,1.5297,3.789,3,22.823,-0.513,0.717,3.1994,2.217,3.217,0,1
7.8960,20.3721,1.5312,3.789,3,22.823,-0.513,0.717,3.1917,2.217,3.217,0,1
7.8990,20.3834,1.5326,3.789,3,22.823,-0.513,0.717,3.1840,2.217,3.217,0,1
7.9020,20.3946,1.5340,3.789,3,22.823,-0.513,0.717,3.1762,2.217,3.217,0,1
7.9050,20.4059,1.5354,3.789,3,22.823,-0.513,0.717,3.1685,2.217,3.217,0,1
7.9080,20.4172,1.5368,3.790,3,22.823,-0.513,0.717,3.1608,2.217,3.217,0,1
7.9110,20.4285,1.5382,3.790,3,22.823,-0.513,0.717,3.1531,2.217,3.217,0,1
7.9140,20.4398,1.5395,3.789,3,22.823,-0.513,0.717,3.1455,2.217,3.217,0,1
7.9170,20.4510,1.5409,3.789,3,22.823,-0.513,0.717,3.1378,2.217,3.217,0,1
7.9200,20.4623,1.5422,3.785,3,22.823,-0.513,0.717,3.1302,2.217,3.217,0,1
7.9230,20.4736,1.5435,3.778,3,22.823,-0.513,0.717,3.1225,2.217,3.217,0,1
7.9260,20.4848,1.5448,3.766,3,22.823,-0.513,0.717,3.1150,2.217,3.217,0,1
7.9290,20.4960,1.5461,3.769,3,22.823,-0.513,0.717,3.1074,2.217,3.217,0,1
7.9320,20.5072,1.5474,3.768,3,22.823,-0.513,0.717,3.0998,2.217,3.217,0,1
7.9350,20.5185,1.5486,3.773,3,22.823,-0.513,0.717,3.0923,2.217,3.217,0,1
7.9380,20.5297,1.5499,3.776,3,22.823,-0.513,0.717,3.0847,2.217,3.217,0,1
7.9410,20.5410,1.5511,3.780,3,22.823,-0.513,0.717,3.0772,2.217,3.217,0,1
7.9440,20.5523,1.5523,3.785,3,22.823,-0.513,0.717,3.0696,2.217,3.217,0,1
7.9470,20.5636,1.5535,3.783,3,22.823,-0.513,0.717,3.0621,2.217,3.217,0,1
7.9500,20.5749,1.5546,3.781,3,22.823,-0.513,0.717,3.0545,2.217,3.217,0,1
7.9530,20.5862,1.5557,3.787,3,22.823,-0.513,0.717,3.0470,2.217,3.217,0,1
7.9560,20.5974,1.5569,3.782,3,22.823,-0.513,0.717,3.0395,2.217,3.217,0,1
7.9590,20.6088,1.5579,3.787,3,22.823,-0.513,0.717,3.0320,2.217,3.217,0,1
7.9620,20.6201,1.5590,3.787,3,22.823,-0.513,0.717,3.0244,2.217,3.217,0,1
7.9650,20.6314,1.5600,3.786,3,22.823,-0.513,0.717,3.0169,2.217,3.217,0,1
7.9680,20.6427,1.5611,3.787,3,22.823,-0.513,0.717,3.0094,2.217,3.217,0,1
7.9710,20.6540,1.5620,3.788,3,22.823,-0.513,0.717,3.0019,2.217,3.217,0,1
7.9740,20.6653,1.5630,3.792,3,22.823,-0.513,0.717,2.9944,2.217,3.217,0,1
7.9770,20.6767,1.5640,3.795,3,22.823,-0.513,0.717,2.9869,2.217,3.217,0,1
7.9800,20.6880,1.5649,3.795,3,22.823,-0.513,0.717,2.9794,2.217,3.217,0,1
7.9830,20.6994,1.5658,3.796,3,22.823,-0.513,0.717,2.9719,2.217,3.217,0,1
7.9860,20.7108,1.5668,3.797,3,22.823,-0.513,0.717,2.9645,2.217,3.217,0,1
7.9890,20.7221,1.5677,3.799,3,22.823,-0.513,0.717,2.9570,2.217,3.217,0,1
7.9920,20.7335,1.5686,3.800,3,22.823,-0.513,0.717,2.9496,2.217,3.217,0,1
7.9950,20.7449,1.5694,3.801,3,22.823,-0.513,0.717,2.9421,2.217,3.217,0,1
7.9980,20.7562,1.5703,3.800,3,22.823,-0.513,0.717,2.9347,2.217,3.217,0,1
8.0010,20.7676,1.5712,3.802,3,22.823,-0.513,0.717,2.9274,2.217,3.217,0,1
8.0040,20.7790,1.5720,3.789,3,22.823,-0.513,0.717,2.9200,2.217,3.217,0,1
8.0070,20.7903,1.5729,3.792,3,22.823,-0.513,0.717,2.9127,2.217,3.217,0,1
8.0100,20.8017,1.5738,3.790,3,22.823,-0.513,0.717,2.9054,2.217,3.217,0,1
8.0130,20.8130,1.5747,3.788,3,22.823,-0.513,0.717,2.8982,2.217,3.217,0,1
8.0160,20.8244,1.5756,3.787,3,22.823,-0.513,0.717,2.8909,2.217,3.217,0,1
8.0190,20.8357,1.5765,3.784,3,22.823,-0.513,0.717,2.8838,2.217,3.217,0,1
8.0220,20.8471,1.5774,3.793,3,22.823,-0.513,0.717,2.8766,2.217,3.217,0,1
8.0250,20.8584,1.5783,3.784,3,22.823,-0.513,0.717,2.8695,2.217,3.217,0,1
8.0280,20.8698,1.5792,3.787,3,22.823,-0.513,0.717,2.8624,2.217,3.217,0,1
8.0310,20.8811,1.5802,3.789,3,22.823,-0.513,0.717,2.8554,2.217,3.217,0,1
8.0340,20.8925,1.5812,3.793,3,22.823,-0.513,0.717,2.8484,2.217,3.217,0,1
8.0370,20.9038,1.5821,3.798,3,22.823,-0.513,0.717,2.8414,2.217,3.217,0,1
8.0400,20.9152,1.5831,3.801,3,22.823,-0.513,0.717,2.8344,2.217,3.217,0,1
8.0430,20.9266,1.5841,3.803,3,22.823,-0.513,0.717,2.8275,2.217,3.217,0,1
8.0460,20.9380,1.5850,3.810,3,22.823,-0.513,0.717,2.8206,2.217,3.217,0,1
8.0490,20.9495,1.5860,3.813,3,22.823,-0.513,0.717,2.8137,2.217,3.217,0,1
8.0520,20.9609,1.5870,3.815,3,22.823,-0.513,0.717,2.8068,2.217,3.217,0,1
8.0550,20.9723,1.5879,3.816,3,22.823,-0.513,0.717,2.8000,2.217,3.217,0,1
8.0580,20.9838,1.5889,3.818,3,22.823,-0.513,0.717,2.7932,2.217,3.217,0,1
8.0610,20.9952,1.5899,3.815,3,22.823,-0.513,0.717,2.7864,2.217,3.217,0,1
8.0640,21.0066,1.5909,3.815,3,22.823,-0.513,0.717,2.7796,2.217,3.217,0,1
8.0670,21.0180,1.5919,3.816,3,22.823,-0.513,0.717,2.7729,2.217,3.217,0,1
8.0700,21.0295,1.5929,3.815,3,22.823,-0.513,0.717,2.7663,2.217,3.217,0,1
8.0730,21.0409,1.5939,3.815,3,22.823,-0.513,0.717,2.7597,2.217,3.217,0,1
8.0760,21.0523,1.5949,3.816,3,22.823,-0.513,0.717,2.7531,2.217,3.217,0,1
8.0790,21.0637,1.5959,3.815,3,22.823,-0.513,0.717,2.7465,2.217,3.217,0,1
8.0820,21.0752,1.5970,3.815,3,22.823,-0.513,0.717,2.7400,2.217,3.217,0,1
8.0850,21.0866,1.5980,3.815,3,22.823,-0.513,0.717,2.7336,2.217,3.217,0,1
8.0880,21.0980,1.5991,3.817,3,22.823,-0.513,0.717,2.7272,2.217,3.217,0,1
8.0910,21.1094,1.6002,3.818,3,22.823,-0.513,0.717,2.7208,2.217,3.217,0,1
8.0940,21.1209,1.6013,3.818,3,22.823,-0.513,0.717,2.7145,2.217,3.217,0,1
8.0970,21.1323,1.6025,3.819,3,22.823,-0.513,0.717,2.7082,2.217,3.217,0,1
8.1000,21.1437,1.6036,3.819,3,22.823,-0.513,0.717,2.7020,2.217,3.217,0,1
8.1030,21.1551,1.6047,3.819,3,22.823,-0.513,0.717,2.6958,2.217,3.217,0,1
8.1060,21.1666,1.6059,3.820,3,22.823,-0.513,0.717,2.6897,2.217,3.217,0,1
8.1090,21.1780,1.6071,3.820,3,22.823,-0.513,0.717,2.6836,2.217,3.217,0,1
8.1120,21.1894,1.6083,3.822,3,22.823,-0.513,0.717,2.6775,2.217,3.217,0,1
8.1150,21.2008,1.6095,3.823,3,22.823,-0.513,0.717,2.6716,2.217,3.217,0,1
8.1180,21.2123,1.6107,3.823,3,22.823,-0.513,0.717,2.6656,2.217,3.217,0,1
8.1210,21.2237,1.6120,3.822,3,22.823,-0.513,0.717,2.6597,2.217,3.217,0,1
8.1240,21.2351,1.6132,3.823,3,22.823,-0.513,0.717,2.6539,2.217,3.217,0,1
8.1270,21.2465,1.6145,3.822,3,22.823,-0.513,0.717,2.6481,2.217,3.217,0,1
8.1300,21.2579,1.6158,3.817,3,22.823,-0.513,0.717,2.6424,2.217,3.217,0,1
8.1330,21.2693,1.6171,3.817,3,22.823,-0.513,0.717,2.6367,2.217,3.217,0,1
