step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.847,0.061,0.81,2.990,0.00,1,18,27.00,7.56,+0.000,0.999,0.000,+0.000,0.999,0.000,0,11.431,10.26,0.000
24,3.181,0.101,1.34,3.729,0.00,1,18,27.00,7.49,+0.000,1.000,0.000,+0.004,0.999,0.000,1,9.634,45.95,0.000
26,3.916,0.119,1.46,3.691,-1.17,1,18,27.00,7.50,-0.042,0.996,0.000,-0.043,0.999,0.000,1,9.413,55.46,0.000
27,4.293,0.125,1.41,3.851,-2.98,2,18,27.00,7.48,-0.106,0.988,0.000,-0.104,0.989,0.000,1,8.507,56.52,0.000
28,4.681,0.130,1.33,3.994,-0.74,2,18,27.00,7.47,-0.026,0.974,0.000,-0.023,0.974,0.000,1,8.007,59.92,0.000
29,5.079,0.134,1.13,4.054,-1.49,2,18,27.00,7.47,-0.053,0.959,0.000,-0.060,0.963,0.000,1,6.967,58.62,0.000
30,5.483,0.138,0.95,4.111,-1.49,3,18,27.00,7.46,-0.053,0.938,0.000,-0.048,0.939,0.000,1,6.464,58.65,0.000
31,5.894,0.141,0.75,4.164,0.07,3,18,27.00,7.46,+0.003,0.918,0.000,+0.006,0.919,0.000,1,6.490,67.54,0.000
33,6.727,0.146,0.68,4.235,-3.93,3,18,27.00,7.45,-0.140,0.885,0.000,-0.150,0.886,0.000,1,5.486,53.16,0.000
34,7.147,0.140,0.41,4.252,-0.83,3,18,27.00,7.45,-0.030,0.875,0.000,-0.039,0.877,0.000,1,5.520,58.70,0.000
35,7.569,0.132,0.20,4.279,-0.48,3,18,27.00,7.45,-0.017,0.872,0.000,-0.010,0.868,0.000,1,4.491,47.81,0.000
36,7.993,0.126,0.13,4.288,-0.36,3,18,27.00,7.45,-0.013,0.876,0.000,-0.017,0.881,0.000,1,4.885,48.23,0.000
37,8.419,0.124,0.09,4.304,-0.81,4,18,27.00,7.45,-0.029,0.887,0.000,-0.019,0.889,0.000,1,4.659,47.58,0.000
38,8.847,0.123,0.07,4.331,-1.66,5,18,27.00,7.45,-0.059,0.903,0.000,-0.057,0.909,0.000,1,3.425,48.43,0.000
39,9.276,0.124,0.02,4.338,-2.16,5,18,27.00,7.44,-0.077,0.924,0.000,-0.073,0.925,0.000,1,2.895,48.14,0.000
40,9.705,0.123,-0.12,4.338,-1.65,5,18,27.00,7.44,-0.059,0.950,0.000,-0.060,0.950,0.000,1,2.654,47.55,0.000
41,10.134,0.118,-0.28,4.331,-0.20,5,18,27.00,7.45,-0.007,0.967,0.000,-0.017,0.974,0.000,1,2.217,47.22,0.000
42,10.563,0.113,-0.44,4.335,1.07,5,18,27.00,7.44,+0.038,0.978,0.000,+0.007,0.978,0.000,1,2.020,47.75,0.001
43,10.993,0.105,-0.48,4.352,0.57,5,18,27.00,7.44,+0.020,0.986,0.000,+0.004,0.987,0.000,1,1.678,47.25,0.000
44,11.425,0.099,-0.47,4.360,1.71,5,18,27.00,7.44,+0.061,0.991,0.000,-0.003,0.967,0.000,1,0.958,47.28,0.000
45,11.856,0.094,-0.52,4.354,1.02,5,18,27.00,7.44,+0.036,0.994,0.000,+0.023,0.987,0.000,1,0.443,47.85,0.000
46,12.288,0.093,-0.55,4.361,3.17,5,18,27.00,7.44,+0.113,0.996,0.000,+0.051,0.884,0.000,1,-0.094,49.19,0.012
47,12.719,0.095,-0.49,4.364,4.61,5,18,27.00,7.44,+0.164,0.997,0.000,+0.159,0.919,0.000,1,-0.372,47.45,0.007
48,13.151,0.100,-0.26,4.367,4.82,5,18,27.00,7.44,+0.172,0.998,0.000,+0.242,0.992,0.000,1,0.803,47.40,0.003
49,13.583,0.112,0.29,4.357,5.52,5,18,27.00,7.40,+0.197,0.999,0.000,+0.310,0.985,0.000,1,0.423,47.35,0.000
