time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.7570,19.6241,-0.2140,2.378,3,22.823,-0.513,0.717,3.2131,2.217,3.217,0,1
8.7600,19.6305,-0.2171,2.370,3,22.823,-0.513,0.717,3.2064,2.217,3.217,0,1
8.7630,19.6369,-0.2202,2.364,3,22.823,-0.513,0.717,3.1998,2.217,3.217,0,1
8.7660,19.6433,-0.2233,2.356,3,22.823,-0.513,0.717,3.1932,2.217,3.217,0,1
8.7690,19.6496,-0.2264,2.348,3,22.823,-0.513,0.717,3.1866,2.217,3.217,0,1
8.7720,19.6559,-0.2294,2.340,3,22.823,-0.513,0.717,3.1800,2.217,3.217,0,1
8.7750,19.6623,-0.2325,2.333,3,22.823,-0.513,0.717,3.1734,2.217,3.217,0,1
8.7780,19.6685,-0.2355,2.325,3,22.823,-0.513,0.717,3.1669,2.217,3.217,0,1
8.7810,19.6748,-0.2386,2.317,3,22.823,-0.513,0.717,3.1604,2.217,3.217,0,1
8.7840,19.6811,-0.2416,2.311,3,22.823,-0.513,0.717,3.1539,2.217,3.217,0,1
8.7870,19.6873,-0.2446,2.303,3,22.823,-0.513,0.717,3.1474,2.217,3.217,0,1
8.7900,19.6935,-0.2476,2.295,3,22.823,-0.513,0.717,3.1410,2.217,3.217,0,1
8.7930,19.6997,-0.2506,2.289,3,22.823,-0.513,0.717,3.1346,2.217,3.217,0,1
8.7960,19.7059,-0.2536,2.282,3,22.823,-0.513,0.717,3.1282,2.217,3.217,0,1
8.7990,19.7120,-0.2566,2.272,3,22.823,-0.513,0.717,3.1218,2.217,3.217,0,1
8.8020,19.7181,-0.2595,2.265,3,22.823,-0.513,0.717,3.1155,2.217,3.217,0,1
8.8050,19.7242,-0.2625,2.257,3,22.823,-0.513,0.717,3.1091,2.217,3.217,0,1
8.8080,19.7303,-0.2654,2.251,3,22.823,-0.513,0.717,3.1028,2.217,3.217,0,1
8.8110,19.7364,-0.2684,2.246,3,22.823,-0.513,0.717,3.0966,2.217,3.217,0,1
8.8140,19.7424,-0.2713,2.237,3,22.823,-0.513,0.717,3.0903,2.217,3.217,0,1
8.8170,19.7485,-0.2742,2.231,3,22.823,-0.513,0.717,3.0840,2.217,3.217,0,1
8.8200,19.7545,-0.2771,2.224,3,22.823,-0.513,0.717,3.0778,2.217,3.217,0,1
8.8230,19.7605,-0.2800,2.216,3,22.823,-0.513,0.717,3.0716,2.217,3.217,0,1
8.8260,19.7665,-0.2829,2.208,3,22.823,-0.513,0.717,3.0655,2.217,3.217,0,1
8.8290,19.7724,-0.2858,2.202,3,22.823,-0.513,0.717,3.0593,2.217,3.217,0,1
8.8320,19.7783,-0.2886,2.192,3,22.823,-0.513,0.717,3.0532,2.217,3.217,0,1
8.8350,19.7843,-0.2915,2.185,3,22.823,-0.513,0.717,3.0471,2.217,3.217,0,1
8.8380,19.7901,-0.2943,2.178,3,22.823,-0.513,0.717,3.0410,2.217,3.217,0,1
8.8410,19.7960,-0.2971,2.166,3,22.823,-0.513,0.717,3.0349,2.217,3.217,0,1
8.8440,19.8018,-0.2999,2.160,3,22.823,-0.513,0.717,3.0289,2.217,3.217,0,1
8.8470,19.8077,-0.3027,2.151,3,22.823,-0.513,0.717,3.0229,2.217,3.217,0,1
8.8500,19.8135,-0.3055,2.144,3,22.823,-0.513,0.717,3.0169,2.217,3.217,0,1
8.8530,19.8192,-0.3083,2.137,3,22.823,-0.513,0.717,3.0110,2.217,3.217,0,1
8.8560,19.8250,-0.3110,2.129,3,22.823,-0.513,0.717,3.0051,2.217,3.217,0,1
8.8590,19.8307,-0.3138,2.122,3,22.823,-0.513,0.717,2.9991,2.217,3.217,0,1
8.8620,19.8365,-0.3166,2.115,3,22.823,-0.513,0.717,2.9933,2.217,3.217,0,1
8.8650,19.8422,-0.3193,2.108,3,22.823,-0.513,0.717,2.9874,2.217,3.217,0,1
8.8680,19.8478,-0.3220,2.101,3,22.823,-0.513,0.717,2.9815,2.217,3.217,0,1
8.8710,19.8535,-0.3248,2.092,3,22.823,-0.513,0.717,2.9757,2.217,3.217,0,1
8.8740,19.8591,-0.3275,2.086,3,22.823,-0.513,0.717,2.9699,2.217,3.217,0,1
8.8770,19.8647,-0.3302,2.078,3,22.823,-0.513,0.717,2.9642,2.217,3.217,0,1
8.8800,19.8703,-0.3329,2.070,3,22.823,-0.513,0.717,2.9584,2.217,3.217,0,1
8.8830,19.8759,-0.3356,2.063,3,22.823,-0.513,0.717,2.9527,2.217,3.217,0,1
8.8860,19.8815,-0.3383,2.055,3,22.823,-0.513,0.717,2.9470,2.217,3.217,0,1
8.8890,19.8870,-0.3409,2.047,3,22.823,-0.513,0.717,2.9413,2.217,3.217,0,1
8.8920,19.8925,-0.3436,2.038,3,22.823,-0.513,0.717,2.9356,2.217,3.217,0,1
8.8950,19.8980,-0.3462,2.031,3,22.823,-0.513,0.717,2.9300,2.217,3.217,0,1
8.8980,19.9035,-0.3489,2.023,3,22.823,-0.513,0.717,2.9244,2.217,3.217,0,1
8.9010,19.9089,-0.3515,2.017,3,22.823,-0.513,0.717,2.9188,2.217,3.217,0,1
8.9040,19.9144,-0.3541,2.010,3,22.823,-0.513,0.717,2.9132,2.217,3.217,0,1
8.9070,19.9198,-0.3567,2.002,3,22.823,-0.513,0.717,2.9077,2.217,3.217,0,1
8.9100,19.9251,-0.3592,1.974,3,22.823,-0.513,0.717,2.9022,2.217,3.217,0,1
8.9130,19.9305,-0.3618,1.983,3,22.823,-0.513,0.717,2.8967,2.217,3.217,0,1
8.9160,19.9359,-0.3644,1.982,3,22.823,-0.513,0.717,2.8912,2.217,3.217,0,1
8.9190,19.9412,-0.3669,1.970,3,22.823,-0.513,0.717,2.8858,2.217,3.217,0,1
8.9220,19.9465,-0.3695,1.953,3,22.823,-0.513,0.717,2.8804,2.217,3.217,0,1
8.9250,19.9517,-0.3720,1.953,3,22.823,-0.513,0.717,2.8750,2.217,3.217,0,1
8.9280,19.9570,-0.3746,1.951,3,22.823,-0.513,0.717,2.8696,2.217,3.217,0,1
8.9310,19.9623,-0.3771,1.941,3,22.823,-0.513,0.717,2.8642,2.217,3.217,0,1
8.9340,19.9675,-0.3797,1.922,3,22.823,-0.513,0.717,2.8589,2.217,3.217,0,1
8.9370,19.9727,-0.3822,1.930,3,22.823,-0.513,0.717,2.8536,2.217,3.217,0,1
8.9400,19.9779,-0.3847,1.919,3,22.823,-0.513,0.717,2.8483,2.217,3.217,0,1
8.9430,19.9831,-0.3872,1.914,3,22.823,-0.513,0.717,2.8430,2.217,3.217,0,1
8.9460,19.9882,-0.3897,1.903,3,22.823,-0.513,0.717,2.8377,2.217,3.217,0,1
8.9490,19.9934,-0.3922,1.896,3,22.823,-0.513,0.717,2.8325,2.217,3.217,0,1
8.9520,19.9985,-0.3947,1.889,3,22.823,-0.513,0.717,2.8273,2.217,3.217,0,1
8.9550,20.0036,-0.3971,1.879,3,22.823,-0.513,0.717,2.8221,2.217,3.217,0,1
