sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778908667.657785,0,1.637095,-0.049222,0.001327,-0.0192,0.0622,0.000822,1.648994,-0.000000,-0.000000,-0.0020,1.636987,-0.048701,0.001341,-0.0049,0.0003,0.000011,-0.110566,0.0000,1.636987,0.000000,0.000000,5.0000,0.000000,2.000000,3413.7687,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0722,0.0000,0.000000,0.2000,17.06,9.47,43.59,6.49,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-405.16329408536745,-555.3510282660161,-0.126313,-0.120966,6560.0,6060.6,-0.020333,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778908667.665125,1,1.667154,0.017473,-0.006908,-0.0721,0.0238,-0.002449,1.648913,-0.000001,-0.000000,-0.0094,1.667100,0.017928,-0.006898,-0.0023,0.0004,0.000016,-0.017468,0.0000,1.667100,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.1936,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0785,0.0000,0.000000,0.2240,15.37,9.04,39.77,6.59,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-225.46559187681703,-423.87653740264,-0.109672,-0.108437,6556.8,6063.8,-0.018000,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778908667.672414,2,1.616104,0.048872,-0.000304,-0.0375,0.0344,0.000012,1.648775,-0.000002,-0.000002,-0.0125,1.616068,0.049292,-0.000295,-0.0015,0.0005,0.000023,-0.005706,0.0000,1.616068,0.000000,0.000000,5.0000,0.000000,2.000000,3343.7140,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0855,0.0000,0.000000,0.2480,13.77,8.23,35.76,3.64,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-160.44352956798087,-344.4165390746571,-0.101769,-0.100757,6551.9,6068.6,-0.014501,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778908667.680147,3,1.593110,-0.000562,0.000087,0.0427,0.0606,0.000098,1.648627,-0.000005,-0.000003,-0.0121,1.593355,-0.000131,0.000096,0.0075,0.0010,0.000043,0.009012,0.0000,1.593355,0.000000,0.000000,5.0000,0.000000,2.000000,3343.2224,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0931,0.0000,0.000000,0.2720,11.77,7.52,31.06,3.46,-0.000005,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-197.38231322640297,-369.95816261451137,-0.105463,-0.104525,6545.8,6074.8,-0.010030,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778908667.692235,4,1.591924,-0.008853,-0.009945,-0.0146,-0.1036,0.000322,1.648492,-0.000007,-0.000005,-0.0105,1.592107,-0.008673,-0.009941,0.0067,0.0007,0.000030,0.028487,0.0000,1.592107,0.000000,0.000000,5.0000,0.000000,2.000000,3346.7725,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1015,0.0000,0.000000,0.2960,10.08,6.90,27.06,3.42,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,13.490853712311946,-17.38913763947535,-0.045444,-0.044269,6538.8,6081.8,-0.004940,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778908667.704285,5,1.763837,0.052790,0.004502,0.0066,-0.0844,0.000682,1.648464,-0.000004,-0.000003,0.0006,1.764004,0.052807,0.004504,0.0074,0.0001,0.000005,0.055543,0.0000,1.764004,-0.000000,-0.000000,5.0000,0.000000,2.000000,3357.5487,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1105,0.0000,0.000000,0.3200,8.65,6.40,23.70,3.54,-0.000004,-0.0002,-4.9994,nan,nan,nan,nan,nan,nan,0.0,0.0,-19.97952439483707,3.789779986454832,-0.004422,-0.002602,6530.2,6090.4,0.001311,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778908667.716188,6,1.721495,-0.004199,-0.000537,-0.0717,0.0456,0.001944,1.648468,0.000001,-0.000000,0.0002,1.721619,-0.004116,-0.000533,0.0064,0.0007,0.000033,0.072664,0.0000,1.721619,0.000000,-0.000000,5.0000,0.000000,2.000000,3364.8609,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1201,0.0000,0.000000,0.3440,7.44,5.97,20.84,3.53,0.000001,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-10.373060711457853,5.292255942325923,-0.022426,-0.018474,6524.3,6096.2,0.005538,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778908667.728337,7,1.604523,0.024718,0.008571,0.0185,-0.0460,0.000746,1.648453,0.000007,0.000003,-0.0009,1.604682,0.024719,0.008573,0.0092,-0.0001,0.000005,0.088023,0.0000,1.604682,0.000000,0.000000,5.0000,0.000000,2.000000,3373.6595,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1303,0.0000,0.000000,0.3680,6.40,5.61,18.41,3.56,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-17.56764234201286,9.69944570904434,-0.000726,0.003415,6519.2,6101.4,0.009283,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778908667.740167,8,1.672134,-0.013795,0.006569,0.0936,0.0083,-0.000144,1.648434,0.000013,0.000007,-0.0008,1.672552,-0.013781,0.006571,0.0260,0.0001,0.000017,0.105987,0.0000,1.672552,0.000000,-0.000000,5.0000,0.000000,2.000000,3372.0146,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1410,0.0000,0.000000,0.3920,5.50,5.33,16.34,3.77,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-18.206594669056344,9.186249210068809,-0.003701,-0.000546,6513.5,6107.0,0.013381,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778908667.755401,9,1.669010,-0.025097,0.005024,0.0068,-0.0334,-0.000904,1.648415,0.000021,0.000011,-0.0007,1.669334,-0.025133,0.005024,0.0227,-0.0009,-0.000024,0.123852,0.0000,1.669334,0.000000,-0.000000,5.0000,0.000000,2.000000,3363.1553,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1522,0.0000,0.000000,0.4160,4.74,5.11,14.60,3.90,0.000021,0.0006,-5.0007,0.008000,0.029616,0.2043,-0.478939,-0.005587,-0.000960,0.0,0.0,-6.0689047713954665,21.351230458126224,0.010503,0.011893,6508.1,6112.5,0.017326,0.000000,0.000000,0.5000,1.0000,,,,,
