step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
15,0.418,0.023,1.11,1.110,0.00,1,18,10.00,5.63,+0.000,0.991,0.000,-0.001,0.993,0.000,1,16.589,45.92,0.000
16,0.537,0.030,1.26,1.286,0.00,1,18,10.00,5.63,+0.000,0.995,0.000,+0.000,0.999,0.000,1,15.740,45.72,0.000
17,0.673,0.036,1.41,1.461,0.00,1,18,10.00,5.63,+0.000,0.996,0.000,-0.000,1.000,0.000,1,15.854,46.05,0.000
18,0.825,0.042,1.53,1.607,0.00,1,18,10.00,5.63,+0.000,0.998,0.000,-0.000,1.000,0.000,1,15.684,45.99,0.000
19,0.991,0.048,1.62,1.752,0.00,1,18,10.00,5.63,+0.000,0.998,0.000,-0.002,0.999,0.000,1,14.524,46.04,0.000
20,1.173,0.055,1.68,1.908,0.00,1,18,10.00,5.63,+0.000,0.999,0.000,+0.004,0.997,0.000,1,14.183,46.21,0.000
21,1.369,0.062,1.75,2.059,0.00,1,18,10.00,5.63,+0.000,0.999,0.000,-0.003,0.998,0.000,1,14.116,46.02,0.000
22,1.580,0.071,1.82,2.193,0.00,1,18,10.00,5.63,+0.000,1.000,0.000,-0.004,0.999,0.000,1,13.738,46.10,0.000
23,1.804,0.080,1.89,2.328,0.00,1,18,10.00,5.62,+0.000,1.000,0.000,-0.005,0.988,0.000,1,13.439,45.95,0.000
24,2.042,0.089,1.96,2.471,0.00,1,18,10.00,5.62,+0.000,1.000,0.000,+0.001,0.995,0.000,1,12.878,46.06,0.000
25,2.293,0.098,2.08,2.609,0.00,1,18,10.00,5.62,+0.000,1.000,0.000,-0.001,0.971,0.000,1,12.509,46.35,0.000
26,2.558,0.108,2.22,2.749,0.00,1,18,10.00,5.62,+0.000,1.000,0.000,+0.039,0.937,0.000,1,12.263,46.50,0.014
27,2.837,0.120,2.35,2.898,0.00,1,18,10.00,5.62,+0.000,1.000,0.000,-0.017,0.935,0.000,1,11.600,46.15,0.009
28,3.132,0.134,2.49,3.057,0.00,1,18,10.00,5.61,+0.000,1.000,0.000,-0.132,0.883,0.000,1,11.318,46.00,0.039
29,3.438,0.147,2.55,3.212,-0.64,1,18,10.00,5.61,-0.023,1.000,0.000,+0.038,0.839,0.000,1,11.074,46.08,0.009
30,3.755,0.161,2.45,3.196,-5.74,1,18,10.00,5.56,-0.205,1.000,0.000,-0.241,0.946,0.000,1,10.680,46.03,0.003
31,4.081,0.175,2.46,3.337,-8.79,1,18,10.00,5.28,-0.313,1.000,0.000,-0.493,0.797,0.000,1,10.433,45.99,0.046
32,4.419,0.185,2.26,3.493,-11.11,2,18,10.00,5.05,-0.396,1.000,0.000,-0.264,0.756,0.000,1,10.461,46.85,0.267
33,4.771,0.188,1.77,3.616,-9.33,2,18,10.00,5.23,-0.332,1.000,0.000,-0.551,0.786,0.000,1,9.316,46.31,0.473
34,5.133,0.186,1.40,3.703,-8.43,2,18,10.00,5.32,-0.300,1.000,0.000,-0.235,0.869,0.000,1,8.912,46.45,0.094
35,5.507,0.175,0.76,3.842,-6.71,3,18,10.00,5.47,-0.239,0.989,0.000,-0.196,0.799,0.000,1,8.278,53.45,0.271
36,5.894,0.162,0.20,3.983,-5.62,3,18,10.00,5.56,-0.200,0.963,0.000,-0.186,0.803,0.000,1,7.848,52.97,0.355
37,6.294,0.146,-0.37,4.084,-1.20,3,18,10.00,5.60,-0.043,0.916,0.000,-0.188,0.519,0.000,1,6.997,53.24,0.788
38,6.702,0.128,-0.92,4.160,-0.28,3,18,10.00,5.60,-0.010,0.864,0.000,-0.082,0.661,0.000,1,7.035,58.69,0.319
39,7.117,0.109,-1.43,4.237,0.79,3,18,10.00,5.60,+0.028,0.806,0.000,+0.078,0.677,0.000,1,6.339,57.20,0.117
40,7.540,0.089,-1.73,4.306,2.66,3,18,10.00,5.59,+0.095,0.747,0.000,+0.097,0.614,0.000,1,6.059,56.11,0.118
41,7.968,0.073,-1.75,4.350,2.97,3,18,10.00,5.59,+0.106,0.692,0.000,+0.176,0.486,0.000,1,5.059,82.24,0.222
42,8.401,0.063,-1.64,4.393,2.27,4,18,10.00,5.59,+0.081,0.661,0.000,+0.278,0.585,0.000,1,5.536,49.98,0.022
43,8.837,0.060,-1.38,4.422,1.63,5,18,10.00,5.59,+0.058,0.595,0.000,-0.049,0.506,0.000,1,4.872,48.34,0.012
51,12.420,0.024,-0.66,4.607,-0.19,5,18,26.00,7.65,-0.007,0.533,0.000,-0.030,0.539,0.000,1,0.562,66.91,0.000
52,12.877,0.023,-0.63,4.620,-1.22,5,18,26.00,7.79,-0.043,0.545,0.000,-0.039,0.547,0.000,1,0.908,47.48,0.000
53,13.334,0.019,-0.68,4.626,2.47,5,18,26.00,7.79,+0.088,0.559,0.000,+0.128,0.549,0.000,1,0.538,47.71,0.004
54,13.800,0.014,-0.77,4.821,3.90,5,18,26.00,7.91,+0.139,0.571,0.000,-0.010,0.569,0.000,1,-0.533,47.46,0.065
55,14.288,0.010,-0.74,5.026,6.16,5,18,26.00,7.78,+0.220,0.573,0.000,+0.594,0.512,0.000,1,-0.091,47.03,0.039
56,14.793,0.007,-0.80,5.176,8.16,5,18,26.00,7.63,+0.291,0.556,0.000,+0.773,0.634,0.000,1,-0.276,47.64,0.056
57,15.313,0.011,-0.40,5.321,11.94,5,18,26.00,7.11,+0.425,0.522,0.000,+0.799,0.537,0.000,1,-0.504,46.72,0.049
58,15.847,0.026,0.44,5.458,16.77,5,18,26.00,6.52,+0.597,0.472,0.000,+0.694,0.467,0.000,1,-0.433,47.12,0.038
59,16.393,0.052,1.57,5.589,17.92,5,18,26.00,6.37,+0.638,0.406,0.000,+0.829,0.415,0.000,1,-0.479,46.96,0.192
60,16.951,0.092,2.80,5.687,20.82,5,18,26.00,6.07,+0.741,0.352,0.004,+0.860,0.292,0.000,1,-0.575,47.12,0.489
61,17.517,0.150,4.13,5.770,19.52,5,18,26.00,6.24,+0.695,0.316,0.022,+0.854,0.240,0.000,1,-0.471,46.93,0.783
62,18.087,0.225,5.62,5.828,17.94,5,18,26.00,6.44,+0.639,0.289,0.046,+0.957,0.000,0.053,1,-0.555,47.27,1.868
63,18.657,0.317,7.16,5.804,18.43,5,18,26.00,6.38,+0.656,0.267,0.073,+0.858,0.000,0.198,1,-0.541,50.47,3.525
64,19.217,0.423,8.79,5.659,16.53,5,18,26.00,6.62,+0.589,0.249,0.099,+0.862,0.000,0.398,1,-0.553,47.53,5.261
65,19.756,0.534,10.44,5.438,15.54,5,18,26.00,6.74,+0.553,0.232,0.120,+0.892,0.000,0.730,1,0.435,46.77,23.730
66,20.271,0.642,12.07,5.207,13.26,5,18,26.00,7.06,+0.472,0.219,0.130,+0.648,0.000,0.752,1,0.101,46.84,24.157
67,20.761,0.745,13.72,4.941,12.31,5,18,26.00,7.21,+0.438,0.207,0.128,+0.780,0.000,0.894,1,-0.186,46.87,24.765
68,21.227,0.841,15.30,4.665,11.20,5,18,26.00,7.38,+0.399,0.195,0.115,+0.659,0.000,0.763,1,-0.458,47.08,25.608
69,21.669,0.933,16.78,4.419,10.75,5,18,26.00,7.08,+0.383,0.185,0.094,+0.686,0.000,0.745,1,-0.978,47.26,2392.254
70,22.087,1.020,18.11,4.162,5.65,5,18,26.00,7.71,+0.201,0.181,0.063,+0.201,0.000,1.000,1,-1.256,47.22,14819.459
71,22.470,1.100,19.17,2.906,4.92,5,18,26.00,7.13,+0.175,0.211,0.042,+0.175,0.000,1.000,1,-1.309,47.24,5711.948
72,22.429,1.112,14.37,0.100,10.02,5,18,26.00,6.68,+0.357,0.287,0.028,+0.461,0.128,0.000,1,-1.020,47.19,15.456
73,22.291,1.122,8.84,0.100,15.77,5,18,26.00,6.13,+0.562,0.410,0.018,+0.325,0.280,0.000,1,-1.048,47.31,10.888
74,22.167,1.131,4.49,0.100,20.87,5,18,26.00,5.62,+0.743,0.520,0.012,+0.676,0.559,0.000,1,-1.035,46.79,7.948
75,22.060,1.134,1.03,0.100,26.61,5,18,26.00,5.08,+0.948,0.639,0.008,+0.904,0.455,0.000,1,-0.936,46.93,6.968
76,21.969,1.136,-1.71,0.100,28.07,5,18,26.00,4.97,+1.000,0.743,0.005,+0.936,0.251,0.000,1,-0.966,46.77,4.661
77,21.897,1.137,-3.80,0.100,28.07,5,18,26.00,4.98,+1.000,0.827,0.003,+0.766,0.816,0.000,1,-0.793,46.58,4.211
78,21.843,1.137,-5.37,0.100,28.07,5,18,26.00,4.98,+1.000,0.884,0.002,+0.931,0.428,0.000,1,-0.840,46.89,3.526
79,21.814,1.138,-6.53,0.100,28.07,5,18,26.00,4.99,+1.000,0.925,0.001,+0.736,0.505,0.000,1,-0.762,46.81,3.710
80,21.808,1.139,-7.39,0.100,28.07,5,18,26.00,4.99,+1.000,0.950,0.001,+0.870,0.802,0.000,1,-0.676,47.14,2.376
81,21.826,1.141,-8.01,0.287,28.07,5,18,26.00,4.99,+1.000,0.966,0.001,+0.780,0.745,0.000,1,-0.693,47.21,2.526
82,21.864,1.139,-8.08,0.479,28.07,5,18,26.00,4.99,+1.000,0.977,0.000,+0.840,0.565,0.000,1,-0.809,47.13,1.901
83,21.922,1.138,-7.79,0.664,28.07,5,18,26.00,4.99,+1.000,0.985,0.000,+0.136,0.370,0.000,1,-0.764,47.02,6.116
84,21.995,1.140,-7.19,0.824,28.07,5,18,26.00,4.98,+1.000,0.990,0.000,+0.591,0.000,0.230,1,-0.789,47.11,12.270
85,22.085,1.141,-6.73,0.986,28.07,5,18,26.00,4.98,+1.000,0.993,0.000,+0.836,0.016,0.000,1,-0.705,47.01,18.414
86,22.193,1.146,-6.08,1.136,28.07,5,18,26.00,4.98,+1.000,0.996,0.000,+0.881,0.000,0.455,1,-0.377,47.14,33.970
87,22.304,1.156,-5.21,1.068,28.07,5,18,26.00,4.97,+1.000,0.997,0.000,+0.942,0.000,0.527,1,-0.636,53.46,30.492
88,22.405,1.170,-4.27,0.908,28.07,5,18,26.00,4.96,+1.000,0.998,0.000,+0.922,0.000,0.428,1,-0.473,51.29,35.144
89,22.485,1.182,-3.50,0.688,28.07,5,18,26.00,4.96,+1.000,0.999,0.000,+0.812,0.000,0.303,1,-0.728,55.32,25.354
90,22.543,1.189,-2.93,0.469,28.07,5,18,26.00,4.95,+1.000,0.999,0.000,+0.790,0.000,0.062,1,-0.719,57.94,26.109
91,22.579,1.191,-2.64,0.284,28.07,5,18,26.00,4.95,+1.000,0.999,0.000,+0.950,0.000,0.720,1,-0.650,56.87,31.489
92,22.604,1.192,-2.48,0.222,28.07,5,18,26.00,4.95,+1.000,1.000,0.000,+0.884,0.056,0.000,1,-0.644,56.65,28.319
93,22.619,1.194,-2.32,0.100,28.07,5,18,26.00,4.94,+1.000,1.000,0.000,+0.693,0.504,0.000,1,-0.598,64.37,29.288
94,22.625,1.195,-2.25,0.100,28.07,5,18,26.00,4.94,+1.000,1.000,0.000,+0.943,0.594,0.000,1,-0.626,46.52,27.511
95,22.627,1.195,-2.27,0.100,28.07,5,18,26.00,4.94,+1.000,1.000,0.000,+0.881,0.076,0.000,1,-0.626,56.68,27.900
96,22.628,1.197,-2.22,0.100,28.07,5,18,26.00,4.93,+1.000,1.000,0.000,+0.861,0.161,0.000,1,-0.604,54.59,27.810
97,22.632,1.198,-2.17,0.100,28.07,5,18,26.00,4.93,+1.000,1.000,0.000,+0.963,0.444,0.000,1,-0.621,47.02,27.520
98,22.639,1.199,-2.13,0.100,28.07,5,18,26.00,4.93,+1.000,1.000,0.000,+0.923,0.000,0.165,1,-0.557,46.84,31.070
99,22.646,1.201,-2.04,0.100,28.07,5,18,26.00,4.92,+1.000,1.000,0.000,+0.800,0.095,0.000,1,-0.493,47.02,34.790
100,22.655,1.202,-1.95,0.123,28.07,5,18,26.00,4.92,+1.000,1.000,0.000,+0.801,0.000,0.033,1,-0.585,47.04,30.339
101,22.667,1.203,-1.87,0.100,28.07,5,18,26.00,4.92,+1.000,1.000,0.000,+0.830,0.173,0.000,1,-0.509,46.94,34.749
102,22.674,1.204,-1.83,0.100,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.770,0.268,0.000,1,-0.518,46.70,34.666
103,22.677,1.205,-1.79,0.100,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.902,0.124,0.000,1,-0.527,47.32,34.535
104,22.679,1.206,-1.80,0.100,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.908,0.126,0.000,1,-0.528,47.24,34.550
105,22.678,1.206,-1.80,0.100,28.07,5,18,26.00,4.90,+1.000,1.000,0.000,+0.822,0.206,0.000,1,-0.542,47.21,34.352
106,22.677,1.205,-1.80,0.100,28.07,5,18,26.00,4.88,+1.000,1.000,0.000,+0.756,0.161,0.000,1,-0.580,48.13,33.966
107,22.675,1.205,-1.79,0.100,28.07,5,18,26.00,4.86,+1.000,1.000,0.000,+0.815,0.143,0.000,1,-0.640,46.96,32.866
108,22.676,1.205,-1.80,0.100,28.07,5,18,26.00,4.86,+1.000,1.000,0.000,+0.903,0.328,0.000,1,-0.641,47.06,32.862
109,22.676,1.205,-1.81,0.100,28.07,5,18,26.00,4.90,+1.000,1.000,0.000,+0.724,0.089,0.000,1,-0.670,47.02,33.517
110,22.677,1.206,-1.79,0.100,28.07,5,18,26.00,5.06,+1.000,1.000,0.000,+0.814,0.161,0.000,1,-0.682,47.18,35.414
111,22.678,1.207,-1.78,0.100,28.07,5,18,26.00,5.21,+1.000,1.000,0.000,+0.860,0.017,0.000,1,-0.760,47.26,32.125
112,22.678,1.207,-1.79,0.100,28.07,5,18,26.00,5.21,+1.000,1.000,0.000,+0.947,0.791,0.000,1,-0.764,46.78,33.019
113,22.678,1.206,-1.81,0.100,28.07,5,18,26.00,5.33,+1.000,1.000,0.000,+0.867,0.000,0.187,1,-0.728,47.55,33.507
114,22.679,1.207,-1.79,0.100,28.07,5,18,26.00,5.31,+1.000,1.000,0.000,+0.524,0.000,0.169,1,-0.706,47.06,32.806
115,22.680,1.209,-1.69,0.100,28.07,5,18,26.00,5.31,+1.000,1.000,0.000,+0.495,0.435,0.000,1,-0.701,47.06,30.757
116,22.683,1.210,-1.63,0.100,28.07,5,18,26.00,5.04,+1.000,1.000,0.000,+0.846,0.208,0.000,1,-0.806,47.08,35.909
117,22.687,1.209,-1.68,0.100,28.07,5,18,26.00,4.88,+1.000,1.000,0.000,+0.846,0.083,0.000,1,-0.984,47.08,36.241
