time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
7.0380,21.7767,1.4419,3.153,3,24.969,1.073,0.717,3.2134,2.217,3.217,0,1
7.0410,21.7856,1.4450,3.144,3,24.969,1.073,0.717,3.2049,2.217,3.217,0,1
7.0440,21.7944,1.4482,3.136,3,24.969,1.073,0.717,3.1965,2.217,3.217,0,1
7.0470,21.8033,1.4513,3.138,3,24.969,1.073,0.717,3.1881,2.217,3.217,0,1
7.0500,21.8122,1.4545,3.126,3,24.969,1.073,0.717,3.1796,2.217,3.217,0,1
7.0530,21.8210,1.4576,3.113,3,24.969,1.073,0.717,3.1713,2.217,3.217,0,1
7.0560,21.8298,1.4607,3.107,3,24.969,1.073,0.717,3.1629,2.217,3.217,0,1
7.0590,21.8386,1.4638,3.103,3,24.969,1.073,0.717,3.1546,2.217,3.217,0,1
7.0620,21.8474,1.4669,3.097,3,24.969,1.073,0.717,3.1463,2.217,3.217,0,1
7.0650,21.8561,1.4700,3.090,3,24.969,1.073,0.717,3.1380,2.217,3.217,0,1
7.0680,21.8648,1.4731,3.081,3,24.969,1.073,0.717,3.1297,2.217,3.217,0,1
7.0710,21.8735,1.4762,3.072,3,24.969,1.073,0.717,3.1215,2.217,3.217,0,1
7.0740,21.8822,1.4793,3.065,3,24.969,1.073,0.717,3.1133,2.217,3.217,0,1
7.0770,21.8909,1.4824,3.056,3,24.969,1.073,0.717,3.1051,2.217,3.217,0,1
7.0800,21.8995,1.4854,3.048,3,24.969,1.073,0.717,3.0970,2.217,3.217,0,1
7.0830,21.9081,1.4885,3.041,3,24.969,1.073,0.717,3.0888,2.217,3.217,0,1
7.0860,21.9167,1.4916,3.035,3,24.969,1.073,0.717,3.0807,2.217,3.217,0,1
7.0890,21.9253,1.4946,3.027,3,24.969,1.073,0.717,3.0726,2.217,3.217,0,1
7.0920,21.9338,1.4976,3.021,3,24.969,1.073,0.717,3.0646,2.217,3.217,0,1
7.0950,21.9424,1.5006,3.014,3,24.969,1.073,0.717,3.0565,2.217,3.217,0,1
7.0980,21.9509,1.5036,3.007,3,24.969,1.073,0.717,3.0485,2.217,3.217,0,1
7.1010,21.9594,1.5067,3.000,3,24.969,1.073,0.717,3.0405,2.217,3.217,0,1
7.1040,21.9679,1.5096,2.992,3,24.969,1.073,0.717,3.0326,2.217,3.217,0,1
7.1070,21.9764,1.5126,2.983,3,24.969,1.073,0.717,3.0246,2.217,3.217,0,1
7.1100,21.9848,1.5156,2.975,3,24.969,1.073,0.717,3.0167,2.217,3.217,0,1
7.1130,21.9932,1.5186,2.968,3,24.969,1.073,0.717,3.0088,2.217,3.217,0,1
7.1160,22.0016,1.5215,2.961,3,24.969,1.073,0.717,3.0010,2.217,3.217,0,1
7.1190,22.0100,1.5245,2.952,3,24.969,1.073,0.717,2.9931,2.217,3.217,0,1
7.1220,22.0184,1.5274,2.944,3,24.969,1.073,0.717,2.9853,2.217,3.217,0,1
7.1250,22.0267,1.5304,2.936,3,24.969,1.073,0.717,2.9775,2.217,3.217,0,1
7.1280,22.0350,1.5333,2.938,3,24.969,1.073,0.717,2.9697,2.217,3.217,0,1
7.1310,22.0433,1.5363,2.910,3,24.969,1.073,0.717,2.9620,2.217,3.217,0,1
7.1340,22.0515,1.5392,2.898,3,24.969,1.073,0.717,2.9544,2.217,3.217,0,1
7.1370,22.0598,1.5421,2.914,3,24.969,1.073,0.717,2.9467,2.217,3.217,0,1
7.1400,22.0681,1.5450,2.923,3,24.969,1.073,0.717,2.9390,2.217,3.217,0,1
7.1430,22.0763,1.5479,2.886,3,24.969,1.073,0.717,2.9313,2.217,3.217,0,1
7.1460,22.0846,1.5508,2.906,3,24.969,1.073,0.717,2.9236,2.217,3.217,0,1
7.1490,22.0927,1.5536,2.875,3,24.969,1.073,0.717,2.9160,2.217,3.217,0,1
7.1520,22.1009,1.5565,2.874,3,24.969,1.073,0.717,2.9084,2.217,3.217,0,1
7.1550,22.1091,1.5594,2.869,3,24.969,1.073,0.717,2.9009,2.217,3.217,0,1
7.1580,22.1172,1.5622,2.866,3,24.969,1.073,0.717,2.8933,2.217,3.217,0,1
7.1610,22.1253,1.5651,2.857,3,24.969,1.073,0.717,2.8858,2.217,3.217,0,1
7.1640,22.1334,1.5680,2.849,3,24.969,1.073,0.717,2.8783,2.217,3.217,0,1
7.1670,22.1415,1.5708,2.841,3,24.969,1.073,0.717,2.8708,2.217,3.217,0,1
7.1700,22.1496,1.5737,2.835,3,24.969,1.073,0.717,2.8634,2.217,3.217,0,1
7.1730,22.1576,1.5765,2.826,3,24.969,1.073,0.717,2.8560,2.217,3.217,0,1
7.1760,22.1656,1.5794,2.819,3,24.969,1.073,0.717,2.8486,2.217,3.217,0,1
7.1790,22.1736,1.5822,2.810,3,24.969,1.073,0.717,2.8413,2.217,3.217,0,1
7.1820,22.1816,1.5850,2.803,3,24.969,1.073,0.717,2.8339,2.217,3.217,0,1
7.1850,22.1895,1.5879,2.795,3,24.969,1.073,0.717,2.8266,2.217,3.217,0,1
7.1880,22.1974,1.5907,2.785,3,24.969,1.073,0.717,2.8194,2.217,3.217,0,1
7.1910,22.2053,1.5935,2.780,3,24.969,1.073,0.717,2.8121,2.217,3.217,0,1
7.1940,22.2132,1.5963,2.771,3,24.969,1.073,0.717,2.8049,2.217,3.217,0,1
7.1970,22.2211,1.5992,2.767,3,24.969,1.073,0.717,2.7977,2.217,3.217,0,1
7.2000,22.2289,1.6020,2.761,3,24.969,1.073,0.717,2.7906,2.217,3.217,0,1
7.2030,22.2367,1.6048,2.753,3,24.969,1.073,0.717,2.7834,2.217,3.217,0,1
7.2060,22.2446,1.6076,2.757,3,24.969,1.073,0.717,2.7763,2.217,3.217,0,1
7.2090,22.2523,1.6103,2.729,3,24.969,1.073,0.717,2.7692,2.217,3.217,0,1
7.2120,22.2601,1.6131,2.741,3,24.969,1.073,0.717,2.7622,2.217,3.217,0,1
7.2150,22.2678,1.6159,2.724,3,24.969,1.073,0.717,2.7551,2.217,3.217,0,1
7.2180,22.2755,1.6187,2.715,3,24.969,1.073,0.717,2.7481,2.217,3.217,0,1
7.2210,22.2832,1.6214,2.715,3,24.969,1.073,0.717,2.7411,2.217,3.217,0,1
7.2240,22.2909,1.6242,2.699,3,24.969,1.073,0.717,2.7342,2.217,3.217,0,1
7.2270,22.2985,1.6269,2.698,3,24.969,1.073,0.717,2.7272,2.217,3.217,0,1
7.2300,22.3061,1.6296,2.688,3,24.969,1.073,0.717,2.7203,2.217,3.217,0,1
7.2330,22.3137,1.6323,2.677,3,24.969,1.073,0.717,2.7134,2.217,3.217,0,1
7.2360,22.3213,1.6350,2.672,3,24.969,1.073,0.717,2.7066,2.217,3.217,0,1
7.2390,22.3289,1.6377,2.660,3,24.969,1.073,0.717,2.6998,2.217,3.217,0,1
7.2420,22.3364,1.6404,2.655,3,24.969,1.073,0.717,2.6930,2.217,3.217,0,1
7.2450,22.3439,1.6431,2.645,3,24.969,1.073,0.717,2.6862,2.217,3.217,0,1
7.2480,22.3514,1.6458,2.640,3,24.969,1.073,0.717,2.6794,2.217,3.217,0,1
7.2510,22.3589,1.6485,2.630,3,24.969,1.073,0.717,2.6727,2.217,3.217,0,1
7.2540,22.3663,1.6511,2.613,3,24.969,1.073,0.717,2.6661,2.217,3.217,0,1
7.2570,22.3737,1.6538,2.614,3,24.969,1.073,0.717,2.6594,2.217,3.217,0,1
7.2600,22.3811,1.6564,2.607,3,24.969,1.073,0.717,2.6528,2.217,3.217,0,1
7.2630,22.3884,1.6591,2.599,3,24.969,1.073,0.717,2.6462,2.217,3.217,0,1
7.2660,22.3958,1.6617,2.585,3,24.969,1.073,0.717,2.6396,2.217,3.217,0,1
7.2690,22.4031,1.6643,2.579,3,24.969,1.073,0.717,2.6331,2.217,3.217,0,1
7.2720,22.4104,1.6669,2.573,3,24.969,1.073,0.717,2.6265,2.217,3.217,0,1
7.2750,22.4177,1.6695,2.561,3,24.969,1.073,0.717,2.6200,2.217,3.217,0,1
7.2780,22.4249,1.6721,2.562,3,24.969,1.073,0.717,2.6136,2.217,3.217,0,1
7.2810,22.4322,1.6747,2.545,3,24.969,1.073,0.717,2.6071,2.217,3.217,0,1
7.2840,22.4394,1.6773,2.541,3,24.969,1.073,0.717,2.6007,2.217,3.217,0,1
7.2870,22.4466,1.6799,2.531,3,24.969,1.073,0.717,2.5943,2.217,3.217,0,1
7.2900,22.4537,1.6824,2.521,3,24.969,1.073,0.717,2.5880,2.217,3.217,0,1
7.2930,22.4609,1.6850,2.510,3,24.969,1.073,0.717,2.5816,2.217,3.217,0,1
7.2960,22.4680,1.6875,2.510,3,24.969,1.073,0.717,2.5753,2.217,3.217,0,1
7.2990,22.4751,1.6901,2.500,3,24.969,1.073,0.717,2.5690,2.217,3.217,0,1
7.3020,22.4822,1.6926,2.494,3,24.969,1.073,0.717,2.5627,2.217,3.217,0,1
7.3050,22.4893,1.6951,2.488,3,24.969,1.073,0.717,2.5565,2.217,3.217,0,1
7.3080,22.4963,1.6976,2.478,3,24.969,1.073,0.717,2.5503,2.217,3.217,0,1
7.3110,22.5034,1.7001,2.468,3,24.969,1.073,0.717,2.5441,2.217,3.217,0,1
7.3140,22.5103,1.7026,2.457,3,24.969,1.073,0.717,2.5379,2.217,3.217,0,1
7.3170,22.5173,1.7051,2.460,3,24.969,1.073,0.717,2.5317,2.217,3.217,0,1
7.3200,22.5243,1.7075,2.448,3,24.969,1.073,0.717,2.5256,2.217,3.217,0,1
7.3230,22.5313,1.7100,2.441,3,24.969,1.073,0.717,2.5195,2.217,3.217,0,1
7.3260,22.5382,1.7125,2.435,3,24.969,1.073,0.717,2.5134,2.217,3.217,0,1
7.3290,22.5451,1.7149,2.431,3,24.969,1.073,0.717,2.5074,2.217,3.217,0,1
7.3320,22.5520,1.7173,2.418,3,24.969,1.073,0.717,2.5013,2.217,3.217,0,1
7.3350,22.5589,1.7198,2.422,3,24.969,1.073,0.717,2.4953,2.217,3.217,0,1
7.3380,22.5658,1.7222,2.412,3,24.969,1.073,0.717,2.4893,2.217,3.217,0,1
7.3410,22.5726,1.7247,2.397,3,24.969,1.073,0.717,2.4834,2.217,3.217,0,1
7.3440,22.5794,1.7271,2.384,3,24.969,1.073,0.717,2.4775,2.217,3.217,0,1
7.3470,22.5861,1.7295,2.381,3,24.969,1.073,0.717,2.4716,2.217,3.217,0,1
7.3500,22.5929,1.7319,2.371,3,24.969,1.073,0.717,2.4657,2.217,3.217,0,1
7.3530,22.5996,1.7343,2.360,3,24.969,1.073,0.717,2.4599,2.217,3.217,0,1
7.3560,22.6063,1.7367,2.354,3,24.969,1.073,0.717,2.4541,2.217,3.217,0,1
7.3590,22.6130,1.7391,2.348,3,24.969,1.073,0.717,2.4483,2.217,3.217,0,1
7.3620,22.6196,1.7414,2.341,3,24.969,1.073,0.717,2.4426,2.217,3.217,0,1
7.3650,22.6262,1.7438,2.332,3,24.969,1.073,0.717,2.4368,2.217,3.217,0,1
