step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.431,0.060,0.76,2.620,0.00,1,18,27.00,7.59,+0.000,0.339,0.047,+0.000,0.339,0.047,0,13.951,7.58,0.000
40,5.678,0.562,10.77,2.471,9.20,3,18,27.00,7.16,+0.328,0.759,0.002,+0.328,0.759,0.002,0,8.800,7.66,0.000
59,12.440,1.799,3.70,4.043,-14.33,5,18,26.00,6.14,-0.510,0.353,0.000,-0.535,0.367,0.000,1,-0.278,48.66,0.003
60,12.841,1.780,2.07,4.032,-15.20,5,18,26.00,6.04,-0.541,0.354,0.000,-0.550,0.350,0.000,1,-0.311,47.02,0.001
61,13.241,1.751,0.44,4.018,-15.80,5,18,26.00,5.99,-0.563,0.377,0.000,-0.589,0.385,0.000,1,-0.216,46.63,0.002
62,13.637,1.709,-1.16,3.996,-14.19,5,18,26.00,6.17,-0.505,0.402,0.000,-0.621,0.406,0.000,1,-0.316,47.63,0.005
63,14.031,1.654,-2.86,3.992,-12.63,5,18,26.00,6.36,-0.450,0.430,0.000,-0.606,0.185,0.000,1,-0.600,47.26,0.095
64,14.422,1.588,-4.71,3.990,-12.13,5,18,26.00,6.42,-0.432,0.462,0.000,-0.828,0.211,0.000,1,-0.445,46.83,0.212
65,14.808,1.509,-6.58,3.927,-9.84,5,18,26.00,6.68,-0.351,0.493,0.000,-0.979,0.556,0.000,1,-0.532,47.00,0.527
66,15.184,1.415,-8.67,3.840,-9.27,5,18,26.00,6.77,-0.330,0.528,0.000,-0.747,0.349,0.000,1,-0.575,47.92,0.127
67,15.548,1.302,-11.04,3.820,-4.17,5,18,26.00,7.18,-0.148,0.568,0.000,-0.913,0.365,0.000,1,-0.497,47.37,0.256
68,15.906,1.174,-13.26,3.799,-0.23,5,18,26.00,7.20,-0.008,0.617,0.000,-0.665,0.637,0.000,1,-0.609,47.55,0.232
69,16.257,1.030,-15.64,3.828,4.38,5,18,26.00,7.22,+0.156,0.662,0.000,-0.849,0.787,0.000,1,-0.644,47.55,0.337
70,16.608,0.872,-17.81,3.856,9.24,5,18,26.00,6.81,+0.329,0.703,0.000,-0.523,0.808,0.000,1,-0.661,48.04,0.527
71,16.954,0.701,-20.10,3.905,13.84,5,18,26.00,6.30,+0.493,0.738,0.000,-0.777,0.752,0.000,1,-0.554,47.45,1.072
72,17.303,0.522,-21.87,3.939,19.58,5,18,26.00,5.67,+0.697,0.769,0.000,-0.678,0.733,0.000,1,-0.584,47.08,4.668
73,17.645,0.329,-23.93,3.946,24.68,5,18,26.00,5.19,+0.879,0.790,0.000,-0.783,0.752,0.000,1,-0.566,47.20,10.591
74,17.981,0.123,-25.95,3.955,28.07,5,18,26.00,4.90,+1.000,0.809,0.000,-0.483,0.375,0.000,1,-0.695,47.81,1.671
75,18.311,-0.094,-28.09,3.984,28.07,5,18,26.00,4.90,+1.000,0.825,0.000,-0.227,0.160,0.000,1,-0.638,47.29,1.703
76,18.641,-0.317,-29.65,4.015,28.07,5,18,26.00,4.91,+1.000,0.841,0.000,-0.692,0.382,0.000,1,-0.685,47.26,1.887
77,18.969,-0.542,-30.70,3.977,26.12,5,18,26.00,5.08,+0.930,0.852,0.000,-0.427,0.265,0.000,1,-0.634,46.93,1.893
78,19.286,-0.775,-32.31,3.952,28.07,5,18,26.00,4.92,+1.000,0.865,0.000,-0.565,0.877,0.000,1,-0.770,53.75,1.419
79,19.598,-1.014,-33.72,3.951,28.07,5,18,26.00,4.92,+1.000,0.884,0.000,-0.193,0.830,0.000,1,-0.702,57.59,0.600
80,19.904,-1.261,-35.27,3.984,28.07,5,18,26.00,4.92,+1.000,0.909,0.000,-0.792,0.200,0.000,1,-0.560,57.02,2.348
81,20.211,-1.510,-36.14,3.984,28.07,5,18,26.00,4.92,+1.000,0.934,0.000,+0.758,0.830,0.000,1,-0.652,58.00,1.358
82,20.508,-1.770,-37.95,3.998,28.07,5,18,26.00,4.92,+1.000,0.956,0.000,+0.875,0.680,0.000,1,-0.515,57.57,0.742
83,20.809,-2.026,-38.64,3.985,28.07,5,18,26.00,4.92,+1.000,0.971,0.000,+0.397,0.753,0.000,1,-0.515,57.35,0.536
84,21.120,-2.269,-38.29,4.011,24.25,5,18,26.00,5.26,+0.864,0.981,0.000,+0.852,0.867,0.000,1,-0.476,65.37,0.055
85,21.441,-2.504,-37.64,4.013,22.76,5,18,26.00,5.40,+0.811,0.988,0.000,+0.676,0.841,0.000,1,-0.445,47.01,0.039
86,21.772,-2.722,-36.47,3.998,22.76,5,18,26.00,5.40,+0.811,0.992,0.000,+0.621,0.871,0.000,1,-0.338,48.42,0.195
87,22.115,-2.924,-34.98,4.020,23.40,5,18,26.00,5.34,+0.833,0.995,0.000,+0.561,0.816,0.000,1,-0.225,47.07,2.293
88,22.468,-3.114,-33.38,4.070,27.37,5,18,26.00,4.98,+0.975,0.997,0.000,+0.924,0.840,0.000,1,-0.038,46.91,2.317
89,22.832,-3.297,-31.79,4.104,27.37,5,18,26.00,4.97,+0.975,0.998,0.000,+0.848,0.843,0.000,1,0.185,47.29,0.025
90,23.206,-3.464,-29.86,4.100,27.09,5,18,26.00,5.00,+0.965,0.998,0.000,+0.615,0.905,0.000,1,0.404,47.76,0.046
91,23.587,-3.616,-27.79,4.118,26.63,5,18,26.00,5.04,+0.949,0.999,0.000,+0.391,0.868,0.000,1,0.665,46.80,0.067
92,23.974,-3.758,-25.95,4.135,25.64,5,18,26.00,5.12,+0.913,0.999,0.000,+0.478,0.929,0.000,1,0.945,47.32,0.062
93,24.363,-3.897,-24.42,4.150,27.66,5,18,26.00,4.95,+0.985,1.000,0.000,+0.740,0.823,0.000,1,0.003,47.26,0.023
94,24.756,-4.028,-22.80,4.161,26.54,5,18,26.00,5.04,+0.945,1.000,0.000,+0.675,0.815,0.000,1,0.368,47.43,0.040
95,25.152,-4.145,-20.85,4.158,27.44,5,18,26.00,4.97,+0.977,1.000,0.000,+0.592,0.937,0.000,1,-0.462,47.22,0.077
96,25.552,-4.249,-18.84,4.154,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,-0.581,0.937,0.000,1,-0.108,46.81,1.213
97,25.955,-4.343,-17.24,4.169,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.368,0.814,0.000,1,-0.494,46.85,0.278
98,26.353,-4.450,-17.27,4.138,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.743,0.926,0.000,1,0.106,48.91,0.015
99,26.749,-4.555,-16.84,4.121,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.665,0.863,0.000,1,0.015,47.26,0.042
100,27.147,-4.646,-15.47,4.127,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.692,0.937,0.000,1,-0.309,47.11,0.029
101,27.549,-4.723,-13.81,4.117,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.613,0.843,0.000,1,-0.052,47.30,0.035
102,27.954,-4.782,-12.04,4.122,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.374,0.827,0.000,1,-0.086,47.57,0.119
103,28.362,-4.825,-10.39,4.151,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.248,0.719,0.000,1,-0.258,47.22,0.260
104,28.773,-4.862,-9.17,4.179,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.649,0.923,0.000,1,-0.450,47.15,0.092
105,29.186,-4.895,-8.19,4.154,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.729,0.934,0.000,1,-0.474,47.33,0.071
106,29.598,-4.913,-6.64,4.132,28.07,5,18,26.00,4.91,+1.000,1.000,0.000,+0.223,0.840,0.000,1,-0.552,47.44,0.310
107,30.009,-4.918,-4.90,4.159,28.07,5,18,26.00,4.90,+1.000,1.000,0.000,+0.432,0.936,0.000,1,-0.562,47.60,0.202
108,30.422,-4.920,-3.80,4.157,28.07,5,18,26.00,4.90,+1.000,1.000,0.000,+0.066,0.807,0.000,1,-0.500,47.01,0.340
109,30.834,-4.912,-2.57,4.181,28.07,5,18,26.00,4.89,+1.000,1.000,0.000,+0.787,0.874,0.000,1,-0.649,47.49,0.272
110,31.249,-4.908,-1.93,4.173,28.07,5,18,26.00,4.89,+1.000,1.000,0.000,+0.518,0.919,0.000,1,-0.590,47.81,0.183
111,31.660,-4.889,-0.60,4.158,28.07,5,18,26.00,4.88,+1.000,1.000,0.000,+0.027,0.768,0.000,1,-0.679,47.50,0.548
112,32.071,-4.860,0.85,4.155,28.07,5,18,26.00,4.87,+1.000,1.000,0.000,-0.112,0.914,0.000,1,-0.757,47.37,0.729
113,32.482,-4.834,1.42,4.164,28.07,5,18,26.00,4.87,+1.000,1.000,0.000,-1.000,0.200,0.000,1,-0.590,47.00,2.790
114,32.894,-4.815,1.68,4.142,28.07,5,18,26.00,4.85,+1.000,1.000,0.000,-1.000,0.200,0.000,1,-0.624,47.72,2.808
115,33.298,-4.811,0.89,4.023,26.80,5,18,26.00,4.96,+0.955,1.000,0.000,+0.522,0.832,0.000,1,-0.606,46.88,1.385
116,33.692,-4.829,-0.69,3.972,22.76,5,18,26.00,5.30,+0.811,1.000,0.000,+0.817,0.755,0.000,1,-0.549,47.02,0.239
117,34.085,-4.853,-1.51,3.968,20.84,5,18,26.00,5.45,+0.742,1.000,0.000,+0.769,0.911,0.000,1,-0.468,46.89,0.134
118,34.478,-4.863,-0.93,3.999,23.40,5,18,26.00,5.22,+0.833,1.000,0.000,+0.746,0.716,0.000,1,-0.361,48.39,0.554
119,34.874,-4.851,0.13,4.006,28.07,5,18,26.00,4.80,+1.000,1.000,0.000,+0.810,0.715,0.000,1,-0.192,47.74,0.932
120,35.269,-4.816,1.33,4.003,28.07,5,18,26.00,4.80,+1.000,1.000,0.000,+0.863,0.721,0.000,1,-0.014,46.96,1.646
121,35.664,-4.758,2.76,4.006,28.07,5,18,26.00,4.88,+1.000,1.000,0.000,+0.645,0.664,0.000,1,0.220,46.83,1.747
122,36.059,-4.682,4.56,4.049,27.17,5,18,26.00,5.04,+0.968,1.000,0.000,+0.633,0.754,0.000,1,0.412,47.12,0.617
