time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,22.719306,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000089,-0.000758,0.000103,0.000346,0.000000,0.140174,0.000000,0,0,22.719875,0.000000,0.000000,0.000000
0.204000,0.055295,0.000015,1.522611,0.000520,-0.000033,0.000660,0.000374,0.000000,0.242769,0.000000,0,0,22.720003,0.000000,0.000000,0.000000
0.306000,0.055218,0.000049,1.263977,0.000594,0.000230,0.002829,0.000424,0.000000,0.368269,0.000000,0,0,22.720079,0.000000,0.000000,0.000000
0.408000,0.055172,0.000132,0.902700,0.000373,0.000010,0.009290,0.000446,0.000000,0.508448,0.000000,0,0,22.720121,0.000000,0.000000,0.000000
0.510000,0.058664,-0.000465,0.535959,0.053903,0.092736,-0.008653,0.010482,0.000000,0.658078,0.000000,0,0,22.716658,0.000000,0.000000,0.000000
0.612000,0.063271,-0.000266,0.544154,-0.020643,-0.057958,0.009546,0.003796,0.000000,0.779832,0.000000,0,0,22.712047,0.000000,0.000000,0.000000
0.714000,0.060353,0.001766,0.649048,0.032797,0.007119,0.022980,-0.011775,0.000000,0.851458,0.000000,0,0,22.714875,0.000000,0.000000,0.000000
0.816000,0.065332,0.003771,0.662148,0.136442,0.131325,-0.012996,0.009392,0.000000,0.904592,0.000000,0,0,22.709814,0.000000,0.000000,0.000000
0.918000,0.095442,0.002080,0.638710,0.451597,0.465339,0.012327,0.026601,0.000000,0.935631,0.000000,0,0,22.679804,0.000000,0.000000,0.000000
1.020000,0.161528,0.001717,0.639447,0.818451,0.815162,0.004291,-0.003415,0.000000,0.958656,0.000000,0,0,22.613796,0.000000,0.000000,0.000000
1.122000,0.261462,0.004691,0.667195,1.149409,1.140265,0.031424,0.019906,0.000000,0.972106,0.000000,0,0,22.513827,0.000000,0.000000,0.000000
1.224000,0.391358,0.010128,0.699940,1.413546,1.410372,0.054854,0.010829,0.000000,0.982084,0.000000,0,0,22.383817,0.000000,0.000000,0.000000
1.326000,0.549101,0.017207,0.724715,1.683972,1.683283,0.061525,0.010205,0.000000,0.987913,0.000000,0,0,22.225916,0.000000,0.000000,0.000000
1.428000,0.734378,0.024899,0.738387,1.945449,1.946402,0.065255,0.015538,0.000000,0.992236,0.000000,0,0,22.040479,0.000000,0.000000,0.000000
1.530000,0.946272,0.032245,0.740489,2.193722,2.198587,0.050755,0.019082,0.000000,0.994762,0.000000,0,0,21.828465,0.000000,0.000000,0.000000
1.632000,1.183400,0.038386,0.735274,2.438614,2.444311,0.039208,0.024673,0.000000,0.996636,0.000000,0,0,21.591294,0.000000,0.000000,0.000000
1.734000,1.446257,0.044601,0.730242,2.698184,2.701115,0.036730,0.022510,0.000000,0.997730,0.000000,0,0,21.328416,0.000000,0.000000,0.000000
1.836000,1.734633,0.051770,0.731685,2.940637,2.940483,0.038038,0.018122,0.000000,0.991948,0.000000,0,0,21.040003,0.000000,0.000000,0.000000
1.938000,2.045288,0.060411,0.738740,3.138741,3.145853,0.045879,0.018650,0.000000,0.965150,0.000000,0,0,20.729268,0.000000,0.000000,0.000000
2.040000,2.376552,0.070902,0.742898,3.338368,3.341577,0.052951,0.019308,0.000000,0.916283,0.000000,0,0,20.397864,0.000000,0.000000,0.000000
2.142000,2.726288,0.082302,0.741582,3.512640,3.508285,0.044783,0.022405,0.000000,0.861228,0.000000,0,0,20.047967,0.000000,0.000000,0.000000
2.244000,3.092783,0.093715,0.733618,3.700881,3.680097,0.046284,-0.002734,0.000000,0.791490,0.000000,0,0,19.681327,0.000000,0.000000,0.000000
2.346000,3.472834,0.104857,0.698712,3.775095,3.726194,0.009399,0.018840,0.000000,0.725345,0.000000,0,0,19.301159,0.000000,0.000000,0.000000
2.448000,3.853044,0.112518,0.689017,3.691957,3.741680,-0.017644,0.001415,-0.184953,0.652999,0.000000,0,0,18.920991,0.000000,0.000000,0.000000
2.550000,4.238872,0.113962,0.713752,3.809389,3.827505,-0.109536,-0.076795,-0.226924,0.597069,0.000000,0,0,18.535502,0.000000,0.000000,0.000000
2.652000,4.634699,0.106992,0.734199,3.946114,3.931331,-0.127378,-0.086456,-0.160090,0.542704,0.000000,0,0,18.140435,0.000000,0.000000,0.000000
2.754000,5.040191,0.096552,0.734471,4.017422,4.009231,-0.122946,-0.079600,-0.093957,0.494999,0.000000,0,0,17.735917,0.000000,0.000000,0.000000
2.856000,5.452751,0.084147,0.725091,4.069912,4.075212,-0.110181,-0.051349,-0.085655,0.443132,0.000000,0,0,17.324484,0.000000,0.000000,0.000000
2.958000,5.870752,0.070707,0.718643,4.108991,4.112906,-0.075498,-0.030149,0.038958,0.412834,0.000000,0,0,16.907730,0.000000,0.000000,0.000000
3.060000,6.291115,0.061801,0.719810,4.125701,4.130134,-0.027631,-0.000713,0.001852,0.390358,0.000000,0,0,16.488436,0.000000,0.000000,0.000000
3.162000,6.713525,0.056491,0.723632,4.145567,4.151262,0.000962,-0.008112,-0.019530,0.377228,0.000000,0,0,16.066951,0.000000,0.000000,0.000000
3.264000,7.137993,0.053916,0.726207,4.168327,4.169091,0.035067,0.020783,0.021146,0.367388,0.001111,0,0,15.643302,0.000000,0.000000,0.000000
3.366000,7.563923,0.052998,0.726735,4.180919,4.179293,0.020052,0.010647,-0.060167,0.357864,0.008831,0,0,15.218136,0.000000,0.000000,0.000000
3.468000,7.989855,0.049257,0.727629,4.168237,4.170064,-0.008874,0.000194,-0.002737,0.344722,0.014780,0,0,14.793175,0.000000,0.000000,0.000000
3.570000,8.414986,0.045441,0.731771,4.168457,4.167303,0.003357,0.002238,-0.004938,0.334125,0.012515,0,0,14.369070,0.000000,0.000000,0.000000
3.672000,8.840864,0.040939,0.732673,4.192013,4.182728,-0.007056,0.004065,-0.043083,0.330483,0.008038,0,0,13.944317,0.000000,0.000000,0.000000
3.774000,9.268189,0.034974,0.727015,4.199560,4.197222,-0.026404,-0.022814,0.011937,0.332418,0.005423,0,0,13.518280,0.000000,0.000000,0.000000
3.876000,9.696891,0.028309,0.719750,4.204654,4.208453,-0.008282,-0.005366,-0.031527,0.337944,0.003483,0,0,13.090989,0.000000,0.000000,0.000000
3.978000,10.126284,0.021940,0.716081,4.205848,4.207755,-0.009933,-0.004349,0.028381,0.341866,0.002350,0,0,12.663074,0.000000,0.000000,0.000000
4.080000,10.555073,0.017327,0.717447,4.195457,4.197018,0.019201,0.004353,-0.037297,0.344776,0.001509,0,0,12.235723,0.000000,0.000000,0.000000
4.182000,10.982569,0.014019,0.723176,4.190913,4.191457,0.022400,-0.019255,0.047549,0.346475,0.001018,0,0,11.809652,0.000000,0.000000,0.000000
4.284000,11.410744,0.012356,0.726335,4.204005,4.202139,0.047688,0.024440,0.007328,0.347736,0.000654,0,0,11.382866,0.000000,0.000000,0.000000
4.386000,11.839921,0.011327,0.727870,4.212430,4.211694,0.032802,-0.000752,0.017369,0.348473,0.000441,0,0,10.955120,0.000000,0.000000,0.000000
4.488000,12.269949,0.010293,0.728018,4.218230,4.220013,0.045529,0.027124,0.091302,0.356473,0.000283,0,0,10.526624,0.000000,0.000000,0.000000
