step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,2.019,0.064,0.81,3.170,0.00,1,18,27.00,7.54,+0.000,0.961,0.000,+0.000,0.961,0.000,0,11.112,10.61,0.000
40,9.882,0.006,-0.68,4.221,0.11,5,18,27.00,7.45,+0.004,0.352,0.000,+0.004,0.352,0.000,0,4.416,10.96,0.000
48,13.240,0.002,0.25,4.236,2.40,5,18,26.00,7.12,+0.085,0.410,0.000,+0.347,0.419,0.000,1,0.062,66.98,0.030
49,13.659,0.015,0.69,4.219,4.25,5,18,26.00,7.12,+0.151,0.427,0.000,+0.238,0.431,0.000,1,-0.308,47.11,0.005
50,14.076,0.038,1.49,4.217,3.06,5,18,26.00,7.12,+0.109,0.445,0.000,+0.308,0.410,0.000,1,-0.436,48.07,0.014
51,14.492,0.071,2.25,4.201,3.14,5,18,26.00,7.13,+0.112,0.465,0.000,+0.183,0.470,0.000,1,-0.270,48.11,0.028
52,14.907,0.112,3.05,4.216,1.34,5,18,26.00,7.16,+0.048,0.492,0.000,+0.574,0.309,0.000,1,-0.238,47.43,0.097
53,15.322,0.157,3.75,4.195,2.77,5,18,26.00,7.17,+0.099,0.520,0.000,+0.681,0.438,0.000,1,0.219,47.50,0.120
54,15.732,0.214,5.09,4.155,1.76,5,18,26.00,7.22,+0.063,0.554,0.000,+0.431,0.440,0.000,1,-0.623,48.12,0.047
55,16.137,0.288,6.61,4.132,-1.54,5,18,26.00,7.22,-0.055,0.592,0.000,+0.588,0.358,0.000,1,0.078,48.17,0.171
56,16.537,0.373,7.99,4.101,-3.41,5,18,26.00,7.26,-0.122,0.637,0.000,+0.040,0.411,0.000,1,-0.539,48.24,0.109
57,16.933,0.470,9.43,4.105,-5.15,5,18,26.00,7.28,-0.184,0.678,0.000,+0.882,0.428,0.000,1,-0.138,47.69,0.234
58,17.329,0.564,10.11,4.096,-7.05,5,18,26.00,7.11,-0.251,0.717,0.000,+0.636,0.626,0.000,1,-0.331,48.19,0.275
59,17.720,0.669,11.46,4.064,-7.74,5,18,26.00,7.06,-0.276,0.752,0.000,+0.645,0.583,0.000,1,-0.241,47.44,0.287
60,18.105,0.789,13.19,4.053,-12.54,5,18,26.00,6.51,-0.447,0.791,0.000,+0.663,0.760,0.000,1,-0.261,47.22,0.445
61,18.486,0.923,15.01,4.053,-17.61,5,18,26.00,5.93,-0.627,0.824,0.000,+0.369,0.021,0.000,1,-0.596,47.42,1.184
62,18.861,1.071,16.79,4.060,-21.41,5,18,26.00,5.53,-0.763,0.857,0.000,+0.266,0.441,0.000,1,-0.454,47.71,1.311
63,19.233,1.222,18.07,4.021,-25.11,5,18,26.00,5.18,-0.894,0.887,0.000,+0.296,0.815,0.000,1,-0.740,47.61,0.935
64,19.602,1.377,19.04,4.034,-26.49,5,18,26.00,5.05,-0.943,0.920,0.000,+0.677,0.850,0.000,1,-0.677,47.15,1.579
65,19.970,1.536,20.03,4.043,-26.50,5,18,26.00,5.05,-0.944,0.946,0.000,+0.077,0.599,0.000,1,-0.571,46.99,0.695
66,20.335,1.707,21.48,4.069,-27.44,5,18,26.00,4.97,-0.977,0.964,0.000,-0.205,0.625,0.000,1,-0.621,49.13,1.035
67,20.704,1.876,22.27,4.090,-26.89,5,18,26.00,5.02,-0.958,0.976,0.000,-0.753,0.793,0.000,1,-0.619,47.44,0.251
68,21.076,2.037,22.34,4.076,-25.87,5,18,26.00,5.11,-0.922,0.985,0.000,-0.150,0.540,0.000,1,-0.576,47.32,0.600
69,21.450,2.182,21.52,4.059,-28.07,5,18,26.00,4.92,-1.000,0.990,0.000,+0.161,0.952,0.000,1,-0.612,47.38,1.080
70,21.829,2.322,21.15,4.104,-28.07,5,18,26.00,4.91,-1.000,0.993,0.000,+0.420,0.656,0.000,1,-0.561,47.61,0.881
71,22.210,2.468,21.40,4.135,-28.07,5,18,26.00,4.91,-1.000,0.995,0.000,+0.354,0.267,0.000,1,-0.607,47.04,1.758
72,22.586,2.628,22.14,4.128,-28.07,5,18,26.00,4.90,-1.000,0.997,0.000,+0.800,0.200,0.000,1,-0.556,46.92,2.492
73,22.956,2.800,22.89,4.097,-27.44,5,18,26.00,4.96,-0.977,0.998,0.000,+0.072,0.687,0.000,1,-0.549,47.38,0.909
