time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.8700,22.0249,2.3624,4.111,3,24.969,1.073,0.717,3.2140,2.217,3.217,0,1
6.8730,22.0362,2.3674,4.111,3,24.969,1.073,0.717,3.2058,2.217,3.217,0,1
6.8760,22.0474,2.3724,4.112,3,24.969,1.073,0.717,3.1975,2.217,3.217,0,1
6.8790,22.0587,2.3775,4.112,3,24.969,1.073,0.717,3.1893,2.217,3.217,0,1
6.8820,22.0699,2.3825,4.112,3,24.969,1.073,0.717,3.1811,2.217,3.217,0,1
6.8850,22.0811,2.3876,4.112,3,24.969,1.073,0.717,3.1730,2.217,3.217,0,1
6.8880,22.0923,2.3927,4.112,3,24.969,1.073,0.717,3.1649,2.217,3.217,0,1
6.8910,22.1036,2.3978,4.111,3,24.969,1.073,0.717,3.1569,2.217,3.217,0,1
6.8940,22.1148,2.4029,4.112,3,24.969,1.073,0.717,3.1489,2.217,3.217,0,1
6.8970,22.1260,2.4080,4.111,3,24.969,1.073,0.717,3.1409,2.217,3.217,0,1
6.9000,22.1372,2.4132,4.111,3,24.969,1.073,0.717,3.1330,2.217,3.217,0,1
6.9030,22.1483,2.4183,4.112,3,24.969,1.073,0.717,3.1251,2.217,3.217,0,1
6.9060,22.1595,2.4235,4.111,3,24.969,1.073,0.717,3.1172,2.217,3.217,0,1
6.9090,22.1707,2.4286,4.111,3,24.969,1.073,0.717,3.1094,2.217,3.217,0,1
6.9120,22.1819,2.4338,4.111,3,24.969,1.073,0.717,3.1016,2.217,3.217,0,1
6.9150,22.1930,2.4391,4.110,3,24.969,1.073,0.717,3.0939,2.217,3.217,0,1
6.9180,22.2042,2.4443,4.110,3,24.969,1.073,0.717,3.0862,2.217,3.217,0,1
6.9210,22.2153,2.4495,4.110,3,24.969,1.073,0.717,3.0786,2.217,3.217,0,1
6.9240,22.2265,2.4548,4.110,3,24.969,1.073,0.717,3.0710,2.217,3.217,0,1
6.9270,22.2376,2.4601,4.110,3,24.969,1.073,0.717,3.0635,2.217,3.217,0,1
6.9300,22.2487,2.4653,4.108,3,24.969,1.073,0.717,3.0559,2.217,3.217,0,1
6.9330,22.2598,2.4707,4.111,3,24.969,1.073,0.717,3.0485,2.217,3.217,0,1
6.9360,22.2709,2.4760,4.109,3,24.969,1.073,0.717,3.0411,2.217,3.217,0,1
6.9390,22.2821,2.4814,4.116,3,24.969,1.073,0.717,3.0337,2.217,3.217,0,1
6.9420,22.2932,2.4867,4.114,3,24.969,1.073,0.717,3.0264,2.217,3.217,0,1
6.9450,22.3043,2.4921,4.116,3,24.969,1.073,0.717,3.0190,2.217,3.217,0,1
6.9480,22.3154,2.4975,4.118,3,24.969,1.073,0.717,3.0118,2.217,3.217,0,1
6.9510,22.3266,2.5029,4.121,3,24.969,1.073,0.717,3.0045,2.217,3.217,0,1
6.9540,22.3377,2.5083,4.124,3,24.969,1.073,0.717,2.9973,2.217,3.217,0,1
6.9570,22.3488,2.5137,4.120,3,24.969,1.073,0.717,2.9902,2.217,3.217,0,1
6.9600,22.3599,2.5191,4.119,3,24.969,1.073,0.717,2.9831,2.217,3.217,0,1
6.9630,22.3710,2.5245,4.118,3,24.969,1.073,0.717,2.9760,2.217,3.217,0,1
6.9660,22.3821,2.5299,4.117,3,24.969,1.073,0.717,2.9690,2.217,3.217,0,1
6.9690,22.3932,2.5353,4.113,3,24.969,1.073,0.717,2.9620,2.217,3.217,0,1
6.9720,22.4043,2.5408,4.111,3,24.969,1.073,0.717,2.9551,2.217,3.217,0,1
6.9750,22.4154,2.5463,4.111,3,24.969,1.073,0.717,2.9482,2.217,3.217,0,1
6.9780,22.4264,2.5517,4.110,3,24.969,1.073,0.717,2.9414,2.217,3.217,0,1
6.9810,22.4374,2.5572,4.109,3,24.969,1.073,0.717,2.9347,2.217,3.217,0,1
6.9840,22.4485,2.5628,4.106,3,24.969,1.073,0.717,2.9280,2.217,3.217,0,1
6.9870,22.4595,2.5683,4.105,3,24.969,1.073,0.717,2.9213,2.217,3.217,0,1
