time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,17.161709,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000083,-0.000754,0.000067,0.000356,0.000000,0.099265,0.000000,0,0,17.162273,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000519,-0.000034,0.000403,0.000375,0.000000,0.171228,0.000000,0,0,17.162402,0.000000,0.000000,0.000000
0.306000,0.055218,0.000029,1.263977,0.000597,0.000252,0.001618,0.000428,0.000000,0.259120,0.000000,0,0,17.162481,0.000000,0.000000,0.000000
0.408000,0.055229,0.000227,0.905210,0.005735,0.007770,0.014435,0.013596,0.000000,0.353037,0.000000,0,0,17.162499,0.000000,0.000000,0.000000
0.510000,0.062013,0.001540,0.696386,0.037205,0.064255,0.021289,0.008098,0.000000,0.432677,0.000000,0,0,17.155979,0.000000,0.000000,0.000000
0.612000,0.058285,0.004101,0.818697,-0.039180,-0.086262,0.023922,-0.006752,0.000000,0.492739,0.000000,0,0,17.160041,0.000000,0.000000,0.000000
0.714000,0.051799,0.006916,0.883114,-0.030526,-0.049509,0.025537,-0.004411,0.000000,0.544873,0.000000,0,0,17.166868,0.000000,0.000000,0.000000
0.816000,0.048917,0.010166,0.863277,-0.013294,0.013862,0.043207,-0.025101,0.000000,0.600992,0.000000,0,0,17.170194,0.000000,0.000000,0.000000
0.918000,0.058925,0.012809,0.814649,0.181956,0.200454,0.005357,-0.034270,0.000000,0.644769,0.000000,0,0,17.160681,0.000000,0.000000,0.000000
1.020000,0.086171,0.009940,0.810229,0.368262,0.348259,-0.009033,0.017117,0.000000,0.680567,0.000000,0,0,17.133308,0.000000,0.000000,0.000000
1.122000,0.134168,0.012706,0.837438,0.584400,0.577716,0.051703,0.003434,0.000000,0.698108,0.000000,0,0,17.086235,0.000000,0.000000,0.000000
1.224000,0.202853,0.019378,0.863616,0.767018,0.765824,0.069174,0.007667,0.000000,0.698703,0.000000,0,0,17.019283,0.000000,0.000000,0.000000
1.326000,0.290951,0.026756,0.884764,0.956314,0.956026,0.065888,0.015389,0.000000,0.678746,0.000000,0,0,16.933254,0.000000,0.000000,0.000000
1.428000,0.399026,0.033660,0.901544,1.145840,1.149963,0.059144,0.019171,0.000000,0.629125,0.000000,0,0,16.827424,0.000000,0.000000,0.000000
1.530000,0.526261,0.039951,0.909335,1.332576,1.337021,0.054066,0.023357,0.000000,0.563850,0.000000,0,0,16.702588,0.000000,0.000000,0.000000
1.632000,0.672136,0.044888,0.908794,1.509935,1.514565,0.034435,0.025334,0.000000,0.468662,0.000000,0,0,16.559160,0.000000,0.000000,0.000000
1.734000,0.835213,0.048538,0.904200,1.674052,1.675705,0.020379,0.022927,0.000000,0.391345,0.004025,0,0,16.398575,0.000000,0.000000,0.000000
1.836000,1.013543,0.051477,0.902414,1.816043,1.813902,0.009463,0.020637,0.000000,0.329805,0.025549,0,0,16.222858,0.000000,0.000000,0.000000
1.938000,1.205058,0.054485,0.904012,1.934168,1.936080,0.009605,0.019279,0.000000,0.290325,0.053312,0,0,16.034181,0.000000,0.000000,0.000000
2.040000,1.408703,0.058706,0.903742,2.052809,2.054354,0.018512,0.021950,0.000000,0.257292,0.090793,0,0,15.833783,0.000000,0.000000,0.000000
2.142000,1.624222,0.063993,0.900427,2.170035,2.168225,0.020475,0.021008,0.000000,0.234807,0.126393,0,0,15.621914,0.000000,0.000000,0.000000
2.244000,1.850682,0.069760,0.896205,2.269735,2.269750,0.018125,0.023377,0.000000,0.214746,0.165442,0,0,15.399420,0.000000,0.000000,0.000000
2.346000,2.087480,0.076573,0.893544,2.368288,2.367611,0.023200,0.021661,0.000000,0.200150,0.197447,0,0,15.167010,0.000000,0.000000,0.000000
2.448000,2.331457,0.084281,0.892256,2.391848,2.398445,0.020659,0.013976,0.000000,0.186268,0.229274,0,0,14.927799,0.000000,0.000000,0.000000
2.550000,2.572242,0.091335,0.889505,2.305901,2.314191,0.011757,0.010757,0.000000,0.175562,0.252155,0,0,14.691759,0.000000,0.000000,0.000000
2.652000,2.800963,0.097563,0.885998,2.167646,2.166798,0.003125,0.012772,0.000000,0.164863,0.267897,0,0,14.467590,0.000000,0.000000,0.000000
2.754000,3.012718,0.102582,0.884446,1.994936,1.988931,-0.006500,0.012634,0.000000,0.156269,0.270897,0,0,14.260028,0.000000,0.000000,0.000000
2.856000,3.208011,0.107902,0.874256,1.880717,1.849731,0.008620,-0.004324,0.000000,0.147405,0.261350,0,0,14.068825,0.000000,0.000000,0.000000
2.958000,3.389554,0.112916,0.845253,1.724888,1.702108,-0.004635,-0.012251,0.022727,0.140110,0.243110,0,0,13.891184,0.000000,0.000000,0.000000
3.060000,3.552140,0.117154,0.839963,1.456194,1.493670,0.017288,0.014262,0.181818,0.132452,0.213603,0,0,13.732122,0.000000,0.000000,0.000000
