step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
15,0.411,0.023,0.96,1.108,0.00,2,18,10.00,5.63,+0.000,0.991,0.000,+0.000,0.993,0.000,1,13.301,47.70,0.000
16,0.530,0.030,1.11,1.292,0.00,2,18,10.00,5.63,+0.000,0.994,0.000,-0.001,0.999,0.000,1,12.395,47.13,0.000
17,0.666,0.037,1.26,1.466,0.00,2,18,10.00,5.63,+0.000,0.996,0.000,-0.001,1.000,0.000,1,12.531,47.40,0.000
18,0.819,0.042,1.40,1.609,0.00,2,18,10.00,5.63,+0.000,0.997,0.000,-0.001,1.000,0.000,1,12.380,47.92,0.000
19,0.986,0.048,1.50,1.752,0.00,2,18,10.00,5.63,+0.000,0.998,0.000,-0.002,0.999,0.000,1,11.165,47.85,0.000
20,1.166,0.054,1.57,1.899,0.00,2,18,10.00,5.63,+0.000,0.999,0.000,+0.002,0.997,0.000,1,10.956,47.58,0.000
21,1.362,0.061,1.65,2.045,0.00,2,18,10.00,5.63,+0.000,0.999,0.000,+0.003,0.997,0.000,1,10.496,47.76,0.000
22,1.571,0.069,1.73,2.186,0.00,2,18,10.00,5.63,+0.000,1.000,0.000,-0.018,0.995,0.000,1,10.259,48.07,0.000
23,1.794,0.078,1.80,2.313,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,+0.002,0.987,0.000,1,10.244,47.71,0.000
24,2.030,0.087,1.87,2.450,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,+0.029,0.993,0.000,1,9.921,47.54,0.000
25,2.279,0.097,1.98,2.586,0.00,2,18,10.00,5.62,+0.000,0.992,0.000,+0.130,0.958,0.000,1,9.284,47.76,0.005
26,2.542,0.107,2.16,2.723,0.00,2,18,10.00,5.62,+0.000,0.975,0.000,+0.069,0.884,0.000,1,9.080,47.93,0.004
27,2.819,0.121,2.41,2.877,0.00,2,18,10.00,5.62,+0.000,0.952,0.000,+0.077,0.892,0.000,1,8.551,47.99,0.015
28,3.111,0.137,2.65,3.040,0.00,2,18,10.00,5.61,+0.000,0.919,0.000,+0.103,0.862,0.000,1,8.458,47.60,0.012
