time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.0760,19.6258,-0.8492,3.696,3,22.823,-0.513,0.717,3.2151,2.217,3.217,0,1
8.0790,19.6344,-0.8563,3.693,3,22.823,-0.513,0.717,3.2073,2.217,3.217,0,1
8.0820,19.6430,-0.8633,3.692,3,22.823,-0.513,0.717,3.1995,2.217,3.217,0,1
8.0850,19.6516,-0.8704,3.689,3,22.823,-0.513,0.717,3.1917,2.217,3.217,0,1
8.0880,19.6602,-0.8775,3.686,3,22.823,-0.513,0.717,3.1840,2.217,3.217,0,1
8.0910,19.6688,-0.8845,3.683,3,22.823,-0.513,0.717,3.1763,2.217,3.217,0,1
8.0940,19.6773,-0.8916,3.682,3,22.823,-0.513,0.717,3.1687,2.217,3.217,0,1
8.0970,19.6858,-0.8987,3.680,3,22.823,-0.513,0.717,3.1610,2.217,3.217,0,1
8.1000,19.6944,-0.9058,3.678,3,22.823,-0.513,0.717,3.1535,2.217,3.217,0,1
8.1030,19.7029,-0.9129,3.675,3,22.823,-0.513,0.717,3.1459,2.217,3.217,0,1
8.1060,19.7114,-0.9200,3.675,3,22.823,-0.513,0.717,3.1384,2.217,3.217,0,1
8.1090,19.7198,-0.9271,3.673,3,22.823,-0.513,0.717,3.1309,2.217,3.217,0,1
8.1120,19.7283,-0.9343,3.671,3,22.823,-0.513,0.717,3.1235,2.217,3.217,0,1
8.1150,19.7368,-0.9414,3.668,3,22.823,-0.513,0.717,3.1161,2.217,3.217,0,1
8.1180,19.7452,-0.9485,3.667,3,22.823,-0.513,0.717,3.1087,2.217,3.217,0,1
8.1210,19.7537,-0.9557,3.662,3,22.823,-0.513,0.717,3.1014,2.217,3.217,0,1
8.1240,19.7621,-0.9628,3.654,3,22.823,-0.513,0.717,3.0941,2.217,3.217,0,1
8.1270,19.7705,-0.9699,3.661,3,22.823,-0.513,0.717,3.0868,2.217,3.217,0,1
8.1300,19.7789,-0.9771,3.666,3,22.823,-0.513,0.717,3.0795,2.217,3.217,0,1
8.1330,19.7873,-0.9842,3.653,3,22.823,-0.513,0.717,3.0723,2.217,3.217,0,1
8.1360,19.7957,-0.9914,3.652,3,22.823,-0.513,0.717,3.0651,2.217,3.217,0,1
8.1390,19.8041,-0.9985,3.654,3,22.823,-0.513,0.717,3.0580,2.217,3.217,0,1
8.1420,19.8125,-1.0057,3.650,3,22.823,-0.513,0.717,3.0508,2.217,3.217,0,1
8.1450,19.8208,-1.0128,3.648,3,22.823,-0.513,0.717,3.0438,2.217,3.217,0,1
8.1480,19.8292,-1.0200,3.652,3,22.823,-0.513,0.717,3.0367,2.217,3.217,0,1
8.1510,19.8375,-1.0272,3.651,3,22.823,-0.513,0.717,3.0297,2.217,3.217,0,1
8.1540,19.8459,-1.0344,3.653,3,22.823,-0.513,0.717,3.0227,2.217,3.217,0,1
8.1570,19.8542,-1.0416,3.656,3,22.823,-0.513,0.717,3.0157,2.217,3.217,0,1
8.1600,19.8626,-1.0488,3.653,3,22.823,-0.513,0.717,3.0088,2.217,3.217,0,1
8.1630,19.8709,-1.0559,3.654,3,22.823,-0.513,0.717,3.0019,2.217,3.217,0,1
8.1660,19.8793,-1.0631,3.654,3,22.823,-0.513,0.717,2.9950,2.217,3.217,0,1
