step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,2.043,0.078,0.93,3.180,0.00,2,18,27.00,7.54,+0.000,0.999,0.000,+0.000,0.999,0.000,0,7.589,10.38,0.000
22,2.711,0.098,1.26,3.528,0.00,2,18,27.00,7.51,+0.000,0.999,0.000,-0.006,0.999,0.000,1,7.417,65.69,0.000
23,3.069,0.108,1.36,3.712,0.00,2,18,27.00,7.50,+0.000,1.000,0.000,+0.001,1.000,0.000,1,6.747,46.85,0.000
24,3.438,0.118,1.36,3.801,-1.28,2,18,27.00,7.49,-0.045,1.000,0.000,-0.063,0.984,0.000,1,5.987,46.69,0.000
25,3.809,0.129,1.35,3.717,-6.38,2,18,27.00,7.38,-0.227,0.995,0.000,-0.229,0.999,0.000,1,6.280,46.49,0.000
26,4.185,0.137,1.19,3.812,-6.62,2,18,27.00,7.35,-0.236,0.990,0.000,-0.233,0.995,0.000,1,5.297,47.21,0.000
27,4.569,0.137,0.71,3.928,-5.41,2,18,27.00,7.45,-0.193,0.985,0.000,-0.199,0.985,0.000,1,4.905,46.77,0.000
28,4.961,0.129,0.17,4.007,-4.01,2,18,27.00,7.47,-0.143,0.980,0.000,-0.143,0.982,0.000,1,4.074,46.59,0.000
29,5.361,0.115,-0.32,4.088,-1.59,2,18,27.00,7.47,-0.057,0.975,0.000,-0.041,0.991,0.000,1,3.408,46.64,0.000
30,5.768,0.099,-0.70,4.131,-2.06,2,18,27.00,7.46,-0.073,0.970,0.000,-0.074,0.966,0.000,1,3.085,47.91,0.000
31,6.180,0.084,-0.94,4.174,-2.23,2,18,27.00,7.46,-0.080,0.965,0.000,-0.079,0.962,0.000,1,2.511,47.46,0.000
32,6.595,0.067,-1.14,4.201,1.12,2,18,27.00,7.46,+0.040,0.960,0.000,+0.036,0.962,0.000,1,2.792,47.08,0.000
