time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,20.556476,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000070,-0.000742,0.000066,0.000352,0.000000,0.099502,0.000000,0,0,20.557046,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000520,-0.000032,0.000404,0.000370,0.000000,0.171702,0.000000,0,0,20.557175,0.000000,0.000000,0.000000
0.306000,0.055218,0.000029,1.263977,0.000591,0.000248,0.001625,0.000425,0.000000,0.258401,0.000000,0,0,20.557252,0.000000,0.000000,0.000000
0.408000,0.055175,0.000075,0.902700,0.000432,0.000173,0.005202,0.000454,0.000000,0.332746,0.000000,0,0,20.557297,0.000000,0.000000,0.000000
0.510000,0.058467,-0.000201,0.564535,0.029262,0.077992,-0.004811,0.005580,0.000000,0.395953,0.000000,0,0,20.554000,0.000000,0.000000,0.000000
0.612000,0.059588,-0.000145,0.637558,-0.027004,-0.073647,-0.001947,0.002473,0.000000,0.440884,0.000000,0,0,20.552879,0.000000,0.000000,0.000000
0.714000,0.053091,0.000007,0.740772,-0.017738,-0.050271,0.002987,-0.002587,0.000000,0.518435,0.000000,0,0,20.559378,0.000000,0.000000,0.000000
0.816000,0.048397,0.000199,0.745163,-0.051961,-0.046417,-0.006105,0.017049,0.000000,0.602026,0.000000,0,0,20.564075,0.000000,0.000000,0.000000
0.918000,0.051930,-0.001221,0.693004,0.060426,0.100920,0.001119,0.034728,0.000000,0.683953,0.000000,0,0,20.560511,0.000000,0.000000,0.000000
1.020000,0.073185,0.000656,0.662422,0.302736,0.292083,0.040861,-0.030271,0.000000,0.746023,0.000000,0,0,20.539305,0.000000,0.000000,0.000000
1.122000,0.116664,0.005053,0.686084,0.569581,0.552116,0.046359,0.006683,0.000000,0.776728,0.000000,0,0,20.495936,0.000000,0.000000,0.000000
1.224000,0.180662,0.012092,0.721563,0.693396,0.695091,0.069251,0.012102,0.000000,0.785813,0.000000,0,0,20.432117,0.000000,0.000000,0.000000
1.326000,0.260677,0.019872,0.744232,0.876030,0.872662,0.061545,0.026619,0.000000,0.772534,0.000000,0,0,20.352306,0.000000,0.000000,0.000000
