step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.084,0.055,0.70,1.856,0.00,1,18,10.00,5.63,+0.000,0.344,0.018,+0.000,0.344,0.018,0,14.651,10.47,0.000
40,4.620,0.287,5.48,1.034,13.34,3,18,10.00,4.83,+0.475,0.454,0.013,+0.475,0.454,0.013,0,12.295,10.39,0.000
60,9.677,1.569,12.89,3.736,-15.44,5,18,24.86,6.74,-0.550,0.292,0.104,-0.550,0.292,0.104,0,3.915,10.43,0.000
72,13.869,1.616,-2.12,3.430,-14.92,5,18,25.77,6.91,-0.531,0.412,0.007,-0.549,0.408,0.000,1,0.053,66.57,0.000
73,14.209,1.569,-3.44,3.483,-15.54,5,18,25.75,6.83,-0.553,0.477,0.005,-0.558,0.472,0.000,1,0.008,46.56,0.000
74,14.555,1.514,-4.81,3.562,-15.57,5,18,25.75,6.83,-0.554,0.537,0.003,-0.561,0.532,0.000,1,0.084,47.36,0.000
75,14.907,1.450,-6.26,3.664,-14.92,5,18,25.68,6.93,-0.531,0.589,0.002,-0.544,0.583,0.000,1,0.109,47.00,0.000
76,15.268,1.377,-7.78,3.757,-13.29,5,18,25.64,7.18,-0.473,0.632,0.001,-0.766,0.622,0.000,1,-0.251,46.95,0.009
77,15.636,1.294,-9.26,3.830,-12.78,5,18,25.64,7.25,-0.455,0.655,0.001,-0.909,0.645,0.000,1,-0.442,47.04,0.044
78,16.007,1.198,-10.90,3.880,-11.62,5,18,24.67,7.40,-0.414,0.662,0.001,-0.941,0.606,0.000,1,-0.449,47.96,0.128
79,16.378,1.087,-12.69,3.918,-10.93,5,18,24.67,7.50,-0.389,0.658,0.000,-0.845,0.623,0.000,1,-0.444,48.54,0.136
80,16.748,0.962,-14.60,3.960,-8.85,5,18,20.75,7.39,-0.315,0.646,0.000,-0.985,0.328,0.000,1,-0.743,47.04,0.337
81,17.118,0.822,-16.54,3.987,-8.49,5,18,18.39,6.88,-0.302,0.629,0.000,-0.953,0.215,0.000,1,-0.887,47.35,1.993
82,17.485,0.669,-18.60,4.006,-3.39,5,18,18.39,7.21,-0.121,0.610,0.000,-0.826,0.000,0.445,1,0.232,48.19,18.821
83,17.842,0.505,-20.65,3.860,1.72,5,18,17.24,7.12,+0.061,0.594,0.000,-0.747,0.000,0.357,1,0.006,47.58,19.504
84,18.177,0.340,-22.53,3.655,7.46,5,18,17.24,6.92,+0.266,0.587,0.000,-0.688,0.000,0.342,1,-0.111,47.35,20.450
85,18.490,0.178,-24.27,3.443,12.57,5,18,18.10,6.41,+0.448,0.600,0.000,-0.591,0.000,0.504,1,-0.156,47.30,21.718
86,18.781,0.024,-25.83,3.208,17.67,5,18,18.10,5.85,+0.629,0.634,0.000,-0.671,0.000,0.418,1,-0.248,48.01,23.015
87,19.051,-0.122,-27.15,2.969,20.22,5,18,18.59,5.57,+0.720,0.686,0.000,-0.692,0.000,0.349,1,-0.318,47.95,24.247
88,19.298,-0.257,-28.28,2.726,25.42,5,18,18.82,5.06,+0.906,0.762,0.000,-0.690,0.000,0.402,1,-0.394,47.18,25.717
89,19.523,-0.381,-29.25,2.478,27.44,5,18,18.82,4.90,+0.977,0.838,0.000,-0.722,0.000,0.441,1,-0.463,47.41,27.339
90,19.727,-0.495,-30.08,2.233,27.52,5,18,20.25,4.89,+0.980,0.892,0.000,-0.894,0.000,0.500,1,-0.455,47.81,28.738
91,19.909,-0.597,-30.78,1.984,27.44,5,18,20.25,4.91,+0.977,0.927,0.000,-0.900,0.000,0.500,1,-0.509,47.45,30.164
92,20.069,-0.687,-31.40,1.733,25.52,5,18,19.41,5.11,+0.909,0.954,0.000,-0.805,0.000,0.335,1,-0.593,47.02,31.688
93,20.207,-0.766,-31.96,1.486,26.54,5,18,17.07,5.07,+0.945,0.969,0.000,-0.751,0.000,0.350,1,-0.751,47.20,33.638
