sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778909676.761049,0,1.626867,0.014679,0.001359,-0.0272,0.0346,0.000632,1.648994,-0.000000,-0.000000,-0.0020,1.626756,0.014970,0.001368,-0.0050,0.0001,0.000006,-0.113379,0.0000,1.626756,0.000000,0.000000,5.0000,0.000000,2.000000,3412.5630,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0723,0.0000,0.000000,0.2000,17.07,9.33,43.47,5.55,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-4.774252561157866,-111.05861243786899,-0.071129,-0.066972,6560.7,6059.9,-0.020850,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778909676.767245,1,1.667805,0.056159,-0.000643,-0.0411,-0.0786,-0.000387,1.648913,-0.000001,-0.000000,-0.0094,1.667747,0.056267,-0.000639,-0.0024,0.0001,0.000004,-0.020151,0.0000,1.667747,0.000000,-0.000000,5.0000,0.000000,2.000000,3344.8408,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0785,0.0000,0.000000,0.2240,15.27,8.75,39.29,5.44,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-16.985008271025364,-7.85943780747877,-0.026771,-0.023900,6557.3,6063.3,-0.018371,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778909676.773219,2,1.730785,-0.042184,-0.001316,-0.0353,0.0359,0.000498,1.648775,-0.000002,-0.000002,-0.0125,1.730749,-0.042040,-0.001311,-0.0016,0.0002,0.000009,-0.009618,0.0000,1.730749,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.5497,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0855,0.0000,0.000000,0.2480,13.42,7.90,34.73,3.07,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-3.410092211603967,-11.281368364026534,-0.035793,-0.032843,6552.4,6068.1,-0.014857,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778909676.782688,3,1.621068,0.006705,-0.001120,0.0121,-0.0092,0.000544,1.648627,-0.000005,-0.000003,-0.0121,1.621123,0.006806,-0.001116,0.0016,0.0003,0.000011,0.005890,0.0000,1.621123,0.000000,0.000000,5.0000,0.000000,2.000000,3342.9762,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0932,0.0000,0.000000,0.2720,11.48,7.14,30.10,2.86,-0.000005,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-13.564356903263658,-3.8600680428212257,-0.025640,-0.022564,6546.1,6074.5,-0.010265,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778909676.794760,4,1.709353,0.034252,-0.001738,0.0334,0.1148,-0.000242,1.648492,-0.000007,-0.000005,-0.0106,1.709574,0.034510,-0.001731,0.0083,0.0012,0.000048,0.025924,0.0000,1.709574,0.000000,-0.000000,5.0000,0.000000,2.000000,3346.4345,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1015,0.0000,0.000000,0.2960,9.83,6.50,26.17,2.87,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,9.565254670136923,-70.3388419784556,-0.064872,-0.062708,6539.0,6081.6,-0.005094,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778909676.806699,5,1.574465,0.001156,-0.001244,-0.0077,0.0793,0.001920,1.648463,-0.000004,-0.000003,0.0002,1.574631,0.001483,-0.001235,0.0076,0.0023,0.000094,0.059701,0.0000,1.574631,0.000000,0.000000,5.0000,0.000000,2.000000,3357.9259,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1105,0.0000,0.000000,0.3200,8.43,5.96,22.82,2.93,-0.000004,-0.0002,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-55.947999909661654,-148.0142599697615,-0.084054,-0.079876,6528.7,6091.9,0.002389,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778909676.818842,6,1.551618,0.010889,0.012409,-0.0346,0.0272,0.000638,1.648468,0.000001,-0.000000,0.0002,1.551736,0.011188,0.012417,0.0066,0.0031,0.000123,0.079091,0.0000,1.551736,0.000000,0.000000,5.0000,0.000000,2.000000,3369.1307,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1201,0.0000,0.000000,0.3440,7.25,5.51,20.01,2.96,0.000001,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-32.43786457683197,-107.53097592800131,-0.078713,-0.074529,6522.3,6098.3,0.007019,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778909676.832411,7,1.642136,0.094749,-0.000091,0.0280,-0.1217,0.001681,1.648453,0.000007,0.000003,-0.0009,1.642325,0.094810,-0.000087,0.0112,0.0008,0.000041,0.093936,0.0000,1.642325,0.000000,0.000000,5.0000,0.000000,2.000000,3378.2726,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1303,0.0000,0.000000,0.3680,6.27,5.17,17.71,3.24,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-13.528537712433746,7.371808259682808,-0.017540,-0.011998,6517.3,6103.2,0.010634,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778909676.842952,8,1.635856,-0.101929,-0.006181,0.0065,-0.0621,0.000660,1.648434,0.000013,0.000007,-0.0008,1.636014,-0.101968,-0.006179,0.0107,-0.0008,-0.000008,0.112063,0.0000,1.636014,0.000000,0.000000,5.0000,0.000000,2.000000,3374.1467,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1410,0.0000,0.000000,0.3920,5.41,4.86,15.69,3.10,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-7.483841449336424,25.17729390755298,0.009490,0.014803,6511.7,6108.9,0.014723,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778909676.859109,9,1.754760,0.060294,0.009219,0.0295,0.0460,-0.000345,1.648415,0.000021,0.000011,-0.0007,1.754957,0.060327,0.009222,0.0147,0.0007,0.000045,0.129910,0.0000,1.754957,-0.000000,-0.000000,5.0000,0.000000,2.000000,3362.7696,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1523,0.0000,0.000000,0.4160,4.67,4.58,13.93,3.02,0.000021,0.0006,-5.0007,0.008000,0.090181,0.4542,-0.486910,0.004038,0.001346,0.0,0.0,-16.00537254334958,11.734243410070249,-0.009930,-0.006086,6506.3,6114.3,0.018665,0.000000,0.000000,0.5000,1.0000,,,,,
