time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.5100,18.7323,0.5123,4.170,2,21.760,-0.867,0.830,3.3273,2.330,3.330,0,1
6.5130,18.7444,0.5157,4.170,2,21.760,-0.867,0.830,3.3177,2.330,3.330,0,1
6.5160,18.7565,0.5191,4.171,2,21.760,-0.867,0.830,3.3081,2.330,3.330,0,1
6.5190,18.7686,0.5225,4.172,2,21.760,-0.867,0.830,3.2986,2.330,3.330,0,1
6.5220,18.7806,0.5259,4.173,2,21.760,-0.867,0.830,3.2891,2.330,3.330,0,1
6.5250,18.7927,0.5294,4.174,2,21.760,-0.867,0.830,3.2796,2.330,3.330,0,1
6.5280,18.8048,0.5329,4.175,2,21.760,-0.867,0.830,3.2702,2.330,3.330,0,1
6.5310,18.8169,0.5363,4.175,2,21.760,-0.867,0.830,3.2608,2.330,3.330,0,1
6.5340,18.8289,0.5398,4.176,2,21.760,-0.867,0.830,3.2514,2.330,3.330,0,1
6.5370,18.8410,0.5433,4.177,2,21.760,-0.867,0.830,3.2420,2.330,3.330,0,1
6.5400,18.8531,0.5468,4.180,2,21.760,-0.867,0.830,3.2327,2.330,3.330,0,1
6.5430,18.8652,0.5503,4.182,2,21.760,-0.867,0.830,3.2234,2.330,3.330,0,1
6.5460,18.8772,0.5539,4.183,2,21.760,-0.867,0.830,3.2141,2.330,3.330,0,1
6.5490,18.8893,0.5574,4.182,2,21.760,-0.867,0.830,3.2049,2.330,3.330,0,1
6.5520,18.9014,0.5610,4.182,2,21.760,-0.867,0.830,3.1956,2.330,3.330,0,1
6.5550,18.9134,0.5646,4.181,2,21.760,-0.867,0.830,3.1865,2.330,3.330,0,1
6.5580,18.9255,0.5681,4.180,2,21.760,-0.867,0.830,3.1773,2.330,3.330,0,1
6.5610,18.9375,0.5717,4.179,2,21.760,-0.867,0.830,3.1682,2.330,3.330,0,1
6.5640,18.9496,0.5754,4.179,2,21.760,-0.867,0.830,3.1591,2.330,3.330,0,1
6.5670,18.9616,0.5790,4.179,2,21.760,-0.867,0.830,3.1501,2.330,3.330,0,1
6.5700,18.9737,0.5826,4.179,2,21.760,-0.867,0.830,3.1410,2.330,3.330,0,1
6.5730,18.9857,0.5863,4.179,2,21.760,-0.867,0.830,3.1321,2.330,3.330,0,1
6.5760,18.9978,0.5899,4.178,2,21.760,-0.867,0.830,3.1231,2.330,3.330,0,1
6.5790,19.0098,0.5936,4.178,2,21.760,-0.867,0.830,3.1142,2.330,3.330,0,1
6.5820,19.0218,0.5973,4.180,2,21.760,-0.867,0.830,3.1053,2.330,3.330,0,1
6.5850,19.0339,0.6010,4.179,2,21.760,-0.867,0.830,3.0964,2.330,3.330,0,1
6.5880,19.0459,0.6047,4.179,2,21.760,-0.867,0.830,3.0876,2.330,3.330,0,1
6.5910,19.0579,0.6084,4.180,2,21.760,-0.867,0.830,3.0788,2.330,3.330,0,1
6.5940,19.0700,0.6121,4.181,2,21.760,-0.867,0.830,3.0701,2.330,3.330,0,1
6.5970,19.0820,0.6159,4.183,2,21.760,-0.867,0.830,3.0613,2.330,3.330,0,1
6.6000,19.0940,0.6196,4.183,2,21.760,-0.867,0.830,3.0527,2.330,3.330,0,1
6.6030,19.1060,0.6234,4.184,2,21.760,-0.867,0.830,3.0440,2.330,3.330,0,1
6.6060,19.1181,0.6272,4.184,2,21.760,-0.867,0.830,3.0354,2.330,3.330,0,1
6.6090,19.1301,0.6310,4.185,2,21.760,-0.867,0.830,3.0268,2.330,3.330,0,1
6.6120,19.1421,0.6348,4.186,2,21.760,-0.867,0.830,3.0182,2.330,3.330,0,1
