time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,19.391530,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000090,-0.000761,0.000131,0.000334,0.000000,0.164352,0.000000,0,0,19.392099,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000529,-0.000028,0.000831,0.000353,0.000000,0.283999,0.000000,0,0,19.392229,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000596,0.000214,0.003603,0.000421,0.000000,0.423080,0.000000,0,0,19.392308,0.000000,0.000000,0.000000
0.408000,0.055171,0.000167,0.902700,0.000328,-0.000118,0.011703,0.000444,0.000000,0.551725,0.000000,0,0,19.392359,0.000000,0.000000,0.000000
0.510000,0.059894,-0.000624,0.564130,0.066380,0.114268,-0.010733,0.004248,0.000000,0.685878,0.000000,0,0,19.387608,0.000000,0.000000,0.000000
0.612000,0.065410,-0.001227,0.638328,0.027092,-0.021128,-0.008935,0.022611,0.000000,0.787529,0.000000,0,0,19.382072,0.000000,0.000000,0.000000
0.714000,0.065128,-0.001234,0.744538,0.049165,0.011396,-0.000087,0.022346,0.000000,0.863532,0.000000,0,0,19.382354,0.000000,0.000000,0.000000
0.816000,0.068317,-0.001142,0.750756,0.073664,0.071449,0.000743,0.021676,0.000000,0.912348,0.000000,0,0,19.379171,0.000000,0.000000,0.000000
0.918000,0.084138,-0.002730,0.708852,0.187025,0.235007,-0.016200,0.011698,0.000000,0.940863,0.000000,0,0,19.363299,0.000000,0.000000,0.000000
1.020000,0.120007,-0.002154,0.679898,0.463081,0.466674,0.008065,0.025124,0.000000,0.962017,0.000000,0,0,19.327482,0.000000,0.000000,0.000000
1.122000,0.180724,0.000758,0.704776,0.722921,0.704940,0.038782,0.021046,0.000000,0.974374,0.000000,0,0,19.266930,0.000000,0.000000,0.000000
1.224000,0.260179,0.008016,0.743063,0.857392,0.856846,0.067279,0.015227,0.000000,0.983540,0.000000,0,0,19.187833,0.000000,0.000000,0.000000
1.326000,0.355085,0.016498,0.767123,1.002853,1.006970,0.062863,0.017265,0.000000,0.987747,0.000000,0,0,19.093354,0.000000,0.000000,0.000000
1.428000,0.467060,0.024514,0.777272,1.189073,1.188878,0.052724,0.026183,-0.002049,0.990883,0.000000,0,0,18.981808,0.000000,0.000000,0.000000
1.530000,0.597678,0.031775,0.781344,1.372050,1.371159,0.034114,0.033526,-0.000300,0.998594,0.000000,0,0,18.851612,0.000000,0.000000,0.000000
1.632000,0.746545,0.038096,0.781844,1.540351,1.541570,0.020378,0.025461,-0.000388,0.999786,0.000000,0,0,18.703151,0.000000,0.000000,0.000000
1.734000,0.911948,0.044144,0.779843,1.694738,1.697711,0.010876,0.020924,-0.000119,0.999470,0.000000,0,0,18.538166,0.000000,0.000000,0.000000
1.836000,1.093331,0.050643,0.777422,1.858101,1.856908,0.012149,0.013757,-0.002895,0.999292,0.000000,0,0,18.357244,0.000000,0.000000,0.000000
1.938000,1.291154,0.058350,0.776794,2.019171,2.018406,0.019767,0.008529,0.003012,0.996850,0.000000,0,0,18.159964,0.000000,0.000000,0.000000
2.040000,1.504856,0.066936,0.778345,2.164239,2.165795,0.018095,0.011798,0.006957,0.995548,0.000000,0,0,17.946876,0.000000,0.000000,0.000000
2.142000,1.732747,0.076288,0.779422,2.296186,2.300610,0.015763,0.013372,-0.025010,0.994830,0.000000,0,0,17.719667,0.000000,0.000000,0.000000
2.244000,1.974604,0.085934,0.780837,2.439448,2.438265,0.011009,0.008852,0.006248,0.982469,0.000000,0,0,17.478542,0.000000,0.000000,0.000000
2.346000,2.230390,0.095857,0.782366,2.576944,2.574244,0.008799,0.022569,0.029450,0.990426,0.000000,0,0,17.223542,0.000000,0.000000,0.000000
2.448000,2.500520,0.107231,0.780646,2.720715,2.721663,0.030022,0.050674,0.157852,0.952596,0.000000,0,0,16.954315,0.000000,0.000000,0.000000
2.550000,2.785613,0.122636,0.779176,2.875724,2.874044,0.031627,0.043487,-0.034620,0.873311,0.000000,0,0,16.670388,0.000000,0.000000,0.000000
2.652000,3.086278,0.139134,0.778362,3.033957,3.027097,0.023020,0.027294,0.014998,0.892302,0.000000,0,0,16.371018,0.000000,0.000000,0.000000
2.754000,3.400299,0.157152,0.755557,3.181041,3.121177,0.048450,0.041790,0.150565,0.916802,0.000000,0,0,16.058453,0.000000,0.000000,0.000000
2.856000,3.725309,0.178863,0.735130,3.196630,3.237946,0.043090,0.015672,-0.074157,0.835704,0.000000,0,0,15.735201,0.000000,0.000000,0.000000
2.958000,4.061401,0.200455,0.758887,3.345363,3.371921,0.016220,-0.026381,-0.237618,0.856206,0.000000,0,0,15.400968,0.000000,0.000000,0.000000
3.060000,4.410116,0.218665,0.781857,3.483351,3.475045,-0.026891,-0.064649,-0.560440,0.773887,0.000000,0,0,15.054026,0.000000,0.000000,0.000000
3.162000,4.770276,0.228393,0.784136,3.600615,3.596222,-0.088372,-0.059596,-0.284462,0.725278,0.000000,0,0,14.695206,0.000000,0.000000,0.000000
3.264000,5.143673,0.231979,0.773082,3.718927,3.715410,-0.133501,-0.089824,-0.634566,0.748888,0.000000,0,0,14.322837,0.000000,0.000000,0.000000
3.366000,5.528684,0.227070,0.765767,3.822519,3.830012,-0.161097,-0.127085,-0.376571,0.780125,0.000000,0,0,13.938353,0.000000,0.000000,0.000000
3.468000,5.924667,0.216091,0.769701,3.935252,3.929676,-0.178541,-0.143302,-0.255758,0.811231,0.000000,0,0,13.542536,0.000000,0.000000,0.000000
3.570000,6.331462,0.197055,0.774347,4.044776,4.042198,-0.191962,-0.115201,-0.259379,0.675748,0.000000,0,0,13.135393,0.000000,0.000000,0.000000
3.672000,6.748655,0.172158,0.776295,4.141572,4.140415,-0.195268,-0.132603,-0.172279,0.537331,0.000000,0,0,12.717475,0.000000,0.000000,0.000000
3.774000,7.175362,0.143919,0.774887,4.229339,4.228511,-0.154047,-0.107065,-0.183217,0.620058,0.000000,0,0,12.289837,0.000000,0.000000,0.000000
3.876000,7.609206,0.114990,0.773494,4.280597,4.292612,-0.119498,-0.049913,-0.431948,0.626811,0.000000,0,0,11.855031,0.000000,0.000000,0.000000
3.978000,8.046499,0.081132,0.775980,4.300651,4.305601,-0.151475,-0.198172,-0.245677,0.532301,0.000000,0,0,11.416444,0.000000,0.000000,0.000000
4.080000,8.485846,0.037067,0.776209,4.344725,4.344524,-0.168944,-0.178589,0.343238,0.518828,0.000000,0,0,10.975111,0.000000,0.000000,0.000000
4.182000,8.928978,-0.011749,0.773970,4.387977,4.384038,-0.096498,-0.034238,0.250569,0.567351,0.000000,0,0,10.529700,0.000000,0.000000,0.000000
4.284000,9.375803,-0.052280,0.770394,4.403446,4.408212,0.005829,-0.013640,0.412588,0.496486,0.000000,0,0,10.081174,0.000000,0.000000,0.000000
4.386000,9.824811,-0.083725,0.771557,4.414124,4.416357,0.087788,0.087556,0.378641,0.470690,0.000000,0,0,9.631070,0.000000,0.000000,0.000000
4.488000,10.275812,-0.103892,0.775928,4.432149,4.432533,0.159848,0.108000,0.313103,0.450697,0.000000,0,0,9.179721,0.000000,0.000000,0.000000
4.590000,10.729336,-0.114928,0.777694,4.459699,4.458109,0.166488,0.139659,0.261669,0.443917,0.000000,0,0,8.726479,0.000000,0.000000,0.000000
4.692000,11.185947,-0.119060,0.775345,4.491249,4.485115,0.181756,0.130029,0.249421,0.433591,0.000000,0,0,8.270677,0.000000,0.000000,0.000000
4.794000,11.645065,-0.114641,0.773133,4.512473,4.512704,0.199150,0.111690,0.218694,0.429376,0.000000,0,0,7.813081,0.000000,0.000000,0.000000
4.896000,12.106480,-0.105058,0.770438,4.528540,4.525566,0.179843,0.134127,0.210339,0.443210,0.000000,0,0,7.353747,0.000000,0.000000,0.000000
4.998000,12.568667,-0.091754,0.772001,4.531967,4.536263,0.144955,0.121017,0.167179,0.443404,0.000000,0,0,6.894171,0.000000,0.000000,0.000000
5.100000,13.032379,-0.076468,0.773125,4.545182,4.548201,0.117244,0.109758,0.722037,0.564912,0.000000,0,0,6.433551,0.000000,0.000000,0.000000
5.202000,13.494969,-0.053054,0.773197,4.532863,4.537373,0.175880,0.191478,0.088926,0.318997,0.000000,0,0,5.975211,0.000000,0.000000,0.000000
5.304000,13.956955,-0.023875,0.772469,4.537709,4.534843,0.128019,0.078691,0.432660,0.380018,0.000000,0,0,5.518657,0.000000,0.000000,0.000000
5.406000,14.417601,0.010970,0.773735,4.527305,4.526029,0.173522,0.116483,0.319770,0.414009,0.000000,0,0,5.064896,0.000000,0.000000,0.000000
5.508000,14.878104,0.053441,0.774821,4.531850,4.532093,0.184158,0.160619,0.487269,0.457312,0.000000,0,0,4.613364,0.000000,0.000000,0.000000
5.610000,15.337765,0.105839,0.773777,4.529132,4.527683,0.215482,0.194332,0.451250,0.499740,0.000000,0,0,4.165682,0.000000,0.000000,0.000000
5.712000,15.795682,0.169394,0.775396,4.526907,4.526964,0.228928,0.199931,0.375537,0.498810,0.000000,0,0,3.723869,0.000000,0.000000,0.000000
5.814000,16.252664,0.243357,0.777384,4.542957,4.540534,0.233385,0.198262,0.344026,0.678387,0.000000,0,0,3.288320,0.000000,0.000000,0.000000
5.916000,16.709489,0.327273,0.776306,4.552117,4.554038,0.244130,0.173603,0.311651,0.615165,0.000000,0,0,2.859949,0.000000,0.000000,0.000000
6.018000,17.166275,0.419446,0.776461,4.563369,4.566676,0.228808,0.167372,0.277216,0.643958,0.000000,0,0,2.440599,0.000000,0.000000,0.000000
6.120000,17.622670,0.518498,0.777105,4.577042,4.575806,0.223813,0.171955,0.308229,0.641714,0.000000,0,0,2.033278,0.000000,0.000000,0.000000
6.222000,18.077723,0.625493,0.777604,4.580397,4.579774,0.222858,0.184620,0.345920,0.649392,0.000000,0,0,1.643351,0.000000,0.000000,0.000000
6.324000,18.531961,0.739819,0.777774,4.644499,4.632904,0.188318,0.165878,0.205950,0.734128,0.000000,0,0,1.275917,0.000000,0.000000,0.000000
6.426000,19.000840,0.860671,0.776878,4.854905,4.850106,0.151572,0.171779,0.354663,0.688182,0.000000,0,8,0.925464,0.000000,0.000000,0.000000
6.528000,19.488843,0.991434,0.778393,5.041537,5.044422,0.116057,0.181964,0.269806,0.674732,0.000000,0,42,0.604594,0.000000,0.000000,0.000000
6.630000,19.993548,1.132606,0.781263,5.220535,5.221259,0.086389,0.188409,0.306491,0.583648,0.000000,0,76,0.338020,0.000000,0.000000,0.000000
6.732000,20.513099,1.284785,0.781597,5.384793,5.384117,0.048630,0.191203,0.561780,0.505426,0.000000,0,110,0.156785,0.000000,0.000000,0.000000
6.834000,21.046428,1.449526,0.777583,5.537938,5.539888,0.046757,0.230631,0.435944,0.508078,0.000000,0,144,0.093675,0.000000,0.000000,0.000000
6.936000,21.590635,1.631199,0.776022,5.699480,5.698626,0.070132,0.201152,0.445146,0.286729,0.000000,0,178,0.173580,0.000000,0.000000,0.000000
7.038000,22.143360,1.831746,0.778988,5.814523,5.821783,0.112404,0.198510,0.277935,0.337905,0.000000,0,212,0.395414,0.000000,0.000000,0.000000
7.140000,22.701721,2.049402,0.778719,5.917498,5.922044,0.125423,0.185515,-0.799620,0.170337,0.000000,0,267,0.734205,0.000000,0.000000,0.000000
7.242000,23.265091,2.276928,0.775823,5.967883,5.966429,0.047296,0.004592,-0.854514,0.088654,0.000000,0,323,0.403549,0.000000,0.000000,0.000000
7.344000,23.831570,2.497045,0.776405,5.937046,5.941442,-0.051135,-0.079252,-0.751438,0.047254,0.000000,0,357,0.176492,0.000000,0.000000,0.000000
7.446000,24.398610,2.703129,0.777714,5.878661,5.883744,-0.136557,-0.081537,-0.692763,0.018420,0.000000,0,391,0.099040,0.000000,0.000000,0.000000
