step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
13,0.265,0.014,0.60,0.933,0.00,2,18,10.00,5.63,+0.000,0.981,0.000,-0.003,0.981,0.000,1,13.308,47.30,0.000
14,0.365,0.023,0.66,1.098,0.00,2,18,10.00,5.63,+0.000,0.987,0.000,-0.001,0.989,0.000,1,13.372,47.06,0.000
15,0.483,0.031,0.78,1.270,0.00,2,18,10.00,5.63,+0.000,0.992,0.000,+0.002,0.994,0.000,1,12.305,46.74,0.000
16,0.618,0.038,0.98,1.447,0.00,2,18,10.00,5.63,+0.000,0.995,0.000,-0.002,0.999,0.000,1,12.605,46.75,0.000
17,0.770,0.045,1.20,1.617,0.00,2,18,10.00,5.63,+0.000,0.996,0.000,-0.001,0.999,0.000,1,12.036,46.50,0.000
18,0.938,0.053,1.40,1.774,0.00,2,18,10.00,5.63,+0.000,0.998,0.000,-0.004,0.999,0.000,1,11.611,47.12,0.000
19,1.122,0.061,1.55,1.928,0.00,2,18,10.00,5.63,+0.000,0.998,0.000,+0.003,0.997,0.000,1,10.949,46.89,0.000
20,1.321,0.070,1.66,2.086,0.00,2,18,10.00,5.63,+0.000,0.999,0.000,+0.007,0.996,0.000,1,10.795,46.71,0.000
21,1.534,0.080,1.75,2.218,0.00,2,18,10.00,5.63,+0.000,0.999,0.000,-0.025,0.995,0.000,1,10.863,46.49,0.000
22,1.761,0.090,1.85,2.364,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,+0.003,0.985,0.000,1,10.190,47.26,0.000
23,2.002,0.099,1.95,2.503,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,+0.035,0.992,0.000,1,9.862,47.19,0.000
24,2.256,0.109,2.10,2.644,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,+0.174,0.949,0.000,1,9.180,46.60,0.005
25,2.525,0.122,2.26,2.791,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,-0.000,0.866,0.000,1,8.905,46.88,0.032
26,2.808,0.138,2.53,2.938,0.00,2,18,10.00,5.61,+0.000,1.000,0.000,+0.032,0.879,0.000,1,8.753,47.24,0.017
27,3.107,0.154,2.71,3.104,0.00,2,18,10.00,5.61,+0.000,1.000,0.000,+0.119,0.922,0.000,1,8.358,46.83,0.033
28,3.417,0.173,2.88,3.238,0.00,2,18,10.00,5.61,+0.000,1.000,0.000,-0.053,0.888,0.000,1,7.992,46.61,0.026
29,3.739,0.196,3.03,3.282,-5.10,2,18,10.00,5.60,-0.182,1.000,0.000,-0.273,0.864,0.000,1,6.903,46.33,0.042
30,4.072,0.218,2.93,3.390,-10.21,2,18,10.00,5.14,-0.364,1.000,0.000,-0.625,0.738,0.000,1,6.959,47.04,0.122
31,4.413,0.235,2.63,3.490,-14.04,2,18,10.00,4.75,-0.500,1.000,0.000,-0.304,0.715,0.000,1,7.055,45.84,0.508
32,4.761,0.246,1.53,3.577,-11.35,2,18,10.00,5.02,-0.404,1.000,0.000,-0.597,0.746,0.000,1,5.942,46.49,0.695
33,5.121,0.257,1.24,3.720,-12.56,2,18,10.00,4.90,-0.447,0.996,0.000,-0.377,0.844,0.000,1,5.551,46.09,0.630
34,5.496,0.263,1.07,3.849,-11.57,2,18,10.00,5.00,-0.412,0.975,0.000,-0.478,0.746,0.000,1,4.989,46.81,1.169
