step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.342,0.060,0.74,2.531,0.00,1,18,27.00,7.60,+0.000,0.346,0.047,+0.000,0.346,0.047,0,14.172,7.63,0.000
40,5.471,0.503,9.83,2.321,11.58,3,18,27.00,6.88,+0.412,0.696,0.003,+0.412,0.696,0.003,0,9.538,7.56,0.000
60,12.400,1.787,3.87,3.740,-14.45,5,18,23.62,6.17,-0.515,0.270,0.015,-0.515,0.270,0.015,0,0.587,7.67,0.000
62,13.134,1.750,1.08,3.658,-14.38,5,18,24.36,6.10,-0.512,0.335,0.006,-0.542,0.329,0.000,1,-0.299,48.21,0.001
63,13.495,1.718,-0.39,3.640,-13.62,5,18,24.72,6.18,-0.485,0.387,0.004,-0.504,0.379,0.000,1,-0.049,46.41,0.000
64,13.853,1.675,-1.88,3.635,-13.44,5,18,24.72,6.20,-0.479,0.440,0.003,-0.530,0.434,0.000,1,-0.316,46.64,0.005
65,14.211,1.624,-3.32,3.649,-13.71,5,18,25.01,6.18,-0.488,0.495,0.002,-0.615,0.389,0.000,1,-0.401,46.37,0.018
66,14.570,1.563,-4.81,3.669,-12.49,5,18,25.01,6.31,-0.445,0.539,0.001,-0.711,0.316,0.000,1,-0.484,47.26,0.106
67,14.929,1.490,-6.43,3.670,-12.24,5,18,25.21,6.34,-0.436,0.578,0.001,-0.929,0.318,0.000,1,-0.530,46.81,0.318
68,15.283,1.404,-8.35,3.637,-10.64,5,18,25.21,6.52,-0.379,0.616,0.001,-0.921,0.458,0.000,1,-0.519,46.94,0.163
69,15.628,1.298,-10.64,3.609,-6.26,5,18,23.92,7.00,-0.223,0.660,0.000,-0.850,0.660,0.000,1,-0.535,47.07,0.231
70,15.968,1.174,-12.94,3.639,-2.83,5,18,23.92,7.10,-0.101,0.701,0.000,-0.880,0.482,0.000,1,-0.501,47.06,0.280
71,16.307,1.034,-15.19,3.684,0.42,5,18,22.46,7.14,+0.015,0.741,0.000,-0.862,0.553,0.000,1,-0.522,47.27,0.351
72,16.644,0.878,-17.50,3.727,5.53,5,18,22.46,7.10,+0.197,0.779,0.000,-0.879,0.783,0.000,1,-0.503,47.22,0.469
73,16.978,0.708,-19.84,3.767,8.07,5,18,21.10,6.91,+0.287,0.816,0.000,-0.576,0.881,0.000,1,-0.705,47.35,0.437
74,17.310,0.524,-22.21,3.837,10.78,5,18,21.10,6.61,+0.384,0.845,0.000,-0.731,0.768,0.000,1,-0.718,47.48,0.780
75,17.642,0.330,-24.28,3.873,9.51,5,18,20.18,6.79,+0.339,0.868,0.000,-0.693,0.803,0.000,1,-0.691,47.06,0.509
76,17.970,0.122,-26.42,3.898,12.06,5,18,20.18,6.49,+0.429,0.887,0.000,-0.631,0.651,0.000,1,-0.689,47.02,0.485
77,18.293,-0.098,-28.48,3.935,16.79,5,18,19.03,5.98,+0.598,0.905,0.000,-0.347,0.780,0.000,1,-0.798,48.73,0.535
78,18.613,-0.328,-30.38,3.993,14.24,5,18,19.03,6.27,+0.507,0.922,0.000,-0.341,0.859,0.000,1,-0.778,47.50,0.442
79,18.937,-0.562,-31.70,4.047,19.34,5,18,18.61,5.72,+0.689,0.936,0.000,-0.470,0.787,0.000,1,-0.833,47.11,0.603
80,19.261,-0.803,-32.95,4.071,21.90,5,18,18.61,5.46,+0.780,0.947,0.000,-0.223,0.809,0.000,1,-0.825,47.18,0.515
81,19.582,-1.051,-34.31,4.109,27.64,5,18,18.97,4.95,+0.984,0.958,0.000,-0.199,0.877,0.000,1,-0.828,47.03,0.722
82,19.906,-1.300,-35.18,4.137,28.07,5,18,18.97,4.91,+1.000,0.967,0.000,-0.800,0.200,0.000,1,-0.673,46.79,2.519
83,20.229,-1.553,-35.93,4.110,28.07,5,18,19.93,4.91,+1.000,0.977,0.000,+0.819,0.722,0.000,1,-0.704,46.49,2.510
84,20.540,-1.814,-37.70,4.090,28.07,5,18,19.93,4.91,+1.000,0.985,0.000,+0.832,0.809,0.000,1,-0.605,46.94,0.396
85,20.851,-2.070,-38.25,4.072,24.25,5,18,21.05,5.25,+0.864,0.990,0.000,+0.618,0.729,0.000,1,-0.546,46.85,0.347
86,21.172,-2.314,-37.73,4.072,28.07,5,18,22.10,4.92,+1.000,0.994,0.000,+0.507,0.769,0.000,1,-0.491,47.16,0.984
87,21.502,-2.544,-36.73,4.066,27.44,5,18,22.10,4.97,+0.977,0.996,0.000,+0.897,0.805,0.000,1,-0.460,46.67,1.141
88,21.842,-2.760,-35.65,4.051,22.76,5,18,22.73,5.39,+0.811,0.997,0.000,+0.729,0.754,0.000,1,-0.351,46.62,1.489
