time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,19.391530,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000088,-0.000757,0.000121,0.000347,0.000000,0.164195,0.000000,0,0,19.392099,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000530,-0.000025,0.000828,0.000368,0.000000,0.284018,0.000000,0,0,19.392229,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000580,0.000199,0.003606,0.000415,0.000000,0.423172,0.000000,0,0,19.392308,0.000000,0.000000,0.000000
0.408000,0.055220,0.000190,0.904397,0.004174,0.005454,0.011868,0.008027,0.000000,0.551787,0.000000,0,0,19.392311,0.000000,0.000000,0.000000
0.510000,0.062736,0.001210,0.643065,0.074711,0.119670,0.028928,0.013979,0.000000,0.685918,0.000000,0,0,19.384842,0.000000,0.000000,0.000000
0.612000,0.064913,0.003118,0.716701,-0.008005,-0.050276,0.021552,-0.011987,0.000000,0.797754,0.000000,0,0,19.382742,0.000000,0.000000,0.000000
0.714000,0.064871,0.007574,0.790308,0.043060,0.029554,0.052155,-0.029015,0.000000,0.863549,0.000000,0,0,19.382963,0.000000,0.000000,0.000000
0.816000,0.076235,0.009603,0.786805,0.232421,0.235043,-0.014747,0.022134,0.000000,0.912359,0.000000,0,0,19.371690,0.000000,0.000000,0.000000
0.918000,0.122247,0.008648,0.770293,0.639676,0.637159,-0.013007,-0.007616,0.000000,0.940870,0.000000,0,0,19.325677,0.000000,0.000000,0.000000
1.020000,0.206601,0.011145,0.786745,1.002055,0.996015,0.030206,0.009633,0.000000,0.962022,0.000000,0,0,19.241494,0.000000,0.000000,0.000000
1.122000,0.324416,0.016128,0.816616,1.307116,1.302000,0.052343,0.011313,0.000000,0.974377,0.000000,0,0,19.123981,0.000000,0.000000,0.000000
1.224000,0.471526,0.023598,0.843807,1.587945,1.586052,0.070048,0.012170,0.000000,0.983542,0.000000,0,0,18.977308,0.000000,0.000000,0.000000
1.326000,0.647409,0.032046,0.861677,1.855998,1.856408,0.071521,0.017598,0.000000,0.988896,0.000000,0,0,18.801938,0.000000,0.000000,0.000000
1.428000,0.850205,0.039995,0.867043,2.100241,2.108932,0.060494,0.021248,0.000000,0.992868,0.000000,0,0,18.599670,0.000000,0.000000,0.000000
1.530000,1.078805,0.047189,0.863536,2.358269,2.368028,0.054501,0.019118,0.000000,0.995188,0.000000,0,0,18.371603,0.000000,0.000000,0.000000
1.632000,1.334109,0.054870,0.857277,2.627781,2.630122,0.052183,0.017623,0.000000,0.996910,0.000000,0,0,18.116896,0.000000,0.000000,0.000000
1.734000,1.615520,0.062790,0.855450,2.877592,2.873817,0.044854,0.021445,0.000000,0.997915,0.000000,0,0,17.836139,0.000000,0.000000,0.000000
1.836000,1.919878,0.071391,0.856428,3.086166,3.089090,0.047503,0.029300,0.000000,0.998661,0.000000,0,0,17.532513,0.000000,0.000000,0.000000
1.938000,2.246659,0.081206,0.853042,3.312452,3.310882,0.044516,0.030521,0.000000,0.999096,0.000000,0,0,17.206577,0.000000,0.000000,0.000000
2.040000,2.594025,0.091717,0.849024,3.484947,3.488099,0.034256,0.026504,0.000000,0.999420,0.000000,0,0,16.860150,0.000000,0.000000,0.000000
2.142000,2.957699,0.102465,0.845586,3.649278,3.648499,0.024760,0.016590,-0.005567,0.999369,0.000000,0,0,16.497488,0.000000,0.000000,0.000000
2.244000,3.335838,0.112753,0.826982,3.789594,3.723826,0.016560,-0.001467,0.001473,0.999867,0.000000,0,0,16.120405,0.000000,0.000000,0.000000
2.346000,3.716407,0.122581,0.797826,3.699353,3.724184,0.018605,0.012009,-0.014061,0.994804,0.000000,0,0,15.740918,0.000000,0.000000,0.000000
2.448000,4.100182,0.133678,0.807822,3.780469,3.821527,-0.017846,-0.020112,-0.180503,0.999698,0.000000,0,0,15.358356,0.000000,0.000000,0.000000
2.550000,4.495053,0.137475,0.826660,3.921834,3.912887,-0.090623,-0.078231,-0.249800,0.994656,0.000000,0,0,14.964352,0.000000,0.000000,0.000000
2.652000,4.897622,0.132148,0.838011,3.992545,3.978226,-0.136460,-0.101347,-0.291712,0.985285,0.000000,0,0,14.562162,0.000000,0.000000,0.000000
2.754000,5.307428,0.118697,0.838142,4.061085,4.057431,-0.156793,-0.107075,-0.244703,0.979700,0.000000,0,0,14.152281,0.000000,0.000000,0.000000
2.856000,5.724754,0.099284,0.831274,4.117289,4.118833,-0.153109,-0.083862,-0.112052,0.975263,0.000000,0,0,13.734542,0.000000,0.000000,0.000000
2.958000,6.147691,0.078509,0.826066,4.175656,4.178672,-0.113705,-0.034437,-0.043261,0.974388,0.000000,0,0,13.311122,0.000000,0.000000,0.000000
3.060000,6.575773,0.060241,0.823974,4.212660,4.216612,-0.058174,0.017348,0.051361,0.961600,0.000000,0,0,12.882721,0.000000,0.000000,0.000000
3.162000,7.006413,0.049379,0.826632,4.231345,4.229247,0.003974,0.039544,0.073621,0.963451,0.000000,0,0,12.452227,0.000000,0.000000,0.000000
3.264000,7.438690,0.044535,0.831334,4.250896,4.250261,0.024581,0.026914,0.034635,0.956306,0.000000,0,0,12.020497,0.000000,0.000000,0.000000
3.366000,7.873267,0.041234,0.833812,4.266840,4.268817,0.000873,0.009360,-0.158038,0.945694,0.000000,0,0,11.586609,0.000000,0.000000,0.000000
3.468000,8.309458,0.034244,0.834214,4.272339,4.281728,-0.050812,-0.075478,0.017649,0.975428,0.000000,0,0,11.150909,0.000000,0.000000,0.000000
3.570000,8.747555,0.021613,0.831213,4.312201,4.308329,-0.034211,-0.011249,0.044857,0.994969,0.000000,0,0,10.712957,0.000000,0.000000,0.000000
3.672000,9.187920,0.010307,0.824745,4.334120,4.325674,-0.029793,0.030239,0.036799,0.986337,0.000000,0,0,10.272859,0.000000,0.000000,0.000000
3.774000,9.629433,0.000903,0.820987,4.330087,4.331538,-0.010448,0.015609,0.025788,0.975892,0.000000,0,0,9.831780,0.000000,0.000000,0.000000
3.876000,10.071242,-0.005454,0.824277,4.332618,4.339858,0.010283,-0.036722,0.181891,0.966526,0.000000,0,0,9.390670,0.000000,0.000000,0.000000
3.978000,10.514543,-0.006814,0.828118,4.352240,4.356353,0.082210,0.069054,0.226802,0.927000,0.000000,0,0,8.948511,0.000000,0.000000,0.000000
4.080000,10.959195,0.001800,0.827918,4.359738,4.360054,0.132804,0.158698,0.001521,0.954427,0.000000,0,0,8.505894,0.000000,0.000000,0.000000
4.182000,11.404068,0.013450,0.823989,4.371473,4.357929,0.075574,0.004401,0.077705,0.814965,0.000000,0,0,8.063494,0.000000,0.000000,0.000000
4.284000,11.848524,0.025357,0.819641,4.367389,4.364775,0.073225,-0.008003,0.581003,0.866580,0.000000,0,0,7.621765,0.000000,0.000000,0.000000
4.386000,12.292680,0.040829,0.820605,4.329741,4.336932,0.165533,0.166029,0.530811,0.851340,0.000000,0,0,7.180945,0.000000,0.000000,0.000000
4.488000,12.733201,0.073616,0.827214,4.315535,4.320247,0.237119,0.241891,0.388072,0.937925,0.000000,0,0,6.745870,0.000000,0.000000,0.000000
4.590000,13.171753,0.121447,0.832714,4.322315,4.312446,0.266648,0.217636,0.368136,0.836767,0.000000,0,0,6.315134,0.000000,0.000000,0.000000
4.692000,13.607310,0.182502,0.835883,4.295915,4.290432,0.301248,0.210000,0.409492,0.833474,0.000000,0,0,5.890153,0.000000,0.000000,0.000000
4.794000,14.039516,0.255486,0.840249,4.280304,4.280806,0.321679,0.200981,0.365461,0.800374,0.000000,0,0,5.471841,0.000000,0.000000,0.000000
4.896000,14.469329,0.337413,0.844250,4.271969,4.275546,0.289354,0.200859,0.029683,0.495614,0.000000,0,0,5.059663,0.000000,0.000000,0.000000
4.998000,14.897661,0.417740,0.846593,4.248527,4.254914,0.194377,0.105485,0.280520,0.806662,0.000000,0,0,4.651736,0.000000,0.000000,0.000000
5.100000,15.323103,0.501349,0.850152,4.234867,4.232142,0.199299,0.159258,0.677115,0.444631,0.000000,0,0,4.250895,0.000000,0.000000,0.000000
5.202000,15.741575,0.595797,0.856558,4.180158,4.176476,0.260207,0.233876,0.313067,0.366082,0.000000,0,0,3.863797,0.000000,0.000000,0.000000
5.304000,16.154644,0.698831,0.863762,4.163768,4.160109,0.214412,0.153981,0.152394,0.530941,0.000000,0,0,3.490095,0.000000,0.000000,0.000000
5.406000,16.566245,0.805105,0.868777,4.162391,4.164217,0.193269,0.158993,-0.755916,0.747008,0.000000,0,0,3.126412,0.000000,0.000000,0.000000
5.508000,16.976854,0.906064,0.872150,4.130838,4.129744,0.029587,-0.152788,0.146270,0.930282,0.000000,0,0,2.771314,0.000000,0.000000,0.000000
5.610000,17.388417,0.994600,0.874561,4.117091,4.120741,0.053784,0.025887,0.716445,0.249525,0.000000,0,0,2.421549,0.000000,0.000000,0.000000
5.712000,17.795712,1.091124,0.876737,4.091426,4.093863,0.154966,0.200669,0.605888,0.813649,0.000000,0,0,2.091594,0.000000,0.000000,0.000000
5.814000,18.197755,1.203861,0.878684,4.088601,4.088647,0.225839,0.233582,0.475134,0.787763,0.000000,0,0,1.790493,0.000000,0.000000,0.000000
5.916000,18.595310,1.333026,0.881241,4.102882,4.103662,0.258155,0.147006,0.040264,0.819722,0.000000,0,0,1.524284,0.000000,0.000000,0.000000
6.018000,18.995365,1.465853,0.883041,4.141086,4.141662,0.161257,0.009229,-0.233652,0.817849,0.000000,0,0,1.287355,0.000000,0.000000,0.000000
6.120000,19.400375,1.587355,0.885188,4.144483,4.149736,0.037282,-0.044348,-0.204120,0.821690,0.000000,0,0,1.074592,0.000000,0.000000,0.000000
6.222000,19.810566,1.696764,0.885023,4.171618,4.171927,-0.079157,-0.073147,-0.355314,0.851919,0.000000,0,21,0.890626,0.000000,0.000000,0.000000
6.324000,20.226028,1.791510,0.886042,4.172387,4.177864,-0.168737,-0.123327,-0.331557,0.821640,0.000000,0,55,0.739154,0.000000,0.000000,0.000000
6.426000,20.645078,1.876830,0.887240,4.204158,4.205962,-0.177939,-0.117540,-0.190187,0.868246,0.000000,0,89,0.631470,0.000000,0.000000,0.000000
6.528000,21.068120,1.959513,0.883030,4.244734,4.244884,-0.116766,-0.018908,0.012606,0.938826,0.000000,0,123,0.579674,0.000000,0.000000,0.000000
6.630000,21.494287,2.049170,0.876116,4.289112,4.286173,-0.050225,0.027892,0.102700,0.934021,0.000000,0,157,0.597906,0.000000,0.000000,0.000000
6.732000,21.922309,2.145973,0.868719,4.298915,4.308367,-0.040035,-0.068211,0.017001,0.922974,0.000000,0,191,0.686946,0.000000,0.000000,0.000000
6.834000,22.351560,2.243225,0.864072,4.310313,4.318655,0.039374,-0.018511,-0.018487,0.949380,0.000000,0,225,0.835544,0.000000,0.000000,0.000000
6.936000,22.780092,2.344397,0.865542,4.312192,4.312023,0.040611,-0.049302,0.083708,0.783756,0.000000,0,272,0.832030,0.000000,0.000000,0.000000
7.038000,23.208228,2.445815,0.867922,4.328331,4.323288,0.059624,0.065329,-0.496450,0.736629,0.000000,0,306,0.556907,0.000000,0.000000,0.000000
7.140000,23.637030,2.547164,0.865240,4.314413,4.315892,-0.040725,-0.014617,-0.709685,0.763154,0.000000,0,340,0.334271,0.000000,0.000000,0.000000
7.242000,24.067175,2.633356,0.860743,4.280350,4.278849,-0.162131,-0.192780,-0.653754,0.838618,0.000000,0,374,0.167658,0.000000,0.000000,0.000000
7.344000,24.497498,2.697565,0.859543,4.246697,4.239243,-0.293255,-0.224351,-0.560411,0.932501,0.000000,0,408,0.063870,0.000000,0.000000,0.000000
7.446000,24.928308,2.741768,0.860338,4.240217,4.235970,-0.373510,-0.264302,-0.366927,0.907260,0.000000,0,442,0.032859,0.000000,0.000000,0.000000
7.548000,25.362950,2.771907,0.856532,4.275690,4.275249,-0.356926,-0.192105,-0.503102,0.983562,0.000000,0,476,0.083392,0.000000,0.000000,0.000000
7.650000,25.800127,2.793632,0.850124,4.276679,4.277372,-0.366088,-0.280111,-0.312850,0.888890,0.000000,0,510,0.216253,0.000000,0.000000,0.000000
7.752000,26.238045,2.811231,0.847144,4.281241,4.287925,-0.273680,-0.199752,-0.140708,0.939798,0.000000,0,544,0.421405,0.000000,0.000000,0.000000
7.854000,26.675604,2.830456,0.848947,4.283123,4.290947,-0.173149,-0.104414,-0.015310,0.972434,0.000000,0,578,0.685885,0.000000,0.000000,0.000000
7.956000,27.112606,2.855010,0.853598,4.285411,4.286111,-0.078623,-0.046703,-0.112046,0.966747,0.000000,0,612,0.995918,0.000000,0.000000,0.000000
8.058000,27.549390,2.882094,0.856587,4.288458,4.294454,-0.060405,-0.061191,-0.104931,0.974831,0.000000,0,612,1.336879,0.000000,0.000000,0.000000
8.160000,27.987041,2.907576,0.853597,4.295225,4.301172,-0.061057,-0.080769,-0.143467,0.947357,0.000000,0,612,1.698478,0.000000,0.000000,0.000000
8.262000,28.425056,2.928156,0.849727,4.295722,4.293010,-0.081789,-0.080945,-0.129041,0.970616,0.000000,0,612,2.073175,0.000000,0.000000,0.000000
8.364000,28.862799,2.942901,0.846523,4.299777,4.296986,-0.095269,-0.047420,-0.075247,0.920226,0.000000,0,612,2.456634,0.000000,0.000000,0.000000
8.466000,29.302006,2.955312,0.841753,4.316393,4.319968,-0.100430,-0.053896,-0.138628,0.970604,0.000000,0,612,2.849747,0.000000,0.000000,0.000000
8.568000,29.743779,2.965527,0.833538,4.336995,4.336737,-0.076580,-0.067866,-0.077253,0.958788,0.000000,0,612,3.251723,0.000000,0.000000,0.000000
8.670000,30.186089,2.976619,0.827008,4.340315,4.339975,-0.044742,-0.031954,-0.041600,0.972277,0.000000,0,612,3.660580,0.000000,0.000000,0.000000
8.772000,30.628511,2.987875,0.823104,4.336455,4.334138,-0.006553,0.011601,0.072759,0.962232,0.000000,0,612,4.074374,0.000000,0.000000,0.000000
8.874000,31.070134,3.003156,0.824431,4.335329,4.333740,-0.016778,-0.029900,-0.022194,0.992461,0.000000,0,612,4.492649,0.000000,0.000000,0.000000
8.976000,31.512304,3.016200,0.824040,4.349512,4.342510,-0.029754,-0.088365,-0.143382,0.962082,0.000000,0,612,4.913687,0.000000,0.000000,0.000000
9.078000,31.955120,3.023966,0.818588,4.344278,4.341510,-0.014967,-0.044593,-0.047348,0.996410,0.000000,0,612,5.336254,0.000000,0.000000,0.000000
9.180000,32.398014,3.030091,0.815695,4.341445,4.340073,-0.045086,-0.039660,-0.090654,0.992154,0.000000,0,612,5.760708,0.000000,0.000000,0.000000
9.282000,32.840828,3.030551,0.814036,4.351835,4.342590,-0.085760,-0.044065,-0.094506,0.995477,0.000000,0,612,6.185499,0.000000,0.000000,0.000000
9.384000,33.284207,3.027303,0.811312,4.356618,4.351323,-0.062505,-0.010835,0.005915,0.995026,0.000000,0,612,6.611697,0.000000,0.000000,0.000000
9.486000,33.728304,3.025742,0.810374,4.350761,4.352260,-0.070299,-0.032753,-0.082748,0.996409,0.000000,0,612,7.040680,0.000000,0.000000,0.000000
9.588000,34.171780,3.022269,0.813884,4.341146,4.341188,-0.064304,-0.039301,-0.083046,0.991349,0.000000,0,612,7.470011,0.000000,0.000000,0.000000
