time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.7990,20.8995,1.2548,4.334,1,22.914,-0.846,0.418,2.9103,1.918,2.918,0,1
8.8020,20.9125,1.2545,4.335,1,22.914,-0.846,0.418,2.9011,1.918,2.918,0,1
8.8050,20.9255,1.2542,4.337,1,22.914,-0.846,0.418,2.8919,1.918,2.918,0,1
8.8080,20.9385,1.2539,4.338,1,22.914,-0.846,0.418,2.8828,1.918,2.918,0,1
8.8110,20.9516,1.2535,4.341,1,22.914,-0.846,0.418,2.8736,1.918,2.918,0,1
8.8140,20.9646,1.2532,4.340,1,22.914,-0.846,0.418,2.8645,1.918,2.918,0,1
8.8170,20.9776,1.2528,4.343,1,22.914,-0.846,0.418,2.8554,1.918,2.918,0,1
8.8200,20.9906,1.2525,4.344,1,22.914,-0.846,0.418,2.8463,1.918,2.918,0,1
8.8230,21.0037,1.2521,4.345,1,22.914,-0.846,0.418,2.8372,1.918,2.918,0,1
8.8260,21.0167,1.2517,4.346,1,22.914,-0.846,0.418,2.8282,1.918,2.918,0,1
8.8290,21.0298,1.2514,4.348,1,22.914,-0.846,0.418,2.8192,1.918,2.918,0,1
8.8320,21.0428,1.2510,4.349,1,22.914,-0.846,0.418,2.8102,1.918,2.918,0,1
8.8350,21.0559,1.2506,4.350,1,22.914,-0.846,0.418,2.8012,1.918,2.918,0,1
8.8380,21.0689,1.2502,4.351,1,22.914,-0.846,0.418,2.7923,1.918,2.918,0,1
8.8410,21.0820,1.2498,4.352,1,22.914,-0.846,0.418,2.7834,1.918,2.918,0,1
8.8440,21.0950,1.2494,4.352,1,22.914,-0.846,0.418,2.7745,1.918,2.918,0,1
8.8470,21.1081,1.2490,4.353,1,22.914,-0.846,0.418,2.7657,1.918,2.918,0,1
8.8500,21.1212,1.2486,4.354,1,22.914,-0.846,0.418,2.7568,1.918,2.918,0,1
8.8530,21.1342,1.2481,4.356,1,22.914,-0.846,0.418,2.7480,1.918,2.918,0,1
8.8560,21.1473,1.2477,4.357,1,22.914,-0.846,0.418,2.7392,1.918,2.918,0,1
8.8590,21.1604,1.2472,4.358,1,22.914,-0.846,0.418,2.7305,1.918,2.918,0,1
8.8620,21.1735,1.2468,4.359,1,22.914,-0.846,0.418,2.7217,1.918,2.918,0,1
8.8650,21.1865,1.2463,4.360,1,22.914,-0.846,0.418,2.7130,1.918,2.918,0,1
8.8680,21.1996,1.2458,4.361,1,22.914,-0.846,0.418,2.7043,1.918,2.918,0,1
8.8710,21.2127,1.2453,4.362,1,22.914,-0.846,0.418,2.6957,1.918,2.918,0,1
8.8740,21.2258,1.2448,4.363,1,22.914,-0.846,0.418,2.6871,1.918,2.918,0,1
8.8770,21.2389,1.2443,4.364,1,22.914,-0.846,0.418,2.6785,1.918,2.918,0,1
8.8800,21.2520,1.2438,4.365,1,22.914,-0.846,0.418,2.6699,1.918,2.918,0,1
8.8830,21.2651,1.2433,4.366,1,22.914,-0.846,0.418,2.6613,1.918,2.918,0,1
8.8860,21.2782,1.2428,4.366,1,22.914,-0.846,0.418,2.6528,1.918,2.918,0,1
8.8890,21.2913,1.2422,4.367,1,22.914,-0.846,0.418,2.6443,1.918,2.918,0,1
8.8920,21.3044,1.2417,4.368,1,22.914,-0.846,0.418,2.6359,1.918,2.918,0,1
8.8950,21.3175,1.2411,4.369,1,22.914,-0.846,0.418,2.6275,1.918,2.918,0,1
8.8980,21.3306,1.2406,4.370,1,22.914,-0.846,0.418,2.6191,1.918,2.918,0,1
8.9010,21.3437,1.2400,4.371,1,22.914,-0.846,0.418,2.6107,1.918,2.918,0,1
8.9040,21.3569,1.2394,4.372,1,22.914,-0.846,0.418,2.6024,1.918,2.918,0,1
8.9070,21.3700,1.2388,4.373,1,22.914,-0.846,0.418,2.5941,1.918,2.918,0,1
8.9100,21.3831,1.2382,4.371,1,22.914,-0.846,0.418,2.5858,1.918,2.918,0,1
8.9130,21.3962,1.2376,4.372,1,22.914,-0.846,0.418,2.5776,1.918,2.918,0,1
8.9160,21.4093,1.2370,4.369,1,22.914,-0.846,0.418,2.5694,1.918,2.918,0,1
8.9190,21.4225,1.2364,4.376,1,22.914,-0.846,0.418,2.5612,1.918,2.918,0,1
8.9220,21.4356,1.2358,4.376,1,22.914,-0.846,0.418,2.5531,1.918,2.918,0,1
8.9250,21.4487,1.2351,4.375,1,22.914,-0.846,0.418,2.5450,1.918,2.918,0,1
8.9280,21.4618,1.2345,4.375,1,22.914,-0.846,0.418,2.5369,1.918,2.918,0,1
8.9310,21.4750,1.2338,4.375,1,22.914,-0.846,0.418,2.5289,1.918,2.918,0,1
8.9340,21.4881,1.2331,4.376,1,22.914,-0.846,0.418,2.5209,1.918,2.918,0,1
8.9370,21.5012,1.2324,4.379,1,22.914,-0.846,0.418,2.5129,1.918,2.918,0,1
8.9400,21.5144,1.2317,4.380,1,22.914,-0.846,0.418,2.5050,1.918,2.918,0,1
8.9430,21.5275,1.2310,4.383,1,22.914,-0.846,0.418,2.4971,1.918,2.918,0,1
8.9460,21.5407,1.2303,4.380,1,22.914,-0.846,0.418,2.4892,1.918,2.918,0,1
8.9490,21.5538,1.2296,4.383,1,22.914,-0.846,0.418,2.4814,1.918,2.918,0,1
8.9520,21.5670,1.2289,4.383,1,22.914,-0.846,0.418,2.4736,1.918,2.918,0,1
8.9550,21.5801,1.2281,4.384,1,22.914,-0.846,0.418,2.4658,1.918,2.918,0,1
8.9580,21.5933,1.2274,4.386,1,22.914,-0.846,0.418,2.4581,1.918,2.918,0,1
8.9610,21.6065,1.2267,4.387,1,22.914,-0.846,0.418,2.4504,1.918,2.918,0,1
8.9640,21.6196,1.2259,4.388,1,22.914,-0.846,0.418,2.4428,1.918,2.918,0,1
8.9670,21.6328,1.2251,4.390,1,22.914,-0.846,0.418,2.4352,1.918,2.918,0,1
8.9700,21.6460,1.2244,4.392,1,22.914,-0.846,0.418,2.4276,1.918,2.918,0,1
8.9730,21.6591,1.2236,4.394,1,22.914,-0.846,0.418,2.4201,1.918,2.918,0,1
8.9760,21.6723,1.2228,4.396,1,22.914,-0.846,0.418,2.4127,1.918,2.918,0,1
8.9790,21.6855,1.2220,4.397,1,22.914,-0.846,0.418,2.4052,1.918,2.918,0,1
8.9820,21.6987,1.2212,4.398,1,22.914,-0.846,0.418,2.3978,1.918,2.918,0,1
8.9850,21.7119,1.2204,4.400,1,22.914,-0.846,0.418,2.3905,1.918,2.918,0,1
8.9880,21.7251,1.2196,4.402,1,22.914,-0.846,0.418,2.3832,1.918,2.918,0,1
8.9910,21.7383,1.2188,4.404,1,22.914,-0.846,0.418,2.3759,1.918,2.918,0,1
8.9940,21.7515,1.2180,4.405,1,22.914,-0.846,0.418,2.3687,1.918,2.918,0,1
8.9970,21.7647,1.2171,4.407,1,22.914,-0.846,0.418,2.3615,1.918,2.918,0,1
9.0000,21.7779,1.2163,4.409,1,22.914,-0.846,0.418,2.3544,1.918,2.918,0,1
9.0030,21.7911,1.2155,4.410,1,22.914,-0.846,0.418,2.3473,1.918,2.918,0,1
9.0060,21.8044,1.2146,4.412,1,22.914,-0.846,0.418,2.3402,1.918,2.918,0,1
9.0090,21.8176,1.2138,4.413,1,22.914,-0.846,0.418,2.3332,1.918,2.918,0,1
9.0120,21.8308,1.2129,4.413,1,22.914,-0.846,0.418,2.3263,1.918,2.918,0,1
9.0150,21.8440,1.2120,4.415,1,22.914,-0.846,0.418,2.3194,1.918,2.918,0,1
9.0180,21.8573,1.2111,4.418,1,22.914,-0.846,0.418,2.3125,1.918,2.918,0,1
9.0210,21.8705,1.2103,4.419,1,22.914,-0.846,0.418,2.3057,1.918,2.918,0,1
9.0240,21.8838,1.2094,4.420,1,22.914,-0.846,0.418,2.2989,1.918,2.918,0,1
9.0270,21.8970,1.2084,4.420,1,22.914,-0.846,0.418,2.2922,1.918,2.918,0,1
9.0300,21.9103,1.2075,4.424,1,22.914,-0.846,0.418,2.2856,1.918,2.918,0,1
9.0330,21.9235,1.2066,4.425,1,22.914,-0.846,0.418,2.2789,1.918,2.918,0,1
9.0360,21.9368,1.2057,4.428,1,22.914,-0.846,0.418,2.2724,1.918,2.918,0,1
9.0390,21.9501,1.2047,4.429,1,22.914,-0.846,0.418,2.2658,1.918,2.918,0,1
9.0420,21.9633,1.2038,4.432,1,22.914,-0.846,0.418,2.2593,1.918,2.918,0,1
9.0450,21.9766,1.2028,4.431,1,22.914,-0.846,0.418,2.2529,1.918,2.918,0,1
9.0480,21.9899,1.2019,4.433,1,22.914,-0.846,0.418,2.2466,1.918,2.918,0,1
9.0510,22.0032,1.2009,4.435,1,22.914,-0.846,0.418,2.2403,1.918,2.918,0,1
9.0540,22.0165,1.1999,4.437,1,22.914,-0.846,0.418,2.2340,1.918,2.918,0,1
9.0570,22.0298,1.1990,4.439,1,22.914,-0.846,0.418,2.2278,1.918,2.918,0,1
9.0600,22.0431,1.1980,4.440,1,22.914,-0.846,0.418,2.2217,1.918,2.918,0,1
9.0630,22.0564,1.1970,4.442,1,22.914,-0.846,0.418,2.2156,1.918,2.918,0,1
9.0660,22.0697,1.1961,4.444,1,22.914,-0.846,0.418,2.2096,1.918,2.918,0,1
9.0690,22.0830,1.1951,4.446,1,22.914,-0.846,0.418,2.2037,1.918,2.918,0,1
9.0720,22.0963,1.1941,4.447,1,22.914,-0.846,0.418,2.1978,1.918,2.918,0,1
9.0750,22.1096,1.1931,4.449,1,22.914,-0.846,0.418,2.1919,1.918,2.918,0,1
9.0780,22.1229,1.1921,4.450,1,22.914,-0.846,0.418,2.1862,1.918,2.918,0,1
9.0810,22.1363,1.1911,4.451,1,22.914,-0.846,0.418,2.1804,1.918,2.918,0,1
9.0840,22.1496,1.1901,4.452,1,22.914,-0.846,0.418,2.1748,1.918,2.918,0,1
9.0870,22.1629,1.1891,4.454,1,22.914,-0.846,0.418,2.1692,1.918,2.918,0,1
9.0900,22.1763,1.1881,4.456,1,22.914,-0.846,0.418,2.1637,1.918,2.918,0,1
9.0930,22.1896,1.1871,4.457,1,22.914,-0.846,0.418,2.1582,1.918,2.918,0,1
9.0960,22.2030,1.1861,4.457,1,22.914,-0.846,0.418,2.1528,1.918,2.918,0,1
