step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.073,0.056,0.74,1.850,0.00,2,18,10.00,5.63,+0.000,0.350,0.013,+0.000,0.350,0.013,0,11.324,7.63,0.000
40,4.670,0.299,5.72,1.089,14.99,2,18,10.00,4.67,+0.534,0.457,0.013,+0.534,0.457,0.013,0,9.269,7.56,0.000
60,9.797,1.598,12.57,3.700,-13.94,2,18,26.00,6.97,-0.497,0.282,0.117,-0.497,0.282,0.117,0,2.021,10.52,0.000
70,13.256,1.685,0.31,3.339,-12.79,2,18,26.00,7.27,-0.456,0.307,0.016,-0.513,0.308,0.000,1,-0.478,65.06,0.148
71,13.587,1.654,-0.92,3.359,-14.00,3,18,26.00,7.09,-0.499,0.370,0.011,-0.453,0.410,0.000,1,-0.472,46.40,0.171
72,13.920,1.617,-2.22,3.402,-14.19,3,18,26.00,7.07,-0.505,0.442,0.007,-0.410,0.454,0.000,1,-0.138,46.69,0.189
73,14.258,1.573,-3.45,3.474,-15.58,3,18,26.00,6.87,-0.555,0.504,0.005,-0.463,0.568,0.000,1,0.552,46.35,0.137
74,14.604,1.522,-4.59,3.569,-14.66,4,18,26.00,7.01,-0.522,0.561,0.003,-0.392,0.170,0.000,1,0.265,47.63,0.363
75,14.959,1.465,-5.81,3.682,-15.36,4,18,26.00,6.92,-0.547,0.608,0.002,-0.064,0.195,0.000,1,-0.286,46.86,1.029
76,15.321,1.402,-7.00,3.739,-16.39,4,18,26.00,6.78,-0.584,0.649,0.001,+0.542,0.586,0.000,1,0.202,46.95,0.330
77,15.689,1.341,-7.83,3.782,-16.71,4,18,26.00,6.74,-0.595,0.673,0.001,+0.555,0.475,0.000,1,0.221,46.49,0.396
78,16.062,1.286,-8.00,3.843,-18.62,4,18,26.00,6.49,-0.663,0.684,0.001,+0.745,0.563,0.000,1,0.236,47.14,0.510
79,16.442,1.238,-7.77,3.890,-22.45,4,18,26.00,6.04,-0.800,0.685,0.000,+0.788,0.564,0.000,1,0.182,46.68,0.747
80,16.828,1.201,-7.13,3.934,-26.15,4,18,26.00,5.65,-0.931,0.679,0.000,+0.830,0.559,0.000,1,0.090,46.34,1.474
81,17.219,1.174,-6.14,3.979,-28.07,4,18,26.00,5.46,-1.000,0.669,0.000,+0.792,0.394,0.000,1,0.517,46.32,2.064
82,17.616,1.158,-4.86,4.030,-28.07,4,18,26.00,5.46,-1.000,0.654,0.000,+0.907,0.540,0.000,1,0.302,47.03,1.993
83,18.018,1.156,-3.46,4.063,-27.44,4,18,26.00,5.53,-0.977,0.636,0.000,+0.915,0.567,0.000,1,0.053,46.65,1.644
84,18.424,1.169,-1.90,4.115,-28.07,4,18,26.00,5.47,-1.000,0.614,0.000,-0.083,0.835,0.000,1,-0.480,47.67,1.605
85,18.834,1.197,-0.26,4.172,-26.80,4,18,26.00,5.60,-0.955,0.591,0.000,-0.288,0.620,0.000,1,-0.490,46.54,0.211
86,19.249,1.226,0.66,4.216,-27.44,5,18,26.00,5.54,-0.977,0.565,0.000,-0.565,0.507,0.000,1,-0.481,48.28,0.088
87,19.668,1.248,1.08,4.230,-27.44,5,18,26.00,5.54,-0.977,0.536,0.000,-0.498,0.589,0.000,1,-0.289,46.96,0.068
88,20.088,1.259,1.05,4.251,-28.07,5,18,26.00,5.48,-1.000,0.506,0.000,-0.348,0.636,0.000,1,-0.413,46.58,0.169
89,20.511,1.261,0.70,4.290,-27.44,5,18,26.00,5.54,-0.977,0.481,0.000,-0.375,0.649,0.000,1,-0.384,46.61,0.216
90,20.939,1.254,0.17,4.338,-26.16,5,18,26.00,5.67,-0.932,0.458,0.000,-0.423,0.525,0.000,1,-0.472,47.38,0.095
91,21.370,1.239,-0.54,4.373,-27.53,5,18,26.00,5.53,-0.981,0.424,0.000,-0.276,0.612,0.000,1,-0.494,47.06,0.284
92,21.804,1.215,-1.37,4.412,-27.46,5,18,26.00,5.54,-0.978,0.396,0.000,-0.191,0.477,0.000,1,-0.488,46.84,0.255
93,22.243,1.183,-2.08,4.460,-24.42,5,18,26.00,5.85,-0.870,0.378,0.000,-0.856,0.391,0.000,1,-0.498,46.52,0.091
94,22.685,1.148,-2.74,4.465,-22.16,5,18,26.00,6.10,-0.789,0.363,0.000,-0.751,0.379,0.000,1,-0.466,47.21,0.051
95,23.126,1.102,-3.95,4.465,-20.42,5,18,26.00,6.31,-0.727,0.351,0.000,-0.725,0.357,0.000,1,-0.426,46.83,0.023
96,23.563,1.042,-5.15,4.444,-16.31,5,18,26.00,6.84,-0.581,0.339,0.000,-0.574,0.339,0.000,1,-0.306,47.12,0.005
97,23.999,0.967,-6.41,4.463,-13.47,5,18,26.00,7.23,-0.480,0.330,0.000,-0.488,0.326,0.000,1,-0.115,46.70,0.000
100,25.299,0.687,-10.20,4.491,-8.67,5,18,26.00,7.94,-0.309,0.324,0.000,-0.309,0.324,0.000,0,0.746,7.64,0.000
112,30.495,-0.706,-13.13,4.547,26.34,5,18,26.00,5.60,+0.938,0.475,0.000,+0.850,0.489,0.000,1,3.109,46.77,0.011
113,30.939,-0.778,-11.80,4.538,28.07,5,18,26.00,5.43,+1.000,0.486,0.000,+0.894,0.509,0.000,1,3.449,46.45,0.127
114,31.385,-0.835,-10.35,4.524,28.07,5,18,26.00,5.43,+1.000,0.500,0.000,+0.846,0.567,0.000,1,3.013,47.45,0.104
115,31.830,-0.878,-8.79,4.510,27.44,5,18,26.00,5.49,+0.977,0.516,0.000,+0.906,0.528,0.000,1,2.518,46.67,0.050
116,32.277,-0.906,-7.18,4.498,27.44,5,18,26.00,5.49,+0.977,0.538,0.000,+0.900,0.548,0.000,1,2.641,46.84,0.019
117,32.722,-0.919,-5.43,4.487,26.80,5,18,26.00,5.55,+0.955,0.557,0.000,+0.859,0.581,0.000,1,2.697,46.62,0.047
118,33.166,-0.918,-3.57,4.470,28.07,5,18,26.00,5.43,+1.000,0.575,0.000,+0.891,0.588,0.000,1,2.490,47.27,0.060
119,33.610,-0.903,-1.62,4.462,28.07,5,18,26.00,5.43,+1.000,0.587,0.000,+0.845,0.584,0.000,1,2.650,46.71,0.132
120,34.051,-0.873,0.40,4.443,27.44,5,18,26.00,5.51,+0.977,0.597,0.000,+0.810,0.587,0.000,1,2.362,46.72,0.056
121,34.490,-0.828,2.50,4.439,26.80,5,18,26.00,5.57,+0.955,0.605,0.000,+0.879,0.602,0.000,1,2.428,46.74,0.043
122,34.926,-0.769,4.66,4.425,25.58,5,18,26.00,5.71,+0.911,0.611,0.000,+0.834,0.596,0.000,1,2.338,47.50,0.002
