step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
15,0.406,0.022,0.85,1.102,0.00,2,18,10.00,5.63,+0.000,0.991,0.000,+0.001,0.992,0.000,1,13.316,46.91,0.000
16,0.524,0.028,0.99,1.278,0.00,2,18,10.00,5.63,+0.000,0.994,0.000,-0.000,0.999,0.000,1,12.396,46.63,0.000
17,0.659,0.034,1.12,1.448,0.00,2,18,10.00,5.63,+0.000,0.996,0.000,-0.000,1.000,0.000,1,12.559,46.88,0.000
18,0.810,0.038,1.24,1.589,0.00,2,18,10.00,5.63,+0.000,0.997,0.000,-0.001,1.000,0.000,1,12.423,46.85,0.000
19,0.974,0.043,1.34,1.732,0.00,2,18,10.00,5.63,+0.000,0.998,0.000,+0.001,1.000,0.000,1,11.213,46.75,0.000
20,1.153,0.048,1.41,1.876,0.00,2,18,10.00,5.63,+0.000,0.999,0.000,+0.005,0.998,0.000,1,11.359,46.68,0.000
21,1.346,0.054,1.47,2.012,0.00,2,18,10.00,5.63,+0.000,0.999,0.000,+0.006,0.996,0.000,1,10.677,46.65,0.000
22,1.552,0.061,1.55,2.159,0.00,2,18,10.00,5.63,+0.000,0.999,0.000,-0.007,0.995,0.000,1,10.323,46.99,0.000
23,1.773,0.070,1.64,2.294,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,-0.003,0.987,0.000,1,9.975,46.77,0.000
24,2.007,0.078,1.71,2.423,0.00,2,18,10.00,5.62,+0.000,1.000,0.000,+0.027,0.993,0.000,1,10.036,46.71,0.000
25,2.254,0.088,1.80,2.563,0.00,2,18,10.00,5.62,+0.000,0.999,0.000,+0.130,0.960,0.000,1,9.319,46.70,0.006
26,2.514,0.097,1.96,2.702,0.00,2,18,10.00,5.62,+0.000,0.989,0.000,+0.058,0.888,0.000,1,9.085,46.88,0.005
27,2.788,0.109,2.23,2.851,0.00,2,18,10.00,5.62,+0.000,0.973,0.000,+0.051,0.900,0.000,1,8.582,46.68,0.018
28,3.078,0.124,2.47,3.030,0.00,2,18,10.00,5.61,+0.000,0.947,0.000,+0.068,0.840,0.000,1,8.366,47.81,0.035
29,3.383,0.141,2.67,3.171,-0.64,2,18,10.00,5.61,-0.023,0.917,0.000,-0.058,0.947,0.000,1,7.647,46.13,0.010
30,3.696,0.159,2.84,3.174,-4.47,2,18,10.00,5.61,-0.159,0.882,0.000,-0.211,0.917,0.000,1,7.327,46.88,0.003
