time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,19.391530,0.000000,0.000000,0.000000
0.102000,0.055424,0.000004,1.677833,-0.000049,-0.000726,0.000139,0.000330,0.000000,0.164338,0.000000,0,0,19.392099,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000530,-0.000026,0.000844,0.000376,0.000000,0.284204,0.000000,0,0,19.392229,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000596,0.000210,0.003638,0.000421,0.000000,0.423337,0.000000,0,0,19.392308,0.000000,0.000000,0.000000
0.408000,0.055311,0.000218,0.905277,0.019402,0.022246,0.011258,0.012487,0.000000,0.551899,0.000000,0,0,19.392221,0.000000,0.000000,0.000000
0.510000,0.063547,0.001155,0.696186,0.071590,0.099466,0.015055,0.008756,0.000000,0.685990,0.000000,0,0,19.384028,0.000000,0.000000,0.000000
0.612000,0.063206,0.003293,0.819127,0.000434,-0.049150,0.018481,-0.003961,0.000000,0.787605,0.000000,0,0,19.384455,0.000000,0.000000,0.000000
0.714000,0.060679,0.006220,0.884850,0.021361,-0.002549,0.028918,-0.007068,0.000000,0.863580,0.000000,0,0,19.387097,0.000000,0.000000,0.000000
0.816000,0.065535,0.008680,0.869068,0.076950,0.097412,0.008629,-0.002732,0.000000,0.912379,0.000000,0,0,19.382344,0.000000,0.000000,0.000000
0.918000,0.086027,0.006278,0.823576,0.300876,0.325012,-0.027967,0.048228,0.000000,0.940884,0.000000,0,0,19.361772,0.000000,0.000000,0.000000
1.020000,0.134765,0.005091,0.817000,0.646060,0.628130,0.011017,0.022360,0.000000,0.962030,0.000000,0,0,19.313027,0.000000,0.000000,0.000000
1.122000,0.210955,0.009923,0.852440,0.835715,0.836987,0.050513,0.011450,0.000000,0.974383,0.000000,0,0,19.237094,0.000000,0.000000,0.000000
1.224000,0.305413,0.017820,0.883417,1.011276,1.009423,0.070601,0.010942,-0.003063,0.981638,0.000000,0,0,19.143039,0.000000,0.000000,0.000000
1.326000,0.417463,0.026516,0.901579,1.182857,1.184956,0.065124,0.025211,-0.001069,0.989180,0.000000,0,0,19.031446,0.000000,0.000000,0.000000
1.428000,0.547694,0.034341,0.908029,1.365247,1.365519,0.056337,0.032800,0.003382,0.993132,0.000000,0,0,18.901660,0.000000,0.000000,0.000000
1.530000,0.696311,0.041809,0.906834,1.542840,1.543688,0.042751,0.040017,-0.002317,0.998508,0.000000,0,0,18.753498,0.000000,0.000000,0.000000
1.632000,0.862727,0.049288,0.903999,1.707354,1.711102,0.038830,0.034728,0.000642,0.999102,0.000000,0,0,18.587564,0.000000,0.000000,0.000000
1.734000,1.045482,0.057307,0.901383,1.864923,1.867977,0.038753,0.025100,-0.004275,0.999035,0.000000,0,0,18.405342,0.000000,0.000000,0.000000
1.836000,1.243988,0.066131,0.899623,2.024351,2.024303,0.038172,0.023679,0.003012,0.996811,0.000000,0,0,18.207434,0.000000,0.000000,0.000000
1.938000,1.458103,0.075867,0.900258,2.166874,2.171195,0.035774,0.014614,0.006957,0.995513,0.000000,0,0,17.993991,0.000000,0.000000,0.000000
2.040000,1.686547,0.085994,0.899163,2.307102,2.309263,0.031023,0.022101,-0.017930,0.994799,0.000000,0,0,17.766274,0.000000,0.000000,0.000000
2.142000,1.929397,0.095572,0.896988,2.457878,2.452071,0.006839,0.019959,0.002771,0.984520,0.000000,0,0,17.524162,0.000000,0.000000,0.000000
2.244000,2.187336,0.104889,0.894349,2.604014,2.604333,0.009846,0.023230,0.035403,0.992067,0.000000,0,0,17.266990,0.000000,0.000000,0.000000
2.346000,2.461020,0.116303,0.891193,2.763342,2.763967,0.024990,0.036495,0.173843,0.949492,0.000000,0,0,16.994225,0.000000,0.000000,0.000000
2.448000,2.749903,0.131876,0.890000,2.907142,2.908013,0.037846,0.039201,-0.000334,0.866132,0.000000,0,0,16.706532,0.000000,0.000000,0.000000
2.550000,3.054205,0.148363,0.889184,3.072386,3.065569,0.019877,0.034528,0.032484,0.878934,0.000000,0,0,16.403542,0.000000,0.000000,0.000000
