time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,20.556476,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677832,-0.000088,-0.000758,0.000070,0.000350,0.000000,0.102984,0.000000,0,0,20.557046,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000524,-0.000028,0.000423,0.000372,0.000000,0.177452,0.000000,0,0,20.557175,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000585,0.000241,0.001718,0.000424,0.000000,0.267685,0.000000,0,0,20.557252,0.000000,0.000000,0.000000
0.408000,0.055174,0.000079,0.902700,0.000428,0.000163,0.005531,0.000454,0.000000,0.350597,0.000000,0,0,20.557297,0.000000,0.000000,0.000000
0.510000,0.057975,-0.000320,0.535909,0.032501,0.072836,-0.006086,0.011627,0.000000,0.426038,0.000000,0,0,20.554489,0.000000,0.000000,0.000000
0.612000,0.060261,-0.000474,0.544073,-0.044165,-0.079817,0.000956,0.011023,0.000000,0.488540,0.000000,0,0,20.552200,0.000000,0.000000,0.000000
0.714000,0.053447,-0.000118,0.649071,-0.023416,-0.044016,0.001630,0.006563,0.000000,0.542990,0.000000,0,0,20.559020,0.000000,0.000000,0.000000
0.816000,0.050928,0.000431,0.658927,0.019002,0.024442,0.007660,0.020400,0.000000,0.604503,0.000000,0,0,20.561551,0.000000,0.000000,0.000000
0.918000,0.065995,0.002101,0.625057,0.250293,0.259023,0.017156,-0.016631,0.000000,0.653489,0.000000,0,0,20.546525,0.000000,0.000000,0.000000
1.020000,0.096084,0.003533,0.621919,0.359781,0.356125,0.014315,0.011161,0.000000,0.695909,0.000000,0,0,20.516477,0.000000,0.000000,0.000000
1.122000,0.145793,0.006525,0.638831,0.616776,0.609742,0.036367,0.013165,0.000000,0.723941,0.000000,0,0,20.466848,0.000000,0.000000,0.000000
1.224000,0.223810,0.011607,0.661844,0.928144,0.918091,0.048429,0.017448,0.000000,0.740936,0.000000,0,0,20.388969,0.000000,0.000000,0.000000
1.326000,0.332417,0.018583,0.689103,1.222051,1.214546,0.063339,0.014482,0.000000,0.733702,0.000000,0,0,20.280555,0.000000,0.000000,0.000000
1.428000,0.470497,0.027095,0.714564,1.497802,1.496940,0.067064,0.012323,0.000000,0.693757,0.000000,0,0,20.142718,0.000000,0.000000,0.000000
1.530000,0.635918,0.035268,0.731428,1.736154,1.740709,0.054587,0.008223,0.000000,0.634211,0.000000,0,0,19.977547,0.000000,0.000000,0.000000
1.632000,0.826218,0.042108,0.736489,1.983360,1.988019,0.042807,0.020910,0.000000,0.548071,0.000000,0,0,19.787476,0.000000,0.000000,0.000000
1.734000,1.042750,0.048587,0.735079,2.246242,2.248465,0.038653,0.016704,0.000000,0.459725,0.000000,0,0,19.571180,0.000000,0.000000,0.000000
1.836000,1.284697,0.055396,0.734816,2.483022,2.485277,0.034035,0.016940,0.000000,0.389140,0.017314,0,0,19.329493,0.000000,0.000000,0.000000
1.938000,1.548710,0.063178,0.737134,2.676729,2.683930,0.040896,0.021939,0.000000,0.343683,0.042618,0,0,19.065782,0.000000,0.000000,0.000000
2.040000,1.831184,0.072610,0.737635,2.829825,2.836877,0.049139,0.018714,0.000000,0.305479,0.078360,0,0,18.783674,0.000000,0.000000,0.000000
2.142000,2.123703,0.082020,0.735566,2.883609,2.884299,0.023925,0.009858,0.000000,0.279348,0.113400,0,0,18.491539,0.000000,0.000000,0.000000
2.244000,2.417075,0.088762,0.732639,2.854549,2.859127,-0.004100,0.003869,0.000000,0.255917,0.150516,0,0,18.198487,0.000000,0.000000,0.000000
