time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.0520,20.9891,1.3458,4.062,1,22.914,-0.846,0.418,2.9168,1.918,2.918,0,1
8.0550,21.0013,1.3452,4.062,1,22.914,-0.846,0.418,2.9083,1.918,2.918,0,1
8.0580,21.0135,1.3446,4.061,1,22.914,-0.846,0.418,2.8999,1.918,2.918,0,1
8.0610,21.0257,1.3440,4.061,1,22.914,-0.846,0.418,2.8915,1.918,2.918,0,1
8.0640,21.0378,1.3434,4.061,1,22.914,-0.846,0.418,2.8831,1.918,2.918,0,1
8.0670,21.0500,1.3428,4.061,1,22.914,-0.846,0.418,2.8747,1.918,2.918,0,1
8.0700,21.0622,1.3421,4.063,1,22.914,-0.846,0.418,2.8663,1.918,2.918,0,1
8.0730,21.0744,1.3415,4.064,1,22.914,-0.846,0.418,2.8579,1.918,2.918,0,1
8.0760,21.0866,1.3408,4.065,1,22.914,-0.846,0.418,2.8496,1.918,2.918,0,1
8.0790,21.0988,1.3401,4.065,1,22.914,-0.846,0.418,2.8413,1.918,2.918,0,1
8.0820,21.1109,1.3395,4.067,1,22.914,-0.846,0.418,2.8330,1.918,2.918,0,1
8.0850,21.1231,1.3388,4.064,1,22.914,-0.846,0.418,2.8247,1.918,2.918,0,1
8.0880,21.1353,1.3381,4.067,1,22.914,-0.846,0.418,2.8164,1.918,2.918,0,1
8.0910,21.1475,1.3373,4.068,1,22.914,-0.846,0.418,2.8082,1.918,2.918,0,1
8.0940,21.1597,1.3366,4.069,1,22.914,-0.846,0.418,2.8000,1.918,2.918,0,1
8.0970,21.1719,1.3358,4.072,1,22.914,-0.846,0.418,2.7917,1.918,2.918,0,1
8.1000,21.1841,1.3351,4.071,1,22.914,-0.846,0.418,2.7836,1.918,2.918,0,1
8.1030,21.1963,1.3343,4.069,1,22.914,-0.846,0.418,2.7754,1.918,2.918,0,1
8.1060,21.2086,1.3335,4.072,1,22.914,-0.846,0.418,2.7672,1.918,2.918,0,1
8.1090,21.2208,1.3327,4.071,1,22.914,-0.846,0.418,2.7591,1.918,2.918,0,1
8.1120,21.2330,1.3319,4.073,1,22.914,-0.846,0.418,2.7510,1.918,2.918,0,1
8.1150,21.2452,1.3311,4.076,1,22.914,-0.846,0.418,2.7429,1.918,2.918,0,1
8.1180,21.2574,1.3303,4.079,1,22.914,-0.846,0.418,2.7348,1.918,2.918,0,1
8.1210,21.2696,1.3295,4.078,1,22.914,-0.846,0.418,2.7268,1.918,2.918,0,1
8.1240,21.2818,1.3286,4.072,1,22.914,-0.846,0.418,2.7188,1.918,2.918,0,1
8.1270,21.2941,1.3278,4.077,1,22.914,-0.846,0.418,2.7108,1.918,2.918,0,1
8.1300,21.3063,1.3270,4.077,1,22.914,-0.846,0.418,2.7028,1.918,2.918,0,1
8.1330,21.3185,1.3261,4.079,1,22.914,-0.846,0.418,2.6949,1.918,2.918,0,1
8.1360,21.3308,1.3253,4.081,1,22.914,-0.846,0.418,2.6870,1.918,2.918,0,1
8.1390,21.3430,1.3245,4.082,1,22.914,-0.846,0.418,2.6791,1.918,2.918,0,1
8.1420,21.3553,1.3236,4.083,1,22.914,-0.846,0.418,2.6713,1.918,2.918,0,1
8.1450,21.3675,1.3228,4.081,1,22.914,-0.846,0.418,2.6635,1.918,2.918,0,1
8.1480,21.3798,1.3219,4.085,1,22.914,-0.846,0.418,2.6557,1.918,2.918,0,1
8.1510,21.3920,1.3211,4.086,1,22.914,-0.846,0.418,2.6479,1.918,2.918,0,1
8.1540,21.4043,1.3202,4.085,1,22.914,-0.846,0.418,2.6402,1.918,2.918,0,1
8.1570,21.4165,1.3193,4.089,1,22.914,-0.846,0.418,2.6325,1.918,2.918,0,1
8.1600,21.4288,1.3184,4.090,1,22.914,-0.846,0.418,2.6248,1.918,2.918,0,1
8.1630,21.4410,1.3175,4.092,1,22.914,-0.846,0.418,2.6171,1.918,2.918,0,1
8.1660,21.4533,1.3165,4.093,1,22.914,-0.846,0.418,2.6094,1.918,2.918,0,1
8.1690,21.4656,1.3156,4.094,1,22.914,-0.846,0.418,2.6018,1.918,2.918,0,1
8.1720,21.4778,1.3146,4.093,1,22.914,-0.846,0.418,2.5942,1.918,2.918,0,1
8.1750,21.4901,1.3136,4.096,1,22.914,-0.846,0.418,2.5866,1.918,2.918,0,1
8.1780,21.5024,1.3126,4.097,1,22.914,-0.846,0.418,2.5790,1.918,2.918,0,1
8.1810,21.5147,1.3116,4.098,1,22.914,-0.846,0.418,2.5714,1.918,2.918,0,1
8.1840,21.5270,1.3105,4.100,1,22.914,-0.846,0.418,2.5639,1.918,2.918,0,1
8.1870,21.5392,1.3095,4.098,1,22.914,-0.846,0.418,2.5564,1.918,2.918,0,1
