step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,2.019,0.066,0.76,3.168,0.00,2,18,27.00,7.54,+0.000,0.969,0.000,+0.000,0.969,0.000,0,7.781,7.80,0.000
40,9.875,0.014,-0.61,4.226,0.67,2,18,27.00,7.45,+0.024,0.352,0.000,+0.024,0.352,0.000,0,1.109,7.73,0.000
43,11.129,0.009,-0.48,4.233,-0.60,2,18,27.00,7.45,-0.021,0.351,0.000,+0.247,0.373,0.000,1,0.695,47.33,0.029
44,11.548,0.010,-0.44,4.235,1.26,2,18,26.00,7.14,+0.045,0.350,0.000,+0.197,0.345,0.000,1,-0.144,46.20,0.000
45,11.967,0.019,0.13,4.234,-1.94,2,18,26.00,7.17,-0.069,0.358,0.000,+0.179,0.384,0.000,1,-0.424,46.91,0.058
46,12.386,0.035,0.75,4.233,-2.68,2,18,26.00,7.17,-0.096,0.378,0.000,+0.364,0.300,0.000,1,-0.401,47.81,0.105
47,12.804,0.057,1.34,4.231,-1.69,2,18,26.00,7.14,-0.060,0.397,0.000,+0.249,0.373,0.000,1,-0.223,47.62,0.087
48,13.221,0.088,2.15,4.227,-3.89,2,18,26.00,7.14,-0.139,0.416,0.000,+0.676,0.391,0.000,1,0.737,47.05,0.272
49,13.638,0.125,2.94,4.199,-4.70,2,18,26.00,7.12,-0.168,0.430,0.000,+0.486,0.376,0.000,1,0.072,46.71,0.054
50,14.050,0.176,4.18,4.171,-7.09,3,18,26.00,6.99,-0.253,0.446,0.000,+0.292,0.207,0.000,1,-0.403,48.59,0.092
51,14.458,0.234,5.25,4.146,-8.48,3,18,26.00,6.85,-0.302,0.465,0.000,+0.249,0.417,0.000,1,-0.000,47.00,0.083
52,14.863,0.297,5.97,4.123,-7.72,3,18,26.00,6.99,-0.275,0.490,0.000,+0.417,0.456,0.000,1,-0.395,46.90,0.118
53,15.265,0.365,6.88,4.108,-9.36,4,18,26.00,6.81,-0.333,0.514,0.000,+0.352,0.535,0.000,1,-0.301,47.24,0.083
54,15.665,0.442,8.02,4.112,-11.92,4,18,26.00,6.55,-0.425,0.539,0.000,+0.323,0.570,0.000,1,0.039,47.78,0.153
55,16.063,0.528,9.12,4.110,-12.78,4,18,26.00,6.46,-0.455,0.563,0.000,+0.374,0.480,0.000,1,0.007,47.36,0.219
56,16.459,0.621,10.18,4.106,-14.51,4,18,26.00,6.26,-0.517,0.588,0.000,+0.525,0.555,0.000,1,0.081,47.09,0.277
57,16.854,0.725,11.33,4.108,-17.16,4,18,26.00,5.96,-0.611,0.610,0.000,+0.554,0.575,0.000,1,0.171,46.78,0.395
58,17.245,0.841,12.73,4.103,-19.02,4,18,26.00,5.76,-0.677,0.630,0.000,+0.586,0.466,0.000,1,0.275,47.50,0.667
59,17.631,0.971,14.27,4.089,-23.71,4,18,26.00,5.30,-0.844,0.650,0.000,+0.349,0.543,0.000,1,-0.371,48.71,0.452
60,18.014,1.110,15.72,4.105,-24.99,4,18,26.00,5.18,-0.890,0.675,0.000,+0.025,0.474,0.000,1,-0.042,47.11,0.430
61,18.398,1.248,16.58,4.117,-23.49,4,18,26.00,5.32,-0.837,0.696,0.000,-0.845,0.601,0.000,1,-0.401,47.23,0.082
62,18.783,1.382,17.06,4.087,-26.97,4,18,26.00,5.00,-0.961,0.714,0.000,-0.491,0.735,0.000,1,-0.429,47.79,0.077
63,19.168,1.497,16.50,4.028,-25.59,5,18,26.00,5.13,-0.912,0.727,0.000,-0.062,0.505,0.000,1,-0.226,48.06,0.334
64,19.555,1.595,15.62,4.029,-21.14,5,18,26.00,5.54,-0.753,0.742,0.000,-0.167,0.782,0.000,1,-0.262,47.38,0.060
65,19.945,1.688,15.12,4.081,-19.30,5,18,26.00,5.72,-0.687,0.758,0.000,-0.450,0.854,0.000,1,-0.388,47.29,0.053
66,20.342,1.776,14.49,4.112,-18.45,5,18,26.00,5.80,-0.657,0.774,0.000,-0.379,0.803,0.000,1,-0.407,48.13,0.039
67,20.743,1.853,13.41,4.144,-16.64,5,18,26.00,5.99,-0.593,0.788,0.000,-0.214,0.726,0.000,1,-0.447,47.66,0.115
68,21.150,1.924,12.40,4.191,-13.70,5,18,26.00,6.32,-0.488,0.801,0.000,-0.040,0.813,0.000,1,-0.474,47.24,0.132
69,21.562,1.994,11.79,4.225,-11.82,5,18,26.00,6.53,-0.421,0.809,0.000,+0.231,0.774,0.000,1,-0.484,47.50,0.129
70,21.975,2.070,11.63,4.240,-10.80,5,18,26.00,6.63,-0.385,0.813,0.000,+0.435,0.862,0.000,1,-0.491,48.44,0.217
71,22.386,2.160,11.95,4.237,-11.88,5,18,26.00,6.51,-0.423,0.815,0.000,+0.266,0.806,0.000,1,-0.450,48.09,0.153
72,22.792,2.266,12.74,4.240,-15.89,5,18,26.00,6.04,-0.566,0.818,0.000,+0.253,0.727,0.000,1,-0.456,47.36,0.192
73,23.196,2.383,13.60,4.250,-18.56,5,18,26.00,5.75,-0.661,0.823,0.000,-0.371,0.782,0.000,1,-0.462,46.57,0.220
