sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778910530.937513,0,1.566640,0.081912,-0.008244,-0.0003,-0.0573,-0.000711,1.648994,-0.000000,-0.000000,-0.0020,1.566526,0.081433,-0.008257,-0.0050,-0.0002,-0.000010,-0.113046,0.0000,1.566526,0.000000,0.000000,7.0000,0.000000,2.000000,7119.6066,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0841,0.0000,0.000000,0.2000,17.05,9.52,43.61,6.77,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,139.52135679337064,314.74444877286055,0.116256,0.111623,6560.6,6060.0,-0.020789,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778910530.945193,1,1.707312,0.092596,0.000767,-0.1093,-0.0839,0.000152,1.648913,-0.000001,-0.000000,-0.0094,1.707252,0.092076,0.000754,-0.0024,-0.0004,-0.000018,-0.019814,0.0000,1.707252,0.000000,-0.000000,7.0000,0.000000,2.000000,7043.4505,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0914,0.0000,0.000000,0.2240,15.43,9.18,40.04,7.30,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,146.34284959336412,343.94285865198816,0.125908,0.122372,6557.4,6063.1,-0.018492,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778910530.953223,2,1.642848,0.013290,-0.003003,0.0039,0.0276,0.001914,1.648775,-0.000002,-0.000002,-0.0125,1.642835,0.012919,-0.003011,-0.0009,-0.0004,-0.000018,-0.006274,0.0000,1.642835,0.000000,0.000000,7.0000,0.000000,2.000000,7037.6709,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0995,0.0000,0.000000,0.2480,14.17,8.41,36.76,4.04,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,146.4404388276516,254.73064159920486,0.089986,0.089541,6552.6,6068.0,-0.014956,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778910530.958460,3,1.665381,0.016371,-0.004448,0.0232,-0.0259,0.001156,1.648627,-0.000004,-0.000003,-0.0121,1.665527,0.016034,-0.004455,0.0043,-0.0007,-0.000030,0.008200,0.0000,1.665527,0.000000,-0.000000,7.0000,0.000000,2.000000,7029.9113,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1085,0.0000,0.000000,0.2720,12.09,7.76,31.95,4.09,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,144.82179904061854,236.33501956564285,0.081902,0.083010,6546.4,6074.2,-0.010480,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778910530.970513,4,1.610115,-0.022432,0.005651,0.0119,-0.0651,-0.002350,1.648492,-0.000007,-0.000005,-0.0105,1.610296,-0.022804,0.005642,0.0064,-0.0014,-0.000057,0.028050,0.0000,1.610296,0.000000,0.000000,7.0000,0.000000,2.000000,7020.8356,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1182,0.0000,0.000000,0.2960,10.33,7.21,27.87,4.10,-0.000007,-0.0003,-7.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,170.13626218039107,260.3226835240811,0.092590,0.090503,6539.3,6081.3,-0.005294,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778910530.982510,5,1.615385,-0.041718,-0.001501,-0.0293,0.0015,-0.000559,1.648464,-0.000004,-0.000003,0.0003,1.615523,-0.042012,-0.001508,0.0061,-0.0017,-0.000069,0.063317,0.0000,1.615523,0.000000,0.000000,7.0000,0.000000,2.000000,7013.0786,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1287,0.0000,0.000000,0.3200,8.82,6.75,24.40,4.09,-0.000004,-0.0002,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,147.96152496052719,204.9251542505836,0.074494,0.072095,6528.5,6092.0,0.002499,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778910530.994463,6,1.685005,0.012661,-0.003813,-0.0435,0.0439,-0.001911,1.648468,0.000001,-0.000000,0.0003,1.685108,0.012493,-0.003819,0.0055,-0.0014,-0.000059,0.080190,0.0000,1.685108,0.000000,-0.000000,7.0000,0.000000,2.000000,7011.6871,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1399,0.0000,0.000000,0.3440,7.55,6.36,21.46,4.18,0.000001,-0.0000,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,72.88874967584944,93.59404503047838,0.044345,0.039965,6522.7,6097.8,0.006710,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778910531.006393,7,1.657102,-0.027221,0.000104,-0.1157,0.0103,-0.000042,1.648453,0.000007,0.000003,-0.0009,1.657180,-0.027338,0.000099,0.0048,-0.0014,-0.000059,0.095493,0.0000,1.657180,0.000000,-0.000000,7.0000,0.000000,2.000000,7013.4545,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1518,0.0000,0.000000,0.3680,6.45,6.03,18.93,4.17,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,39.32874926848888,56.12137639067886,0.031794,0.028206,6517.5,6103.0,0.010479,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778910531.018583,8,1.667467,0.004027,0.002526,-0.0169,0.0435,0.002442,1.648434,0.000014,0.000007,-0.0008,1.667526,0.004001,0.002525,0.0044,-0.0004,-0.000015,0.113109,0.0000,1.667526,0.000000,-0.000000,7.0000,0.000000,2.000000,7005.8005,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1643,0.0000,0.000000,0.3920,5.53,5.85,16.91,4.80,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-10.28972262737706,15.081652171693449,0.007307,0.007532,6512.0,6108.6,0.014512,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778910531.033097,9,1.668044,0.009607,0.005778,0.0486,0.0261,0.000806,1.648415,0.000021,0.000011,-0.0007,1.668235,0.009624,0.005779,0.0134,0.0003,0.000016,0.132018,0.0000,1.668235,0.000000,-0.000000,7.0000,0.000000,2.000000,6996.3967,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1774,0.0000,0.000000,0.4160,4.75,5.67,15.17,4.64,0.000021,0.0006,-7.0007,0.008000,0.088058,0.8075,-0.488402,0.002070,0.000774,0.0,0.0,-17.205872353969554,11.57890239886791,-0.004725,-0.003513,6506.3,6114.3,0.018631,0.000000,0.000000,0.5000,1.0000,,,,,
