time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,22.719306,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000084,-0.000754,0.000126,0.000345,0.000000,0.164500,0.000000,0,0,22.719875,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000529,-0.000028,0.000830,0.000373,0.000000,0.284310,0.000000,0,0,22.720003,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000590,0.000207,0.003617,0.000422,0.000000,0.423373,0.000000,0,0,22.720078,0.000000,0.000000,0.000000
0.408000,0.055247,0.000197,0.904415,0.008851,0.011614,0.012972,0.006616,0.000000,0.551923,0.000000,0,0,22.720043,0.000000,0.000000,0.000000
0.510000,0.062734,0.001167,0.642940,0.080394,0.124109,0.029888,0.022572,0.000000,0.686005,0.000000,0,0,22.712522,0.000000,0.000000,0.000000
0.612000,0.064943,0.004136,0.717274,-0.004132,-0.047013,0.034933,-0.013867,0.000000,0.797810,0.000000,0,0,22.710187,0.000000,0.000000,0.000000
0.714000,0.065404,0.009916,0.791353,0.048396,0.034187,0.065747,-0.030493,0.000000,0.863587,0.000000,0,0,22.709479,0.000000,0.000000,0.000000
0.816000,0.076830,0.013360,0.788159,0.231501,0.231473,0.000725,0.024807,0.000000,0.912383,0.000000,0,0,22.697917,0.000000,0.000000,0.000000
0.918000,0.121883,0.012839,0.770847,0.641248,0.638724,-0.005935,-0.004443,0.000000,0.940887,0.000000,0,0,22.652927,0.000000,0.000000,0.000000
1.020000,0.205571,0.014762,0.786261,0.994799,0.990273,0.029265,0.007418,0.000000,0.962032,0.000000,0,0,22.569233,0.000000,0.000000,0.000000
1.122000,0.323075,0.019706,0.816229,1.309262,1.303617,0.056136,0.006769,0.000000,0.974384,0.000000,0,0,22.451626,0.000000,0.000000,0.000000
1.224000,0.470717,0.027238,0.844498,1.591110,1.589314,0.070674,0.013470,0.000000,0.983547,0.000000,0,0,22.303797,0.000000,0.000000,0.000000
1.326000,0.646987,0.035788,0.862989,1.855914,1.858039,0.070109,0.015485,0.000000,0.988900,0.000000,0,0,22.127322,0.000000,0.000000,0.000000
1.428000,0.849474,0.043712,0.868477,2.095950,2.106351,0.063215,0.016425,0.000000,0.992870,0.000000,0,0,21.924682,0.000000,0.000000,0.000000
1.530000,1.077789,0.051214,0.864582,2.357234,2.364689,0.056132,0.016922,0.000000,0.995190,0.000000,0,0,21.696254,0.000000,0.000000,0.000000
1.632000,1.332772,0.058566,0.857758,2.627196,2.626935,0.047770,0.019452,0.000000,0.996910,0.000000,0,0,21.441190,0.000000,0.000000,0.000000
1.734000,1.613629,0.065824,0.856047,2.872422,2.869420,0.038632,0.026557,0.000000,0.997916,0.000000,0,0,21.160281,0.000000,0.000000,0.000000
1.836000,1.917733,0.073951,0.855555,3.093267,3.093449,0.040732,0.032545,0.000000,0.998661,0.000000,0,0,20.856109,0.000000,0.000000,0.000000
1.938000,2.245056,0.083294,0.851568,3.313364,3.313313,0.037814,0.029612,0.000000,0.999097,0.000000,0,0,20.528690,0.000000,0.000000,0.000000
2.040000,2.592517,0.093540,0.849046,3.482703,3.489406,0.031819,0.024714,0.000000,0.999420,0.000000,0,0,20.181112,0.000000,0.000000,0.000000
2.142000,2.956583,0.104214,0.846776,3.651586,3.649939,0.018123,0.010095,-0.000919,0.997822,0.000000,0,0,19.816928,0.000000,0.000000,0.000000
2.244000,3.335283,0.114233,0.829447,3.800366,3.737152,0.014485,0.001660,0.002049,0.999101,0.000000,0,0,19.438155,0.000000,0.000000,0.000000
2.346000,3.717769,0.125019,0.796211,3.720510,3.744806,0.031647,0.008215,-0.005206,0.999777,0.000000,0,0,19.055566,0.000000,0.000000,0.000000
2.448000,4.103503,0.137882,0.805908,3.798190,3.837654,0.020135,0.002007,-0.046981,0.998107,0.000000,0,0,18.669643,0.000000,0.000000,0.000000
2.550000,4.499829,0.148696,0.826090,3.941037,3.934985,0.007235,-0.004485,-0.010692,0.989962,0.000000,0,0,18.273232,0.000000,0.000000,0.000000
2.652000,4.905096,0.159153,0.838040,4.028336,4.012897,-0.013426,-0.013951,-0.132025,0.971448,0.000000,0,0,17.867907,0.000000,0.000000,0.000000
2.754000,5.318105,0.165419,0.838705,4.093919,4.081630,-0.042724,-0.036459,-0.104166,0.961677,0.000000,0,0,17.455044,0.000000,0.000000,0.000000
2.856000,5.737730,0.166771,0.830789,4.136980,4.137795,-0.078431,-0.015395,-0.050971,0.943660,0.000000,0,0,17.035811,0.000000,0.000000,0.000000
2.958000,6.162873,0.164386,0.824965,4.185600,4.190181,-0.114908,-0.031875,-0.124310,0.930607,0.000000,0,0,16.611264,0.000000,0.000000,0.000000
3.060000,6.592357,0.157087,0.825545,4.214799,4.224700,-0.135532,-0.052362,-0.096070,0.920148,0.000000,0,0,16.182654,0.000000,0.000000,0.000000
3.162000,7.024991,0.147093,0.829420,4.256688,4.257826,-0.135992,-0.066957,-0.121513,0.913183,0.000000,0,0,15.751081,0.000000,0.000000,0.000000
3.264000,7.461346,0.136850,0.825535,4.303953,4.295080,-0.058970,-0.017818,0.044153,0.910785,0.000000,0,0,15.315863,0.000000,0.000000,0.000000
