sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778842073.538908,0,1.720889,-0.036943,-0.000315,-0.0747,-0.0345,0.001530,1.648994,-0.000000,-0.000000,-0.0020,1.720770,-0.037219,-0.000315,-0.0053,-0.0001,-0.000005,-0.116385,0.0000,1.720770,0.000000,-0.000000,7.0000,0.000000,2.000000,7117.8691,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0846,0.0000,0.000000,0.2000,17.58,9.24,44.40,4.95,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,197.41906729229285,291.83694850412974,0.064102,0.074158,6561.4,6059.1,-0.020549,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778842073.544441,1,1.622850,0.017694,-0.003007,-0.0272,-0.1082,0.000157,1.648913,-0.000001,-0.000000,-0.0094,1.622789,0.017299,-0.003010,-0.0026,-0.0004,-0.000015,-0.025121,0.0000,1.622789,0.000000,0.000000,7.0000,0.000000,2.000000,7040.5923,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0919,0.0000,0.000000,0.2240,15.12,8.68,38.92,5.46,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,227.12942853715325,368.621806390296,0.093264,0.101534,6558.3,6062.2,-0.018380,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778842073.555697,2,1.632806,0.035709,-0.001199,0.0282,0.0116,0.000532,1.648775,-0.000002,-0.000002,-0.0124,1.632958,0.035412,-0.001200,0.0037,-0.0005,-0.000021,-0.015722,0.0000,1.632958,0.000000,0.000000,7.0000,0.000000,2.000000,7039.2828,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1000,0.0000,0.000000,0.2480,12.93,7.80,33.66,2.84,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,215.82901704225065,299.46345682227184,0.070512,0.077884,6553.4,6067.1,-0.014972,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778842073.567691,3,1.769133,0.095458,-0.006101,0.0638,0.0303,-0.000465,1.648627,-0.000005,-0.000003,-0.0121,1.769615,0.095265,-0.006102,0.0158,-0.0006,-0.000024,-0.000306,0.0000,1.769615,-0.000000,-0.000000,7.0000,0.000000,2.000000,7038.3614,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1090,0.0000,0.000000,0.2720,11.07,7.06,29.19,2.86,-0.000005,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,173.12898159457356,218.8323885641997,0.045500,0.050871,6547.2,6073.4,-0.010623,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778842073.579666,4,1.658826,0.018056,-0.000717,-0.1076,0.0036,0.000898,1.648492,-0.000007,-0.000005,-0.0106,1.659172,0.017913,-0.000716,0.0133,-0.0007,-0.000028,0.019425,0.0000,1.659172,0.000000,-0.000000,7.0000,0.000000,2.000000,7024.4215,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1188,0.0000,0.000000,0.2960,9.48,6.42,25.37,2.81,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,149.77324598637264,183.37868838934688,0.034743,0.040224,6540.2,6080.3,-0.005756,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778842073.591668,5,1.646887,0.056672,-0.003236,-0.0167,-0.0697,0.000484,1.648463,-0.000003,-0.000003,0.0005,1.647140,0.056454,-0.003237,0.0117,-0.0017,-0.000065,0.057049,0.0000,1.647140,0.000000,0.000000,7.0000,0.000000,2.000000,7014.2730,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1293,0.0000,0.000000,0.3200,8.12,5.88,22.12,2.80,-0.000003,-0.0002,-6.9995,nan,nan,nan,nan,nan,nan,0.0,0.0,205.18474519091117,235.5630311364023,0.054643,0.059672,6529.0,6091.6,0.002069,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778842073.603687,6,1.632505,0.024545,0.006553,-0.0115,-0.0696,-0.000425,1.648468,0.000001,-0.000001,0.0002,1.632690,0.024272,0.006550,0.0098,-0.0031,-0.000114,0.073213,0.0000,1.632690,0.000000,0.000000,7.0000,0.000000,2.000000,7012.0757,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1405,0.0000,0.000000,0.3440,6.98,5.42,19.37,2.81,0.000001,-0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,246.37854808920224,278.92989089704724,0.071191,0.074698,6523.5,6097.1,0.005925,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778842073.615825,7,1.619462,-0.080391,0.004280,0.0376,0.0163,0.001655,1.648453,0.000007,0.000002,-0.0009,1.619724,-0.080577,0.004280,0.0156,-0.0030,-0.000090,0.088912,0.0000,1.619724,0.000000,0.000000,7.0000,0.000000,2.000000,7014.8857,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1524,0.0000,0.000000,0.3680,6.01,5.03,17.05,2.84,0.000007,0.0001,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,198.0518279731286,215.76672191020316,0.050123,0.055068,6518.3,6102.3,0.009541,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778842073.627521,8,1.641615,0.083849,0.000635,-0.0829,-0.0791,0.001059,1.648434,0.000014,0.000007,-0.0008,1.641803,0.083597,0.000633,0.0130,-0.0054,-0.000166,0.107111,0.0000,1.641803,0.000000,0.000000,7.0000,0.000000,2.000000,7012.5731,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1649,0.0000,0.000000,0.3920,5.16,4.70,15.02,2.80,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,252.4903503596081,278.27547922474616,0.070310,0.075634,6512.6,6108.0,0.013490,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778842073.639716,9,1.647754,0.042669,-0.002301,0.0230,-0.0481,0.000123,1.648415,0.000022,0.000011,-0.0007,1.647952,0.042411,-0.002303,0.0153,-0.0071,-0.000215,0.125497,0.0000,1.647952,0.000000,0.000000,7.0000,0.000000,2.000000,6999.9721,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1780,0.0000,0.000000,0.4160,4.47,4.41,13.35,2.79,0.000022,0.0006,-7.0007,0.008000,0.146688,-0.1207,-0.486205,-0.038754,-0.000521,0.0,0.0,268.12708650617026,290.12451667511914,0.075207,0.079654,6507.1,6113.5,0.017342,0.000000,0.000000,0.5000,1.0000,,,,,
