sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778842388.686400,0,1.546986,-0.019095,0.000074,-0.0736,-0.0417,-0.002891,1.648994,-0.000000,-0.000000,-0.0020,1.546867,-0.019460,0.000055,-0.0052,-0.0001,-0.000006,-0.114226,0.0000,1.546867,0.000000,0.000000,1.7746,0.000000,2.000000,323.2883,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0421,0.0000,0.000000,0.2000,17.88,9.30,45.06,5.31,-0.000000,-0.0000,-1.7766,nan,nan,nan,nan,nan,nan,0.0,0.0,222.32394428018804,289.27124085087735,0.092270,0.073311,6560.9,6059.7,-0.020168,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778842388.692360,1,1.642439,0.035457,0.003624,0.0099,-0.0003,0.000581,1.648913,-0.000001,-0.000000,-0.0094,1.642456,0.035164,0.003609,-0.0006,-0.0002,-0.000009,-0.020093,0.0000,1.642456,0.000000,0.000000,1.6698,0.000000,2.000000,228.3374,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0457,0.0000,0.000000,0.2240,15.75,8.73,40.23,5.54,-0.000001,-0.0000,-1.6792,nan,nan,nan,nan,nan,nan,0.0,0.0,215.34463113599006,249.34850493727467,0.074245,0.059658,6557.7,6062.9,-0.017953,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778842388.701362,2,1.681587,-0.091498,-0.002390,0.0670,0.0192,-0.000732,1.648776,-0.000002,-0.000001,-0.0124,1.682067,-0.091705,-0.002402,0.0128,-0.0003,-0.000012,-0.010968,0.0000,1.682067,0.000000,-0.000000,1.6208,0.000000,2.000000,261.9144,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0498,0.0000,0.000000,0.2480,13.47,7.85,34.80,2.86,-0.000002,-0.0001,-1.6332,nan,nan,nan,nan,nan,nan,0.0,0.0,185.6725715636574,190.12586593229798,0.052960,0.040236,6552.8,6067.8,-0.014537,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778842388.713319,3,1.782546,-0.029236,-0.005906,-0.0772,-0.0008,-0.000455,1.648627,-0.000005,-0.000003,-0.0122,1.782889,-0.029404,-0.005916,0.0108,-0.0004,-0.000019,0.003298,0.0000,1.782889,-0.000000,-0.000000,1.4704,0.000000,2.000000,203.0923,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0543,0.0000,0.000000,0.2720,11.53,7.10,30.17,2.87,-0.000005,-0.0002,-1.4826,nan,nan,nan,nan,nan,nan,0.0,0.0,168.1444981812433,163.92825157558957,0.043299,0.032449,6546.8,6073.8,-0.010334,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778842388.725198,4,1.618224,0.013260,0.009054,-0.0175,-0.0124,-0.000765,1.648492,-0.000007,-0.000005,-0.0105,1.618475,0.013109,0.009045,0.0093,-0.0006,-0.000029,0.023377,0.0000,1.618475,0.000000,0.000000,1.6976,0.000000,2.000000,242.1420,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0592,0.0000,0.000000,0.2960,9.88,6.47,26.23,2.89,-0.000007,-0.0003,-1.7081,nan,nan,nan,nan,nan,nan,0.0,0.0,164.10048221353142,154.1269055782774,0.040205,0.030477,6539.7,6080.9,-0.005360,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778842388.737276,5,1.564172,0.063585,-0.003050,0.0254,-0.0495,0.001702,1.648464,-0.000004,-0.000003,0.0001,1.564471,0.063391,-0.003058,0.0133,-0.0013,-0.000056,0.055205,0.0000,1.564471,0.000000,0.000000,1.7562,0.000000,2.000000,240.6986,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0644,0.0000,0.000000,0.3200,8.47,5.92,22.87,2.82,-0.000004,-0.0002,-1.7561,nan,nan,nan,nan,nan,nan,0.0,0.0,194.5647851451463,191.21558054217556,0.050515,0.044848,6529.8,6090.7,0.001478,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778842388.749184,6,1.647513,0.068731,0.004462,-0.0126,-0.0825,0.000438,1.648468,0.000001,-0.000000,0.0002,1.647731,0.068458,0.004454,0.0112,-0.0028,-0.000113,0.073690,0.0000,1.647731,0.000000,0.000000,1.6635,0.000000,2.000000,284.3600,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0700,0.0000,0.000000,0.3440,7.26,5.46,19.98,2.80,0.000001,-0.0000,-1.6633,nan,nan,nan,nan,nan,nan,0.0,0.0,248.56380983942998,259.3344410336107,0.072325,0.068324,6523.7,6096.9,0.005789,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778842388.761169,7,1.630393,0.005224,-0.001401,0.0792,0.0016,0.000902,1.648453,0.000006,0.000003,-0.0008,1.630824,0.005013,-0.001406,0.0247,-0.0030,-0.000119,0.089179,0.0000,1.630824,0.000000,0.000000,1.6834,0.000000,2.000000,292.0495,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0759,0.0000,0.000000,0.3680,6.24,5.06,17.53,2.81,0.000006,0.0002,-1.6843,nan,nan,nan,nan,nan,nan,0.0,0.0,216.7138834747359,216.04226862483407,0.057208,0.055125,6518.5,6102.1,0.009414,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778842388.773091,8,1.546886,-0.054169,-0.004271,0.0480,0.0456,0.001171,1.648434,0.000013,0.000007,-0.0008,1.547342,-0.054270,-0.004273,0.0297,-0.0020,-0.000069,0.107791,0.0000,1.547342,0.000000,0.000000,1.7741,0.000000,2.000000,261.3385,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0822,0.0000,0.000000,0.3920,5.36,4.72,15.45,2.82,0.000013,0.0004,-1.7749,nan,nan,nan,nan,nan,nan,0.0,0.0,135.33422969807194,128.2929630217736,0.027818,0.027630,6512.7,6107.9,0.013457,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778842388.785321,9,1.586051,-0.096018,0.001343,0.0647,0.0243,0.002133,1.648415,0.000020,0.000011,-0.0007,1.586555,-0.096059,0.001344,0.0368,-0.0011,-0.000025,0.125698,0.0000,1.586555,0.000000,0.000000,1.7327,0.000000,2.000000,309.9958,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0888,0.0000,0.000000,0.4160,4.64,4.43,13.72,2.80,0.000020,0.0006,-1.7334,0.008000,0.077320,0.0705,-0.464726,-0.006483,-0.000187,0.0,0.0,90.41781413563763,88.403249700484,0.011723,0.014297,6507.2,6113.3,0.017248,0.000000,0.000000,0.5000,1.0000,,,,,
