sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778842489.810643,0,1.671608,0.024072,0.000003,-0.0187,-0.0778,0.000061,1.648994,-0.000000,-0.000000,-0.0020,1.671498,0.023426,-0.000010,-0.0050,-0.0003,-0.000014,-0.113289,0.0000,1.671498,0.000000,-0.000000,5.0000,0.000000,2.000000,3412.7026,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0421,0.0000,0.000000,0.2000,17.09,9.21,43.39,4.75,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,155.40057389292693,537.7705059125631,0.154212,0.154605,6560.7,6059.9,-0.020002,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778842489.819341,1,1.657721,-0.016025,0.004443,-0.0285,0.0234,0.000021,1.648913,-0.000001,-0.000000,-0.0094,1.657668,-0.016506,0.004433,-0.0024,-0.0005,-0.000021,-0.023535,0.0000,1.657668,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.8522,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0457,0.0000,0.000000,0.2240,14.59,8.56,37.74,4.86,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,221.40406675107553,412.56538938983635,0.115769,0.116116,6557.4,6063.2,-0.017714,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778842489.831428,2,1.634030,-0.096825,-0.008962,0.0337,0.0316,-0.001498,1.648775,-0.000002,-0.000001,-0.0124,1.634213,-0.097163,-0.008970,0.0049,-0.0006,-0.000027,-0.014446,0.0000,1.634213,0.000000,0.000000,5.0000,0.000000,2.000000,3348.3682,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0498,0.0000,0.000000,0.2480,12.48,7.70,32.66,2.81,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,230.46632687094473,307.1108800611594,0.082295,0.080675,6552.6,6068.0,-0.014388,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778842489.843372,3,1.745635,-0.027606,0.000208,0.0232,0.0407,0.000706,1.648627,-0.000004,-0.000003,-0.0121,1.745903,-0.027810,0.000203,0.0089,-0.0007,-0.000028,0.000991,0.0000,1.745903,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.0603,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0543,0.0000,0.000000,0.2720,10.69,6.98,28.35,2.89,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,184.58295248398602,215.4412232991753,0.050268,0.049855,6546.4,6074.1,-0.010091,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778842489.855439,4,1.692325,-0.028821,-0.001478,-0.0622,0.0473,-0.002057,1.648492,-0.000007,-0.000005,-0.0105,1.692521,-0.028912,-0.001482,0.0078,-0.0005,-0.000021,0.022312,0.0000,1.692521,0.000000,-0.000000,5.0000,0.000000,2.000000,3345.6127,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0592,0.0000,0.000000,0.2960,9.17,6.36,24.69,2.84,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,120.57488504623208,125.73966771167218,0.023535,0.020574,6539.1,6081.4,-0.004998,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778842489.868965,5,1.688804,-0.000856,-0.003700,-0.0749,-0.0347,0.001327,1.648462,-0.000004,-0.000003,0.0004,1.688949,-0.000979,-0.003703,0.0070,-0.0010,-0.000040,0.050588,0.0000,1.688949,0.000000,-0.000000,5.0000,0.000000,2.000000,3353.8479,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0644,0.0000,0.000000,0.3200,7.90,5.82,21.62,2.81,-0.000004,-0.0002,-4.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,144.25407659628473,149.65662217856135,0.031572,0.030879,6530.4,6090.2,0.001109,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778842489.879547,6,1.642762,-0.054036,0.006339,0.0593,0.0923,0.000341,1.648469,0.000002,0.000000,0.0002,1.643091,-0.053995,0.006340,0.0175,0.0005,0.000018,0.066467,0.0000,1.643091,0.000000,0.000000,5.0000,0.000000,2.000000,3362.4127,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0700,0.0000,0.000000,0.3440,6.78,5.37,18.93,2.81,0.000002,0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,47.515017233071674,55.515607108435546,-0.010476,-0.010599,6524.9,6095.6,0.004891,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778842489.891485,7,1.606753,-0.008463,-0.009145,0.0108,0.0560,-0.000099,1.648452,0.000006,0.000003,-0.0008,1.607026,-0.008356,-0.009143,0.0166,0.0018,0.000063,0.082550,0.0000,1.607026,0.000000,0.000000,5.0000,0.000000,2.000000,3371.1998,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0759,0.0000,0.000000,0.3680,5.83,4.99,16.64,2.82,0.000006,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,35.088851690043185,35.33436722141522,-0.030040,-0.030266,6519.7,6100.9,0.008563,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778842489.903403,8,1.606269,-0.077922,0.001179,-0.0202,0.0019,-0.000664,1.648434,0.000013,0.000007,-0.0008,1.606466,-0.077835,0.001180,0.0138,0.0019,0.000063,0.100335,0.0000,1.606466,0.000000,0.000000,5.0000,0.000000,2.000000,3377.9893,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0822,0.0000,0.000000,0.3920,5.03,4.67,14.72,2.82,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,36.06224580861843,37.36924082948417,-0.024561,-0.025591,6514.2,6106.4,0.012404,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778842489.915351,9,1.596205,-0.022387,-0.003785,-0.0353,-0.0390,0.001106,1.648415,0.000020,0.000011,-0.0007,1.596348,-0.022370,-0.003785,0.0115,0.0005,0.000020,0.118723,0.0000,1.596348,0.000000,0.000000,5.0000,0.000000,2.000000,3365.6621,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0888,0.0000,0.000000,0.4160,4.34,4.38,13.05,2.78,0.000020,0.0006,-5.0007,0.008000,0.133405,-0.2122,-0.489935,0.002561,0.000795,0.0,0.0,54.11250712710209,53.24330140140107,-0.005404,-0.004821,6508.7,6111.9,0.016252,0.000000,0.000000,0.5000,1.0000,,,,,
