sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0480,1778843870.884601,0,1.651290,0.052730,0.010414,0.0560,-0.0089,0.000911,1.648492,-0.000007,-0.000005,-0.0106,1.653851,0.052689,0.010416,0.0571,-0.0000,-0.000001,0.024909,0.0000,1.653851,0.000000,0.000000,1.4105,0.000000,0.294042,70.9526,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0081,0.0000,0.000000,0.0294,17.64,9.68,44.96,7.86,-0.000007,-0.0003,-1.4210,nan,nan,nan,nan,nan,nan,0.0,0.0,0.5002393104450675,129.42396243546509,0.014826,0.020840,6525.7,6094.9,0.010998,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778843870.893181,1,1.679164,-0.068367,-0.004839,0.0149,0.0609,-0.000025,1.648463,-0.000004,-0.000003,0.0001,1.681113,-0.068334,-0.004835,0.0497,0.0000,0.000001,0.048516,0.0000,1.681113,0.000000,-0.000000,1.3696,0.000000,0.427813,61.4165,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0088,0.0000,0.000000,0.0345,15.12,9.30,39.53,7.14,-0.000004,-0.0002,-1.3695,nan,nan,nan,nan,nan,nan,0.0,0.0,28.0341928907836,220.92388722749746,-0.011589,-0.006771,6522.6,6097.9,0.016239,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778843870.904831,2,1.616220,0.029133,0.000740,0.0883,0.0132,0.000686,1.648468,0.000000,-0.000000,0.0002,1.618208,0.029191,0.000744,0.0575,0.0001,0.000004,0.054901,0.0000,1.618208,0.000000,0.000000,1.4590,0.000000,0.497115,62.1574,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0096,0.0000,0.000000,0.0405,12.92,8.97,34.81,7.11,0.000000,-0.0000,-1.4588,nan,nan,nan,nan,nan,nan,0.0,0.0,29.73091060654977,227.03351261823818,-0.014865,-0.010104,6521.7,6098.9,0.017900,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778843870.916812,3,1.752970,-0.002040,-0.002325,0.0286,-0.0883,-0.000404,1.648452,0.000005,0.000003,-0.0009,1.754563,-0.002138,-0.002325,0.0521,-0.0003,-0.000010,0.057976,0.0000,1.754563,-0.000000,-0.000000,1.2383,0.000000,0.513005,58.3182,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0105,0.0000,0.000000,0.0467,11.05,8.68,30.79,7.01,0.000005,0.0002,-1.2392,nan,nan,nan,nan,nan,nan,0.0,0.0,-11.550402187322817,134.95671349625508,0.022449,0.025771,6521.2,6099.4,0.018777,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778843870.928819,4,1.679299,-0.030498,0.003458,0.0586,-0.0550,0.001970,1.648434,0.000011,0.000007,-0.0008,1.680758,-0.030651,0.003458,0.0536,-0.0007,-0.000026,0.061131,0.0000,1.680758,0.000000,-0.000000,1.3702,0.000000,0.529205,59.1288,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0114,0.0000,0.000000,0.0530,9.47,8.42,27.36,6.99,0.000011,0.0004,-1.3710,nan,nan,nan,nan,nan,nan,0.0,0.0,-27.96639503741379,66.78894523832071,0.038168,0.043359,6520.1,6100.5,0.020736,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778843870.940903,5,1.692178,-0.020320,0.000412,-0.0470,-0.0214,0.000682,1.648415,0.000018,0.000011,-0.0007,1.693233,-0.020477,0.000412,0.0435,-0.0010,-0.000036,0.066048,0.0000,1.693233,0.000000,-0.000000,1.3502,0.000000,0.531152,58.6754,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0124,0.0000,0.000000,0.0594,8.13,8.20,24.46,6.95,0.000018,0.0006,-1.3509,nan,nan,nan,nan,nan,nan,0.0,0.0,-28.388536198271815,75.81422258928448,0.038626,0.043683,6518.5,6102.0,0.023395,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778843870.952814,6,1.628894,0.088878,-0.006924,0.0259,-0.0313,-0.000149,1.648397,0.000024,0.000015,-0.0006,1.629771,0.088700,-0.006925,0.0403,-0.0015,-0.000052,0.070400,0.0000,1.629771,0.000000,0.000000,1.4438,0.000000,0.533287,64.9614,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0135,0.0000,0.000000,0.0658,6.98,8.02,21.98,6.96,0.000024,0.0008,-1.4444,nan,nan,nan,nan,nan,nan,0.0,0.0,-30.442517725498682,72.56501325815283,0.043333,0.047220,6517.1,6103.4,0.025885,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778843870.964830,7,1.609045,-0.040165,-0.004178,-0.0405,0.0201,0.000535,1.648380,0.000029,0.000019,-0.0005,1.609686,-0.040273,-0.004178,0.0328,-0.0012,-0.000040,0.074969,0.0000,1.609686,0.000000,0.000000,1.4700,0.000000,0.535888,60.9810,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0146,0.0000,0.000000,0.0722,6.01,7.86,19.88,6.95,0.000029,0.0011,-1.4705,nan,nan,nan,nan,nan,nan,0.0,0.0,-18.29753918044289,147.32260891323583,0.026866,0.030688,6515.7,6104.9,0.028384,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778843870.976856,8,1.656484,-0.024180,-0.010384,0.0526,-0.0765,-0.001168,1.648364,0.000036,0.000023,-0.0004,1.657141,-0.024381,-0.010387,0.0368,-0.0028,-0.000100,0.079254,0.0000,1.657141,0.000000,-0.000000,1.4057,0.000000,0.527708,59.2895,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0158,0.0000,0.000000,0.0785,5.19,7.72,18.10,6.96,0.000036,0.0013,-1.4061,nan,nan,nan,nan,nan,nan,0.0,0.0,-28.73593636122426,72.7542582201203,0.051940,0.053527,6514.4,6106.2,0.030680,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778843870.988810,9,1.622651,-0.000984,-0.002125,0.0794,-0.0644,0.000352,1.648349,0.000042,0.000027,-0.0003,1.623395,-0.001228,-0.002128,0.0453,-0.0043,-0.000144,0.082700,0.0000,1.623395,0.000000,0.000000,1.4523,0.000000,0.525176,59.8971,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0171,0.0000,0.000000,0.0848,4.48,7.61,16.57,6.97,0.000042,0.0015,-1.4526,0.008000,0.097619,-0.7185,-0.458505,-0.033707,0.000264,0.0,0.0,-13.678263086108473,59.263264829988714,0.066545,0.068270,6513.3,6107.3,0.032627,0.000000,0.000000,0.5000,1.0000,,,,,
