sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778844690.380060,0,1.691103,-0.011458,0.003495,-0.0164,-0.0338,0.001064,1.648994,-0.000000,-0.000000,-0.0020,1.690986,-0.011731,0.003494,-0.0051,-0.0001,-0.000005,-0.111371,0.0000,1.690986,0.000000,-0.000000,7.0000,0.000000,2.000000,7117.1024,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0842,0.0000,0.000000,0.2000,18.06,9.03,45.16,3.57,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,6861.16642630222,6740.876307430264,0.064057,0.071054,6560.2,6060.4,-0.019664,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778844690.384285,1,1.594646,-0.032525,0.002953,0.0279,0.0000,0.000474,1.648913,-0.000001,-0.000000,-0.0094,1.594807,-0.032744,0.002953,0.0030,-0.0002,-0.000007,-0.017544,0.0000,1.594807,0.000000,0.000000,7.0000,0.000000,2.000000,6741.8231,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0915,0.0000,0.000000,0.2240,15.82,8.42,40.07,4.93,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,5916.016843247282,5928.845083724801,0.051387,0.057643,6557.0,6063.6,-0.017463,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778844690.393392,2,1.636317,0.033919,-0.005377,0.0178,-0.0886,-0.000932,1.648775,-0.000002,-0.000001,-0.0125,1.636557,0.033600,-0.005382,0.0062,-0.0005,-0.000020,-0.008685,0.0000,1.636557,0.000000,0.000000,7.0000,0.000000,2.000000,6736.8763,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0996,0.0000,0.000000,0.2480,13.49,7.79,34.78,4.26,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,7589.133472354386,7208.472125576387,0.076192,0.080036,6552.1,6068.5,-0.014035,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778844690.405530,3,1.687376,0.027248,-0.002481,-0.0992,0.0041,-0.000764,1.648627,-0.000005,-0.000003,-0.0123,1.687554,0.027000,-0.002485,0.0056,-0.0007,-0.000028,0.008124,0.0000,1.687554,0.000000,-0.000000,7.0000,0.000000,2.000000,6727.5728,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1086,0.0000,0.000000,0.2720,11.52,7.26,30.31,4.26,-0.000005,-0.0002,-7.0123,nan,nan,nan,nan,nan,nan,0.0,0.0,6617.08801840269,6280.138354095011,0.060370,0.062505,6545.5,6075.0,-0.009455,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778844690.417408,4,1.645766,0.054410,0.000976,-0.0087,0.0424,0.000230,1.648492,-0.000007,-0.000005,-0.0105,1.645900,0.054279,0.000975,0.0051,-0.0006,-0.000023,0.028584,0.0000,1.645900,0.000000,0.000000,7.0000,0.000000,2.000000,6717.0130,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1183,0.0000,0.000000,0.2960,9.84,6.80,26.48,4.14,-0.000007,-0.0003,-7.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,4055.918538048655,3977.6502107492274,0.032175,0.034195,6538.4,6082.2,-0.004469,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778844690.429440,5,1.558713,0.054723,0.010239,-0.0784,-0.0433,0.001002,1.648464,-0.000004,-0.000003,0.0004,1.558821,0.054556,0.010237,0.0051,-0.0012,-0.000045,0.064919,0.0000,1.558821,0.000000,0.000000,7.0000,0.000000,2.000000,6698.2495,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1288,0.0000,0.000000,0.3200,8.41,6.43,23.24,4.35,-0.000004,-0.0002,-6.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,5073.97903161104,4992.602690528921,0.042080,0.044986,6527.5,6093.1,0.003126,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778844690.441516,6,1.653281,0.057870,0.002515,-0.0388,0.0253,-0.000151,1.648468,0.000002,-0.000000,0.0003,1.653362,0.057775,0.002515,0.0046,-0.0010,-0.000034,0.083579,0.0000,1.653362,0.000000,0.000000,7.0000,0.000000,2.000000,6688.7323,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1400,0.0000,0.000000,0.3440,7.20,5.96,20.36,3.32,0.000002,-0.0000,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,3131.8594452915013,3167.5494983016347,0.024239,0.026392,6521.3,6099.2,0.007403,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778844690.453468,7,1.629604,0.005805,-0.002207,0.0200,-0.0334,0.002363,1.648453,0.000007,0.000003,-0.0009,1.629736,0.005685,-0.002206,0.0080,-0.0017,-0.000055,0.097580,0.0000,1.629736,0.000000,0.000000,7.0000,0.000000,2.000000,6681.1278,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1519,0.0000,0.000000,0.3680,6.16,5.58,17.91,3.41,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,3907.2392897712857,4141.522789280165,0.030996,0.035749,6516.5,6104.0,0.010770,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778844690.465450,8,1.674210,0.049814,-0.003880,0.0328,-0.0488,0.000318,1.648434,0.000014,0.000007,-0.0008,1.674410,0.049654,-0.003880,0.0132,-0.0031,-0.000092,0.115958,0.0000,1.674410,0.000000,-0.000000,7.0000,0.000000,2.000000,6672.5973,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1644,0.0000,0.000000,0.3920,5.28,5.26,15.83,3.48,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,5197.054788068161,5238.004376094215,0.043653,0.047887,6510.8,6109.8,0.014773,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778844690.477601,9,1.657373,-0.016482,0.000287,0.0046,-0.0297,0.001178,1.648415,0.000022,0.000011,-0.0007,1.657531,-0.016644,0.000287,0.0120,-0.0041,-0.000114,0.134037,0.0000,1.657531,0.000000,-0.000000,7.0000,0.000000,2.000000,6663.6514,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1775,0.0000,0.000000,0.4160,4.53,5.03,14.09,3.68,0.000022,0.0006,-7.0007,0.008000,0.083758,-0.1812,-0.489737,-0.024190,0.001185,0.0,0.0,5397.333113023248,5475.463988583336,0.045969,0.050886,6505.3,6115.3,0.018605,0.000000,0.000000,0.5000,1.0000,,,,,
