sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778845205.099947,0,1.693317,-0.014772,-0.000829,-0.0140,-0.0401,0.001570,1.648994,-0.000000,-0.000000,-0.0020,1.693204,-0.015094,-0.000829,-0.0049,-0.0001,-0.000006,-0.107060,0.0000,1.693204,0.000000,-0.000000,1.6061,0.000000,2.000000,244.7076,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0518,0.0000,0.000000,0.2000,17.97,8.89,44.83,2.62,-0.000000,-0.0000,-1.6081,nan,nan,nan,nan,nan,nan,0.0,0.0,3443.662769715977,3438.7845208008666,0.075071,0.085370,6559.1,6061.5,-0.018902,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778845205.103100,1,1.665356,0.035136,0.001750,-0.0526,0.0692,0.000310,1.648913,-0.000001,-0.000000,-0.0094,1.665302,0.034988,0.001752,-0.0022,-0.0001,-0.000006,-0.014602,0.0000,1.665302,0.000000,-0.000000,1.6421,0.000000,1.500000,88.4428,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0562,0.0000,0.000000,0.2180,15.49,8.16,39.14,4.04,-0.000001,-0.0000,-1.6514,nan,nan,nan,nan,nan,nan,0.0,0.0,1766.847131640079,2019.4691313120281,0.033673,0.042417,6555.9,6064.7,-0.016655,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778845205.114066,2,1.514803,-0.037354,-0.009773,0.0522,0.0451,-0.001234,1.648775,-0.000002,-0.000001,-0.0124,1.515115,-0.037406,-0.009771,0.0083,-0.0001,-0.000003,-0.026647,0.0000,1.515115,0.000000,0.000000,1.8073,0.000000,1.198433,86.9662,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0608,0.0000,0.000000,0.2324,13.24,7.24,33.72,2.00,-0.000002,-0.0001,-1.8196,nan,nan,nan,nan,nan,nan,0.0,0.0,565.1552304860801,794.5839535109155,0.010454,0.015937,6552.5,6068.1,-0.014318,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778845205.126261,3,1.625523,0.076056,0.000647,0.0040,-0.0577,-0.000316,1.648627,-0.000004,-0.000003,-0.0120,1.625765,0.075927,0.000647,0.0074,-0.0004,-0.000016,-0.031175,0.0000,1.625765,0.000000,0.000000,1.6893,0.000000,1.052852,82.0488,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0657,0.0000,0.000000,0.2450,11.34,6.47,29.14,2.08,-0.000004,-0.0002,-1.7013,nan,nan,nan,nan,nan,nan,0.0,0.0,1634.0138776739352,1698.2647238115376,0.030964,0.034978,6548.9,6071.6,-0.011833,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778845205.138230,4,1.627509,-0.014149,0.005516,0.0557,-0.0031,-0.000087,1.648492,-0.000007,-0.000005,-0.0106,1.627961,-0.014254,0.005516,0.0170,-0.0006,-0.000021,-0.022645,0.0000,1.627961,0.000000,0.000000,1.6868,0.000000,0.972897,78.5437,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0708,0.0000,0.000000,0.2567,9.72,5.79,25.24,1.97,-0.000007,-0.0003,-1.6973,nan,nan,nan,nan,nan,nan,0.0,0.0,1395.2891401194056,1442.5833673495567,0.026231,0.029359,6544.6,6076.0,-0.008815,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778845205.150090,5,1.727984,0.061504,0.004389,-0.0067,-0.1090,0.000900,1.648462,-0.000004,-0.000003,0.0005,1.728307,0.061258,0.004386,0.0142,-0.0020,-0.000073,-0.000104,0.0000,1.728307,0.000000,-0.000000,1.5569,0.000000,0.901684,76.8124,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0760,0.0000,0.000000,0.2675,8.35,5.22,21.91,1.96,-0.000004,-0.0002,-1.5564,nan,nan,nan,nan,nan,nan,0.0,0.0,3031.742473495183,2943.5445467021577,0.062709,0.066367,6537.5,6083.0,-0.003881,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778845205.162363,6,1.665059,-0.033742,-0.003585,-0.0466,0.1016,-0.000318,1.648468,0.000002,-0.000000,0.0001,1.665287,-0.033788,-0.003584,0.0116,-0.0006,-0.000017,0.005051,0.0000,1.665287,0.000000,-0.000000,1.6421,0.000000,0.870458,75.9276,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0814,0.0000,0.000000,0.2780,7.19,4.72,19.09,1.88,0.000002,-0.0000,-1.6420,nan,nan,nan,nan,nan,nan,0.0,0.0,620.5854435862807,705.1454791033148,0.011488,0.014045,6535.2,6085.4,-0.002227,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778845205.174242,7,1.601020,0.086106,-0.008297,-0.0082,0.0296,-0.001014,1.648453,0.000007,0.000003,-0.0008,1.601181,0.086110,-0.008296,0.0095,0.0001,0.000005,0.010547,0.0000,1.601181,0.000000,0.000000,1.7168,0.000000,0.865005,80.1400,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0870,0.0000,0.000000,0.2883,6.19,4.31,16.68,1.98,0.000007,0.0002,-1.7176,nan,nan,nan,nan,nan,nan,0.0,0.0,-84.64223266399505,-40.172928789549616,-0.001562,-0.000795,6533.1,6087.5,-0.000765,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778845205.186087,8,1.661414,0.091908,-0.001354,-0.0434,0.1807,-0.000292,1.648434,0.000013,0.000007,-0.0008,1.661529,0.092156,-0.001350,0.0078,0.0055,0.000193,0.018439,0.0000,1.661529,0.000000,-0.000000,1.6468,0.000000,0.847289,78.3952,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0927,0.0000,0.000000,0.2985,5.34,3.95,14.64,1.96,0.000013,0.0004,-1.6476,nan,nan,nan,nan,nan,nan,0.0,0.0,-3314.1672741776847,-3083.1867613713316,-0.070917,-0.070673,6530.6,6090.0,0.000967,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778845205.198146,9,1.670977,0.094954,0.003440,0.0273,0.0506,-0.000270,1.648415,0.000020,0.000011,-0.0007,1.671128,0.095210,0.003444,0.0117,0.0075,0.000251,0.026730,0.0000,1.671128,0.000000,-0.000000,1.6348,0.000000,0.830132,77.9447,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0985,0.0000,0.000000,0.3085,4.61,3.66,12.88,2.02,0.000020,0.0006,-1.6355,0.008000,0.131668,0.2409,-0.488591,0.038390,-0.000668,0.0,0.0,-3486.496443913623,-3257.9126507787278,-0.076559,-0.076706,6528.0,6092.5,0.002749,0.000000,0.000000,0.5000,1.0000,,,,,
