sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778845271.957162,0,1.637697,-0.014302,-0.006054,-0.0278,-0.0454,0.000558,1.648994,-0.000000,-0.000000,-0.0020,1.637582,-0.014674,-0.006060,-0.0050,-0.0002,-0.000007,-0.109671,0.0000,1.637582,0.000000,0.000000,5.0000,0.000000,2.000000,3413.0313,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0723,0.0000,0.000000,0.2000,17.73,8.90,44.35,2.66,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,3796.0873626930897,3576.2213225556,0.088701,0.092357,6559.7,6060.8,-0.019364,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778845271.960809,1,1.630968,-0.050749,0.004216,0.0430,-0.0141,0.001146,1.648913,-0.000001,-0.000000,-0.0094,1.631241,-0.051068,0.004212,0.0061,-0.0003,-0.000013,-0.018750,0.0000,1.631241,0.000000,0.000000,5.0000,0.000000,2.000000,3036.1135,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0785,0.0000,0.000000,0.2240,15.13,8.11,38.36,3.64,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,3481.881469866536,3334.559318973908,0.076309,0.080719,6556.5,6064.0,-0.017135,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778845271.972938,2,1.692126,0.066736,0.002663,0.0244,0.0159,-0.000772,1.648775,-0.000002,-0.000001,-0.0124,1.692483,0.066504,0.002660,0.0099,-0.0004,-0.000018,-0.010767,0.0000,1.692483,0.000000,-0.000000,5.0000,0.000000,2.000000,3034.4062,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0855,0.0000,0.000000,0.2480,12.93,7.31,33.18,2.80,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,2769.791782937177,2660.5494257238606,0.055938,0.058522,6551.9,6068.7,-0.013899,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778845271.985002,3,1.606545,-0.047377,-0.003070,-0.0304,-0.0160,0.002384,1.648627,-0.000004,-0.000003,-0.0120,1.606801,-0.047584,-0.003071,0.0085,-0.0007,-0.000027,0.004237,0.0000,1.606801,0.000000,0.000000,5.0000,0.000000,2.000000,3029.8375,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0932,0.0000,0.000000,0.2720,11.08,6.63,28.79,2.74,-0.000004,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,2515.3510305899263,2533.9467920870625,0.049823,0.054946,6545.8,6074.7,-0.009660,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778845271.996925,4,1.620059,0.039111,0.007377,0.0625,0.0432,0.001201,1.648492,-0.000007,-0.000005,-0.0106,1.620557,0.039019,0.007379,0.0195,-0.0005,-0.000019,0.024723,0.0000,1.620557,0.000000,0.000000,5.0000,0.000000,2.000000,3024.2661,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1015,0.0000,0.000000,0.2960,9.49,6.08,25.07,2.99,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,1214.8901878004942,1400.393689291127,0.022732,0.028408,6538.7,6081.9,-0.004680,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778845272.008936,5,1.608057,-0.016085,-0.011684,0.0436,-0.0067,-0.000589,1.648462,-0.000004,-0.000003,0.0008,1.608604,-0.016178,-0.011683,0.0250,-0.0007,-0.000024,0.056967,0.0000,1.608604,0.000000,0.000000,5.0000,0.000000,2.000000,3015.7143,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1105,0.0000,0.000000,0.3200,8.15,5.62,21.91,3.00,-0.000004,-0.0002,-4.9992,nan,nan,nan,nan,nan,nan,0.0,0.0,1139.3244474623561,1247.4957588221096,0.021307,0.025133,6528.9,6091.7,0.002157,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778845272.020889,6,1.666275,-0.037253,0.001451,0.0068,0.0047,0.000383,1.648468,0.000002,-0.000000,0.0001,1.666692,-0.037313,0.001452,0.0219,-0.0007,-0.000023,0.073641,0.0000,1.666692,0.000000,-0.000000,5.0000,0.000000,2.000000,3011.7009,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1201,0.0000,0.000000,0.3440,6.99,5.19,19.18,2.77,0.000002,-0.0000,-4.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,813.6235026217933,936.8407246721358,0.015138,0.018712,6523.2,6097.3,0.006078,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778845272.032890,7,1.724037,-0.043193,0.001330,-0.0323,0.0606,-0.000081,1.648452,0.000007,0.000003,-0.0009,1.724336,-0.043154,0.001332,0.0181,0.0006,0.000030,0.089316,0.0000,1.724336,0.000000,-0.000000,5.0000,0.000000,2.000000,3007.9596,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1302,0.0000,0.000000,0.3680,6.01,4.82,16.85,2.69,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-602.7738679442142,-424.9202454413275,-0.011198,-0.008419,6518.1,6102.5,0.009689,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778845272.044896,8,1.567547,0.011919,-0.002103,-0.0063,-0.0529,0.000885,1.648434,0.000015,0.000007,-0.0008,1.567763,0.011877,-0.002102,0.0150,-0.0010,-0.000018,0.107329,0.0000,1.567763,0.000000,0.000000,5.0000,0.000000,2.000000,3003.2712,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1410,0.0000,0.000000,0.3920,5.18,4.51,14.88,2.77,0.000015,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,586.4472011850836,718.2162183352987,0.010915,0.014287,6512.5,6108.1,0.013588,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778845272.056916,9,1.576610,0.028384,-0.001087,-0.0318,0.0746,-0.003430,1.648415,0.000022,0.000011,-0.0007,1.576767,0.028445,-0.001087,0.0124,0.0018,0.000049,0.125997,0.0000,1.576767,0.000000,0.000000,5.0000,0.000000,2.000000,2999.0371,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1522,0.0000,0.000000,0.4160,4.48,4.25,13.21,2.77,0.000022,0.0006,-5.0007,0.008000,0.119142,0.2745,-0.489066,0.009383,-0.002073,0.0,0.0,-957.1256954173883,-980.8492160112397,-0.017961,-0.019625,6506.9,6113.7,0.017489,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778845272.068939,10,1.619541,-0.025207,-0.001608,0.0077,0.0218,-0.000831,1.648397,0.000028,0.000015,-0.0006,1.619674,-0.025134,-0.001608,0.0119,0.0027,0.000049,0.143900,0.0000,1.619674,0.000000,0.000000,5.0000,0.000000,2.000000,2994.8888,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1639,0.0000,0.000000,0.4400,3.88,4.03,11.79,2.77,0.000028,0.0008,-5.0006,0.008000,0.067051,-0.3334,-0.497813,0.012055,-0.000393,0.0,0.0,-1185.0045883179582,-1230.8740542555538,-0.022410,-0.024814,6501.6,6119.0,0.021165,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778845272.080908,11,1.618889,0.043395,-0.000604,0.0485,0.0417,-0.000928,1.648380,0.000035,0.000018,-0.0005,1.619088,0.043498,-0.000604,0.0193,0.0046,0.000093,0.161987,0.0000,1.619088,0.000000,0.000000,5.0000,0.000000,2.000000,2991.1102,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1762,0.0000,0.000000,0.4640,3.37,3.84,10.58,2.78,0.000035,0.0011,-5.0005,0.008000,0.126027,-0.1868,-0.491215,0.018063,-0.000386,0.0,0.0,-1742.1715082426988,-1783.3438128326643,-0.033649,-0.036771,6496.4,6124.2,0.024798,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778845272.092910,12,1.557454,0.038517,-0.000352,0.0781,-0.0079,-0.001081,1.648364,0.000043,0.000023,-0.0004,1.557748,0.038586,-0.000353,0.0311,0.0038,0.000046,0.180190,0.0000,1.557748,0.000000,0.000000,5.0000,0.000000,2.000000,2987.0203,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1888,0.0000,0.000000,0.4880,2.94,3.68,9.56,2.78,0.000043,0.0013,-5.0004,0.008000,0.131879,0.1559,-0.481018,0.013267,-0.000631,0.0,0.0,-1229.876311043992,-1346.9038224526823,-0.023433,-0.027334,6491.3,6129.3,0.028383,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778845272.104899,13,1.616957,-0.013768,0.004313,-0.0375,-0.0288,0.000805,1.648349,0.000051,0.000027,-0.0003,1.617174,-0.013744,0.004312,0.0254,0.0015,0.000003,0.198962,0.0000,1.617174,0.000000,0.000000,5.0000,0.000000,2.000000,2982.6940,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2019,0.0000,0.000000,0.5120,2.57,3.54,8.68,2.76,0.000051,0.0015,-5.0003,0.008000,0.075772,-0.1754,-0.488758,0.005222,-0.000224,0.0,0.0,-437.3941225162364,-519.3070623428007,-0.008249,-0.010367,6486.0,6134.5,0.032015,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778845272.116913,14,1.653960,0.015937,0.001924,-0.0494,-0.0290,-0.001841,1.648334,0.000059,0.000031,-0.0002,1.654120,0.015924,0.001921,0.0208,-0.0007,-0.000107,0.217321,0.0000,1.654120,0.000000,0.000000,5.0000,0.000000,2.000000,2978.8817,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2154,0.0000,0.000000,0.5360,2.26,3.45,7.96,2.93,0.000059,0.0018,-5.0002,0.008000,0.033196,0.7796,-0.496572,-0.001240,-0.000658,0.0,0.0,302.73901087857826,83.43705052381176,0.005726,0.001664,6481.0,6139.6,0.035525,0.000000,0.000000,0.5000,1.0000,,,,,
0.1800,1778845272.128932,15,1.692756,-0.023951,-0.003393,0.0926,-0.0211,0.001384,1.648320,0.000067,0.000035,-0.0002,1.693010,-0.023981,-0.003394,0.0350,-0.0023,-0.000093,0.234483,0.0000,1.693010,0.000000,-0.000000,5.0000,0.000000,2.000000,2975.4609,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2293,0.0000,0.000000,0.5600,1.99,3.35,7.34,2.79,0.000067,0.0020,-5.0002,0.008000,0.028026,-0.2776,-0.484022,-0.004981,-0.000302,0.0,0.0,627.2770149373904,520.58233750004,0.011947,0.010441,6476.4,6144.2,0.038773,0.000000,0.000000,0.5000,1.0000,,,,,
0.1920,1778845272.140926,16,1.672107,-0.004352,-0.002518,-0.0238,-0.0795,0.001671,1.648307,0.000076,0.000039,-0.0001,1.672297,-0.004446,-0.002519,0.0286,-0.0085,-0.000095,0.252163,0.0000,1.672297,0.000000,-0.000000,5.0000,0.000000,2.000000,2971.7783,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2436,0.0000,0.000000,0.5840,1.77,3.27,6.80,2.78,0.000076,0.0023,-5.0001,0.008000,0.110026,-0.2210,-0.492043,-0.020578,-0.000010,0.0,0.0,1975.719735689161,1916.9775245076814,0.039353,0.040272,6471.6,6149.0,0.042089,0.000000,0.000000,0.5000,1.0000,,,,,
0.2040,1778845272.152826,17,1.671579,0.008857,0.003009,-0.0312,0.0396,0.000965,1.648295,0.000085,0.000044,-0.0000,1.671723,0.008822,0.003010,0.0234,-0.0038,0.000015,0.269101,0.0000,1.671723,0.000000,-0.000000,5.0000,0.000000,2.000000,2968.4563,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2582,0.0000,0.000000,0.6080,1.56,3.20,6.33,2.82,0.000085,0.0025,-5.0000,0.008000,0.053021,0.2930,-0.499048,-0.007457,0.000347,0.0,0.0,821.566565543325,877.5711963090839,0.015831,0.017806,6467.1,6153.5,0.045255,0.000000,0.000000,0.5000,1.0000,,,,,
0.2160,1778845272.164880,18,1.605833,0.075890,0.000017,0.0812,-0.0081,0.001133,1.648284,0.000095,0.000048,0.0000,1.606037,0.075856,0.000018,0.0349,-0.0040,0.000055,0.285972,0.0000,1.606037,0.000000,0.000000,5.0000,0.000000,2.000000,2966.3498,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2731,0.0000,0.000000,0.6320,1.40,3.14,5.94,2.81,0.000095,0.0028,-5.0000,0.008000,0.052147,0.0632,-0.489389,-0.009924,0.000516,0.0,0.0,786.0026708532242,896.1073022923127,0.015207,0.018247,6462.6,6158.0,0.048374,0.000000,0.000000,0.5000,1.0000,,,,,
0.2280,1778845272.176891,19,1.699472,-0.013283,-0.000167,0.0078,-0.0185,0.001754,1.648273,0.000105,0.000053,0.0001,1.699637,-0.013322,-0.000165,0.0300,-0.0051,0.000109,0.301933,0.0000,1.699637,0.000000,-0.000000,5.0000,0.000000,2.000000,2962.2087,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2884,0.0000,0.000000,0.6560,1.26,3.12,5.63,2.97,0.000105,0.0030,-4.9999,0.008000,0.031018,0.0821,-0.496093,-0.012911,0.000563,0.0,0.0,940.0635631401155,1120.3848316840952,0.018325,0.023017,6458.4,6162.2,0.051311,0.000000,0.000000,0.5000,1.0000,,,,,
0.2400,1778845272.188926,20,1.779493,-0.005122,0.001267,-0.0347,-0.0605,-0.000649,1.648263,0.000116,0.000057,0.0001,1.779621,-0.005200,0.001267,0.0245,-0.0102,-0.000057,0.318030,0.0000,1.779621,-0.000000,-0.000000,5.0000,0.000000,2.000000,2959.1923,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3040,0.0000,0.000000,0.6800,1.15,3.07,5.36,2.82,0.000116,0.0033,-4.9999,0.008000,0.119764,0.1070,-0.503379,-0.024221,0.000549,0.0,0.0,1905.9540426945837,1946.8051596609168,0.038597,0.041549,6454.2,6166.4,0.054242,0.000000,0.000000,0.5000,1.0000,,,,,
0.2520,1778845272.200942,21,1.570915,-0.068341,-0.005225,0.0297,0.0476,0.000058,1.648253,0.000127,0.000062,0.0001,1.571044,-0.068367,-0.005224,0.0258,-0.0037,0.000047,0.333674,0.0000,1.571044,0.000000,0.000000,5.0000,0.000000,2.000000,2957.4229,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3198,0.0000,0.000000,0.7040,1.05,3.02,5.12,2.76,0.000127,0.0036,-4.9999,0.008000,0.113827,-0.2791,-0.503869,-0.010337,0.000508,0.0,0.0,647.9457097375339,738.4814360861469,0.012690,0.015149,6450.1,6170.5,0.057089,0.000000,0.000000,0.5000,1.0000,,,,,
0.2640,1778845272.212960,22,1.707856,-0.021471,-0.001492,0.0891,0.0503,-0.001233,1.648245,0.000139,0.000067,0.0002,1.708042,-0.021455,-0.001492,0.0384,0.0022,0.000060,0.348933,0.0000,1.708042,0.000000,-0.000000,5.0000,0.000000,2.000000,2953.7157,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3360,0.0000,0.000000,0.7280,0.97,3.00,4.95,2.90,0.000139,0.0038,-4.9998,0.008000,0.040181,-0.3327,-0.493175,0.002658,0.000013,0.0,0.0,-432.2730538632489,-394.29836497786465,-0.008487,-0.008081,6446.1,6174.5,0.059853,0.000000,0.000000,0.5000,1.0000,,,,,
0.2760,1778845272.224895,23,1.638181,-0.100413,0.004721,-0.0876,-0.0538,0.000757,1.648236,0.000151,0.000072,0.0002,1.638327,-0.100437,0.004721,0.0313,-0.0039,-0.000005,0.363514,0.0000,1.638327,0.000000,0.000000,5.0000,0.000000,2.000000,2953.0836,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3524,0.0000,0.000000,0.7520,0.90,3.02,4.81,3.09,0.000151,0.0041,-4.9998,0.008000,0.134436,0.1612,-0.502118,-0.006331,0.000383,0.0,0.0,681.7922987435214,715.8143030287889,0.013497,0.014791,6442.3,6178.2,0.062487,0.000000,0.000000,0.5000,1.0000,,,,,
0.2880,1778845272.236867,24,1.557608,-0.052450,0.003852,0.1101,-0.0021,0.000122,1.648229,0.000164,0.000077,0.0002,1.557823,-0.052470,0.003852,0.0469,-0.0034,0.000001,0.378542,0.0000,1.557823,0.000000,0.000000,5.0000,0.000000,2.000000,2949.0330,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3690,0.0000,0.000000,0.7760,0.83,2.99,4.65,2.84,0.000164,0.0044,-4.9998,0.008000,0.189003,0.4154,-0.488263,-0.004143,0.000109,0.0,0.0,584.237028245021,618.4353600207374,0.011612,0.012812,6438.5,6182.1,0.065183,0.000000,0.000000,0.5000,1.0000,,,,,
0.3000,1778845272.248876,25,1.595742,0.014236,-0.005410,0.0436,-0.0520,0.000420,1.648221,0.000178,0.000082,0.0002,1.595949,0.014184,-0.005410,0.0466,-0.0085,-0.000070,0.393657,0.0000,1.595949,0.000000,0.000000,5.0000,0.000000,2.000000,2945.9757,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.3859,0.0000,0.000000,0.8000,0.77,2.98,4.53,2.94,0.000178,0.0047,-4.9998,0.008000,0.129646,-0.1652,-0.490344,-0.007148,0.000264,0.0,0.0,1432.9961327678482,1444.7138669095903,0.029243,0.030747,6434.6,6186.0,0.067901,0.000000,0.000000,0.5000,1.0000,,,,,
0.3120,1778845272.260930,26,1.631015,0.041476,0.004324,-0.0582,-0.0133,-0.000258,1.648215,0.000193,0.000087,0.0002,1.631180,0.041427,0.004324,0.0380,-0.0084,-0.000098,0.407581,0.0000,1.631180,0.000000,0.000000,5.0000,0.000000,2.000000,2944.0234,2,3,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.4030,0.0000,0.000000,0.8240,0.73,2.95,4.42,2.80,0.000193,0.0050,-4.9998,0.008000,0.098062,0.0753,-0.500723,-0.011097,0.000192,0.0,0.0,1409.3583018739369,1395.7896890679772,0.028902,0.029784,6431.0,6189.6,0.070393,0.000000,0.000000,0.5000,1.0000,,,,,
