sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778846258.029675,0,1.687525,0.017929,-0.003782,0.0542,0.0015,0.001048,1.648994,-0.000000,-0.000000,-0.0020,1.689811,0.017940,-0.003778,0.0493,0.0000,0.000000,-0.112963,0.0000,1.689811,0.000000,-0.000000,1.3558,0.000000,2.000000,318.3547,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0499,0.0000,0.000000,0.2000,17.08,9.62,43.78,7.45,-0.000000,-0.0000,-1.3578,nan,nan,nan,nan,nan,nan,0.0,0.0,60.202051906100934,132.48912253283547,-0.006426,0.000496,6560.6,6060.0,-0.020774,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778846258.038504,1,1.618759,-0.010888,0.006069,-0.0860,-0.0390,-0.000600,1.648913,-0.000001,-0.000000,-0.0094,1.620401,-0.010925,0.006071,0.0414,-0.0001,-0.000002,-0.022265,0.0000,1.620401,0.000000,0.000000,1.4562,0.000000,2.000000,300.6005,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0542,0.0000,0.000000,0.2240,14.59,9.30,38.48,7.51,-0.000001,-0.0000,-1.4656,nan,nan,nan,nan,nan,nan,0.0,0.0,42.46637825760233,137.1530039467044,0.010274,0.015089,6557.3,6063.3,-0.018365,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778846258.050617,2,1.664232,-0.063657,-0.007726,0.0105,0.0057,0.001567,1.648776,-0.000002,-0.000001,-0.0123,1.665476,-0.063694,-0.007723,0.0357,-0.0001,-0.000002,-0.012097,0.0000,1.665476,0.000000,-0.000000,1.3935,0.000000,2.000000,287.1147,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0591,0.0000,0.000000,0.2480,12.47,8.65,33.60,4.98,-0.000002,-0.0001,-1.4058,nan,nan,nan,nan,nan,nan,0.0,0.0,49.67074317210498,129.07314612548544,0.005130,0.011017,6552.4,6068.2,-0.014822,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778846258.062544,3,1.592112,0.061549,-0.001533,-0.0443,-0.0205,-0.001167,1.648627,-0.000005,-0.000003,-0.0121,1.592997,0.061493,-0.001532,0.0293,-0.0002,-0.000007,0.002659,0.0000,1.592997,0.000000,0.000000,1.4908,0.000000,2.000000,315.3769,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0645,0.0000,0.000000,0.2720,10.67,8.10,29.43,4.98,-0.000005,-0.0002,-1.5029,nan,nan,nan,nan,nan,nan,0.0,0.0,37.02048642201717,120.88232302543372,0.012794,0.016051,6546.5,6074.1,-0.010539,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778846258.074523,4,1.639606,-0.006413,-0.000737,-0.0508,0.0214,-0.000129,1.648492,-0.000007,-0.000005,-0.0105,1.640241,-0.006424,-0.000736,0.0242,-0.0001,-0.000002,0.023790,0.0000,1.640241,0.000000,0.000000,1.4296,0.000000,2.000000,282.2536,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0703,0.0000,0.000000,0.2960,9.13,7.61,25.87,4.80,-0.000007,-0.0003,-1.4401,nan,nan,nan,nan,nan,nan,0.0,0.0,53.227553909956356,108.07302626889913,0.002123,0.004584,6539.3,6081.3,-0.005321,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778846258.086612,5,1.504537,0.020096,0.000755,0.0492,0.0018,0.000197,1.648463,-0.000004,-0.000003,0.0004,1.505224,0.020092,0.000756,0.0302,-0.0001,-0.000001,0.068956,0.0000,1.505224,0.000000,0.000000,1.5929,0.000000,2.000000,339.6182,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0766,0.0000,0.000000,0.3200,7.84,7.19,22.86,4.83,-0.000004,-0.0002,-1.5925,nan,nan,nan,nan,nan,nan,0.0,0.0,52.860319126146095,91.620516178293,0.000887,0.003123,6526.3,6094.3,0.004118,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778846258.098701,6,1.647154,0.136825,-0.002070,-0.0371,-0.0229,-0.001291,1.648468,0.000001,-0.000000,0.0001,1.647652,0.136784,-0.002070,0.0248,-0.0004,-0.000015,0.086052,0.0000,1.647652,0.000000,0.000000,1.4193,0.000000,2.000000,307.0271,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0833,0.0000,0.000000,0.3440,6.76,6.85,20.36,4.92,0.000001,-0.0000,-1.4192,nan,nan,nan,nan,nan,nan,0.0,0.0,34.56661237872653,87.54087238496147,0.010373,0.010527,6520.7,6099.9,0.008211,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778846258.110686,7,1.635820,0.004846,-0.002455,-0.0253,-0.0443,0.000036,1.648452,0.000006,0.000003,-0.0008,1.636182,0.004750,-0.002457,0.0205,-0.0013,-0.000048,0.102322,0.0000,1.636182,0.000000,0.000000,1.4351,0.000000,2.000000,298.0236,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0904,0.0000,0.000000,0.3680,5.82,6.55,18.18,4.84,0.000006,0.0002,-1.4360,nan,nan,nan,nan,nan,nan,0.0,0.0,0.8841937359519818,70.62869436435086,0.025491,0.025660,6515.4,6105.2,0.012020,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778846258.122655,8,1.711330,-0.039121,0.005274,0.0659,-0.0338,-0.000092,1.648434,0.000013,0.000007,-0.0008,1.711810,-0.039240,0.005272,0.0298,-0.0022,-0.000076,0.121663,0.0000,1.711810,0.000000,-0.000000,1.3189,0.000000,2.000000,344.6364,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0979,0.0000,0.000000,0.3920,5.03,6.29,16.34,4.80,0.000013,0.0004,-1.3197,nan,nan,nan,nan,nan,nan,0.0,0.0,-19.769929912706814,50.71104074484026,0.033692,0.033710,6509.6,6111.0,0.016268,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778846258.134678,9,1.622944,-0.037714,-0.005252,-0.0997,0.0052,0.002199,1.648415,0.000020,0.000011,-0.0007,1.623295,-0.037801,-0.005252,0.0245,-0.0020,-0.000055,0.140108,0.0000,1.623295,0.000000,0.000000,1.4524,0.000000,2.000000,312.4481,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1058,0.0000,0.000000,0.4160,4.35,6.07,14.76,4.83,0.000020,0.0006,-1.4531,0.008000,0.129361,-0.0863,-0.477399,-0.012586,0.000113,0.0,0.0,-0.32609095128400156,55.367232053019904,0.023803,0.026628,6504.1,6116.5,0.020256,0.000000,0.000000,0.5000,1.0000,,,,,
