sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778847298.299699,0,1.707218,0.088801,0.003238,-0.0144,0.0116,-0.001508,1.648994,-0.000000,-0.000000,-0.0020,1.707098,0.088886,0.003234,-0.0052,0.0000,0.000002,-0.113676,0.0000,1.707098,0.000000,-0.000000,5.0000,0.000000,2.000000,3416.5344,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0722,0.0000,0.000000,0.2000,17.99,10.01,45.99,10.06,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,64.47007300327593,57.57425669973806,-0.018471,-0.028426,6560.8,6059.8,-0.020905,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778847298.310593,1,1.630710,0.071439,0.002617,-0.0284,-0.0127,-0.000944,1.648913,-0.000001,-0.000000,-0.0094,1.630642,0.071487,0.002612,-0.0025,0.0000,0.000001,-0.014430,0.0000,1.630642,0.000000,0.000000,5.0000,0.000000,2.000000,3345.5112,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0784,0.0000,0.000000,0.2240,16.69,10.03,43.42,10.13,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,62.969916959049044,87.67619428000427,-0.009395,-0.018633,6557.6,6063.0,-0.018615,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778847298.321492,2,1.632363,-0.061714,-0.000836,0.0092,-0.0360,0.001189,1.648775,-0.000002,-0.000002,-0.0125,1.632390,-0.061731,-0.000840,0.0001,-0.0000,-0.000000,-0.000280,0.0000,1.632390,0.000000,0.000000,5.0000,0.000000,2.000000,3344.5137,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0854,0.0000,0.000000,0.2480,15.44,9.53,40.41,6.72,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,49.01945322440375,120.71855214764446,0.005611,-0.000321,6552.8,6067.8,-0.015096,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778847298.328950,3,1.640906,0.011345,-0.008598,0.0017,-0.1624,0.001207,1.648627,-0.000004,-0.000003,-0.0121,1.640946,0.011073,-0.008605,0.0010,-0.0003,-0.000014,0.015623,0.0000,1.640946,0.000000,0.000000,5.0000,0.000000,2.000000,3344.0581,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0931,0.0000,0.000000,0.2720,13.69,9.11,36.49,6.70,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-101.26184025984409,73.66397578594716,0.066536,0.063308,6546.7,6073.9,-0.010705,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778847298.337502,4,1.587812,-0.094841,-0.005878,-0.0673,0.0011,-0.001067,1.648492,-0.000007,-0.000005,-0.0106,1.587852,-0.095058,-0.005885,0.0015,-0.0005,-0.000020,0.034869,0.0000,1.587852,0.000000,0.000000,5.0000,0.000000,2.000000,3353.1150,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1014,0.0000,0.000000,0.2960,11.68,8.75,32.12,6.72,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-66.63522421854532,74.9521862972052,0.053930,0.049963,6539.6,6081.0,-0.005532,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778847298.349504,5,1.665039,0.057687,0.001387,0.0827,0.0113,0.002181,1.648462,-0.000004,-0.000003,0.0004,1.665543,0.057535,0.001383,0.0182,-0.0005,-0.000022,0.066282,0.0000,1.665543,0.000000,-0.000000,5.0000,0.000000,2.000000,3362.9030,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1104,0.0000,0.000000,0.3200,9.98,8.45,28.40,6.72,-0.000004,-0.0002,-4.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,-24.405479665614656,75.44744107036534,0.037782,0.037362,6529.7,6090.8,0.001633,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778847298.361527,6,1.635278,0.052392,0.007998,0.0680,0.0083,0.000962,1.648468,0.000002,0.000000,0.0002,1.635983,0.052291,0.007996,0.0284,-0.0006,-0.000023,0.081569,0.0000,1.635983,0.000000,0.000000,5.0000,0.000000,2.000000,3372.1293,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1200,0.0000,0.000000,0.3440,8.53,8.20,25.26,6.80,0.000002,0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,1.3849460754785525,80.37226651607386,0.026676,0.027565,6524.2,6096.3,0.005620,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778847298.373478,7,1.733025,0.047988,-0.002943,0.0240,0.0025,0.001632,1.648452,0.000007,0.000003,-0.0009,1.733644,0.047908,-0.002943,0.0281,-0.0006,-0.000023,0.096652,0.0000,1.733644,0.000000,-0.000000,5.0000,0.000000,2.000000,3375.6282,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1302,0.0000,0.000000,0.3680,7.29,7.98,22.56,6.74,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,15.422771336401624,79.07637462899241,0.019527,0.022329,6519.0,6101.5,0.009395,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778847298.385673,8,1.749021,-0.021608,0.001361,-0.0062,-0.0511,0.001093,1.648434,0.000013,0.000007,-0.0008,1.749476,-0.021744,0.001361,0.0232,-0.0014,-0.000051,0.114950,0.0000,1.749476,0.000000,-0.000000,5.0000,0.000000,2.000000,3367.3670,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1409,0.0000,0.000000,0.3920,6.24,7.79,20.28,6.72,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-21.371152981277802,47.35754923873347,0.034830,0.038483,6513.2,6107.3,0.013611,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778847298.397489,9,1.654004,-0.087712,-0.004358,-0.0346,0.0130,0.001214,1.648415,0.000021,0.000011,-0.0007,1.654340,-0.087801,-0.004357,0.0193,-0.0012,-0.000038,0.132267,0.0000,1.654340,0.000000,0.000000,5.0000,0.000000,2.000000,3363.4593,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1521,0.0000,0.000000,0.4160,5.35,7.63,18.33,6.71,0.000021,0.0006,-5.0007,0.008000,0.204628,-0.4154,-0.482829,-0.012254,0.004109,0.0,0.0,4.5270363396752344,59.51794089723782,0.022333,0.026832,6507.8,6112.7,0.017523,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778847298.409566,10,1.602023,-0.011267,0.011854,0.0718,0.0754,0.001665,1.648397,0.000028,0.000015,-0.0006,1.602507,-0.011221,0.011858,0.0300,0.0006,0.000041,0.150084,0.0000,1.602507,0.000000,0.000000,5.0000,0.000000,2.000000,3353.8795,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1639,0.0000,0.000000,0.4400,4.60,7.50,16.70,6.80,0.000028,0.0009,-5.0006,0.008000,0.114240,0.5453,-0.472253,0.004711,0.003630,0.0,0.0,62.47261431090128,60.09192772264551,-0.012199,-0.006442,6502.5,6118.1,0.021412,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778847298.421484,11,1.688044,-0.013273,-0.003582,-0.0288,0.0088,0.000013,1.648380,0.000034,0.000018,-0.0005,1.688406,-0.013231,-0.003579,0.0247,0.0008,0.000049,0.168368,0.0000,1.688406,0.000000,-0.000000,5.0000,0.000000,2.000000,3350.4327,4,1,estimating,0.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1761,0.0000,0.000000,0.4640,3.95,7.38,15.29,6.70,0.000034,0.0011,-5.0005,0.008000,0.048828,-0.1689,-0.477623,0.005506,-0.001355,0.0,0.0,60.34866087542477,53.30964525581122,-0.013260,-0.008600,6497.1,6123.4,0.025295,0.000000,0.000000,0.5000,1.0000,,,,,
